Verkiezing;;Gemeenteraad Sint-Michielsgestel 2022;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Sint-Michielsgestel;;;;;;;;;;;;;;;;;;;;;
Nummer;;0845;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Brandweerkazerne Sint-Michielsgestel;Protestantse Kerk;Party's & Meetings Absoluut;De Meander (Gemeentehuis);Voetbalclub SCG'18;Sporthal Theereheide;Café Zaal de Schuif;Boer Goossens;Sportclub Den Dungen;Litserborg;Brandweerkazerne Berlicum;Basisschool Theresia;Den Durpsherd;De Moerkoal;Mobiel stembureau voor zorginstellingen;De Meander (Gemeentehuis);De Moerkoal;De Meander (Gemeentehuis);Litserborg
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19
Postcode;;;;;5271 SB;5271 BK;5271 AL;5271 GC;5271 NB;5271 RR;5293 AN;5275 BM;5275 HV;5275 BV;5258 BK;5258 AG;5258 KB;5258 LE;5271 BH;5271 GC;5258 LE;5271 GC;5275 BV
;;29;Carpay, H.A.M.;12;0;0;0;0;0;0;0;0;0;1;3;1;4;3;0;0;0;0;0
;;30;de Laat, I.J.T.;24;0;0;0;0;0;0;0;0;0;0;8;7;4;0;2;0;3;0;0
;;31;Kwaspen, S.S.H.;14;0;1;1;0;0;0;0;0;0;1;4;1;4;1;0;0;1;0;0
;;32;van Zoggel, M.J.W.;15;0;0;0;0;0;0;0;0;0;0;3;6;3;1;0;0;2;0;0
;;33;de Laat, J.C.W.;7;0;0;0;0;0;0;0;0;0;0;5;1;0;0;1;0;0;0;0
;;34;Uijlings, J.H.M.;4;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0
;;35;van Rossum, R.J.W.;3;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0
;;36;Vennix, M.E.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;37;Kolen, W.J.;8;0;0;0;0;0;0;0;0;0;0;4;4;0;0;0;0;0;0;0
;;38;Vinckemöller, R.H.J.;2;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0
;;39;Heeren, A.A.;16;0;0;0;1;0;0;0;0;0;0;5;1;7;1;0;0;0;1;0
;;40;Swanenberg, R.W.M.;23;0;0;0;0;0;0;0;0;0;0;4;7;10;1;1;0;0;0;0
;;41;Kwaspen, P.H.G.;3;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0
;;42;van den Broek, M.J.J.M.;8;0;0;1;0;0;0;0;0;0;0;1;1;4;1;0;0;0;0;0
;;43;Steenbakkers, J.H.;7;0;1;4;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;44;van den Boom, J.H.A.M.;9;0;0;0;0;0;0;0;0;0;0;0;2;7;0;0;0;0;0;0
;;45;de Laat, J.W.M.;7;0;0;0;0;0;0;0;0;0;0;3;1;3;0;0;0;0;0;0
;;46;van Doorn, M.G.L.;10;0;0;0;0;0;0;0;0;0;0;2;5;1;0;0;0;2;0;0
;;47;Milder, C.J.P.;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0
;;48;van de Veerdonk, N.A.M.;5;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;2
;;49;Mathijssen, E.H.J.M.;30;1;0;0;0;0;0;0;0;0;0;5;9;9;2;0;0;4;0;0
2;CDA;;;2153;116;58;104;181;23;118;420;59;30;178;78;143;175;114;22;87;46;115;86
;;1;van der Aa, L.A.G.P.;598;29;18;33;36;2;32;32;33;10;82;21;54;52;28;13;23;15;42;43
;;2;den Otter, C.J.M.A.;327;38;11;25;90;15;51;7;4;3;14;4;3;3;2;0;27;0;25;5
;;3;Klomp-Pullens, F.C.J.L.;344;8;2;1;1;2;0;281;0;1;6;3;4;7;0;1;5;0;15;7
;;4;Schouten, H.W.A.;208;1;1;1;2;0;0;1;1;2;7;20;49;53;55;5;0;9;0;1
;;5;Andres, A.E.;56;1;0;0;0;0;2;0;4;11;23;0;2;3;1;0;1;0;1;7
;;6;van Dommelen, F.H.P.;48;0;0;1;0;0;0;0;0;1;1;9;7;20;5;0;0;3;1;0
;;7;Poodt, R.T.A.;43;7;2;17;2;3;3;0;0;0;1;0;2;0;0;0;3;0;3;0
;;8;Minkels, J.W.H.;39;2;0;5;5;0;1;3;2;0;9;0;1;0;2;0;0;1;3;5
;;9;van Houtum, A.J.H.M.N.;58;1;1;0;0;0;2;52;0;0;0;0;0;0;0;0;0;0;2;0
;;10;van Heijningen, A.W.M.;23;0;0;0;0;0;0;0;0;0;0;5;5;9;1;0;1;2;0;0
;;11;van Collenburg, M.W.J.M.;6;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;1;0;0;0
;;12;de Jong, B.;20;1;0;0;0;0;1;1;1;0;8;0;0;0;0;0;4;0;0;4
;;13;van den Brekel, P.M.G.;24;1;2;3;7;0;1;0;0;0;0;0;0;0;0;0;3;0;7;0
;;14;Sterkenburg, G.;14;0;0;0;0;0;0;0;0;0;1;4;0;8;0;0;0;1;0;0
;;15;Verhagen, J.C.M.;19;1;0;0;2;0;2;8;0;0;0;0;0;0;3;1;1;1;0;0
;;16;van Beers, J.H.C.M.;3;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2
;;17;Bakker-Lievaart, K.T.;32;7;6;2;9;1;1;0;0;0;0;1;0;0;0;0;1;0;4;0
;;18;van de Ven, P.H.H.M.;17;0;1;1;0;0;0;0;4;0;10;0;0;0;0;0;0;0;0;1
;;19;van der Schoot, E.H.A.J.;8;0;2;0;1;0;0;4;0;0;0;0;0;0;0;0;1;0;0;0
;;20;Huisman, A.B.M.;28;2;4;6;0;0;4;2;0;0;0;0;0;0;0;0;5;0;5;0
;;21;van Grinsven, F.J.M.;14;0;0;0;0;0;0;0;3;1;4;1;0;0;0;0;0;0;0;5
;;22;Heijmans, A.T.J.;29;0;0;0;0;0;0;0;0;0;0;3;6;9;2;2;0;7;0;0
;;23;van Berkel, M.L.P.M.;37;7;2;6;13;0;6;0;0;0;0;0;0;0;0;0;2;0;1;0
;;24;Beck, F.R.;3;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0
;;25;Fleuren, E.G.G.M.;23;0;0;0;1;0;0;0;0;0;0;2;4;8;2;0;0;4;0;2
;;26;van den Berg, A.H.J.;12;1;3;0;1;0;3;0;0;0;0;0;0;0;0;0;3;0;1;0
;;27;van Boxtel, H.J.W.;8;2;0;0;0;0;0;0;1;1;3;0;0;0;0;0;0;1;0;0
;;28;Danen, T.A.M.;8;0;0;0;0;0;0;0;0;0;0;2;0;0;6;0;0;0;0;0
;;29;Reesing, A.W.B.M.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
;;30;van Gestel, H.G.;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1
;;31;van Heugten, R.A.C.;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
;;32;van Beurden, J.P.A.;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0
;;33;Cornelissen, P.M.L.;10;0;0;0;3;0;0;0;0;0;3;0;1;0;0;0;1;0;0;2
;;34;de Feber, J.A.L.M.;3;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0
;;35;Peters-de Boer, H.R.W.M.;10;0;1;2;1;0;3;0;0;0;0;0;0;0;2;0;0;0;1;0
;;36;van Hal, M.J.A.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
;;37;Verstappen, C.G.C.P.;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
;;38;Klomp, H.C.;16;0;2;0;0;0;0;14;0;0;0;0;0;0;0;0;0;0;0;0
;;39;Groenendaal, M.W.;6;3;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0
;;40;Bouwma, A.E.;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;;41;van den Biggelaar, D.J.M.H.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;42;van Kreij, J.W.H.;2;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0
;;43;van Rutten, J.R.;5;0;0;0;0;0;0;0;0;0;0;2;1;0;1;0;0;1;0;0
;;44;Schouten, W.P.J.;3;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0
;;45;Hoevenaars, J.A.M.;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;;46;van Esch, H.M.L.;19;1;0;0;2;0;0;15;0;0;0;0;0;0;1;0;0;0;0;0
;;47;van Ommen-Douwes, A.C.;4;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0
;;48;Hooij, C.A.S.;4;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
;;49;Middelkamp, S.;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;;50;Braks-Rouweler, R.J.M.;8;0;0;0;3;0;0;0;0;0;0;0;0;0;1;0;2;0;2;0
3;DorpsGoed;;;1711;59;22;71;95;13;68;41;148;74;488;50;60;103;53;5;44;27;43;247
;;1;Sturkenboom, M.P.A.;711;38;13;50;59;8;42;29;48;27;145;18;21;41;13;3;31;11;30;84
;;2;van Vught, A.F.J.;150;6;1;3;3;2;1;0;20;7;57;4;3;6;4;0;1;1;2;29
;;3;Cooijmans, M.F.M.;135;1;1;2;6;2;9;1;15;14;51;2;6;1;1;0;0;2;0;21
;;4;Rijken, M.F.J.;56;2;0;0;4;0;0;1;5;1;34;0;0;0;0;0;0;0;0;9
;;5;Heijmans, C.C.A.;170;4;1;5;1;0;2;0;21;9;77;0;2;6;2;0;4;1;3;32
;;6;van der Donk, J.M.A.M.;40;0;0;2;3;0;0;3;5;0;15;0;0;0;0;0;0;0;1;11
;;7;van Luxemburg, C.A.F.M.;121;0;0;0;1;0;0;1;0;0;2;15;26;34;27;1;0;12;2;0
;;8;Mol, J.G.J.;22;0;1;3;1;0;0;1;0;4;7;0;2;0;0;0;0;0;1;2
;;9;Coppens, L.D.M.F.;60;1;0;2;3;1;1;2;12;4;15;0;0;3;1;0;3;0;4;8
;;10;Mol, M.H.L.;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;;11;Jacobs, J.W.M.;8;0;0;1;0;0;0;0;0;0;4;0;0;0;0;0;1;0;0;2
;;12;van Grinsven, J.F.C.M.;16;0;0;3;1;0;2;0;0;2;3;1;0;0;0;0;1;0;0;3
;;13;Pennings-Bekkers, A.M.L.;27;1;1;0;0;0;5;0;3;1;11;0;0;2;0;0;0;0;0;3
;;14;van Meurs, M.M.A.;7;1;0;0;1;0;0;0;1;0;1;0;0;1;0;0;0;0;0;2
;;15;Meulenbroek, M.M.M.;36;0;0;0;0;0;0;0;4;0;15;3;0;1;5;0;0;0;0;8
;;16;Hendriks, J.;12;1;0;0;0;0;0;2;5;1;2;1;0;0;0;0;0;0;0;0
