Verkiezing;;Gemeenteraad Eersel 2022;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;
Gebied;;Gemeente Eersel;;;;;;;;;;;;;;;;
Nummer;;0770;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Stembureau Muzenval 1;Stembureau Sporthal De Kraanvogel;Stembureau Gemeenschapshuis de Smis;Stembureau Gemeenschapshuis De Höllekes;Stembureau Clubhuis Eresloch;Stembureau Muzenval 2;Stembureau Gemeenschapshuis D'n Boogerd;Stembureau Gemeenschapshuis De Rosdoek;Stembureau Gemeenschapshuis De Leenhoef;Stembureau Ontmoetingscentrum 't Stökske;Stembureau Muzenval;Stembureau Muzenval;Stembureau Gemeenschapshuis De Rosdoek;Stembureau Gemeenschapshuis D'n Boogerd
Gebiednummer;;;;;1;2;3;4;5;6;8;9;10;11;114;115;214;215
Postcode;;;;;5521 AW;5521 JN;5525 AN;5524 AX;5521 TP;5521 AW;5512 AJ;5513 AR;5511 AG;5521 WG;5521 AW;5521 AW;5513 AR;5512 AJ
;opgeroepenen;;;16106;2066;1326;1710;1326;1244;2065;1802;1682;1185;1700;0;0;0;0
;geldige stempas;;;7475;627;474;681;555;536;629;589;655;567;389;560;743;166;304
;geldig volmachtbewijs;;;918;66;62;89;87;54;76;86;87;76;47;59;74;23;32
;geldige kiezerspas;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;toegelaten kiezers;;;8393;693;536;770;642;590;705;675;742;643;436;619;817;189;336
;geldige stembiljetten;;;8343;688;533;757;638;587;699;675;738;642;435;617;815;185;334
;blanco stembiljetten;;;36;3;3;12;2;1;4;0;3;1;0;1;2;3;1
;ongeldige stembiljetten;;;13;2;0;1;2;2;2;0;1;0;1;1;0;0;1
;aangetroffen stembiljetten;;;8392;693;536;770;642;590;705;675;742;643;436;619;817;188;336
;meer stembiljetten dan toegelaten kiezers;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;minder stembiljetten dan toegelaten kiezers;;;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0
;kiezers met stembiljet hebben niet gestemd;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te weinig stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te veel stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;geen verklaring;;;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0
;andere verklaring;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;Eersel Samen Anders;;;3799;280;241;442;300;159;285;379;442;280;149;208;319;120;195
;;1;Kox, S.P.G.;1091;113;71;263;38;67;113;48;40;44;52;90;118;12;22
;;2;Lavrijssen, A.W.M.;324;32;82;5;3;29;45;3;2;0;31;35;50;1;6
;;3;Beex, H.J.M.;328;1;1;2;6;5;2;23;190;13;2;6;12;43;22
;;4;Kennis, A.J.F.;154;0;2;1;137;0;3;0;0;0;0;7;4;0;0
;;5;Heezemans, J.W.C.M.;186;3;1;0;10;5;4;5;4;128;4;1;8;7;6
;;6;Spooren, H.J.A.;67;4;3;37;1;2;3;0;4;0;1;5;5;0;2
;;7;Oosterbosch, H.E.J.;275;0;1;0;1;0;6;148;22;7;1;0;0;5;84
;;8;Pasmans, J.J.H.J.;46;3;15;0;2;2;9;1;0;0;3;4;5;0;2
;;9;van Hunsel, J.C.M.;182;34;25;10;3;13;24;3;6;2;23;16;20;2;1
;;10;van der Heijden, F.H.A.M.;150;30;12;11;4;13;25;2;0;3;5;7;37;1;0
;;11;Beerens, E.W.J.M.;98;1;0;0;3;0;0;0;69;2;0;2;1;19;1
;;12;van Sambeeck-Roovers, M.G.A.;23;2;0;1;2;2;3;0;1;1;3;3;5;0;0
;;13;Wouters-Woestenberg, J.J.A.M.;27;3;3;0;0;1;3;0;1;2;2;3;8;1;0
;;14;Teurlings-Groenen, I.H.H.M.;52;0;0;0;1;2;0;0;2;42;0;2;1;2;0
;;15;van Bree-Huijbers, H.C.T.G.;53;0;0;0;43;0;2;0;0;6;0;0;2;0;0
;;16;Verstappen-Boerboom, M.H.;95;26;13;3;1;6;18;2;1;1;5;12;7;0;0
;;17;Baijens, J.G.H.;108;12;3;53;3;2;12;0;0;1;7;3;12;0;0
;;18;Hakkens, P.A.;64;3;1;0;41;0;3;0;0;3;2;3;8;0;0
;;19;Verbaant-van Gestel, A.M.;127;2;0;0;0;2;1;69;2;1;0;2;1;0;47
;;20;Dekkers-van Aaken, J.E.M.;62;0;0;0;0;0;0;57;3;0;0;1;1;0;0
;;21;Bertens, P.J.J.;71;3;0;0;0;2;0;3;46;1;0;0;1;15;0
;;22;Mollen, C.J.;33;4;1;20;0;1;2;1;2;1;0;0;1;0;0
;;23;Castelijns, G.J.M.;44;0;1;27;0;4;1;0;0;0;1;2;8;0;0
;;24;Verblackt, R.;49;0;1;0;0;0;0;3;34;0;0;0;0;11;0
;;25;Lodders, R.G.F.J.;22;0;0;0;0;1;0;1;1;17;0;1;0;1;0
;;26;van Asten-Soetens, M.J.H.;17;0;1;0;1;0;0;9;3;0;0;0;1;0;2
;;27;de Kroon, H.W.J.;16;3;1;0;0;0;2;0;0;0;5;2;3;0;0
;;28;Hendrikx, H.L.H.M.;13;0;2;9;0;0;1;0;0;0;1;0;0;0;0
;;29;van Oorschot-Adriaanse, H.M.P.J.;5;0;0;0;0;0;0;0;0;5;0;0;0;0;0
;;30;Brans, M.C.M.;4;0;0;0;0;0;0;0;4;0;0;0;0;0;0
;;31;van Loon, H.M.;13;1;1;0;0;0;3;1;5;0;1;1;0;0;0
2;CDA;;;1158;74;46;71;59;71;101;104;151;83;80;107;129;44;38
;;1;Tinnemans, S.C.;441;36;9;57;19;33;48;31;19;15;28;60;60;9;17
;;2;van Dooren-van Beers, H.M.L.;114;3;3;4;4;1;6;8;7;57;0;5;10;3;3
;;3;Sleegers, M.P.J.;30;2;3;0;1;6;4;0;1;2;3;4;4;0;0
;;4;de Win, W.J.G.;43;2;4;0;0;12;6;0;0;0;6;8;5;0;0
;;5;Lavrijsen, H.J.M.;67;11;6;0;0;9;12;0;0;0;11;4;14;0;0
;;6;Das, P.W.M.;52;1;0;0;0;0;1;24;10;0;3;0;0;7;6
;;7;van Selst, A.T.J.M.;55;1;0;0;1;0;0;3;27;5;4;2;2;7;3
;;8;Huijbregts, D.C.;23;0;3;2;1;0;0;1;1;0;3;5;0;2;5
;;9;Bernards-Kroot, M.H.E.;10;0;0;0;1;2;0;6;0;0;0;0;1;0;0
;;10;Leermakers, W.A.H.M.;54;1;0;0;0;0;0;24;25;0;0;1;0;1;2
;;11;Maas, W.G.J.P.;70;7;9;4;6;2;4;0;3;0;12;7;10;5;1
;;12;Huijbers, F.H.J.;44;0;0;0;1;0;0;1;36;2;0;0;0;4;0
;;13;Stravens, E.H.T.;35;2;0;1;23;0;1;0;0;1;2;4;1;0;0
;;14;van de Klundert, H.J.;53;7;5;1;1;5;11;0;0;0;3;5;15;0;0
;;15;Schouten, N.;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
;;16;Polak-Ruijs, G.O.;2;0;1;0;0;0;1;0;0;0;0;0;0;0;0
;;17;Castelijns, J.H.M.;4;0;0;2;0;0;2;0;0;0;0;0;0;0;0
;;18;Schouten-Klaasse, P.G.;3;1;0;0;0;1;0;0;0;0;0;0;0;0;1
;;19;van Unen-van der Heijden, A.C.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;20;Huijbers, J.A.M.;57;0;3;0;1;0;5;6;22;1;4;2;7;6;0
3;Partij van de Arbeid / GROENLINKS;;;1288;129;102;83;148;119;115;50;55;97;59;132;162;9;28
;;1;Cools, F.;350;34;23;17;22;27;33;14;12;66;16;33;41;2;10
;;2;van den Broek, D.C.H.;217;27;14;11;42;19;17;8;5;2;16;14;34;1;7
;;3;de Laat, W.J.;90;10;1;28;3;8;10;3;4;0;1;13;9;0;0
;;4;Maas, T.A.M.;306;33;40;0;18;48;37;5;8;9;16;49;37;1;5
;;5;Peels, H.H.;80;13;7;4;1;6;6;3;4;12;4;3;14;2;1
;;6;Floren, K.M.J.;33;0;2;19;2;0;1;1;0;1;0;4;3;0;0
;;7;Pennings, M.;20;0;7;0;3;4;0;0;0;1;1;2;2;0;0
;;8;van Esch, J.A.;17;0;0;0;0;0;1;12;0;0;0;0;0;0;4
;;9;Kortooms, R.G.M.;12;0;0;0;0;0;0;0;12;0;0;0;0;0;0
;;10;van de Vondevoort, A.P.J.;31;0;2;0;22;0;0;0;0;0;0;2;5;0;0
;;11;ter Haar, P.;20;6;2;2;3;1;2;0;1;0;0;0;3;0;0
;;12;Biezen-Hurkmans, A.J.A.;2;0;0;0;0;0;0;1;0;0;1;0;0;0;0
;;13;van Rooij-Scholten, W.;2;0;1;0;0;0;0;0;0;0;0;0;0;0;1
;;14;Ambrosius, H.P.M.M.;18;0;1;0;14;1;0;0;0;0;0;1;1;0;0
;;15;Murk, C.C.A.;14;1;0;0;9;1;0;0;0;1;1;0;1;0;0
;;16;Lavrijsen, W.C.;5;1;0;0;0;0;0;0;0;0;1;0;3;0;0
;;17;Jansen, G.M.;12;0;0;0;0;0;0;0;9;0;0;0;0;3;0
;;18;Bastiaanse, A.J.;6;0;0;0;0;2;0;0;0;0;0;1;3;0;0
;;19;van Wijngaarde, P.H.G.P.;5;0;0;0;0;0;0;0;0;5;0;0;0;0;0
;;20;Verhoeven, A.A.M.;4;0;0;0;3;0;1;0;0;0;0;0;0;0;0
;;21;Plug, R.A.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;22;van Tilborg, J.J.J.;3;0;0;0;0;0;0;0;0;0;0;3;0;0;0
;;23;van der Aalst-Dierks, H.P.A.M.;26;3;1;1;4;1;2;3;0;0;1;7;3;0;0
;;24;Tönissen, C.A.A.A.;15;1;1;1;2;1;5;0;0;0;1;0;3;0;0
4;VVD;;;908;101;53;45;77;117;86;70;30;63;70;72;85;2;37
;;1;Steenhoek, A.M.;361;34;23;38;27;61;29;24;21;19;20;31;24;0;10
;;2;Cune-Noten, I.;136;25;9;1;5;19;21;3;5;3;25;8;12;0;0
;;3;Traa, G.M.;47;6;2;1;1;0;3;1;1;29;1;0;1;0;1
;;4;Kraaijeveld, S.J.;148;21;11;0;19;14;19;2;2;10;9;15;21;2;3
;;5;Kaanen, I.P.;67;1;1;0;0;2;3;27;0;1;1;3;5;0;23
;;6;Bas, T.W.;20;0;2;4;0;5;0;1;0;1;1;2;4;0;0
;;7;Bock, G.A.D.;17;1;0;0;3;0;1;2;0;0;6;2;2;0;0
;;8;van Nunen, P.J.M.;28;2;0;0;20;0;1;1;0;0;1;1;2;0;0
;;9;Kuus, G.;20;1;2;0;0;11;1;0;0;0;0;4;1;0;0
;;10;van Raay, A.L.J.M.;33;6;1;0;1;1;6;0;0;0;5;3;10;0;0
;;11;van Vlerken, J.H.T.;10;0;0;0;0;0;0;9;0;0;0;1;0;0;0
;;12;van den Akker-Kroes, N.M.;21;4;2;1;1;4;2;0;1;0;1;2;3;0;0
5;Democraten 66 (D66);;;585;55;36;59;22;71;55;60;24;54;29;44;50;2;24
;;1;van Boxtel, J.P.M.;225;22;8;9;10;29;16;51;16;4;9;18;16;0;17
;;2;Plas, E.J.;60;1;0;39;0;1;4;1;0;2;2;8;2;0;0
;;3;Adams, C.E.J.;99;3;3;0;4;4;8;6;7;46;5;6;4;2;1
;;4;Nieboer, A.H.G.;67;13;5;2;4;20;6;0;0;1;3;2;10;0;1
;;5;Schellens, J.J.;38;3;2;2;1;10;5;1;0;0;3;1;10;0;0
;;6;de Lau, F.J.A.;54;7;10;3;1;2;12;0;1;0;5;7;5;0;1
;;7;Westenend, A.P.;14;3;5;0;1;1;1;0;0;0;0;2;1;0;0
;;8;Ceulen, R.J.T.M.;9;0;0;1;0;1;1;1;0;0;1;0;0;0;4
;;9;Stilma-Flinkenflögel, H.N.M.;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0
;;10;van Vijfeijken, I.L.;9;2;2;1;0;3;0;0;0;0;0;0;1;0;0
;;11;Hartlief, I.J.;8;1;1;0;1;0;2;0;0;1;1;0;1;0;0
6;Kernbeleid;;;605;49;55;57;32;50;57;12;36;65;48;54;70;8;12
;;1;Adriaans, J.M.G.A.;250;20;25;12;15;31;30;4;8;20;24;24;29;2;6
;;2;Fleerakkers, J.A.C.J.;38;3;2;13;1;0;1;3;1;1;2;8;3;0;0
;;3;van Loon, A.J.J.M.;35;0;0;0;0;0;0;4;20;3;0;2;1;4;1
;;4;Versmissen, I.G.M.;80;4;10;5;3;12;10;0;1;6;9;8;9;0;3
;;5;Fuchs, S.M.E.J.;44;4;1;22;1;2;2;0;2;2;2;1;3;0;2
