Verkiezing;;Gemeenteraad Breda 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Breda;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0758;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Stembureau Stadhuis;Stembureau Zero-Point;Stembureau De Rooi Pannen;Stembureau Kerk van de Nazarener;Stembureau Basisschool De Singel;Stembureau Stadskantoor Gemeente Breda;Stembureau De Stilte;Stembureau Mezz;Stembureau Gymzaal Archimedesstraat;Stembureau Rudolf Steiner School;Stembureau Wijkcentrum Balieweide;Stembureau Leger des Heils;Stembureau Vrijwillig&Co;Stembureau Gymzaal BS Het Noorderlicht;Stembureau Curio Prinsentuin College;Stembureau Kindcentrum de Wisselaar;Stembureau Gemeenschapshuis De Biesdonk;Stembureau Curio Terheijdenseweg;Stembureau Belcrumhuis;Stembureau Podium Bloos;Stembureau NS Station Breda;Stembureau Gymzaal Elandstraat;Stembureau Michaëlkerk;Stembureau Poelewei;Stembureau Breda University of Applied Sciences;Stembureau Wijkcentrum 't Houwke;Stembureau Voormalig ABN AMRO gebouw;Stembureau OBS De Tweesprong;Stembureau Avans Hogeschool;Stembureau Sacramentskerk;Stembureau Buurthuis Toma;Stembureau Amphia Ziekenhuis Molengracht;Stembureau Gemeenschapshuis Mariëndal;Stembureau Dr. de Visserschool;Stembureau Clubhuis de Toss;Stembureau Careflex Zorgcampus;Stembureau Nieuwe Veste Bibliotheek Zuid;Stembureau Gymzaal Stoutenburgstraat;Stembureau Basisschool Laurentius;Stembureau Tennisvereniging De IJpelaar;Stembureau Scouting De Mokkenboom;Stembureau KBS Petrus en Paulus - gymzaal;Stembureau De Lichtboei;Stembureau Mencia de Mendoza Lyceum;Stembureau Hotel Mastbosch Breda;Stembureau Gymzaal Jan Nieuwenhuyzenstraat;Stembureau De Nieuwe Meidoorn;Stembureau Maczek Memorial Breda;Stembureau ANNAstede;Stembureau Incubator Breda;Stembureau Dansschool Salsa in Breda;Stembureau De Ruimte;Stembureau Huis van de Heuvel kerkgebouw;Stembureau Gemeenschapshuis Kievitslaar;Stembureau De Dobbelsteen;Stembureau SCC De Koe;Stembureau Café-Zalencentrum Het Witte Schaap;Stembureau Gemeenschapshuis Liesbosch;Stembureau Basisschool De Eerste Rith;Stembureau Drive-thru P5 NAC Stadion;Stembureau Buurthuis Gageldonk;Stembureau Tennis Vereniging Haagse Beemden;Stembureau Scouting Haagse Beemden;Stembureau Sportzaal Raaimoeren;Stembureau De Sleutel;Stembureau Sporthal Haagse Beemden;Stembureau Basisschool Burgst;Stembureau Wijkcentrum Heksenwiel;Stembureau SCC 't Kraaienest;Stembureau Gymzaal De Kroeten;Stembureau Gymzaal Twaalfbunder;Stembureau De Verbinding;Stembureau Willibrorduskerk;Stembureau Dorpshuis 't Web;Stembureau Park Zuiderhout;Stembureau Curio scala;Stembureau RKVV DIA;Stembureau Basisschool de Klokkebei;Stembureau SCC De Pekhoeve;Stembureau Dorpshuis 't Klooster;Stembureau Talentencentrum Bavel;Stembureau Sporthal De Huif;Stembureau Korenmolen De Hoop;Stembureau Stembureau parkeerterrein Kamvaren;Stembureau RK Kerk;Stembureau Het Kruispunt Prinsenbeek;Stembureau Café-Zaal 't Veehandelshuis;Stembureau Sportpark De Heikant;Stembureau De Drie Linden;Stembureau Scouting Thomas-More;Stembureau Mezz;Stembureau Gymzaal Archimedesstraat;Stembureau Gemeenschapshuis De Biesdonk;Stembureau Stadskantoor Gemeente Breda;Stembureau Breda University of Applied Sciences;Stembureau OBS De Tweesprong;Stembureau Sacramentskerk;Stembureau Gemeenschapshuis Mariëndal;Stembureau Gymzaal Stoutenburgstraat;Stembureau Scouting De Mokkenboom;Stembureau Hotel Mastbosch Breda;Stembureau De Nieuwe Meidoorn;Stembureau Huis van de Heuvel kerkgebouw;Stembureau SCC De Koe;Stembureau Sportzaal Raaimoeren;Stembureau Gymzaal Twaalfbunder;Stembureau RKVV DIA;Stembureau SCC De Pekhoeve;Stembureau Dorpshuis 't Klooster;Stembureau De Drie Linden;Stembureau Leger des Heils;Stembureau Mezz;Stembureau Gymzaal Archimedesstraat;Stembureau Gemeenschapshuis De Biesdonk;Stembureau Stadskantoor Gemeente Breda;Stembureau Breda University of Applied Sciences;Stembureau OBS De Tweesprong;Stembureau Sacramentskerk;Stembureau Gemeenschapshuis Mariëndal;Stembureau Gymzaal Stoutenburgstraat;Stembureau Scouting De Mokkenboom;Stembureau Hotel Mastbosch Breda;Stembureau De Nieuwe Meidoorn;Stembureau Huis van de Heuvel kerkgebouw;Stembureau SCC De Koe;Stembureau Sportzaal Raaimoeren;Stembureau Gymzaal Twaalfbunder;Stembureau RKVV DIA;Stembureau SCC De Pekhoeve;Stembureau Dorpshuis 't Klooster;Stembureau De Drie Linden;Stembureau Leger des Heils
3;D66;;;10355;198;138;35;40;95;172;86;125;47;18;31;33;17;54;8;65;58;5;110;71;227;21;71;92;153;75;21;66;50;401;45;61;91;147;78;114;193;125;201;123;139;196;60;47;89;136;62;63;97;85;33;60;113;106;91;160;141;27;77;67;97;41;64;37;49;38;66;69;107;81;34;34;169;137;31;46;28;80;201;83;61;30;64;113;67;18;99;64;46;55;105;41;24;56;46;35;82;89;55;57;48;22;42;67;33;35;40;59;59;64;22;129;32;30;106;72;46;145;97;88;75;60;66;72;114;67;48;69;80;80;64;15
;;1;Lauwen, B.A.J.C.M.;3480;51;39;14;11;24;57;29;31;15;6;5;7;8;17;5;29;11;1;30;23;65;5;21;36;46;25;9;20;9;110;11;20;23;52;28;29;70;37;54;48;56;55;21;19;34;43;23;15;21;33;3;27;35;85;38;55;48;10;29;28;34;14;32;14;11;15;35;29;45;25;9;10;50;43;18;16;5;25;58;37;21;12;21;39;20;4;36;20;9;23;37;12;14;14;11;15;26;42;22;23;19;7;14;31;17;11;21;19;27;26;12;47;8;15;23;20;16;47;29;26;26;29;21;30;40;20;14;31;32;21;21;5
;;2;van Kelle, L.M.A.;3030;54;46;8;8;25;49;26;48;10;3;6;7;5;13;1;7;14;0;37;16;69;7;24;21;50;22;7;20;22;166;12;17;29;43;30;38;56;38;71;39;39;72;20;12;27;40;19;24;35;24;12;17;28;10;23;56;48;11;24;13;29;17;21;12;17;11;13;19;29;27;10;9;53;39;3;14;11;27;58;22;14;11;19;32;17;5;17;9;12;13;28;11;3;11;18;12;33;22;13;17;8;3;13;21;9;15;12;15;15;12;3;38;7;5;33;27;14;43;40;24;22;14;10;17;17;20;10;17;31;19;18;2
;;3;van het Hof, T.;498;11;5;2;3;1;13;6;9;4;1;1;1;1;6;0;2;2;0;6;6;10;1;3;1;5;2;0;3;1;19;5;0;4;5;2;6;8;9;10;5;3;6;5;2;3;7;10;7;6;5;1;4;8;3;10;7;13;3;1;4;4;1;1;0;3;4;4;3;6;4;1;2;5;0;1;5;0;0;22;1;0;0;6;4;3;0;2;3;1;0;7;0;0;0;2;1;5;3;5;3;4;2;3;2;0;0;0;3;1;2;0;6;0;0;5;3;2;7;6;3;4;3;10;5;7;5;2;3;2;6;1;2
;;4;de Goede, J.;800;17;9;4;5;8;8;2;4;2;3;2;2;1;1;1;8;6;1;6;6;18;2;4;3;15;5;0;6;2;29;8;5;13;12;4;7;19;6;20;7;14;18;1;7;7;12;2;6;6;7;3;2;10;0;2;12;10;1;3;0;8;7;4;3;5;0;9;6;18;3;2;4;11;17;0;4;5;8;9;5;2;0;5;13;3;2;4;3;9;1;8;3;1;3;5;3;6;12;5;3;4;4;2;2;0;1;0;6;4;3;2;10;2;2;9;3;4;11;6;12;11;6;3;7;30;6;9;6;3;7;2;0
;;5;van Pul, J.C.;121;6;0;0;0;2;1;2;1;0;0;0;1;0;0;0;0;1;0;1;1;3;1;0;0;0;0;1;1;2;2;0;0;2;1;0;0;2;1;1;0;4;3;5;0;2;7;0;1;1;1;2;0;0;0;2;0;1;0;3;2;0;0;1;1;0;0;2;1;1;2;0;0;1;1;2;0;0;0;0;1;2;0;0;0;0;0;0;0;1;0;2;0;0;4;0;0;0;3;1;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;6;2;0;2;2;1;0;1;3;0;5;1;0;0;0;1;0;1
;;6;Korsmit, A.E.;313;12;2;0;2;6;4;3;9;5;1;0;1;0;2;0;3;0;0;6;8;17;1;2;1;7;3;0;2;2;8;0;3;3;8;1;10;4;4;9;3;1;6;2;0;0;5;0;0;5;1;3;2;3;4;4;2;2;2;1;5;2;0;0;0;0;1;0;4;0;5;3;0;4;2;1;3;1;0;5;0;2;1;2;2;2;0;2;3;0;2;7;4;0;1;1;1;0;4;0;1;1;2;2;1;0;1;0;1;0;1;0;7;3;1;7;1;0;3;0;5;1;1;0;2;4;0;0;1;0;1;1;0
;;7;Smans, P.C.J.M.B.;71;3;0;0;0;4;2;2;3;0;1;0;0;0;1;0;0;0;1;2;0;1;0;0;0;1;0;0;0;0;3;1;2;0;0;0;6;3;0;0;0;0;5;0;0;0;0;0;0;1;1;0;1;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;2;1;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;1;0;0;0;2;0;2;1;0;1;1;1;2;0;0;1;0;0;0;0;0;0;0;0
;;8;Kappé, S.;175;2;9;0;3;4;6;2;3;0;0;0;0;0;1;0;4;0;1;0;1;8;0;0;2;1;0;0;1;5;2;0;0;0;2;1;0;2;0;3;1;8;9;2;1;0;8;0;0;2;2;2;0;5;0;1;1;2;0;2;1;1;0;0;1;0;0;0;0;1;1;0;0;1;1;1;0;2;0;2;1;3;0;0;0;0;0;3;2;0;0;2;0;0;4;3;0;1;0;0;3;0;1;1;1;1;0;1;0;0;0;0;5;1;0;0;6;1;0;0;2;0;1;3;0;1;1;2;3;0;1;0;0
;;9;Al-Balawneh, S.;83;2;0;0;1;1;4;0;0;1;0;0;1;0;0;0;3;0;0;1;0;3;0;0;0;3;1;0;0;0;0;0;1;1;0;0;0;4;2;0;0;0;0;0;1;1;0;1;0;1;1;2;0;1;1;0;0;4;0;0;6;0;0;0;0;0;0;0;1;0;0;1;0;1;1;0;0;1;0;2;1;1;0;0;0;0;0;0;1;0;0;1;0;0;0;1;1;2;1;0;1;0;0;1;1;0;1;0;0;0;0;0;1;0;2;5;0;0;0;0;0;0;0;3;0;0;0;0;2;0;2;0;0
;;10;van Kuijk, R.;39;1;9;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;3;1;1;0;2;0;0;1;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;1;0;0;1;0;2;0;1;0;1;0;0;0;0;0;0;0
;;11;Matthee, P.P.J.M.;97;1;2;0;0;4;0;1;0;0;0;0;1;0;1;0;0;0;0;4;5;3;2;1;0;2;0;1;1;0;0;0;0;1;1;1;1;1;1;5;2;0;2;0;3;1;1;1;1;1;2;0;0;2;2;2;0;1;0;2;1;0;0;0;0;2;2;0;0;1;1;1;0;1;0;0;0;0;1;0;2;0;0;1;0;1;1;3;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;4;0;0;0;0;1;3;0;0;0;0;1;1;0;0;0;1;0;0;0;0
;;12;Scherrenburg, C.M.O.;135;2;3;0;0;2;3;2;2;1;0;0;0;0;0;0;0;1;0;4;3;4;1;0;0;5;2;0;2;0;5;0;1;3;3;2;3;2;4;1;2;0;0;0;0;1;1;0;0;1;0;0;0;3;0;0;3;0;0;0;0;4;0;0;0;3;0;0;1;0;1;0;0;1;1;0;0;0;1;3;0;1;0;0;4;2;0;1;1;0;1;1;0;0;0;0;0;1;0;1;0;3;0;0;0;2;0;0;1;0;0;1;0;1;0;4;1;1;3;1;3;0;1;2;5;0;2;2;1;1;0;0;0
;;13;Laguzzi, M.M.;108;2;3;0;0;2;1;1;1;1;0;1;0;0;0;0;1;0;0;1;0;3;0;0;1;3;1;0;0;1;8;2;0;0;1;2;0;1;0;7;0;1;0;0;0;1;1;0;1;4;0;1;0;0;0;1;1;2;0;6;1;0;0;1;0;0;3;2;1;0;3;1;1;1;0;0;0;0;1;2;0;0;0;1;0;2;0;1;1;0;2;0;2;0;0;1;0;0;1;0;0;0;1;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;1;2;0;2;0;1;2;0;2;0;0;0;1;2;0
;;14;Haans, M.;55;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;2;0;1;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;2;1;0;1;0;3;0;0;0;1;2;0;0;0;0;1;0;0;2;2;0;1;0;2;0;0;2;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;2;1;0;0;0;0;0;0;0;1;0;0;0;0;3;0;0;0;1;0;0;0;2;2;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;1
;;15;Quirijnen, W.P.A.;156;11;2;2;2;3;1;1;2;3;0;0;1;0;0;0;0;0;0;2;0;8;0;7;4;0;8;0;2;0;10;0;2;3;0;0;2;5;1;2;2;5;2;2;0;0;1;0;4;2;1;2;1;2;0;3;1;0;0;1;3;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;1;0;0;0;1;1;2;0;0;0;0;0;1;0;0;2;0;0;3;0;0;1;0;0;3;2;4;6;2;0;1;0;1;0;0;0;0;0;0;3;0;0
;;16;Looijen, S.J.;28;3;0;0;2;1;2;2;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0
;;17;van Dijk, I.;95;9;3;0;0;3;4;0;5;0;0;0;2;0;1;0;2;5;0;1;0;1;0;1;0;4;0;0;0;0;2;0;0;1;2;0;5;1;1;1;2;1;1;0;0;2;1;0;0;1;1;0;0;1;0;0;3;0;0;1;0;2;0;0;0;0;0;0;0;1;1;0;2;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;1;1;1;0;0;0;3;1;0;0;0;0;0;1;0;0;1;4;0;0;0;1;0
;;18;Nieuwdorp, B.;20;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
;;19;Mohamed, M.A.A.;170;0;0;0;2;3;1;1;0;3;0;13;8;2;9;0;4;14;1;1;0;1;0;0;11;0;0;0;1;1;1;0;0;0;0;1;1;0;7;1;1;0;1;0;0;0;1;2;0;3;1;0;0;11;0;0;0;0;0;0;1;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;8;3;10;0;1;0;0;0;0;0;1;3;0;0;3;0;1;0;0;0;1;3;2;3;0;0;2;0;0;0;0;4;1;1;5;0;0;0;0;1;2
;;20;Schaap, C.H.G.;136;1;0;0;0;1;1;1;0;0;2;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;1;0;2;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;15;6;21;17;7;7;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;3;16;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;0;1;0;0;14;0
;;21;Nuijen, A.M.;58;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;8;27;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;7;1;0;0
;;22;Berkhout, C.J.G.;66;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;31;16;3;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
;;23;van Wijmen, P.W.H.;43;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0;2;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;5;5;3;3;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;5;0;0
;;24;Slobbe, J.;12;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
;;25;de Boeij, S.;52;1;1;0;1;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;2;3;4;0;1;0;0;0;0;1;0;1;0;0;0;1;0;2;2;0;0;0;1;0;2;2;0;0;1;1;0;0;4;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;1;1;0;1;0;0;1;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
;;26;Hermus, J.C.H.J.;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
;;27;van Breemen, J.G.;6;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
;;28;Nouws, F.C.C.M.;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
;;29;Nijdam, A.M.;21;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;6;1;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;30;Scheurkogel, B.;24;1;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;1;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;1;1;0;0;0;0;0
;;31;de Schepper, M.G.E.;54;0;3;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;2;0;0;0;0;1;0;0;1;0;1;0;3;3;1;3;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;4;0;3;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;4;0;0;0;0;1;0;0;0;2;3;0;1
;;32;Pieters, A.M.E.;23;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;2;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;33;van Son, C.J.;17;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;1;2;0;1;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;34;Dingemans, T.J.;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
;;35;Renckens, T.J.A.;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;;36;Kooistra Ismail, R.;52;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;2;8;0;0;0;3;2;2;1;0;5;0;0;1;0;0;3;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;2;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;1;0;0;0;0;0;0;0;0;0;2;0;0;0
;;37;van den Bosch, R.E.I.;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
