Verkiezing;;Gemeenteraad Hilvarenbeek 2022;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;
Gebied;;Gemeente Hilvarenbeek;;;;;;;;;;;;;;;;
Nummer;;0798;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Gemeentehuis Hilvarenbeek;The Box;Herberg Den Hemel;Cafe-zaal 'Schuttershof';Dorpsgebouw 't Gebint;Basisschool Starrebos;Basisschool De Doelakkers;Partycentrum 'Hercules';Zaal 'Den Horst';Mobiele stembureau Safaripark Beeksebergen;Gemeentehuis Hilvarenbeek;Partycentrum 'Hercules';Gemeentehuis Hilvarenbeek;Partycentrum 'Hercules'
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;21;28;31;38
Postcode;;;;;5081 CA;5081 CT;5081 HG;5085 EG;5084 HG;5081 VH;5081 XM;5087 BJ;5089 NK;5081 NJ;5081 CA;5087 BJ;5081 CA;5087 BJ
;;40;van Erven, A.J.M.;7;0;0;0;0;0;2;1;1;0;0;0;3;0;0
;;41;Geerts, J.;7;1;0;1;0;0;2;0;0;0;0;1;2;0;0
;;42;Rops, A.M.J.;13;0;1;0;0;1;3;4;0;0;2;0;2;0;0
;;43;van den Aker, J.C.G.;14;0;0;0;0;7;4;1;1;0;0;1;0;0;0
;;44;Kuijpers, M.J.C.H.;12;6;0;0;0;0;1;1;2;0;0;0;2;0;0
;;45;Meijer-Greutink, B.M.;14;1;1;1;1;0;1;7;1;0;0;0;1;0;0
;;46;Smits, G.J.J.;7;1;0;0;1;0;0;0;2;0;0;0;0;3;0
;;47;van der Sande, W.R.H.;11;0;1;0;1;0;0;0;7;0;0;0;0;0;2
;;48;Knobben, G.J.;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
;;49;Netten, A.J.J.;8;4;0;1;0;0;1;2;0;0;0;0;0;0;0
;;50;Hendrikx-Blankers, M.J.G.;49;4;3;0;1;3;4;1;12;4;1;1;2;8;5
2;VVD;;;2295;329;132;101;148;113;166;100;436;231;81;86;146;93;133
;;1;Blok, R.;408;86;30;22;38;24;38;20;31;17;16;32;42;5;7
;;2;Vennix, W.J.M.;579;53;27;26;24;40;31;14;163;34;12;14;30;50;61
;;3;Reijrink-Raijmakers, C.M.J.;155;18;8;3;9;7;19;4;20;38;7;7;7;5;3
;;4;Holleman, T.;49;10;7;3;2;0;8;11;0;0;1;1;5;0;1
;;5;Leenhouts, J.W.;8;0;0;0;0;1;0;0;2;0;2;0;1;0;2
;;6;van Riel, L.M.H.;58;7;1;2;0;1;1;1;22;7;2;4;1;3;6
;;7;van Hemert, S.;145;35;10;9;2;2;21;19;14;0;6;6;17;3;1
;;8;Broeckx, A.H.M.G.;126;7;4;5;42;5;5;9;17;2;11;4;7;4;4
;;9;Schapendonk, L.C.W.;58;10;9;2;2;3;12;4;3;0;4;2;7;0;0
;;10;Coomans, P.H.M.;80;23;8;5;1;3;10;10;1;1;4;4;8;0;2
;;11;Schilders, B.;185;15;7;6;3;8;2;1;27;101;1;1;2;7;4
;;12;van Gestel, W.A.J.M.;83;3;3;0;0;10;1;0;47;1;3;0;0;3;12
;;13;Koolwijk, J.;10;4;1;1;0;0;1;0;0;0;0;0;3;0;0
;;14;van Riel, K.H.B.;28;0;0;0;0;1;0;1;13;5;1;0;0;3;4
;;15;Rekelhof, T.A.;17;1;0;0;10;1;0;0;3;0;0;1;0;1;0
;;16;Abrahams, P.J.G.M.;48;16;4;3;0;0;3;5;4;0;4;4;3;2;0
;;17;de Wit, C.A.M.J.;45;1;0;0;0;0;0;0;30;0;0;0;1;4;9
;;18;Vugts, J.G.M.;17;3;4;2;0;0;3;0;4;0;0;0;0;0;1
;;19;van de Kerkhof, J.L.F.;23;12;1;0;0;0;1;0;0;0;1;2;6;0;0
;;20;van Berkel, J.A.L.M.;5;0;0;0;0;0;0;0;2;0;0;0;0;1;2
;;21;van Laarhoven, K.A.P.M.;13;2;2;0;0;1;3;0;0;1;0;2;0;0;2
;;22;van den Hout, D.C.H.;31;8;1;1;3;1;2;1;3;0;5;0;4;0;2
;;23;Reijrink, A.A.C.;108;10;3;9;11;3;4;0;30;24;0;2;1;2;9
;;24;van Dongen, H.J.J.M.;16;5;2;2;1;2;1;0;0;0;1;0;1;0;1
3;CDA;;;1361;165;27;55;162;123;112;72;234;95;32;47;94;66;77
;;1;van de Wouw, J.H.M.;515;87;6;31;121;33;32;26;52;22;11;19;44;17;14
;;2;Noordergraaf, C.A.;199;12;3;6;16;9;20;5;53;13;7;6;17;11;21
;;3;Veraa, C.M.;97;15;6;7;3;8;15;13;8;4;0;5;10;2;1
;;4;Vennix, L.A.M.;133;10;3;4;5;0;7;4;47;14;2;2;1;13;21
;;5;van Iersel, J.C.M.;32;3;1;0;2;8;3;5;3;1;1;2;2;0;1
;;6;van Daalen, S.;48;5;0;1;9;3;6;5;9;1;2;0;1;3;3
;;7;van de Wiel, J.M.M.;79;8;0;3;2;44;5;2;1;4;2;3;5;0;0
