Verkiezing;;Gemeenteraad Geldrop-Mierlo 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Geldrop-Mierlo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;1771;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;SCC Hofdael;Kasteelhoeve Geldrop;Dalton Kindcentrum Dommeldal;Gebouw Toernooiveld Tien;Gemeenschapshuis Zesgehuchten;Nutsbasisschool De Ganzebloem;Cocody;Wijkgebouw Den Akert;Ouderwijzer;Nutsbasisschool De Regenboog;Woonzorgcentrum Heuvel;Wijkgebouw Oranjeplein;Dienstencentrum St. Jozefplein;Dienstencentrum Kettingstraat;Sporthal de Kievit;Brandweerkazerne;d'n Intheek;Jongerencentrum Loesje;Sporthal de Weijer;Woonzorgcentrum Savant;Woonzorgcentrum Heuvel;Sporthal de Kievit;Brandweerkazerne;Sporthal de Weijer;Woonzorgcentrum Heuvel;Sporthal de Kievit;Brandweerkazerne;Sporthal de Weijer
;;7;van den Eijnden, P.J.L.A.;109;4;8;4;2;22;18;18;9;2;3;2;0;1;5;2;0;1;0;0;1;0;3;0;0;2;2;0;0
;;8;van Hooff, P.J.L.M.;54;1;1;2;0;6;2;0;0;0;3;1;4;1;0;1;1;0;9;7;2;0;1;0;0;0;1;4;7
;;9;van 't Hof, J.D.;20;0;0;0;0;1;7;2;1;0;1;0;0;1;0;1;0;0;0;0;0;1;2;0;0;0;3;0;0
;;10;Sanders-de Jonge, M.J.;140;10;6;12;2;16;9;0;14;3;4;5;15;7;8;5;1;4;1;0;0;3;5;1;0;7;2;0;0
;;11;Ponjee, M.G.M.;14;1;0;0;0;2;4;0;1;0;0;0;0;2;0;1;1;0;1;1;0;0;0;0;0;0;0;0;0
;;12;Kruizinga-Meier, M.H.Y.;8;0;0;0;0;1;1;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;2;0
;;13;Jongen, M.H.A.;31;5;0;1;3;7;1;0;3;0;0;0;3;3;2;0;0;0;2;0;0;0;0;0;0;1;0;0;0
;;14;van den Boogaard-van de Kimmenade, J.G.R.M.;16;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;2;5;2;1;0;0;0;0;1;0;0;1
;;15;Scheerder, T.M.;10;0;0;0;0;1;0;4;0;0;0;0;0;0;0;3;0;0;0;0;0;0;2;0;0;0;0;0;0
;;16;van den Boogaard, M.H.W.M.;15;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;1;7;2;0;0;0;1;0;0;0;0;1
;;17;Beks, P.F.;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0
;;18;van Rooijen-van Doorn, M.A;5;4;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;19;Raijmakers, G.M.A.;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0
;;20;Scheepers, S.J.H.;12;0;0;1;0;2;2;0;3;1;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
;;21;Wouters, P.A.H.;9;1;0;0;0;2;0;0;0;0;0;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0
;;22;Coolen, T.J.J.M.;10;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;3;2;2;1;0;0;0;0;0;0;0;0
;;23;Flemming, D.D.;4;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;;24;van de Waterlaat-Sleegers, I.F.;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;2;4;1;0;0;0;0;0;0;1;1
;;25;Evers, W.V.J.;3;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;26;Jeucken, E.J.C.;13;0;2;0;1;3;0;4;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
;;27;van Lipzig, H.T.M.;9;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;2;1
;;28;de Vries, M.A.;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;29;Schippers, W.;5;0;0;0;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;30;Sleegers-Coolen, P.A.M.;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;;31;Baggerman, C.;5;1;0;0;0;1;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;32;Smeets-Collart, A.M.M.;16;12;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;33;Verstappen, H.P.W.M.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;;34;de Jonge, M.E.S.;21;2;0;1;0;2;3;0;0;2;4;0;2;2;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0
;;35;van der Plas, A.J.;3;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;36;Wouters, J.W.P.;10;0;1;0;0;2;4;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
;;37;Noten-van Bree, S.J.W.M.;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;1;0;0;0;1;0;0;1;0
;;38;Wagter-Hoogendam, J.;7;0;0;0;0;2;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0
;;39;van den Bulk, A.C.M.;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;40;Claasen, M.J.J.;3;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
2;DGG (Democratische Groepering Geldrop);;;3085;204;100;201;42;376;347;37;280;130;200;57;151;202;213;149;11;8;10;12;1;43;102;3;8;49;130;7;12
;;1;Stravers, F.J.M.C.;767;58;25;50;4;127;93;7;38;35;67;16;44;31;48;25;3;1;2;3;1;9;20;0;2;16;34;1;7
;;2;Looijmans, P.J.;419;19;12;34;11;43;32;10;94;13;27;10;13;14;12;22;1;3;2;0;0;2;19;0;0;7;16;0;3
;;3;Lubbers, I.E.;332;20;17;29;10;66;31;7;16;9;17;8;15;11;10;11;5;1;0;4;0;5;14;0;2;8;16;0;0
;;4;Dielis, H.J.M.;342;18;7;11;3;13;85;1;8;18;11;4;39;60;19;5;0;0;4;0;0;10;6;0;0;10;10;0;0
;;5;van Weert, H.E.J.;115;9;2;10;0;3;2;3;8;10;7;0;7;5;28;10;0;0;0;1;0;1;3;0;0;1;5;0;0
;;6;Yarangümeli, S.;208;16;5;2;0;2;9;0;6;9;24;7;11;38;40;14;0;0;0;0;0;8;4;0;0;0;13;0;0
;;7;Ketelaars, J.H.J.;191;15;6;13;7;26;16;3;49;7;7;3;4;3;6;13;0;0;1;0;0;2;3;0;0;1;4;2;0
;;8;van den Eijnden, G.A.E.J.P.;74;8;1;3;1;15;3;0;6;1;4;1;4;6;0;3;0;0;0;0;0;0;8;0;3;1;6;0;0
;;9;Thijssen, F.J.M.;111;6;6;11;3;18;21;0;10;1;3;2;1;2;3;6;0;0;0;0;0;0;11;0;0;0;5;2;0
;;10;Steenbakkers, A.D.M.;59;5;0;6;0;9;2;0;4;4;5;0;3;1;7;0;0;0;0;0;0;2;2;0;0;3;6;0;0
;;11;Aarts-Averink, C.E.;73;4;3;6;0;11;5;2;3;5;5;0;0;6;5;5;1;2;0;0;0;1;2;1;0;0;4;0;2
;;12;Stravers, J.C.;45;2;1;2;0;3;4;3;2;3;3;2;1;1;2;10;0;0;0;0;0;3;0;0;0;0;1;2;0
;;13;van Erp, S.;48;5;1;3;0;3;6;0;15;2;4;1;0;1;1;1;0;0;0;2;0;0;2;0;0;0;1;0;0
;;14;de Vet, P.A.H.C.;28;0;0;0;0;1;3;0;2;7;5;0;1;0;4;4;0;0;0;0;0;0;1;0;0;0;0;0;0
;;15;Blaauw, M.H.J.;21;2;0;3;0;1;0;0;1;0;1;0;0;0;5;5;0;0;0;0;0;0;0;0;0;0;3;0;0
;;16;de Greef, H.J.M.;15;1;1;0;0;6;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;1;0;0
;;17;Walhout, I.;41;2;3;3;0;3;14;0;5;0;6;0;0;2;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0
;;18;van Hoof, P.H.C.;12;1;0;0;0;0;0;0;0;0;0;1;5;1;2;1;0;0;1;0;0;0;0;0;0;0;0;0;0
;;19;van Dongen, J.H.;35;3;0;8;0;3;4;0;0;0;1;0;2;0;1;5;1;0;0;1;0;0;0;0;0;2;4;0;0
;;20;Aarts, L.F.;15;1;2;0;1;3;0;0;1;0;2;0;0;3;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
;;21;Toorenspits, A.M.;22;3;0;3;0;1;0;0;0;0;0;0;0;4;6;5;0;0;0;0;0;0;0;0;0;0;0;0;0
;;22;Sloots, A.W.J.;27;1;5;2;2;8;0;0;0;0;0;2;0;0;2;1;0;0;0;0;0;0;4;0;0;0;0;0;0
;;23;van Lenthe, N.;19;1;1;0;0;1;11;0;2;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;;24;Ketelaars, P.J.E.;11;2;0;0;0;1;0;0;4;0;0;0;1;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0
;;25;van de Valk, J.J.T.;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;26;van de Goor, T.F.J.M.;6;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
;;27;van den Eijnden, H.H.;20;1;0;1;0;0;2;0;2;0;0;0;0;9;4;0;0;0;0;0;0;0;1;0;0;0;0;0;0
;;28;Berkers, W.G.M.;27;1;2;1;0;9;2;1;2;1;1;0;0;3;2;0;0;0;0;0;0;0;0;0;1;0;1;0;0
3;VVD;;;1425;92;52;65;12;161;134;22;57;37;33;29;39;25;81;37;89;39;59;78;34;25;37;29;33;25;34;30;37
;;1;Leenders, M.D.;784;49;24;40;5;77;51;11;30;24;13;16;20;12;42;17;63;33;38;53;23;10;15;20;23;15;14;22;24
;;2;Mulder-Staaijen, M.A.T.;83;7;3;0;2;8;4;0;2;3;1;1;1;0;3;1;9;2;5;10;2;1;2;4;4;0;3;1;4
;;3;Barten, M.M.J.;121;8;1;8;2;12;28;0;10;1;3;3;5;4;6;3;4;2;2;1;1;3;4;1;0;3;5;1;0
;;4;Hampton, M.W.;27;0;1;1;0;2;1;0;0;0;2;1;1;0;0;3;6;0;5;1;0;0;0;0;3;0;0;0;0
;;5;Snelders, J.M.;44;2;0;1;0;8;3;2;1;3;2;2;4;0;2;2;0;0;0;0;0;0;5;0;0;0;6;0;1
;;6;Vrijburg, E.S.M.;149;16;6;8;0;31;18;3;10;5;7;1;2;5;5;4;1;1;3;2;0;2;5;2;0;3;4;2;3
;;7;Maas, J.J.M.;7;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;2;0;0;0;0;0
;;8;Romijn, A.;76;7;7;5;1;11;7;2;0;0;2;3;1;1;7;3;1;1;0;1;3;3;6;0;0;1;1;0;2
;;9;Schouwman, R.M.;30;1;1;0;0;2;9;3;1;0;0;2;0;1;2;2;2;0;0;0;0;0;0;0;0;3;1;0;0
;;10;van den Buijs, P.J.A.;20;0;3;2;0;3;3;1;0;0;0;0;0;0;3;0;0;0;0;2;0;3;0;0;0;0;0;0;0
;;11;Klok, S.A.;13;1;3;0;0;0;1;0;0;0;0;0;2;1;2;2;0;0;0;0;0;0;0;0;0;0;0;1;0
;;12;van de Mosselaar, J.F.A.;11;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;6;1;0;0;0;0;0;0;0;1
;;13;Mulder, T.;4;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0
;;14;Moreno Guerrero, J.P.A.;11;1;0;0;0;1;4;0;0;1;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0
;;15;van de Mosselaar, G.G.J.M.;12;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;1;2;0;0;0;1;0;0;3;2
;;16;Mulder, B.;7;0;1;0;0;0;0;0;0;0;0;0;2;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;17;Bal, F.;2;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;18;Stoffelen, A.H.;10;0;0;0;0;1;2;0;0;0;0;0;0;0;4;0;0;0;0;0;0;1;0;0;2;0;0;0;0
;;19;van den Broek, M.;14;0;1;0;2;5;1;0;2;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4;Dorpspartij Mierlo (DPM);;;2118;8;5;11;0;6;9;1;3;6;6;4;6;5;13;8;229;269;351;340;181;3;3;106;157;7;3;141;237
;;1;van de Laar, J.A.T.M.;715;5;4;6;0;2;3;0;1;3;2;2;3;2;7;2;52;96;133;119;57;1;2;38;55;3;1;45;71
;;2;Peters-Rit, J.H.G.;172;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;14;26;35;15;0;0;8;20;0;0;14;30
;;3;Meulendijk-van de Pasch, J.F.P.;216;1;1;0;0;2;3;1;0;1;0;1;0;0;1;4;18;28;33;26;28;1;0;5;24;4;0;12;22
;;4;van de Vossenberg, M.G.P.;90;0;0;1;0;1;0;0;0;0;2;0;0;0;1;1;9;11;13;21;12;0;0;4;6;0;0;4;4
;;5;Meulendijks, A.W.M.;58;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;3;8;19;7;5;1;0;4;3;0;0;5;2
;;6;Cappers, E.M.J.;81;2;0;0;0;0;0;0;0;0;0;1;0;0;1;0;2;14;18;20;5;0;0;2;4;0;0;0;12
;;7;van Hoof, A.A.J.;25;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;7;1;5;2;0;0;4;1;0;0;1;2
;;8;Stolk-Knulst, J.;28;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;14;1;3;4;0;0;0;0;3;0;0;0;0
;;9;van der Linden, H.M.E.J.;100;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;25;11;15;10;3;0;0;12;6;0;0;11;6
;;10;van Stiphout, H.W.M.;68;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;17;8;5;13;0;1;5;4;0;0;4;9
;;11;Smits, M.J.;12;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;5;1;2;0;0;0;0;1;0;0;0;0
;;12;de Vet, N.M.J.;46;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;4;8;4;3;0;0;2;1;0;0;7;6
;;13;van Hoof, M.A.W.C.;40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;5;10;6;1;0;0;1;2;0;0;5;5
;;14;Peters-Rit, J.;36;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;4;2;4;17;1;0;0;0;3;0;0;1;3
;;15;Manders, C.C.;14;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;3;0;2;3;2;0;0;0;0;0;0;1;1
;;16;van Beek, G.P.J.P.;12;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;3;1;0;0;1;0;0;5;0;0;0;0;0
;;17;de Bie-Berkers, K.D.J.J.;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;4;6;0;0;0;0;0;0;0;1;2
;;18;Bijnen, P.H.M.;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;3;1;2;0;0;0;2;0;0;4;1
;;19;Creemers, J.G.H.;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;3;0;0;0;5;0;0;0;5
;;20;Cremers-Beute, S.A.;32;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;10;5;1;3;2;0;0;0;1;0;1;3;4
;;21;Drost-Verhoeven, S.A.F.E.;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;1;2;5;2;0;0;1;1;0;0;0;2
;;22;Elzendoorn, H.A.Q.M.;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1
;;23;van Gennip, T.H.F.;43;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;11;12;5;3;0;0;1;3;0;0;0;7
;;24;Heesakkers, P.L.;11;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;5;2;0;0;0;0;0;0;0;3
;;25;van Hoof, J.T.M.M.;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;3;2;0;0;0;0;0;3;0;0;3;3
;;26;Kessels, K.J.L.;26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;0;2;4;1;0;0;2;1;0;0;3;0
;;27;Knoops, G.F.C.;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;5;1;0;0;0;0;0;0;0;0;6
;;28;Koolen, J.M.;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;0;1;0;0;0;0;0;0;0;2;3
;;29;van de Laar-Van der Leeuw, A.M.C.;5;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;2
;;30;Lammers, P.J.;15;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;1;0;1;0;0;0;2;0;0;5;3
;;31;Lenssen, J.W.G.;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;1;0;0;0;0;0;0;2;5
;;32;van Lierop, J.W.G.M.;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;2;2;0;0;0;0;4;0;0;0;0;3
;;33;Maertens, T.A.J.;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;1;0;0;0;5
;;34;Pieters Graafland-Brons, P.W.H.;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;3;2;0;0;0;0;0;1;2;0
;;35;Seijkens, E.M.C.;7;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;4;1;0;0;0;0;0;0;0;0;0;1;0
;;36;Seijkens, J.H.G.C.M.;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;2;0;0;0;0;0
;;37;Staals, J.F.A.;23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;3;0;3;5;0;0;0;0;0;0;2;3
;;38;Smidt, H.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
;;39;van Stiphout, M.M.;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3;3;6;1;0;0;0;1;0;0;1;0
;;40;Verhoeven, A.H.M.;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;2;5;3;2;0;0;2;0;0;0;2;0
;;41;Verzuu, R.J.;8;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;4;0;0;0;0;0;0;0;0;2
;;42;van de Vossenberg, M.J.A.F.;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;2;0;1;2;0;0;0;0;0;0;0;0
;;43;van de Vossenberg-Kuijpers, E.W.M.;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0;1
;;44;Weijmans-Louisa, S.M.A.E.;17;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;5;1;1;0;0;4;1;0;0;0;3
5;GROENLINKS;;;1562;91;48;135;25;181;165;15;57;60;55;20;28;45;49;42;39;57;74;90;27;32;50;8;28;27;48;19;47
;;1;Kuijken, P.;449;40;13;41;8;65;45;8;27;14;19;5;9;8;17;13;10;12;20;19;3;7;8;0;9;8;9;2;10
;;2;Koopmans, I.M.;402;14;15;43;9;48;47;2;13;25;16;7;8;15;12;10;10;7;9;12;2;21;16;2;2;7;20;4;6
;;3;van Eersel, A.C.J.;202;17;7;24;2;17;21;5;6;7;11;3;7;14;5;12;1;2;2;5;2;1;11;0;3;5;8;2;2
;;4;Wessels, S.H.;65;1;0;0;0;2;1;0;1;1;0;0;1;0;0;0;7;13;7;14;1;0;1;3;3;0;0;4;5
;;5;Engbers, N.P.C.;107;1;0;2;1;5;1;0;2;1;0;0;1;1;0;2;8;11;18;18;10;1;2;1;4;1;1;2;13
;;6;Duenk, H.L.A.;55;1;3;3;0;12;13;0;1;1;2;1;1;1;5;1;0;1;0;0;0;0;2;0;0;0;4;0;3
;;7;Hensgens, T.;24;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;3;5;5;1;0;0;2;2;0;0;0;1
;;8;Kermani, E.;26;1;2;2;0;4;5;0;4;0;1;0;0;1;2;0;0;0;1;1;0;0;0;0;0;0;1;1;0
;;9;Pieper, C.P.M.;28;1;0;7;0;6;9;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;1;1;0;0
;;10;van Bragt, C.A.C.;30;1;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;3;2;11;2;0;0;0;2;0;0;2;4
;;11;Christophersen, A.J.E.;32;1;3;4;0;4;10;0;2;1;0;3;0;0;2;0;0;0;0;0;0;0;1;0;0;0;1;0;0
;;12;van Stratum, R.J.M.;29;0;0;3;4;8;1;0;0;1;0;0;0;0;0;1;0;0;0;2;2;0;4;0;2;0;1;0;0
;;13;Lochs, H.P.G.;5;0;0;0;0;2;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
