Verkiezing;;Gemeenteraad Alphen-Chaam 2022;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;
Gebied;;Gemeente Alphen-Chaam;;;;;;;;;;
Nummer;;1723;;;;;;;;;;
;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Café Welkom;Cultureel Centrum den Heuvel;SKAC, bibliotheek;Het Chaamsche Wapen;De Leeuwerik;SKAC, bibliotheek 14-03-2022;SKAC, bibliotheek 15-03-2022;SKAC, bibliotheek
Gebiednummer;;;;;1;2;3;4;5;31;32;33
Postcode;;;;;5131 BM;5131 AP;4861 AT;4861 AC;4855 AK;4861 AT;4861 AT;4861 AT
;opgeroepenen;;;8514;1702;1794;2057;1808;1153;0;0;0
;geldige stempas;;;4560;719;1137;714;589;634;340;427;0
;geldig volmachtbewijs;;;721;118;153;126;101;100;54;69;0
;geldige kiezerspas;;;0;0;0;0;0;0;0;0;0
;toegelaten kiezers;;;5281;837;1290;840;690;734;394;496;0
;geldige stembiljetten;;;5270;830;1288;839;688;736;393;496;0
;blanco stembiljetten;;;5;1;0;1;2;0;1;0;0
;ongeldige stembiljetten;;;6;5;1;0;0;0;0;0;0
;aangetroffen stembiljetten;;;5281;836;1289;840;690;736;394;496;0
;meer stembiljetten dan toegelaten kiezers;;;2;0;0;0;0;2;0;0;0
;minder stembiljetten dan toegelaten kiezers;;;2;1;1;0;0;0;0;0;0
;kiezers met stembiljet hebben niet gestemd;;;0;0;0;0;0;0;0;0;0
;er zijn te weinig stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0
;er zijn te veel stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0
;geen verklaring;;;0;0;0;0;0;0;0;0;0
;andere verklaring;;;1;1;0;0;0;0;0;0;0
1;CDA;;;929;154;146;145;176;117;66;125;0
;;1;Westra, L.;236;49;37;25;47;20;30;28;0
;;2;Lanslots-de Vet, A.C.M.;108;47;42;5;4;1;1;8;0
;;3;van den Wijngaart, B.J.;58;1;0;5;3;39;3;7;0
;;4;Kriellaars, W.J.M.;24;7;15;1;0;0;1;0;0
;;5;de Wit, D.C.;97;4;1;30;29;4;8;21;0
;;6;Govers, G.C.S.C.M.;27;11;10;0;0;0;3;3;0
;;7;Snoeijs, J.J.M.;67;1;2;14;34;3;2;11;0
