Verkiezing;;Gemeenteraad Bergen op Zoom 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Bergen op Zoom;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0748;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Ontmoetingscentrum De Korenaere;De ontmoetingskerk;Blokstallen;Stadskantoor;Ontmoetingscentrum het Fort;LPS Anton van Duinkerken;Sint Gertrudiskerk;Emmauskerk;'t Hoefke;Residentie Meilust;Sporthal Tuinwijk;Auris Montaal;Foyer de Kannebuis;Halsterse Tennis Vereniging;Het Kompas;Algemene School Oost;Foyer Gageldonk;Intratuin Halsteren;Woonzorgcentrum Stuijvenburgh;Ontmoetingscentrum Het Zonneplein;Ontmoetingscentrum Het Hoofdkwartier;Zalencentrum de Raayberg;School de Kreek;De Toermalijn;SKW 't Weike;Ontmoetingscentrum De Wittenhorst;De Zeeland;Residentie Aquasite;Blokstallen;Het Kompas;Foyer Gageldonk;Ontmoetingscentrum De Wittenhorst;Blokstallen;Het Kompas;Foyer Gageldonk;Ontmoetingscentrum De Wittenhorst
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;103;115;117;126;203;215;217;226
Postcode;;;;;4611 RD;4613 AB;4611 WB;4611 AR;4615 EV;4623 XP;4611 NR;4614 GW;4614 VB;4614 CZ;4613 CT;4621 CH;4661 LR;4661 RK;4617 LG;4624 ES;4623 AH;4661 KM;4615 KX;4624 BA;4625 CC;4624 JH;4617 NC;4661 TS;4664 BS;4661 JK;4615 PA;4617 AZ;4611 WB;4617 LG;4623 AH;4661 JK;4611 WB;4617 LG;4623 AH;4661 JK
;opgeroepenen;;;54942;1519;1160;1217;1974;2148;2210;2284;2092;2099;1950;2172;1258;2169;1893;1736;2330;2244;1959;2259;2103;2119;2092;1872;2150;1631;2350;1492;2460;0;0;0;0;0;0;0;0
;geldige stempas;;;21586;533;472;416;639;596;434;825;772;1081;655;771;335;900;404;872;582;514;510;520;703;620;600;595;787;664;877;543;702;342;442;316;308;524;699;485;548
;geldig volmachtbewijs;;;3069;47;34;58;71;88;70;80;94;164;52;94;89;123;49;104;98;126;73;60;135;68;92;89;112;90;126;78;102;36;65;93;47;59;88;123;92
;geldige kiezerspas;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;toegelaten kiezers;;;24655;580;506;474;710;684;504;905;866;1245;707;865;424;1023;453;976;680;640;583;580;838;688;692;684;899;754;1003;621;804;378;507;409;355;583;787;608;640
;geldige stembiljetten;;;24526;577;503;473;706;678;499;900;862;1241;702;860;420;1017;453;969;678;638;583;575;834;686;685;679;895;751;1002;613;796;375;505;408;353;582;783;608;637
;blanco stembiljetten;;;72;2;3;1;1;2;2;4;2;3;5;4;1;5;0;5;0;1;1;3;2;1;3;2;3;1;0;4;3;3;2;1;2;0;0;0;0
;ongeldige stembiljetten;;;56;0;0;0;2;4;3;1;2;1;0;1;3;1;0;2;2;1;0;2;2;1;4;3;1;2;1;4;5;0;0;0;0;1;4;0;3
;aangetroffen stembiljetten;;;24654;579;506;474;709;684;504;905;866;1245;707;865;424;1023;453;976;680;640;584;580;838;688;692;684;899;754;1003;621;804;378;507;409;355;583;787;608;640
;meer stembiljetten dan toegelaten kiezers;;;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;minder stembiljetten dan toegelaten kiezers;;;2;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;kiezers met stembiljet hebben niet gestemd;;;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te weinig stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te veel stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;geen verklaring;;;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;andere verklaring;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;GBWP;;;4581;54;40;52;81;111;78;74;109;153;82;123;141;269;135;139;162;185;140;103;210;99;140;54;228;333;274;71;73;27;39;134;122;61;98;207;180
;;1;van der Weegen, A.G.J.;877;11;7;12;9;13;10;13;16;26;19;33;2;97;48;30;9;5;49;16;22;21;21;5;76;36;87;22;24;2;11;5;40;8;22;10;40
;;2;van der Velden, P.A.M;422;14;7;9;10;13;6;8;17;23;7;18;4;8;8;23;14;6;11;31;13;21;15;10;13;7;9;12;12;6;8;8;7;13;11;8;12
;;3;Simons, R.;103;6;3;6;5;4;0;3;4;3;4;7;0;6;1;7;4;1;4;5;1;2;1;5;5;3;2;1;1;0;2;0;1;2;1;1;2
;;4;de Kock, E.A.H.M.;279;2;0;1;3;1;2;4;3;5;1;8;0;10;9;7;2;0;11;4;7;4;2;5;21;101;18;4;0;1;2;2;10;1;1;1;26
;;5;Schut, P.C.J.;325;0;3;0;2;2;1;3;6;2;3;3;0;38;28;3;2;1;13;5;0;2;1;1;56;12;69;6;1;0;2;1;22;4;0;0;33
;;6;Rommens - Matthijssen, A.M.;273;2;4;6;6;13;4;3;7;12;5;11;3;5;0;12;23;6;4;6;47;14;11;6;0;3;10;6;7;4;4;4;3;4;9;7;2
;;7;Akkaya, A.;353;2;1;5;8;7;20;4;6;28;4;2;24;3;0;5;42;47;2;8;33;15;20;9;0;0;3;2;2;0;0;11;0;5;10;25;0
;;8;Vermeulen, A.C.G.;137;2;4;0;2;0;2;6;13;6;16;12;1;7;1;3;4;6;4;7;2;2;0;1;9;0;1;6;3;3;0;2;0;3;3;0;6
;;9;van Dorst, A.L.M.;31;0;0;0;0;4;0;5;4;3;1;0;0;0;1;1;2;0;0;3;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;1
;;10;Duman, Ö.;37;5;0;0;0;4;0;0;0;0;0;1;0;2;2;0;5;12;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0;1;0
;;11;Soutou, S.;433;2;0;7;13;20;9;2;12;5;1;9;43;28;0;3;20;56;1;1;43;4;23;3;3;0;6;0;0;1;3;28;0;5;4;76;2
;;12;van Daal, T.S.P.A.M.;63;0;0;0;0;0;1;0;3;0;0;0;0;7;1;0;2;0;0;0;0;0;0;0;2;37;5;0;0;0;0;0;2;0;0;0;3
;;13;Helmons, M.A.Th.P.;27;1;2;1;0;1;1;1;0;0;1;4;0;3;0;1;3;0;0;0;0;1;0;1;1;0;0;1;0;0;0;0;0;0;2;2;0
;;14;Buijs, W.L.M.;38;0;0;0;1;0;0;0;0;4;0;0;0;8;3;0;0;0;2;0;1;0;0;0;7;1;2;0;0;0;0;0;1;0;0;0;8
;;15;Şahin, B.N.H.;101;0;0;2;8;1;10;4;1;0;3;2;5;5;0;2;4;9;0;4;1;1;5;1;0;0;5;1;2;5;0;0;0;0;8;11;1
;;16;Bakx, P.C.M.;36;0;1;0;1;4;3;0;0;0;1;0;0;1;0;5;0;1;1;1;2;1;5;0;0;0;0;0;4;1;0;2;1;1;0;0;0
;;17;van Hooydonck, J.C.G.;48;0;0;0;0;0;0;0;0;0;0;3;0;8;3;2;1;0;0;0;1;0;0;0;0;24;3;1;0;0;0;0;2;0;0;0;0
;;18;van Zomeren - Suijkerbuijk, J.A.C.;73;2;1;0;1;1;0;0;2;2;0;1;1;7;8;3;0;0;8;1;2;1;2;0;9;1;8;0;1;0;0;0;2;4;0;0;5
;;19;de Nijs, C.J.;33;0;0;0;2;1;1;4;1;0;0;0;0;1;0;3;0;0;0;0;0;0;0;1;3;0;0;2;4;0;0;0;0;1;2;0;7
;;20;Korstanje, C.W.;5;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;1;0;0
;;21;van den Kieboom-Luijks, R.D.M.;61;0;2;0;0;10;0;5;0;3;3;2;0;2;0;7;0;0;1;2;4;0;2;2;2;0;2;1;3;0;2;2;0;0;2;2;0
;;22;Franken, S.J.M.;52;2;3;1;3;0;0;2;2;2;1;0;1;3;2;4;4;1;0;0;3;0;4;0;3;3;2;0;3;0;1;0;0;2;0;0;0
;;23;Yilmaz, A.;365;0;0;1;1;10;6;0;2;14;7;6;54;0;0;2;19;29;0;3;24;7;20;0;0;0;3;1;0;0;3;67;0;5;19;60;2
;;24;Blommerde, J.A.C.C.;39;0;0;0;0;0;0;0;0;0;2;0;0;5;4;0;0;0;6;0;0;0;1;0;6;0;6;2;0;0;0;0;4;0;0;0;3
;;25;van Loon, S.C.M.;135;0;0;0;1;0;0;0;1;0;0;0;1;2;5;2;2;3;3;0;2;0;0;0;3;85;4;1;0;1;0;0;8;0;1;0;10
;;26;Verkaart, S.G.H.P.;19;0;0;0;1;0;1;0;3;3;1;0;2;0;0;1;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;3;1
;;27;Niels, M.;20;1;1;0;0;0;0;1;0;3;0;0;0;1;0;0;0;0;3;0;1;0;0;0;2;2;4;0;0;0;0;1;0;0;0;0;0
;;28;de Koning-van de Casteel, J.G.M.;53;1;0;1;1;0;0;0;0;0;1;0;0;8;1;1;0;0;6;1;0;0;1;0;1;0;5;0;0;2;0;0;10;1;0;0;12
;;29;Suijkerbuijk, J.F.P.;17;0;0;0;1;0;0;0;0;0;0;0;0;0;3;1;0;0;3;0;0;0;0;0;0;0;8;0;0;0;0;0;1;0;0;0;0
;;30;van Elzakker, M.C.J.;22;0;0;0;0;0;0;0;0;1;0;0;0;2;2;1;0;0;0;0;0;0;0;0;5;2;4;0;0;0;0;0;3;0;0;0;2
