Verkiezing;;Gemeenteraad Bladel 2022;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;
Gebied;;Gemeente Bladel;;;;;;;;;;;;;;;
Nummer;;1728;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Gemeentehuis;Den Herd - Sniederszaal;Den Herd - Gindrazaal;Pius-X College;De Poel;Den Tref;Café 't Pleintje;D'n Aord;D'n Anloop;Gemeentehuis;Den Tref;Gemeentehuis;Den Tref
;;23;Goossens, H.P.;2;0;0;1;0;0;0;0;0;1;0;0;0;0
;;24;van de Huygevoort - van Hoof, J.A.H.C.M.;19;1;0;1;1;0;1;1;0;12;1;0;0;1
2;Bladel Transparant (BT);;;3533;791;356;351;468;127;99;119;97;111;356;38;571;49
;;1;Jansen, D.S.C.;1677;358;190;176;235;48;42;45;53;41;170;14;286;19
;;2;Wouters, P.J.A.;231;53;20;16;31;37;3;4;3;4;23;2;33;2
;;3;Coolen, L.M.G.;237;46;18;14;23;5;18;28;8;9;17;14;17;20
;;4;Panjoel, N.;270;79;19;25;38;0;3;4;8;2;36;1;54;1
;;5;Zumker, D.;166;32;15;20;29;1;5;4;1;1;16;2;37;3
;;6;van der Heijden, N.J.M.;90;21;9;7;8;0;2;0;3;0;16;1;23;0
;;7;van Hoof, B.M.A.M.;55;25;4;9;3;0;2;2;0;0;2;1;7;0
;;8;Bohncke, N.H.M.;92;28;12;13;5;0;5;4;0;0;8;1;16;0
;;9;van Hulst, A.E.;39;3;5;6;10;0;0;3;1;0;2;0;9;0
;;10;Rietveld, M.A.G.;58;15;7;9;6;2;1;0;0;0;7;0;11;0
;;11;Zumker, D.H.F.;38;9;9;6;4;0;1;1;0;0;3;0;5;0
;;12;Meulders, F.M.;41;7;0;1;4;20;2;0;1;5;0;0;1;0
;;13;Valk, C.W.J.;17;3;2;5;1;1;1;2;0;0;0;0;2;0
;;14;Spoelstra, L.M.J.;18;0;3;0;4;0;3;0;0;0;4;0;4;0
;;15;Bergen, P.H.;33;6;2;3;8;1;2;1;0;0;5;0;4;1
;;16;van der Heijden, P.H.;63;7;1;4;4;0;0;1;0;42;1;0;3;0
;;17;Put, J.H.J.;16;4;0;0;1;0;0;2;1;0;2;0;6;0
;;18;van Grootel- Mentrop, P.J.H.;13;3;1;0;1;0;0;3;0;0;0;0;2;3
;;19;Jorissen, T.A.W.;30;8;1;0;1;0;0;1;15;0;1;0;3;0
;;20;van den Boomen, P.A.J.;17;6;0;2;1;0;0;0;0;0;6;0;2;0
;;21;van Bussel, J.H.E.M.;27;9;3;1;6;0;0;0;0;0;5;0;3;0
;;22;van Gisbergen- Bloem, I.;9;6;0;1;0;0;0;0;0;0;1;0;1;0
;;23;Jansen, J.M.M.;24;8;1;4;3;0;1;1;0;0;2;0;4;0
;;24;Priems, T.;10;2;2;0;0;1;0;2;0;1;0;0;2;0
;;25;Arts, J.M.A.G.;1;0;0;0;0;0;0;0;0;0;0;0;1;0
;;26;Elvis, C.K.;12;2;1;1;0;0;3;0;0;0;4;0;1;0
;;27;Hooijen, P.M.M.;18;5;4;1;6;0;0;0;0;0;0;0;2;0
;;28;van Gisbergen, D.C.S.;7;1;0;0;1;0;1;3;0;0;0;0;1;0
;;29;Sol, M.A.N.;13;3;1;0;2;0;2;3;1;0;0;0;1;0
;;30;Schoofs, A.H.C.C.;19;2;0;1;3;0;0;0;0;0;9;0;4;0
;;31;van Gestel, Y.;7;2;1;1;2;0;0;0;0;0;0;0;1;0
;;32;van der Wielen, R.;8;2;0;0;1;0;0;0;0;3;0;0;2;0
;;33;Verhoeven, P.J.;12;6;2;0;0;0;0;0;0;0;2;0;2;0
;;34;Jansen, N.F.C.;7;2;0;2;2;0;0;0;0;0;0;0;1;0
;;35;Baselmans, J.J.W.;23;5;1;1;4;7;0;3;0;0;2;0;0;0
;;36;Mariën, J.W.A.;3;0;0;0;0;0;0;0;0;0;0;0;3;0
;;37;Tielemans, H.P.M.;20;3;3;2;3;1;0;1;0;0;2;0;5;0
;;38;Coolen- Zumker, F.C.M.;4;2;0;0;0;0;0;0;0;0;1;1;0;0
;;39;Baselmans- Roest, M.G.W.C.;12;3;3;2;0;0;0;0;0;0;2;0;2;0
;;40;Arens, J.P.M.;5;1;2;0;2;0;0;0;0;0;0;0;0;0
;;41;Jansen, T.M.J.;9;5;0;0;3;0;0;0;0;0;1;0;0;0
;;42;Zumker- Gevers, K.H.M.;4;0;1;1;0;0;0;0;0;0;1;0;1;0
;;43;Krekels, F.;10;4;0;2;1;1;0;0;0;0;1;0;1;0
;;44;Coolen, J.C.J.;4;1;0;0;1;0;0;0;0;0;0;1;1;0
;;45;van der Hulst- Van Roey, M.;9;0;5;2;0;0;0;0;0;0;0;0;2;0
;;46;Koolen, J.T.J.;8;1;2;1;3;0;0;0;0;0;0;0;1;0
;;47;Fiers, N.P.J.;20;0;4;6;3;2;0;0;1;0;1;0;3;0
;;48;Borst, B.H.;14;1;0;5;2;0;0;0;0;3;2;0;1;0
;;49;Jansen, H.H.J.;1;0;0;0;0;0;0;0;1;0;0;0;0;0
;;50;van Beers, G.;12;2;2;1;3;0;2;1;0;0;1;0;0;0
3;VHP;;;1769;30;10;11;26;9;528;607;14;27;24;178;17;288
;;1;van der Linden, W.H.J.M.;1072;13;9;9;16;4;308;355;11;18;18;113;14;184
;;2;van Dun, A.J.A.;78;4;0;0;2;0;19;30;0;1;0;7;1;14
;;3;van de Put-Claassen, W.J.M.;117;1;1;1;0;0;33;57;0;1;1;5;0;17
;;4;van Munster, J.H.;7;0;0;0;0;0;2;2;0;0;0;2;0;1
;;5;van de Ven, C.H.A.M.;32;2;0;0;0;2;9;8;0;2;0;2;0;7
;;6;van Gils, T.P.H.;56;1;0;0;0;1;19;19;0;3;1;6;0;6
;;7;Stoelinga-Kuijlaars, C.J.H.M.;31;2;0;0;0;0;12;13;1;0;0;0;0;3
;;8;van de Ven, S.J.C.;98;1;0;0;2;0;34;38;1;0;2;6;2;12
;;9;van Limpt, J.A.M.;20;1;0;0;0;0;3;10;0;0;0;3;0;3
;;10;Huijbregts, N.;13;2;0;0;0;0;2;4;0;0;2;0;0;3
;;11;Mollen, H.J.H.;18;0;0;0;0;1;8;4;0;0;0;1;0;4
;;12;Verdonschot, K.J.V.G.;32;0;0;0;0;0;11;12;0;0;0;4;0;5
;;13;Huijbregts, L.I.P.;4;0;0;0;0;0;3;0;0;0;0;0;0;1
;;14;Lepelaars, J.A.J.;36;0;0;0;1;0;15;7;0;0;0;7;0;6
;;15;Castelijns, H.M.A.;9;0;0;0;2;0;0;4;0;0;0;0;0;3
;;16;Faes, A.C.M.;4;0;0;0;0;0;1;1;0;0;0;2;0;0
;;17;Antonius, A.F.A.;6;0;0;0;0;0;4;0;0;0;0;1;0;1
;;18;Rijkers, S.;34;0;0;0;1;0;12;13;0;1;0;2;0;5
;;19;Klaassen, H.W.C.;6;0;0;0;0;0;4;2;0;0;0;0;0;0
;;20;Smans, F.J.H.;9;0;0;0;0;0;5;0;0;0;0;2;0;2
;;21;Spooren, P.A.P.M.;13;0;0;0;0;0;4;4;0;1;0;1;0;3
;;22;Fiers, L.E.F.M.;9;1;0;1;0;1;4;0;0;0;0;2;0;0
;;23;Lodewijks, F.G.J.M.;1;0;0;0;0;0;0;1;0;0;0;0;0;0
;;24;Foolen, J.W.;2;0;0;0;0;0;0;2;0;0;0;0;0;0
;;25;Sliepenbeek, H.C.P.M.;3;0;0;0;0;0;2;1;0;0;0;0;0;0
;;26;van de Ven, J.A.H.M.;9;0;0;0;0;0;3;4;0;0;0;2;0;0
;;27;Mollen, J.W.A.M.;50;2;0;0;2;0;11;16;1;0;0;10;0;8
4;PRO5;;;1235;188;89;114;104;159;68;73;80;61;107;25;124;43
;;1;Maas, H.A.L.B.;485;54;24;40;40;114;19;28;18;37;36;10;54;11
;;2;Beeren, R.;43;1;0;1;0;1;13;17;0;0;0;5;1;4
;;3;van Gorp, M.A.P.;193;37;28;22;22;5;9;9;3;8;21;4;16;9
;;4;Swaanen, C.H.;84;6;1;0;2;1;2;0;53;9;1;1;2;6
;;5;van de Voort, H.;127;28;10;21;18;3;6;4;1;2;13;1;18;2
;;6;Boukhanissa-Damir, K.;59;16;4;11;1;3;7;0;0;1;6;2;5;3
;;7;Volwerk, M.;25;6;0;3;2;1;1;2;0;4;2;1;3;0
;;8;Michiels, D.L.M.;41;5;3;3;3;4;6;2;1;0;7;1;6;0
;;9;Evers, J.A.;22;4;8;2;3;0;0;0;1;0;0;0;4;0
;;10;Schoofs, K.J.J.;24;12;0;1;5;0;0;2;0;0;4;0;0;0
;;11;Maas, P.T.;13;0;1;0;0;0;1;3;2;0;0;0;1;5
;;12;van Bezouw, I.J.M.;5;3;0;2;0;0;0;0;0;0;0;0;0;0
;;13;Maas, B.L.M.;12;0;0;2;0;8;0;0;0;0;2;0;0;0
;;14;Veraa, J.E.M.;16;1;0;3;0;9;0;0;0;0;0;0;1;2
;;15;Castelijns, A.P.J.;11;3;2;0;1;0;0;1;1;0;1;0;2;0
;;16;Verdaat, M.H.H.;16;2;3;0;1;0;0;0;0;0;7;0;3;0
;;17;van Limpt, F.W.M.;9;0;0;0;2;7;0;0;0;0;0;0;0;0
;;18;van Balkom, H. M.;11;4;2;2;0;0;0;1;0;0;0;0;2;0
;;19;Tiemessen, M.;3;1;0;0;0;0;0;0;0;0;1;0;1;0
;;20;Adriaans, N.;13;3;1;0;2;0;1;2;0;0;4;0;0;0
;;21;Wijbenga, S.;2;0;0;0;0;0;0;1;0;0;0;0;0;1
;;22;El Hannaouy, M.;4;2;0;0;1;0;0;0;0;0;0;0;1;0
;;23;Smets, D.;7;0;1;0;0;3;0;1;0;0;0;0;2;0
;;24;Roks, M.H.;10;0;1;1;1;0;3;0;0;0;2;0;2;0
5;VVD;;;453;66;28;30;38;40;46;33;32;32;33;12;50;13
;;1;Adams, J.C.A.;302;51;21;20;24;15;33;27;8;20;26;11;36;10
;;2;van Weert, E.A.P.M.;25;3;0;1;3;16;0;0;0;2;0;0;0;0
;;3;Adams, R.S.;36;4;1;3;3;2;4;4;1;5;3;1;3;2
;;4;Reijnhard, J.B.;48;4;2;2;1;5;3;1;23;4;0;0;3;0
;;5;van den Berg, W.M.P.;42;4;4;4;7;2;6;1;0;1;4;0;8;1
6;D66;;;391;55;27;22;29;26;31;24;15;63;34;15;40;10
;;1;Daris, D.A.;226;32;10;16;21;15;15;11;10;28;25;8;29;6
;;2;van Hout, J.J.P.M.;27;2;3;0;1;0;6;5;1;1;3;2;3;0
;;3;Pijnenburg, J.C.W.;32;5;8;2;5;1;2;2;2;0;3;0;1;1
;;4;Beckers, A.S.;20;7;5;0;0;0;3;4;0;0;0;0;1;0
;;5;van Grootel, P.J.M.;4;1;0;0;0;0;0;0;0;0;0;3;0;0
;;6;Oomens, A.M.;66;8;1;4;2;4;5;2;2;25;3;2;5;3
;;7;Hoonhout, J.A.;6;0;0;0;0;6;0;0;0;0;0;0;0;0
;;8;van Veen, E.;1;0;0;0;0;0;0;0;0;0;0;0;1;0
;;9;van der Putten, J.H.M.;9;0;0;0;0;0;0;0;0;9;0;0;0;0
