Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Zalencentrum het Verlaat;Kantine VV Almkerk;Hervormd Centrum De Ark;'t Buitenhoff Zalen & Partycentrum;Gerefomeerde Kerk De Hoeksteen;De Dussenaar;Dorpshuis Eethen;Dorpshuis Genderen;Het Brabantse Land;Steunpunt De Dotter;Gymzaal Basisschool de Bolderik;Dorpshuis Meeuwen;Tavenu;Kantine VV Altena;Gereformeerde Kerk Giessen-Rijswijk;Het Trefpunt ingang Ontmoetingskerk;De Koren-Aar;De Bolderik;Gemeentecentrum De Hoogt;Hervormd Centrum Veen;Dorpshuis Veen;MFA Vlechtwerk;Zorgcentrum Goezate;Buurthuis de Burcht (ingang via Hofje);Grote zaal Chr. Ger. kerk;Wooncomplex d'Altenaer;Sport en Cultureel centrum 't Rondeel (1);Sport en Cultureel centrum 't Rondeel (2);OVO Oudendijk;Voormalig gemeentehuis Aalburg;Hervormde Kerk Aalburg;Zorgplein Maaswaarden, Wijkestein;Zalencentrum het Verlaat;Sport en Cultureel centrum 't Rondeel;Steunpunt De Dotter;MFA Vlechtwerk;Dorpshuis Veen;Zalencentrum het Verlaat;Sport en Cultureel centrum 't Rondeel;Steunpunt De Dotter;MFA Vlechtwerk;Dorpshuis Veen
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;101;102;103;104;105;201;202;203;204;205
Postcode;;;;;4286 DB;4286 ES;4281 LH;4281 NX;4271 AN;4271 AX;4266 ER;4265 JG;4283 GM;4273 CG;4273 ET;4268 GJ;4255 HD;4255 GR;4284 EX;4254 CC;4254 AV;4254 EP;4288 JJ;4264 RH;4264 RN;4251 BZ;4251 VS;4251 BJ;4251 DG;4251 TW;4285 DE;4285 DE;4285 WL;4261 BE;4261 BL;4261 CW;4286 DB;4285 DE;4273 CG;4251 BZ;4264 RN;4286 DB;4285 DE;4273 CG;4251 BZ;4264 RN
;;12;van de Koppel, L.J.;117;0;0;0;0;0;1;0;0;0;3;0;0;3;3;2;28;32;34;0;0;0;0;0;0;0;0;7;0;2;0;0;0;0;0;0;1;0;0;1;0;0;0
;;13;Scherff-van den Boogaard, A.;98;0;1;5;2;1;0;2;2;6;0;0;0;0;0;0;2;1;1;3;10;8;0;0;2;0;0;1;0;0;16;14;15;0;0;0;0;1;0;0;0;0;5
;;14;Cornet, A.L.;44;1;0;0;0;0;1;0;0;1;1;0;0;1;1;0;0;1;0;0;0;0;3;3;6;2;8;0;0;0;0;0;0;0;0;0;7;0;0;1;0;7;0
;;15;van Dijk, M.;55;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;18;7;12;0;0;0;0;6;1;0;0;0;7;0;0;0
;;16;van Wijk, W.A.;14;0;0;0;0;0;0;1;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;4;0;0;0;0;0;0;0;0;0;0
;;17;Vink, A.;19;3;0;0;1;0;0;1;2;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;1;2;2;3;0;0;0;0;0;1;0;0;0;0
;;18;Ribbers, P.C.M.;89;0;0;0;0;20;44;0;0;0;15;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;4;0;0
;;19;de Jong, A.C.;11;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;4;0;1;0;2;0;0;0;0;0;1;0;0;0;2;0;0;0;0;0;0
;;20;Vink, J.A.;153;39;29;0;0;2;0;0;3;2;2;0;0;5;0;7;4;2;0;1;6;1;1;0;0;1;1;3;6;14;2;0;0;1;5;2;0;1;11;0;0;2;0
;;21;van Noorloos, B.;30;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;8;3;12;0;0;0;0;3;0;0;0;0;0;0;0;0
;;22;van Beek-van der Pol, J.E.;25;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;4;8;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;3;0
;;23;Huijzer, W.A.;20;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;2;2;7;0;1;0;0;3;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
;;24;den Haan-Paans, S.J.;58;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;1;1;1;0;0;0;9;14;3;8;7;3;0;0;0;0;0;0;0;0;5;0;0;0;0;3;0
;;25;Treffers, A.;108;0;0;0;0;0;3;2;0;0;26;53;0;1;0;0;0;2;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;16;0;0
;;26;Schippers, H.A.G.;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;27;Lankhaar, A.J.;26;1;0;0;0;0;1;1;2;4;0;2;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;4
;;28;de Peuter, B.;10;6;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0
;;29;Spuijbroek, C.;8;0;0;0;0;0;0;7;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;30;van der Stelt-Lievaart, H.E.;13;1;0;0;0;0;0;0;0;4;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0
;;31;Langeweg, F.;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;32;Uithoven, J.G.;4;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0
;;33;Weterings, P.C.J.;12;0;0;1;0;3;5;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
;;34;Bouman, H.G.C.;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;35;Sterrenburg, F.;9;0;0;3;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;;36;Meulenberg, M.;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;4;1;3;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;3;0
;;37;Schelle, S.J.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;38;Oprel, W.;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;;39;van der Stelt, J.M.;15;7;3;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0
;;40;Bakkers, A.J.;11;0;0;0;0;0;0;0;0;0;4;3;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0
3;Staatkundig Gereformeerde Partij (SGP);;;4005;27;5;102;47;19;10;20;32;62;1;5;125;50;9;32;18;34;23;32;293;277;368;316;179;314;316;17;8;7;284;260;216;13;13;1;118;40;14;13;2;204;79
;;1;Meijboom, T.A.;2429;15;3;62;32;16;9;16;21;50;1;1;70;42;5;23;13;28;16;25;133;149;215;222;115;197;189;13;8;5;162;141;116;11;6;1;91;21;9;10;0;133;34
;;2;van Gammeren, C.;400;2;0;14;7;0;0;2;4;3;0;2;4;1;2;0;0;0;0;1;92;64;5;1;6;6;7;2;0;0;61;38;39;0;1;0;0;11;0;0;0;6;19
;;3;Versluis, J.A;236;1;0;0;1;1;0;0;0;2;0;1;4;3;2;2;2;0;0;0;6;0;38;28;20;29;57;0;0;0;0;1;1;0;0;0;3;0;0;0;2;31;1
;;4;Noordergraaf, P.T.;149;1;2;0;0;1;1;1;0;3;0;0;3;1;0;1;2;2;3;1;0;1;27;23;5;29;15;0;0;0;2;0;1;1;3;0;11;0;0;1;0;8;0
;;5;de Raad, H.C.;118;2;0;3;5;1;0;1;0;4;0;1;36;0;0;2;0;2;0;1;6;10;6;3;0;3;1;0;0;0;7;8;9;1;0;0;0;0;0;2;0;3;1
;;6;Vink, L.J.;71;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;10;12;5;14;19;0;0;0;0;0;1;0;0;0;3;0;0;0;0;5;0
;;7;Bossenbroek, B.S.;48;0;0;15;1;0;0;0;2;0;0;0;0;0;0;0;0;1;0;1;4;1;3;0;1;0;0;0;0;0;3;8;0;0;1;0;0;0;3;0;0;1;3
;;8;Kwetters, J.M.F.;97;2;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;1;2;1;10;15;0;0;2;0;4;0;0;2;16;15;12;0;0;0;2;0;1;0;0;1;8
;;9;Kerst, E.;29;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;11;2;4;0;1;0;0;0;0;2;1;0;0;0;0;0;0;0;0;4;0
;;10;van Dijk, G.J.;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;4;5;0;0;0;0;0;0;0;0;0;0
;;11;Janszen, C.A.;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;2;13;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;12;Bouman, F.;49;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;4;13;0;1;0;0;0;0;0;0;4;11;7;0;0;0;0;6;0;0;0;0;1
;;13;Meijboom, B.;12;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;2;2;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0
;;14;Verhoeve, H.J.;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;15;Hovestadt, C.D.;37;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;7;7;5;3;4;0;0;0;0;0;0;0;0;0;5;0;0;0;0;3;0
;;16;de Kock, J.;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;3;0;0;0;0;0;0;0;0;0;1
;;17;Paans, J.P.;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;2;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;3;0
;;18;de Graaff, W.P.;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
;;19;Verboom, W.D.;5;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;20;de Waal, J.L.;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;4;4;0;0;0;0;0;0;0;0;0;0
;;21;Paans, L.;36;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;3;21;3;0;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0
;;22;van Ballegooijen, J.M.;52;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;20;7;0;0;0;0;0;1;0;0;3;6;5;0;2;0;0;2;0;0;0;0;5
;;23;Speksnijder, E.;10;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0
;;24;Visser, W.;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;1;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;1
;;25;Sterkenburg, W.;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;26;van Rijswijk, O.;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;3;5;0;0;0;0;0;0;0;0;0;0
;;27;Geuze, J.H.;24;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;2;3;5;4;4;2;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0
;;28;Vos, A.J.;8;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;4;0;0;0;0;0;0;0;0;0;0
;;29;Verhelst, J.P.;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;5;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;30;Rozendaal, A.J.;26;0;0;1;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;2;1;0;0;0;0;0;0;0;0;7;10;0;0;0;0;0;0;0;0;0;1;1
;;31;Paans, W.T.;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
;;32;Bossenbroek, H.;8;0;0;3;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0
;;33;Boersma, A.A.;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
;;34;Timmermans, A.M.;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;5;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;4
;;35;Dijkhuizen, J.;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
;;36;Vos, E.A.;11;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;3;0;1;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0
4;ChristenUnie;;;2939;157;56;98;54;40;46;46;89;176;12;21;61;89;37;148;79;102;111;95;85;46;112;100;31;107;93;65;45;22;111;120;103;55;32;5;51;21;64;51;3;70;30
;;1;Duizer, A.;1132;54;28;41;27;20;21;23;42;75;4;8;18;25;13;77;29;44;37;37;29;22;27;30;3;18;32;33;18;10;42;55;46;23;15;1;11;8;20;27;1;24;14
;;2;Schermers-van Elderen, A.H.;632;22;10;5;6;8;8;2;12;15;2;4;11;30;7;17;18;27;35;26;5;2;45;39;19;54;40;11;10;7;7;15;12;3;10;1;27;1;16;13;0;28;2
;;3;van der Hoeven, W.H.;126;2;0;1;2;1;1;5;13;2;0;0;2;0;1;1;0;1;1;1;6;6;0;0;0;0;0;1;0;1;20;26;17;1;1;1;0;4;2;0;0;0;6
;;4;Nieuwenhuizen, C.;87;2;0;1;0;1;0;0;2;0;0;0;0;0;0;0;0;2;1;0;33;14;2;0;0;0;1;0;0;0;8;2;5;1;0;0;0;7;0;0;0;1;4
;;5;Verdoorn, M.;50;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;7;4;3;15;7;0;0;0;0;0;0;0;0;0;2;0;0;0;0;8;0
;;6;Vreugdenhil, H.J.;144;17;1;2;1;1;4;2;1;6;3;2;8;28;6;2;3;1;5;10;1;0;3;1;0;5;3;6;2;0;2;1;0;6;0;0;2;0;7;0;0;2;0
;;7;van Tilborg-Kant, C.T.;200;2;2;23;9;0;0;3;2;54;0;1;2;0;1;45;6;6;3;2;1;0;0;1;0;3;1;3;5;2;6;4;4;1;2;0;0;0;2;4;0;0;0
;;8;Hazelaar, K.;54;2;0;1;1;1;1;0;0;0;0;0;0;1;1;0;17;9;9;2;0;0;2;0;0;0;0;5;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0
;;9;Dekker-Boelhouwers, A.D.;69;19;2;0;3;0;0;1;3;2;0;1;0;2;3;1;0;2;1;0;0;0;1;1;0;1;0;1;2;0;3;0;1;10;0;0;0;0;5;1;2;0;1
;;10;Schutte, A.B.;88;10;5;1;2;1;1;2;1;8;1;0;4;1;2;2;0;0;5;12;0;0;1;2;1;0;2;2;4;0;4;1;0;1;3;0;1;0;5;3;0;0;0
;;11;Verhagen, L.;33;5;4;1;0;0;1;0;0;3;0;0;0;1;3;0;0;0;0;0;0;0;2;4;0;1;2;0;1;1;0;0;0;1;0;0;1;0;2;0;0;0;0
;;12;de Fijter, A.;32;3;0;6;3;0;0;1;0;4;1;0;3;0;0;1;0;0;0;2;3;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1
;;13;van Noorloos-Schep, S.;11;0;0;5;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0
;;14;van Dueren den Hollander, P.J.;22;0;0;0;0;0;0;1;4;2;0;1;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0
;;15;Holster, W.;11;0;0;0;0;0;0;0;0;0;1;3;0;0;0;0;0;0;0;0;0;0;2;3;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;16;van Helden-Overduin, F.;19;2;1;0;0;4;1;2;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;4;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0
;;17;van Kleef, J.;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
;;18;Schouten, A.D.T.;10;3;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0
;;19;Kleinloog-Kuzee, J.J.;32;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;9;12;7;0;0;0;0;1;0;0;0;0;0
;;20;van Helden, G.J.;22;0;0;0;0;0;0;4;4;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;3;1;5;0;0;0;0;0;1;1;0;0;0
;;21;Bassie, H.C.;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;22;den Hartog-de Jong, P.;9;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0
;;23;Schouten, A.;59;11;3;9;0;1;3;0;2;4;0;1;1;1;0;0;0;1;0;0;4;0;1;0;0;0;0;0;1;0;5;0;2;6;0;0;0;0;2;0;0;0;1
;;24;Scherff, H.;4;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
;;25;Honders, J.B.;15;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;5;0;0;0;1;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0
;;26;Visser, B.;27;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;2;2;0;0;0;0;7;4;2;1;1;0;0;0;0;0;0;0;0;0;3;0;0;0;0;2;0
;;27;Bor, A.;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;28;van Zandwijk, G.M.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;29;van Ooijen, A.D.;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;7;1;3;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0
;;30;Schouten, H.J.P.;20;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;2;2;0;0;1;4;0;0;0;2;2;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1
5;Progressief Altena;;;3562;130;61;72;40;71;127;77;83;118;122;172;45;173;92;93;136;122;206;30;42;60;60;83;38;72;67;207;99;62;113;69;59;45;93;55;35;21;70;110;53;59;20
;;1;Alderliesten, C.;1414;53;24;41;21;31;44;25;30;67;80;128;17;76;35;33;41;33;67;16;7;16;21;36;11;21;27;59;31;15;41;19;22;15;33;39;11;5;18;39;35;27;4
;;2;Maris, A.;538;25;22;11;6;10;10;12;8;14;5;6;14;29;17;31;22;28;37;7;8;6;4;9;2;8;9;39;20;14;11;8;5;11;22;6;4;0;6;23;5;2;2
;;3;Verbeek-Vos, H.;252;3;0;7;2;3;2;9;22;5;4;1;2;3;1;2;5;6;4;0;10;21;2;2;1;2;0;4;4;2;40;23;24;2;1;1;0;12;2;2;1;2;13
;;4;Bor, M.C.;181;8;2;2;6;4;7;7;5;3;6;8;1;6;4;3;9;5;15;3;10;8;3;6;1;0;2;10;3;6;6;4;0;1;3;0;0;2;4;7;0;1;0
;;5;Kant, J.H.P.;71;3;0;1;1;1;2;0;1;1;12;11;2;3;1;3;0;1;1;1;2;0;0;0;0;0;0;2;0;0;3;0;0;2;1;6;0;0;2;0;8;0;0
;;6;Hofstede, M.L.;278;3;4;2;1;0;5;3;1;4;4;13;0;9;5;2;7;17;9;0;1;2;27;21;19;32;25;6;0;1;2;5;1;0;1;1;19;2;6;1;0;17;0
;;7;Snippe, F.C.;142;9;3;3;1;0;4;4;1;5;1;1;0;2;3;2;4;3;6;1;0;0;1;0;2;0;0;33;13;5;3;1;0;0;13;1;0;0;3;11;0;3;0
;;8;van den Ende, L.M.;75;3;1;1;0;0;2;0;2;2;3;2;0;3;0;0;0;1;3;0;0;0;0;0;0;0;0;18;11;6;1;0;0;0;7;0;0;0;1;8;0;0;0
;;9;Benard, P.C.H.;38;1;0;0;1;6;21;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;3;0;0;0
;;10;de Waal, C.;47;0;0;1;0;0;0;0;2;0;1;0;2;0;0;1;0;17;0;0;0;1;0;0;0;0;1;0;0;0;5;8;6;0;0;0;0;0;0;2;0;0;0
;;11;Nieuwenhuis, M.;82;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;26;0;39;0;0;0;0;0;1;0;0;4;0;0;0;0;0;5;0;0;0;0;3;1;0;0;0
;;12;Korthout, J.J.A.M.;85;0;1;0;0;0;0;0;1;0;3;0;0;3;1;7;4;2;4;2;0;1;0;1;0;0;0;18;10;4;1;0;0;1;9;0;0;0;1;10;0;1;0
;;13;Bruining, N.T.;53;3;1;0;0;8;17;0;2;1;0;0;0;3;0;1;0;1;3;0;0;0;0;0;0;0;0;1;0;2;0;1;0;2;1;1;0;0;2;2;1;0;0
;;14;Koekkoek, J.;47;10;2;0;0;0;0;0;2;2;0;0;0;2;2;0;1;0;4;0;1;0;0;0;1;1;0;0;2;4;0;0;0;4;0;0;0;0;9;0;0;0;0
;;15;van Beem, M.;29;0;0;0;0;0;0;2;4;1;0;0;4;1;0;1;0;2;3;0;0;0;0;2;0;0;0;5;0;0;0;0;0;0;0;0;0;0;3;0;0;1;0
;;16;van der Wal, M.A.;14;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;3;3;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1
;;17;van Krieken, H.;20;2;0;0;0;3;1;1;0;0;0;0;0;3;0;1;4;0;0;0;0;0;0;0;0;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0
;;18;Admiraal, H.C.;20;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;2;1;0;4;1;0;0;2;0;0;0;0;0;0;1;0;0;0;0;4;0
;;19;Gemen, F.;5;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0
;;20;de Ronde, P.J.C.;6;0;0;0;0;0;0;4;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;21;Stapper, H.J.;9;0;0;0;0;0;2;5;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;22;Petrač, U.;9;2;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;23;Kant, W.;14;0;0;1;0;1;0;0;2;6;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;;24;Lagrouw, G.;40;2;0;0;1;0;0;0;0;0;0;0;0;17;15;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0
;;25;Soerjadi, B.P.;9;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
;;26;Versteeg, A.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;27;Geerts-Nolet, H.C.M.M.;25;0;0;0;0;0;1;1;0;4;0;0;0;1;0;0;5;3;7;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0
;;28;Versluis, G.A.;11;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;3;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0
;;29;Methorst, J.;26;0;0;0;0;0;0;0;0;1;0;0;0;11;7;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0;0;1;0;0;0;0;3;0;0;0;0
;;30;Los, A.R.;22;1;0;0;0;4;9;0;0;0;1;0;2;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
