Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Gemeentehuis Oss 1;Wijkcentrum Schadewijk;Basisschool De Korenaer;Café Zaal 't Haasje;St. Ontmoetingscentrum Meteoor;St. Gemeenschapshuis Acropolis;Gemeenschapshuis De Bongerd;Gemeenschapshuis Hart van Oijen;Gemeenschapshuis Avanti;Gymzaal Verdistraat 1;ROC De Leijgraaf;SV Ruwaard;Berghem Sport;'t Paviljoen;Wijkcentrum De Hille;Gemeenschapshuis Haren;Dorpshuis 't Slotje;Gemeenschapshuis Onder d'n Plag;Gemeenschapshuis De Berchplaets 1;Zalencentrum De Merx 1;Gemeenschaphuis De Nolder;Sportzaal De Zeuven Wilgen;MFC De Koppellinck;Gemeenschapshuis Vidi Reo;Titus Brandsma Parochie;Sporthal den Hoge Graaf;Sporthal de Rusheuvel 1;Drive-thru parkeerplaats Rusheuvel 1;Gymzaal Ruwaard II 1;Sporthal Mondriaan 1;Sporthal Mondriaan 2;Gemeenschapshuis De Berchplaets 2;Zalencentrum De Merx 2;Sporthal de Rusheuvel 2;Gymzaal Ruwaard II 2;Gymzaal Verdistraat 2;Drive-thru parkeerplaats Rusheuvel 2;Herinneringshuis Van Lith;Sociaal Cultureel Centrum  De Binnenstad;Gemeentehuis Oss 2;Gemeentehuis Oss;St. Gemeenschapshuis Acropolis;Wijkcentrum De Hille;Gemeenschapshuis Onder d'n Plag;Gemeenschapshuis De Berchplaets;Zalencentrum De Merx;Gemeenschaphuis De Nolder;MFC De Koppellinck;Drive-thru parkeerplaats Rusheuvel 1;Drive-thru parkeerplaats Rusheuvel 2;Herinneringshuis Van Lith;Gemeentehuis Oss;St. Gemeenschapshuis Acropolis;Wijkcentrum De Hille;Gemeenschapshuis Onder d'n Plag;Gemeenschapshuis De Berchplaets;Zalencentrum De Merx;Gemeenschaphuis De Nolder;MFC De Koppellinck;Drive-thru parkeerplaats Rusheuvel 1;Drive-thru parkeerplaats Rusheuvel 2;Herinneringshuis Van Lith;Mobiel stembureau
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;1401;1406;1415;1418;1419;1420;1421;1423;1428;1437;1438;1501;1506;1515;1518;1519;1520;1521;1523;1528;1537;1538;1541
Postcode;;;;;5341 GM;5348 XA;5345 TA;5386 AM;5346 RT;5366 BE;5367 AA;5394 AK;5396 PN;5343 VC;5344 CS;5344 KW;5351 AB;5357 PH;5345 WB;5368 AM;5373 BC;5354 KC;5351 BZ;5351 AR;5398 HK;5397 BR;5386 AS;5371 AX;5342 GC;5371 DA;5346 JH;;5344 GK;5342 CM;5342 CM;5351 BZ;5351 AR;5346 JH;5344 GK;5343 VC;;5344 VN;5341 LK;5341 GM;5341 GM;5366 BE;5345 WB;5354 KC;5351 BZ;5351 AR;5398 HK;5386 AS;;;5344 VN;5341 GM;5366 BE;5345 WB;5354 KC;5351 BZ;5351 AR;5398 HK;5386 AS;;;5344 VN;
;;33;Smeets, J.J.G.W.M.;10;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0
;;34;van der Linden, C.J.;28;0;0;1;0;2;0;0;2;0;0;0;0;0;0;1;1;14;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0
;;35;Rasing, J.J.M.;61;5;0;2;0;2;0;0;0;0;6;1;2;0;0;1;0;0;1;0;0;0;1;1;1;1;0;0;0;2;0;0;0;0;3;2;7;0;1;4;1;1;0;4;0;0;0;0;1;0;0;0;2;0;5;0;1;0;0;0;1;0;2;0
;;36;van Zeeland, F.J.M.;16;2;1;1;0;0;0;0;0;0;0;0;2;1;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;1;2;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;37;van Dorst, W.J.;30;2;1;3;0;4;1;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;2;1;0;0;0;1;0;0;0;0;0;1;0;0;1;1;0;1;0;1;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;2;0
;;38;van de Langenberg, C.M.;10;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
;;39;Willems, M.M.W.;18;0;0;0;0;0;0;0;0;13;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;;40;Auwens-van Gelder, P.C.M.;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;2;2;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0
;;41;Vugts, H.P.J.M.;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
;;42;Peters, A.D.M.;16;0;2;2;0;1;0;0;0;0;0;0;1;1;0;0;0;1;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
;;43;Iding, J.A.M.E.;24;3;1;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;3;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;1;0;1;0;0;0;0;1;0;0;0;1;0;2;1;0;0;0;0;0;3;0;0
;;44;Marijnissen-van Schijndel, M.A.C.A.;95;3;4;4;0;3;1;0;0;0;9;0;5;0;1;5;0;1;0;1;0;0;1;0;2;3;0;1;0;1;0;3;1;0;3;1;6;0;3;0;4;4;0;0;0;2;0;1;0;0;3;2;2;0;8;2;2;0;0;0;0;2;1;0
;;45;van der Doelen, J.P.;23;2;3;0;1;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;2;3;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0
;;46;de Bres-de Langen, J.C.;29;0;2;2;0;2;0;0;0;0;0;1;0;0;0;2;0;0;0;0;0;0;0;1;0;1;0;0;1;1;0;0;0;0;0;0;3;0;0;2;0;0;0;5;0;0;0;0;0;0;1;2;2;0;0;0;1;0;0;0;0;0;0;0
;;47;van den Eijnden, J.G.J.;15;0;2;2;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;3;0;1;0;0;0;0;0;0;0;0
;;48;van Dorst, S.J.;37;1;7;2;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;2;1;0;0;0;0;3;1;2;0;1;1;1;0;0;2;0;0;0;0;0;0;0;1;1;0;2;0;3;0;0;0;0;0;0;1
;;49;Arends, A.E.J.;8;0;1;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0
;;50;Marijnissen, L.M.C.;800;33;51;33;11;36;3;13;7;2;23;12;32;3;5;65;7;20;2;10;1;5;22;9;16;21;6;3;6;9;0;3;19;2;9;10;17;6;12;11;15;25;2;43;0;18;6;2;3;6;4;15;25;4;36;1;7;1;3;9;3;2;9;6
2;V.D.G. (Voor de Gemeenschap);;;9371;150;138;182;182;217;223;117;305;102;52;67;87;83;55;330;202;684;230;488;127;55;294;262;318;193;233;67;109;31;51;53;470;89;97;39;37;97;47;60;119;187;138;184;76;283;54;10;116;31;34;39;218;96;234;102;381;87;30;143;54;42;73;17
;;1;den Brok, F.F.G.P.;4119;79;67;87;60;103;49;71;71;36;25;32;48;55;21;163;57;202;61;298;70;30;72;64;91;89;49;30;51;12;28;30;304;56;48;17;18;45;26;19;57;104;33;89;20;204;34;5;35;19;11;27;119;20;109;39;264;56;19;23;28;21;38;11
;;2;van de Camp, R.B.W;398;3;5;4;3;4;25;24;10;6;1;2;4;1;1;12;99;10;10;8;3;6;8;4;5;10;5;2;3;1;2;3;2;5;3;0;2;5;3;3;6;9;13;4;4;5;1;0;0;2;2;0;6;8;14;7;5;1;0;1;2;1;0;0
;;3;Hooiveld, J.P.J.;179;0;4;2;0;0;1;0;0;0;0;0;1;6;1;2;4;0;1;45;5;0;0;1;0;4;0;0;2;0;0;0;26;3;0;0;0;1;0;0;0;2;1;0;0;21;4;0;0;0;0;0;2;0;1;0;28;10;0;0;0;1;0;0
;;4;Verhagen, W.J.M.;589;21;13;38;1;28;8;2;4;2;5;7;10;1;2;40;2;10;7;16;6;0;7;7;5;20;8;8;21;6;11;6;22;1;14;5;5;6;4;20;17;19;6;30;1;8;1;1;3;4;4;3;28;2;27;3;10;4;0;2;9;4;3;1
;;5;Herms, J.H.A.;236;1;0;0;0;0;0;0;0;0;0;1;1;0;4;0;1;2;18;0;1;0;0;0;98;0;90;0;0;0;0;0;0;2;0;0;0;2;1;0;0;0;0;0;5;1;0;0;0;0;0;0;0;2;0;5;0;0;0;0;0;1;0;0
;;6;Boerboom, J.G.T.M.;286;10;11;14;1;23;0;0;1;2;5;3;8;2;1;27;2;7;4;6;3;0;0;3;3;16;1;2;7;0;3;5;3;1;3;4;4;8;4;1;9;9;0;10;0;3;1;0;2;1;1;2;13;1;17;1;1;0;0;0;1;5;8;3
;;7;van Pelt, V.H.;265;9;7;11;2;10;3;2;2;0;6;6;3;2;0;19;2;7;1;9;0;0;2;1;4;20;5;6;5;3;2;0;5;1;12;4;5;7;0;5;9;7;0;12;3;2;1;1;0;1;1;0;13;1;13;0;1;1;0;3;3;2;2;1
;;8;Pruimboom, N.H.F;283;0;1;1;0;1;0;2;2;0;0;3;0;0;2;2;0;221;2;4;2;0;0;2;2;0;3;1;0;1;1;0;6;3;1;0;0;1;1;0;0;4;0;1;1;3;1;0;0;0;0;0;1;0;1;0;4;1;0;0;0;1;0;0
;;9;van der Loop, A.J.J.;143;0;3;1;0;1;0;3;88;4;0;0;2;0;0;1;2;3;0;1;1;2;5;0;0;1;1;1;2;0;0;2;1;0;0;0;0;0;0;0;0;3;0;4;0;0;0;0;2;0;0;2;3;0;1;0;1;1;0;0;0;0;1;0
;;10;van der Doelen, M.A.M.M.;349;1;2;1;74;0;1;0;0;0;0;0;1;0;0;3;0;0;0;0;0;1;5;126;0;0;0;0;0;0;0;0;0;0;0;2;0;6;0;1;1;4;0;0;0;0;0;0;52;0;0;0;0;0;0;0;0;0;1;66;0;0;1;0
;;11;Ruijs, A.J.T.;121;8;8;1;0;15;1;0;0;1;1;1;2;2;0;10;0;1;2;2;2;0;2;0;0;7;0;3;5;0;0;1;2;0;3;0;0;0;0;2;1;6;0;2;0;1;0;0;0;2;4;0;0;1;11;0;1;0;0;1;6;3;0;0
;;12;Prinssen, A.M.I;47;0;0;0;0;0;0;0;1;1;0;1;0;0;1;0;1;2;2;0;0;0;0;0;17;2;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;1;1;0;0;0;0;0;0;0;0
;;13;van Weijenburg, H.G.G.;112;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;53;2;0;0;1;0;10;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;1;0;24;0;0;0;0;0;0;0;0
;;14;van Gaalen, A.G.H.;245;0;2;0;2;3;0;1;17;14;1;0;0;1;0;3;19;1;1;1;0;8;132;3;0;1;0;3;2;0;0;0;3;0;0;0;0;0;0;0;2;2;1;0;2;1;0;3;1;0;0;0;1;0;4;0;1;1;7;0;0;0;1;0
;;15;van de Camp, E.J.G.;184;0;0;0;1;0;60;2;4;4;0;0;0;1;0;5;3;4;4;1;0;2;5;2;1;0;4;0;1;0;2;0;1;0;0;0;0;2;0;0;0;1;34;1;0;1;0;0;0;0;0;0;1;31;1;1;2;0;2;0;0;0;0;0
;;16;van Rijn, R.C.H.;90;0;0;0;16;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27;0;1;1;0;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;13;0;0;1;0;0;1;0;0;0;0;24;0;0;2;0
;;17;Dappers, F.J.P.;92;0;1;0;1;1;1;0;0;0;1;0;0;3;0;1;0;0;0;20;5;0;0;0;0;0;0;0;0;0;0;1;29;0;0;0;0;3;0;0;1;0;0;1;0;9;1;0;0;0;0;0;0;0;1;0;10;1;0;0;0;1;0;0
;;18;van Leest, J.A.G.;30;2;0;4;0;3;0;0;0;0;1;0;0;0;0;4;0;0;0;2;0;0;0;0;0;3;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;1;0;3;0;0;0;0;0;0;1;0;0;0;3;0;0;0;0;0;0;0;0;0
;;19;Kuijpers, M.A.M.;115;0;1;0;0;1;1;0;0;0;0;0;1;0;3;0;5;1;39;1;0;0;0;0;7;0;7;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;26;0;0;0;0;0;0;0;2;0;0;14;1;1;0;0;1;0;0;0
;;20;Oele, E.;148;0;0;1;0;1;57;0;0;0;1;2;0;1;0;0;0;0;1;0;0;0;1;0;1;3;1;1;0;0;0;1;4;2;2;0;0;0;0;1;0;0;37;0;0;0;0;0;0;0;0;0;0;21;3;0;0;2;0;1;1;0;2;0
;;21;Tijssen, W.I.;72;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;5;0;0;0;0;0;43;0;14;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0
;;22;Buiting, B.C.C.;64;2;0;1;0;0;0;0;1;0;0;0;1;0;0;2;0;1;0;11;8;0;0;0;0;0;0;0;0;0;0;0;11;3;0;0;0;0;0;0;1;0;0;0;0;4;2;0;0;0;0;0;0;0;0;0;13;3;0;0;0;0;0;0
;;23;van Rooij, W.J.;166;0;6;0;0;4;0;0;85;10;0;1;0;0;0;3;3;0;0;4;0;2;6;1;1;0;0;2;4;0;0;0;2;0;0;0;0;0;3;0;0;3;0;5;0;0;1;0;0;1;2;0;5;0;4;0;3;1;1;1;0;0;2;0
;;24;Martens, J.G.J.;95;1;1;0;0;1;0;0;0;0;0;1;0;3;0;0;0;65;1;5;4;0;2;0;0;1;1;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;1;0;2;0;0;0;0;0;0;0
;;25;Ceelen, R.L.T.J.;41;0;0;0;12;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;15;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;6;0;0;2;0
;;26;van Lith, G.M.;53;0;0;1;1;0;0;0;2;0;0;0;0;0;0;1;0;1;0;14;5;0;1;0;0;0;0;0;0;0;0;0;11;3;0;0;0;1;0;0;0;0;0;2;0;2;0;0;0;0;0;0;1;0;0;0;6;0;0;0;0;0;0;1
;;27;van Grunsven-Gremmen, P.M.F.;36;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;2;12;2;0;0;0;0;2;1;1;0;0;0;0;2;1;1;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;1;0;0;0;3;1;0;0;0;0;0;0;0
;;28;van de Burgt, L.J.M.;58;0;0;0;0;0;0;1;0;0;0;0;0;1;3;0;0;37;1;0;0;0;0;1;6;0;1;0;0;0;0;1;2;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0
;;29;van de Langenberg, J.A.T;35;0;1;0;0;0;0;1;0;2;0;0;0;0;0;0;0;2;0;1;1;0;0;0;0;0;0;2;1;0;0;0;0;0;2;3;0;3;1;0;0;0;0;3;0;1;0;0;0;0;2;0;2;0;1;0;0;0;0;0;0;1;5;0
;;30;Broers, G.C.A.;40;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;10;5;0;0;0;0;0;0;2;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;5;1;0;0;0;0;0;0
;;31;Ploegmakers, W.F.M.;25;0;0;1;0;0;0;0;0;0;0;0;0;0;3;1;0;13;1;1;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0
;;32;Raemaekers, M.M.M.G.;29;0;1;0;0;1;0;0;0;0;0;1;0;0;0;3;0;0;0;1;0;0;20;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;33;Mazen, J.G.H.;31;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;7;1;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;0;0;0;0;0;0;0;3;0;6;2;0;0;0;0;0;0;0;0;0;3;1;0;0;0;0;0;0
;;34;van Vugt, J.H.M.J;47;2;0;4;0;0;0;0;0;1;0;2;1;0;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;2;2;5;3;0;0;3;0;0;0;0;0;0;4;0;3;0;4;0;3;0;0;0;0;0;0;0
;;35;Bakker, A.G.A.;39;0;1;0;0;3;0;0;0;0;1;1;0;0;1;2;0;0;0;0;0;0;1;0;0;4;0;0;2;0;0;0;0;0;0;2;2;0;0;0;1;5;0;1;0;0;0;0;0;0;0;1;4;0;4;0;0;0;0;0;3;0;0;0
;;36;Buijink, A.M.;29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;13;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0
;;37;van den Broek, J.F.W.;15;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;5;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0
;;38;Smits w/v Roffelsen, A.M.;13;0;0;1;0;0;4;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0
;;39;van Lith, M.H.;32;0;0;1;0;0;0;0;0;0;0;0;1;0;0;2;0;1;1;6;1;0;0;1;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;1;0;3;0;3;0;0;0;0;0;0;0
;;40;Bongers, A.A.M.;33;0;0;0;0;0;1;0;1;4;2;0;0;0;0;1;0;0;0;0;0;1;18;0;0;0;0;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;;41;Peters e/v Oele, C.M.A.;7;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0
;;42;Naaijkens, F.M.;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0
;;43;Nab, J.;34;1;0;2;0;2;4;1;0;0;0;0;0;0;0;1;1;0;0;1;0;2;0;0;1;3;0;0;0;2;0;0;0;0;0;1;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;5;2;0;0;1;0;0;0;0;0;1;0
;;44;Meulepas, J.J.M;48;1;0;1;7;0;0;0;8;0;1;1;0;0;0;2;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;15;0;0;1;0
;;45;Hemmiga e/v Bos, T.A.;21;1;0;0;1;0;0;0;3;14;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;46;Ulijn, G.H.J.;27;0;0;1;0;2;6;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;1;3;1;0;1;0;0;0;0;0;0;0
;;47;Janssen Steenberg e/v van der Linden, G.W.;18;0;0;0;0;1;0;0;0;0;0;0;0;0;8;0;0;6;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;;48;van der Burgt, H.G.I;36;1;0;0;0;0;1;0;2;0;0;0;0;0;0;1;0;3;0;4;4;0;0;0;0;1;0;0;0;0;0;0;6;1;0;0;0;0;0;0;0;1;0;0;0;4;2;0;0;0;0;0;0;0;0;0;4;1;0;0;0;0;0;0
;;49;van Loon, J.T.M.;31;0;2;1;0;4;0;7;1;0;0;0;0;0;0;2;0;0;1;2;0;0;1;0;0;0;0;1;0;1;1;0;0;0;1;0;0;0;0;0;1;2;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0
;;50;van Geffen, C.P.W.;152;6;1;2;0;4;0;0;2;0;1;0;0;0;1;2;1;78;1;1;0;1;0;1;6;4;5;1;0;1;1;0;1;0;2;1;0;1;0;3;5;2;1;3;0;0;0;0;0;1;1;1;3;2;2;0;2;0;0;0;0;0;1;0
3;VVD;;;3358;117;74;116;48;117;15;19;44;48;37;46;50;24;21;151;9;64;32;113;27;112;152;74;55;137;30;45;79;11;48;87;80;24;81;17;21;71;32;37;94;97;6;77;6;41;9;31;26;19;44;20;127;5;106;7;66;21;38;32;42;28;39;12
;;1;de Wit - van der Zanden, H.H.P.;1858;60;44;71;17;76;11;12;25;19;22;31;32;14;14;91;8;36;22;39;13;13;91;37;46;84;19;23;52;6;31;51;29;3;46;7;14;42;23;19;54;62;2;40;6;17;4;2;16;9;28;16;83;1;72;5;27;9;4;14;30;22;33;9
;;2;van Kessel, T.W.G;431;13;14;5;5;13;1;2;9;2;4;3;6;6;1;11;1;5;3;53;11;4;10;6;0;19;3;3;8;4;3;10;34;18;5;5;2;5;0;6;6;10;0;4;0;11;4;2;2;2;5;1;16;2;4;1;31;11;0;3;2;0;1;0
;;3;Vos, S.;201;13;5;16;1;7;0;1;0;0;2;4;0;1;0;18;0;0;0;3;1;0;1;0;3;12;3;8;2;0;7;13;5;0;12;1;2;5;1;4;8;6;0;8;0;2;0;0;0;0;5;1;3;0;8;0;1;0;1;0;4;0;2;1
;;4;van Rijswijk - van Mook, G.A.A.;224;6;1;4;1;5;0;0;4;15;1;0;0;0;0;9;0;1;2;1;0;47;30;2;0;1;1;1;4;0;1;3;2;0;1;0;0;3;3;4;3;4;1;2;0;0;0;19;4;0;0;0;7;0;1;0;1;0;23;5;1;0;0;0
;;5;van Ballegooij, N.W.;74;4;1;6;0;1;0;0;1;1;0;4;2;0;2;4;0;2;2;3;0;0;3;0;0;1;0;1;4;0;0;2;0;2;4;2;0;3;0;1;3;1;0;2;0;1;0;0;0;1;0;0;6;0;1;0;1;0;0;1;0;0;1;0
;;6;Hellinga, B.C.;73;0;0;0;24;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;28;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;1;0;0;1;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;9;0;0;0;1
;;7;Chen, J.;107;5;6;1;0;5;0;1;3;1;3;0;4;0;0;8;0;1;1;0;0;0;1;0;0;8;0;2;6;0;0;2;3;1;3;1;0;3;1;0;8;5;0;7;0;0;0;0;0;3;0;0;3;0;6;0;0;0;0;0;1;3;1;0
;;8;van Stekelenburg, T.;24;0;1;2;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;1;0;2;1;1;0;0;0;1;0;0;1;2;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;3;0;0;1
;;9;van den Boogaard, A.A.G.;39;0;0;2;0;0;0;1;1;9;1;0;0;1;0;1;0;0;0;2;0;0;14;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0
;;10;van Rooij, D.T.;38;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;3;0;10;1;0;0;0;1;0;0;0;0;0;0;0;3;0;1;0;0;0;0;0;0;0;0;1;0;7;1;0;0;1;0;0;0;0;2;0;3;1;0;0;0;0;0;0
;;11;van Hooft, A.T.J.;80;1;0;2;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;47;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;2;0;0;1;0;0;0;0;0;0;8;0;0;1;0;0;0;2;0;0;0;10;0;0;0;0;0
;;12;van Grunsven, A.A.J.M.;19;1;1;0;0;1;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;1;3;0;2;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;1;0;0
;;13;Steegman, R.L.J.;30;1;0;0;0;2;2;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;2;0;0;0;0;0;4;0;0;0;0;1;0;3;0;1;0;3;2;0;0;0;0;0;0;1;1;0;2;0;0;0;0;0;0;0;0;1;0
;;14;Enzerink, N.A.G.;9;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0
;;15;van Heukelom, B.R.M.;49;9;0;4;0;3;0;0;0;0;1;0;2;0;0;2;0;0;0;0;0;0;0;0;0;4;0;1;1;0;0;0;0;0;3;0;0;4;1;0;2;0;0;4;0;0;0;0;0;1;3;0;4;0;0;0;0;0;0;0;0;0;0;0
