Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Gemeentehuis Oss 1;Wijkcentrum Schadewijk;Basisschool De Korenaer;Café Zaal 't Haasje;St. Ontmoetingscentrum Meteoor;St. Gemeenschapshuis Acropolis;Gemeenschapshuis De Bongerd;Gemeenschapshuis Hart van Oijen;Gemeenschapshuis Avanti;Gymzaal Verdistraat 1;ROC De Leijgraaf;SV Ruwaard;Berghem Sport;'t Paviljoen;Wijkcentrum De Hille;Gemeenschapshuis Haren;Dorpshuis 't Slotje;Gemeenschapshuis Onder d'n Plag;Gemeenschapshuis De Berchplaets 1;Zalencentrum De Merx 1;Gemeenschaphuis De Nolder;Sportzaal De Zeuven Wilgen;MFC De Koppellinck;Gemeenschapshuis Vidi Reo;Titus Brandsma Parochie;Sporthal den Hoge Graaf;Sporthal de Rusheuvel 1;Drive-thru parkeerplaats Rusheuvel 1;Gymzaal Ruwaard II 1;Sporthal Mondriaan 1;Sporthal Mondriaan 2;Gemeenschapshuis De Berchplaets 2;Zalencentrum De Merx 2;Sporthal de Rusheuvel 2;Gymzaal Ruwaard II 2;Gymzaal Verdistraat 2;Drive-thru parkeerplaats Rusheuvel 2;Herinneringshuis Van Lith;Sociaal Cultureel Centrum  De Binnenstad;Gemeentehuis Oss 2;Gemeentehuis Oss;St. Gemeenschapshuis Acropolis;Wijkcentrum De Hille;Gemeenschapshuis Onder d'n Plag;Gemeenschapshuis De Berchplaets;Zalencentrum De Merx;Gemeenschaphuis De Nolder;MFC De Koppellinck;Drive-thru parkeerplaats Rusheuvel 1;Drive-thru parkeerplaats Rusheuvel 2;Herinneringshuis Van Lith;Gemeentehuis Oss;St. Gemeenschapshuis Acropolis;Wijkcentrum De Hille;Gemeenschapshuis Onder d'n Plag;Gemeenschapshuis De Berchplaets;Zalencentrum De Merx;Gemeenschaphuis De Nolder;MFC De Koppellinck;Drive-thru parkeerplaats Rusheuvel 1;Drive-thru parkeerplaats Rusheuvel 2;Herinneringshuis Van Lith;Mobiel stembureau
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;1401;1406;1415;1418;1419;1420;1421;1423;1428;1437;1438;1501;1506;1515;1518;1519;1520;1521;1523;1528;1537;1538;1541
Postcode;;;;;5341 GM;5348 XA;5345 TA;5386 AM;5346 RT;5366 BE;5367 AA;5394 AK;5396 PN;5343 VC;5344 CS;5344 KW;5351 AB;5357 PH;5345 WB;5368 AM;5373 BC;5354 KC;5351 BZ;5351 AR;5398 HK;5397 BR;5386 AS;5371 AX;5342 GC;5371 DA;5346 JH;;5344 GK;5342 CM;5342 CM;5351 BZ;5351 AR;5346 JH;5344 GK;5343 VC;;5344 VN;5341 LK;5341 GM;5341 GM;5366 BE;5345 WB;5354 KC;5351 BZ;5351 AR;5398 HK;5386 AS;;;5344 VN;5341 GM;5366 BE;5345 WB;5354 KC;5351 BZ;5351 AR;5398 HK;5386 AS;;;5344 VN;
;aangetroffen stembiljetten;;;36095;1030;1338;1159;510;1162;430;350;618;524;500;451;712;173;331;1887;419;1199;388;1064;258;432;1243;728;1084;1260;568;356;537;252;226;403;925;200;559;293;339;435;508;379;824;1087;239;1051;149;588;119;121;300;163;241;354;1373;209;1251;187;741;175;190;374;324;208;470;127
;meer stembiljetten dan toegelaten kiezers;;;11;0;1;0;0;0;0;0;0;1;0;0;5;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;minder stembiljetten dan toegelaten kiezers;;;27;0;0;1;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;3;0;0;0;0;0;0;0;0;4;0;5;0;0;0;0;0;0;1;1;0
;kiezers met stembiljet hebben niet gestemd;;;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
;er zijn te weinig stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te veel stembiljetten uitgereikt;;;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;geen verklaring;;;30;0;0;1;0;4;0;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;4;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;2;0;3;0;0;0;0;0;0;0;0;4;0;5;0;0;0;0;0;0;1;0;0
;andere verklaring;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;SP (Socialistische Partij);;;7178;213;394;269;101;254;54;54;76;93;162;77;246;22;28;450;36;141;28;112;18;63;247;106;155;262;60;61;82;85;29;46;128;17;103;87;107;52;166;84;136;247;45;335;16;93;20;31;64;27;44;127;290;57;381;22;83;17;40;59;68;40;126;42
;;1;Zoll, G.J.;2570;66;179;107;26;80;9;18;24;32;60;32;74;6;14;161;16;50;7;36;9;21;96;27;67;102;25;22;29;29;13;13;39;5;27;30;33;19;57;29;50;87;8;130;5;27;2;9;18;11;15;42;131;10;140;12;30;4;14;15;28;16;54;23
