Verkiezing;;Gemeenteraad Rucphen 2022;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Rucphen;;;;;;;;;;;;;;;;;;;
Nummer;;0840;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Café Heerlijkheid 1810;MFA Agora;Gemeenschapshuis D'n Hoge Dries;Café de Coop;Dorpshuis De Trapkes;Sportpark Rood-Wit;Gemeenschapshuis De Lanteern;MFA Vijverstraat/ttv de Back Hands;Gemeentehuis;Gemeenschapshuis De Nieuwenbergh;MFA Agora 14 maart 2022;MFA Agora 15 maart 2022;Gemeentehuis 14 maart 2022;Gemeentehuis 15 maart 2022;Gemeenschapshuis de Lanteern 14 maart 2022;Gemeenschapshuis de Lanteern 15 maart 2022;Gemeentelijk Stembureau 16 maart 2022
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
Postcode;;;;;4715 CC;4715 CL;4721 AC;4714 EA;4714 CN;4711 AV;4711 EG;4711 EV;4715 RW;4735 TA;4715 CL;4715 CL;4715 RW;4715 RW;4711 EG;4711 EG;4711 RW
;;18;Woestenberg, J.A.M.;29;17;7;0;1;1;0;1;0;0;0;0;1;0;1;0;0;0
;;19;van den Bosch, M.A.W.;22;2;0;3;0;2;4;7;0;2;0;0;0;0;0;0;2;0
;;20;Gommeren, A.H.C.M.;4;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0
;;21;Aanraad, C.A.M.;29;3;10;2;0;1;0;0;0;1;7;0;3;2;0;0;0;0
;;22;Verwijs, A.;19;0;0;2;8;5;1;0;0;0;0;0;0;1;1;0;1;0
;;23;Evers, C.J.;11;2;1;0;1;6;0;0;0;0;0;0;1;0;0;0;0;0
;;24;Roks, F.A.H.;46;0;2;3;11;23;3;0;2;0;0;0;2;0;0;0;0;0
;;25;Rens, A.C.H.;17;0;0;12;1;0;0;0;0;1;1;0;0;0;2;0;0;0
;;26;Aarts, B.P.D.;43;0;0;0;12;20;0;2;1;1;1;0;0;1;5;0;0;0
;;27;Bullens, S.J.M.;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
;;28;van Rooden, A.P.A.;9;0;0;1;0;0;0;1;0;0;7;0;0;0;0;0;0;0
3;PVV (Partij voor de Vrijheid);;;1211;17;76;54;78;130;165;149;143;95;70;29;32;33;33;26;81;0
