Verkiezing;;Gemeenteraad Tilburg 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Tilburg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0855;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Restaurant Lucebert;Cinecitta;Wijkcentrum In De Boomtak;Odulphuslyceum;Factorium (ingang Bisschop Zwijssenstraat);Wijkcentrum Koningshaven;Pathé Tilburg centrum;De Pelgrimhoeve;Café Bet Kolen;Wijkcentrum Zuiderkwartier;Wijkcentrum Nieuwe Stede;Sociëteit Philharmonie;Gymzaal Staringstraat;Wijkcentrum Spijkerbeemden;Sporthal De Blaak;Sportcafé De Blaak;Avans Hogeschool;Gymzaal Cederstraat;Woonzorgcentrum Joannes Zwijsen;De Wissel;Dansschool van Opstal;Wijkcentrum de Baselaer;Textielmuseum;MFA De Poorten;Wijkcentrum De Ypelaer;Gymzaal Donizettistraat;MFA De Symfonie;Sportcafé Drieburcht;2College Cobbenhagen;De Rooi Pannen;Parochiezaal de Goede Herder;Wijkcentrum 't Sant;MFA Het Kruispunt;Wijkgebouw Reinevaar;Wijkcentrum Heyhoef;Sportcentrum Reeshof;Scholencentrum Grote Beemd;TSV Gudok;Gymzaal Bergeijkstraat;Gymzaal Meerssenstraat;Sportclub 't Zand;Cultureel centrum De Schalm;Dansschool van Opstal;Sportcafé 't Ruiven;Stichting de Peppel, locatie Kruisgebouw;Raadzaal Udenhout;Buurthuis Jeruzalem;Drive Inn (evenemententerrein Het Laar);SV Reeshof;Wijkcentrum De Back;Gemeenschapshuis De Vorselaer;Klasse Theater;Gymzaal Verhulstlaan;Sporthal Dongewijk;Gymzaal Mingersbergstraat;Gymzaal Berkelseweg;Sporthal De Roomley;MFA Het Spoor;Mobiel stembureau;Mobiel stembureau;Mobiel stembureau;Mobiel stembureau;Mobiel stembureau;Mobiel Stembureau;Mobiel stembureau;Mobiel stembureau;Centraal Station Tilburg (noordzijde);Centraal Station Tilburg (zuidzijde);Interpolis;Tilburg University;´t Plein;013 Poppodium;Voormalig GGD gebouw;Wijkcentrum Koningshaven;Wijkcentrum Zuiderkwartier;013 Poppodium;Wijkcentrum Spijkerbeemden;Voormalig GGD gebouw;MFA De Poorten;Wijkcentrum de Ypelaer;Wijkcentrum 't Sant;MFA Het Kruispunt;Wijkcentrum Heyhoef;Cultureel centrum De Schalm;Het Raadhuis Udenhout;Drive Inn (evenemententerrein Het Laar);Wijkcentrum Koningshaven;Wijkcentrum Zuiderkwartier;013 Poppodium;Wijkcentrum Spijkerbeemden;Voormalig GGD gebouw;MFA De Poorten;Wijkcentrum de Ypelaer;Wijkcentrum 't Sant;MFA Het Kruispunt;Wijkcentrum Heyhoef;Cultureel centrum De Schalm;Het Raadhuis Udenhout;Drive Inn (evenemententerrein Het Laar)
Gebiednummer;;;;;1;2;3;4;5;6;7;8;10;11;12;13;14;16;18;19;20;21;23;26;27;28;30;31;33;35;36;37;39;41;42;45;46;47;50;51;52;53;55;57;58;60;61;62;64;65;67;68;69;70;71;72;73;74;76;77;79;80;81;82;83;84;85;86;87;88;700;701;702;704;714;715;720;806;811;815;816;820;831;833;845;846;850;860;865;868;906;911;915;916;920;931;933;945;946;950;960;965;968
;opgeroepenen;;;182556;1844;1844;1844;1844;1844;1844;1844;1844;1844;1844;1844;1844;1844;1844;1844;1844;1844;1844;1844;1844;1844;1844;1844;1844;1844;1844;1844;1844;1844;1844;1844;1844;1844;1844;1844;1844;1844;1844;1844;1844;1844;1844;1844;1844;1844;1844;1844;1844;1844;1844;1844;1844;1844;1844;1844;1844;1844;1844;1844;1844;1844;1844;1844;1844;1844;1844;1844;1844;1844;1844;1844;1844;1844;1844;1844;1844;1844;1844;1844;1844;1844;1844;1844;1844;1844;1844;1844;1844;1844;1844;1844;1844;1844;1844;1844;1844;1844;1844;1844
;geldige stempas;;;65717;911;596;1398;740;727;797;478;1125;606;692;1157;287;326;803;1198;1143;551;330;1172;468;780;1323;1344;934;449;207;955;1358;450;663;426;620;455;799;1713;508;815;241;879;1021;220;1193;503;771;700;511;682;258;181;992;399;326;527;674;812;368;764;863;468;556;278;588;433;723;799;843;931;873;204;1051;389;1205;416;533;390;1260;230;740;727;405;413;305;1539;796;442;256;373;258;813;214;681;490;263;302;212;1073;562;298;196
;geldig volmachtbewijs;;;7453;67;35;136;71;66;88;30;126;55;80;109;26;21;111;203;172;52;26;102;53;86;131;139;126;50;23;111;188;61;0;38;56;50;86;246;77;141;37;126;158;40;163;50;83;77;73;82;29;19;150;46;30;62;101;146;53;97;101;60;45;29;91;64;119;88;103;43;41;17;85;50;123;57;43;38;111;29;75;71;59;34;43;208;88;54;25;24;19;77;28;82;49;32;35;21;105;60;35;32
;geldige kiezerspas;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;toegelaten kiezers;;;73170;978;631;1534;811;793;885;508;1251;661;772;1266;313;347;914;1401;1315;603;356;1274;521;866;1454;1483;1060;499;230;1066;1546;511;663;464;676;505;885;1959;585;956;278;1005;1179;260;1356;553;854;777;584;764;287;200;1142;445;356;589;775;958;421;861;964;528;601;307;679;497;842;887;946;974;914;221;1136;439;1328;473;576;428;1371;259;815;798;464;447;348;1747;884;496;281;397;277;890;242;763;539;295;337;233;1178;622;333;228
;geldige stembiljetten;;;72825;975;630;1528;807;794;875;505;1240;657;768;1264;313;347;911;1396;1310;601;355;1265;518;861;1470;1476;1053;492;229;1060;1541;511;659;461;666;502;880;1951;584;945;275;998;1170;258;1349;553;849;771;584;759;285;200;1141;444;356;586;777;954;421;859;962;528;597;307;672;494;828;883;943;950;911;219;1131;435;1313;474;572;426;1357;257;812;794;458;444;349;1744;883;492;278;395;277;881;240;757;539;300;338;233;1173;621;333;236
;blanco stembiljetten;;;173;3;0;2;1;1;8;3;3;1;2;0;0;0;2;3;0;1;1;2;2;1;8;5;4;5;0;4;0;0;0;2;7;2;3;3;0;3;0;0;4;0;1;0;3;3;0;1;0;1;0;1;0;1;0;3;0;0;1;0;4;0;2;2;2;2;2;6;1;1;3;1;8;0;2;2;3;1;2;3;4;2;2;3;1;4;1;1;0;4;1;0;0;0;0;0;1;1;0;0
;ongeldige stembiljetten;;;165;0;0;4;3;2;1;0;4;0;2;2;0;0;1;2;5;1;0;6;0;1;3;4;3;2;1;2;0;0;4;1;3;1;2;2;1;3;3;6;3;2;4;0;2;3;0;4;2;0;1;0;0;2;0;1;0;1;1;0;0;0;5;2;2;2;1;8;2;1;2;3;7;0;2;0;6;1;1;1;2;1;2;0;0;0;1;1;0;5;1;0;0;0;1;0;4;0;0;0
;aangetroffen stembiljetten;;;73163;978;630;1534;811;797;884;508;1247;658;772;1266;313;347;914;1401;1315;603;356;1273;520;863;1481;1485;1060;499;230;1066;1541;511;663;464;676;505;885;1956;585;951;278;1004;1177;260;1354;553;854;777;584;764;287;201;1142;445;356;589;777;958;421;860;964;528;601;307;679;498;832;887;946;964;914;221;1136;439;1328;474;576;428;1366;259;815;798;464;447;353;1747;884;496;280;397;277;890;242;757;539;300;339;233;1178;622;333;236
