Verkiezing;;Gemeenteraad Veldhoven 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Veldhoven;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0861;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Gemeentehuis 1;Wijkvoorziening De Ligt;Kantine Voetbalvereniging U.N.A.;Dorpscentrum d'Ouw School;Clubgebouw Sentrum '70;Gemeenschapshuis d'n Bond;Ontmoetingscentrum het Tweespan;Basisschool De Brembocht;Basisschool Dick Bruna;Restaurant Jan's Polder;Mixed Hockey Club Basko;MFA Noord;Woonzorgcomplex Rundgraafpark;De Twee Sparren;Wijkcentrum De Erikant;'t Patronaat Zeelst;Uitgaanscentrum De Kers;Blokhut D'n Bosbender;SDO Korfbal;Gemeentehuis 2;Tent Nijverheidslaan;Peter Benenson park;Gemeentehuis;Gemeentehuis;Mixed Hockey Club Basko;Mixed Hockey Club Basko;Tent Nijverheidslaan;Tent Nijverheidslaan;Tent Peter Benenson park;Tent Peter Benenson park;RSZK Merefelt
Gebiednummer;;;;;1;3;4;6;7;9;10;11;13;15;16;17;18;23;26;27;28;29;30;101;103;104;105;106;109;110;115;116;117;118;900
Postcode;;;;;5501 KA;5503 CA;5502 ED;5507 LC;5503 VE;5504 BN;5505 AT;5506 CG;5508 KE;5509 LM;5504 MK;5508 SM;5509 KK;5503 CT;5508 DJ;5502 JV;5507 LA;5508 NC;5504 BR;5501 KA;;;5501 KA;5501 KA;5504 MK;5504 MK;;;;;5504 GB
;opgeroepenen;;;36491;1568;1529;1483;1265;1681;1831;2536;927;1949;1276;1818;1787;1309;1477;2125;2033;1262;1377;1997;2566;1041;1453;0;0;0;0;0;0;0;0;201
;geldige stempas;;;16189;511;709;624;661;647;962;865;364;782;542;593;678;519;380;753;928;499;440;503;609;451;554;475;603;134;182;238;345;262;285;91
;geldig volmachtbewijs;;;1939;61;75;89;86;57;142;79;36;122;66;83;89;64;52;73;125;67;55;60;67;46;64;54;63;17;22;20;33;24;44;4
;geldige kiezerspas;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;toegelaten kiezers;;;18128;572;784;713;747;704;1104;944;400;904;608;676;767;583;432;826;1053;566;495;563;676;497;618;529;666;151;204;258;378;286;329;95
;geldige stembiljetten;;;18045;568;779;707;744;700;1100;933;399;898;608;675;760;582;431;820;1048;561;493;560;675;497;615;529;665;151;203;258;377;285;329;95
;blanco stembiljetten;;;55;4;4;4;3;1;1;10;0;4;0;0;4;1;1;2;4;3;2;2;1;0;2;0;1;0;0;0;0;1;0;0
;ongeldige stembiljetten;;;27;0;1;1;0;3;3;1;1;2;0;1;2;0;0;4;1;2;0;1;0;0;1;0;0;0;1;0;1;0;0;1
;aangetroffen stembiljetten;;;18127;572;784;712;747;704;1104;944;400;904;608;676;766;583;432;826;1053;566;495;563;676;497;618;529;666;151;204;258;378;286;329;96
;meer stembiljetten dan toegelaten kiezers;;;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
;minder stembiljetten dan toegelaten kiezers;;;2;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;kiezers met stembiljet hebben niet gestemd;;;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te weinig stembiljetten uitgereikt;;;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te veel stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;geen verklaring;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;andere verklaring;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;VVD;;;3292;97;109;131;106;78;251;127;40;183;104;214;150;152;54;108;187;142;103;116;90;102;115;92;111;51;72;38;57;52;54;6
;;1;Saris, A.P.;1287;41;42;42;33;13;107;53;17;71;40;72;63;76;21;51;81;41;47;46;30;37;51;41;36;18;23;21;21;24;26;2
;;2;Antonis, S.M.P.;358;6;8;8;40;7;35;17;4;14;10;22;14;4;4;7;8;50;19;15;5;10;4;3;9;6;6;3;4;7;8;1
;;3;Gonzalez Delhaes, C.A.E.;241;4;10;4;11;5;15;11;2;17;9;20;12;13;4;11;11;13;9;6;6;5;8;2;8;0;7;4;4;5;5;0
;;4;van Heugten, R.L.;111;3;6;3;1;14;2;3;5;12;3;2;7;3;0;7;6;0;1;3;5;6;3;7;0;1;1;2;4;0;0;1
;;5;van Wieren-Kraayvanger, V.W.H.;342;9;5;25;9;10;17;8;1;18;19;10;23;22;5;19;24;17;9;10;13;7;11;11;15;4;5;0;2;8;6;0
;;6;van Daele, J.I.H.;79;1;3;0;0;0;3;3;1;9;1;26;1;1;0;0;0;1;0;4;1;2;0;4;3;1;11;1;0;0;2;0
;;7;van der Maal, E.;18;0;2;3;0;1;0;1;0;1;0;1;0;0;0;0;1;1;0;0;0;0;0;1;2;0;0;0;4;0;0;0
;;8;van Zutphen-Krispijn, M.M.E.T.;56;0;1;2;2;3;5;0;0;6;1;0;0;0;1;1;17;1;0;2;2;0;2;4;5;0;1;0;0;0;0;0
;;9;Knoops, G.A.J.;28;2;0;0;0;0;1;1;0;0;0;0;0;0;0;2;0;0;0;0;5;6;0;6;2;0;0;0;3;0;0;0
;;10;van der Linden, G.M.E.M.;42;1;0;0;0;1;22;2;0;4;0;5;0;0;0;0;0;0;1;0;0;2;1;0;1;2;0;0;0;0;0;0
;;11;Roothans, S.;161;6;3;2;2;0;22;5;1;3;5;27;4;4;2;1;5;10;4;8;2;7;5;0;6;12;11;1;1;2;0;0
;;12;Louwers, R.;63;3;6;17;0;2;3;2;1;2;1;2;5;1;1;0;0;0;1;2;3;3;3;2;0;1;0;1;1;0;0;0
;;13;Kaspers, J.P.G.M.;16;0;3;0;0;2;0;1;2;1;0;0;0;0;0;0;0;0;0;1;0;2;2;0;2;0;0;0;0;0;0;0
;;14;Schellekens, L.H.;113;7;9;7;0;4;2;3;1;3;7;13;5;13;2;1;10;2;4;2;3;2;2;1;3;0;0;1;1;2;3;0
;;15;van der Bijl, M.H.;16;0;0;0;0;4;0;0;0;5;1;0;0;2;0;0;0;1;0;0;1;0;0;2;0;0;0;0;0;0;0;0
;;16;Beekman, J.J.A.;19;1;0;0;0;2;0;0;0;1;0;0;0;0;1;2;0;0;0;0;4;0;2;1;5;0;0;0;0;0;0;0
;;17;Maas, J.A.G.;17;3;0;1;0;2;1;0;0;1;0;0;1;0;2;0;0;0;0;1;1;0;0;1;3;0;0;0;0;0;0;0
;;18;Eveleens-van den Hurk, J.G.R.M.;19;1;0;0;0;0;1;1;1;1;3;0;4;0;0;0;0;0;0;0;1;2;3;0;0;0;0;0;1;0;0;0
;;19;Lathouwers, S.;14;0;0;2;0;1;0;0;1;1;0;0;0;0;2;0;2;0;0;1;0;0;1;0;0;0;1;0;2;0;0;0
;;20;Gruijters, F.M.;4;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;21;Zwolsman-Jacobs, R.;14;3;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;3;1;0;1;0;1;0;0;0;0;0;0;0
;;22;van Loon, E.J.H.P.;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;1;0;0;0;0;0;0;0
;;23;Sanders, A.C.F.M.;12;0;0;1;0;0;0;3;0;0;0;2;0;1;0;0;2;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0
;;24;van Rooij, J.H.;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;25;van de Ven, W.J.;3;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;26;Nooijen, M.H.P.;3;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;27;de Kort, J.A.S.M.;20;1;0;0;2;1;0;2;0;3;0;0;0;0;2;0;2;0;0;0;0;0;0;2;4;0;0;1;0;0;0;0
;;28;Dukers-van den Oever, M.W.M.;12;0;0;0;0;0;1;0;0;0;0;2;4;3;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
;;29;van Zantvoort, M.;8;0;0;0;1;0;0;1;1;0;0;0;2;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;30;Raaijmakers, L.G.A.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;31;Klessens, L.A.M.;5;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
;;32;de Kort-Giesbers, M.W.;23;1;2;1;0;1;3;0;0;0;0;0;0;0;3;1;1;0;2;0;0;0;1;2;0;0;0;0;4;0;0;1
;;33;de Wit, G.J.R.Z.;35;2;5;1;0;0;1;0;0;0;0;0;0;1;0;0;2;1;1;6;1;2;4;2;3;0;0;0;2;0;0;1
;;34;In den Kleef, L.T.G.M.;3;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0
;;35;Groenen, J.W.F.;6;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0
