Verkiezing;;Gemeenteraad Dongen 2022;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;
Gebied;;Gemeente Dongen;;;;;;;;;;;;;;;;
Nummer;;0766;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Gemeentehuis;Basisschool De Vlinderboom;Basisschool St. Jan;Kelly van Zon Gymzaal;Clubgebouw V.V.Dongen;Gymzaal Otterdonk;Sportzaal De Gaasjes;Dorpshuis De Geubel;Europlus;Sporthal De Salamander;Gemeentehuis - 14 maart;Gemeentehuis - 15 maart;V.V. Dongen - 14 maart;V.V. Dongen - 15 maart
Gebiednummer;;;;;1;2;4;5;6;7;8;9;10;20;21;22;23;24
Postcode;;;;;5104 JJ;5102 XS;5104 CL;5104 EG;;5103 GN;5106 NC;5109 AC;5101 TJ;5101 ZG;5104 JJ;5104 JJ;;
;;4;Asin, D.E.;121;20;5;2;6;15;26;3;7;0;7;5;12;5;8
;;5;de Jong, C.A.M.;162;11;4;14;14;3;8;46;12;9;2;14;10;3;12
;;6;de Zwart, W.;66;4;1;1;1;2;2;34;6;3;0;0;3;6;3
;;7;de Boer, A.C.;59;0;0;0;0;0;1;0;55;1;0;2;0;0;0
;;8;Verkooijen, J.A.L.M.;15;2;0;1;0;3;1;0;0;1;2;0;0;2;3
;;9;van Woerkom, R.P.;13;0;0;1;0;0;0;0;11;0;0;0;1;0;0
;;10;van der Aa, J.J.M.;41;9;6;2;1;2;6;3;0;0;1;0;6;0;5
;;11;Claassen, M.P.L.;18;4;1;0;3;2;0;3;0;1;1;0;0;0;3
;;12;Branderhorst, J.E.A.;45;4;1;0;0;0;0;0;39;0;0;0;0;1;0
;;13;Megens, W.J.A.G.;7;0;0;0;0;3;0;0;1;0;0;0;1;2;0
;;14;de Jong, G.H.M.;16;4;0;0;0;6;0;0;0;0;0;1;5;0;0
;;15;van Eersel, K.J.A.;55;1;0;0;1;0;2;0;50;1;0;0;0;0;0
;;16;Vonk, A.R.J.;17;2;1;0;0;1;2;0;0;2;5;2;2;0;0
;;17;Jansen-Castricum, M.E.M.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;18;Jansen, J.J.C.A.M.;3;0;1;1;0;0;0;0;0;1;0;0;0;0;0
;;19;Peeters, M.J.P.;11;1;1;0;0;0;0;5;0;2;0;0;1;0;1
;;20;Hummelink-Lurvink, L.M.C.;2;1;0;0;0;0;0;0;0;0;0;0;1;0;0
;;21;Megens-van Ewijk, E.P.;3;1;0;0;1;0;0;1;0;0;0;0;0;0;0
;;22;Melsen, P.;18;0;0;0;0;1;0;3;13;0;0;0;0;1;0
;;23;Snoeren, C.W.A.M.;4;0;0;0;0;0;0;1;0;0;0;0;0;0;3
;;24;Allard-Nieuwkamp, M.;15;0;3;1;2;0;0;0;0;2;4;1;2;0;0
;;25;Megens, J.T.R.M.;2;0;0;0;0;0;0;0;0;0;0;1;1;0;0
;;26;Dankers, B.A.M.;9;0;0;0;1;0;0;6;0;1;0;0;0;0;1
;;27;van der Ven, P.C.;6;3;0;2;0;1;0;0;0;0;0;0;0;0;0
;;28;van Dongen, A.D.G.;2;0;0;0;0;0;1;0;0;0;0;1;0;0;0
;;29;van Dooren, F.M.F.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;30;van den Broek, M.N.A.;18;2;2;0;0;10;0;0;2;0;0;0;0;1;1
;;31;de Geus, K.;13;1;0;0;0;1;2;0;8;0;0;0;1;0;0
