Verkiezing;;Gemeenteraad Deurne 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Deurne;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0762;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Cultuurcentrum Deurne;Reddingiushuis;Wijkhuis D'n Houtenhoek;Sporthal de Kubus;Gerardushuis;Molen Maria-Antoinette;Hofke van Marijke;MFA 't Huis Vlierden;Basisschool De Piramide;S.C.C. Den Draai;Gemeenschapshuis De Kastanje;Ontmoetingsruimte 'de Gasterij';Gemeenschapshuis De Moost;Gemeenschapshuis De Gouden Helm;Sporthal de Kubus (2);Hofke van Marijke (2);Cultuurcentrum Deurne (2);Microsporthal;S.C.C. Den Draai (2);Cultuurcentrum Deurne;Cultuurcentrum Deurne;Gemeenschapshuis De Kastanje;Gemeenschapshuis De Kastanje;Brandweer Neerkant;Brandweer Neerkant
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;21;22;24;25;26;27;28;29
Postcode;;;;;5751 KM;5751 GA;5751 ES;5754 DV;5752 AP;5751 LN;5753 BE;5756 AM;5751 VJ;5754 AV;5757 AP;5757 DZ;5758 RX;5759 PA;5754 DV;5753 BE;5751 KM;5751 JB;5754 AV;5751 KM;5751 KM;5757 AP;5757 AP;5758 SB;5758 SB
;;22;van Loon-Derikx, H.W.J.;6;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;23;van Grinsven, M.A.J.;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
;;24;Nooijen, J.J.M.;10;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;1;0
;;25;van den Heuvel, R.M.;17;0;1;3;4;0;0;0;0;3;0;0;0;1;0;0;0;0;1;0;1;3;0;0;0;0
;;26;van Bussel, M.A.M.;22;2;3;5;1;1;1;0;0;0;0;2;1;0;0;1;0;0;0;0;2;2;1;0;0;0
;;27;van Rijssel, T.A.N.;4;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
;;28;de Graaf, J.A.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;29;van Kampen, E.G.;25;1;4;3;0;0;0;0;0;0;5;2;1;2;0;1;0;0;1;2;1;1;0;1;0;0
4;Progressief Akkoord-GROENLINKS-PvdA;;;1877;86;69;104;134;109;62;85;103;178;47;56;19;29;16;112;67;119;65;59;138;181;10;21;2;6
;;1;Coppus, J.M.F.L.;690;36;27;44;43;44;17;34;32;70;16;20;11;10;5;30;22;44;19;22;59;72;3;6;0;4
;;2;Sengers, W.;49;0;1;1;4;7;3;3;2;7;1;1;1;0;0;1;2;1;5;1;4;4;0;0;0;0
;;3;van den Berg, W.T.;45;1;3;0;3;5;1;0;3;12;0;0;0;0;0;1;1;2;0;2;4;7;0;0;0;0
;;4;Quaadgras, A.;194;6;7;9;22;12;8;14;11;21;4;3;0;3;2;5;4;18;5;6;17;13;1;2;1;0
;;5;Lintermans, M.H.G.M.;169;11;8;15;16;3;2;6;6;15;4;3;0;0;0;30;7;7;10;2;7;13;1;3;0;0
;;6;Nooijen, E.;172;8;6;13;10;8;4;7;4;12;4;5;1;3;1;11;3;13;9;7;19;20;0;2;0;2
;;7;Glas, L.;30;1;1;1;2;2;1;3;0;2;0;3;0;0;1;5;3;1;0;0;1;2;0;1;0;0
;;8;Bouw, A.F.J.;18;0;0;0;1;3;0;0;3;0;0;0;0;8;3;0;0;0;0;0;0;0;0;0;0;0
;;9;Mennen, C.M.J.;5;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0;0
;;10;de Jong, G.P.M.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
;;11;van den Berkmortel, J.J.C.M.;8;1;1;1;0;1;0;1;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
;;12;van Otterdijk, R.;43;1;2;1;2;3;2;1;8;1;0;1;0;0;1;5;2;5;2;1;1;4;0;0;0;0
;;13;Dohmen, J.;9;4;0;1;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
;;14;Beijers, R.H.J.;49;2;0;2;5;3;3;4;1;4;1;0;0;1;1;4;8;5;0;2;3;0;0;0;0;0
;;15;Westrik, A.;47;4;1;2;4;4;0;1;1;5;0;0;0;1;1;0;1;6;5;2;1;8;0;0;0;0
;;16;Hikspoors, I.;30;0;0;0;0;1;4;1;4;2;0;1;2;0;0;4;1;3;1;3;0;2;0;1;0;0
;;17;Aarts, F.P.J.M.;33;2;1;1;3;1;1;1;0;5;6;0;0;0;0;2;3;0;0;7;0;0;0;0;0;0
;;18;Hikspoors, F.P.;28;0;0;0;0;1;3;2;0;1;0;6;3;0;0;0;1;1;2;2;1;1;1;2;1;0
;;19;Thijssen, D.M.;8;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;5;0;0;0;0
;;20;Tulkens, M.J.L.;9;0;0;1;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0
;;21;Arts, C.J.;8;0;2;1;0;0;2;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0
;;22;Knoet-Michels, A.J.H.;18;0;0;0;0;0;0;0;12;0;0;0;0;0;1;0;0;0;0;0;3;2;0;0;0;0
;;23;van der Singel, I.C.;14;0;1;0;1;2;3;0;0;1;0;0;0;0;0;1;0;1;1;0;2;1;0;0;0;0
;;24;Schatorje, M.W.G.;7;0;0;0;0;0;1;1;0;1;0;0;0;0;0;1;0;0;0;0;1;2;0;0;0;0
;;25;Albers, J.T.;4;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0
;;26;Bos, A.J.A.M.;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;27;Alshoaibi, M.;10;1;0;0;1;0;1;0;0;0;0;0;0;1;0;1;1;0;0;0;1;3;0;0;0;0
;;28;Ragetlie, J.P.;13;0;0;1;2;0;0;0;2;3;0;0;0;0;0;0;1;2;1;0;0;0;0;1;0;0
;;29;de Swart, M.C.;21;1;1;0;0;0;1;0;11;0;0;0;0;0;0;0;0;1;0;0;3;3;0;0;0;0
;;30;van der Schaaf, L.G.M.;10;1;0;0;2;0;0;0;1;0;2;0;0;0;0;3;1;0;0;0;0;0;0;0;0;0
;;31;Jansen, G.J.M.;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
;;32;van Deursen, W.H.A.E.;3;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
;;33;in 't Hulst, G.J.J.M.;7;0;0;2;2;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0
;;34;Verleijsdonk, J.G.J.;7;0;0;1;0;0;2;0;0;0;0;1;0;0;0;0;1;0;0;0;1;1;0;0;0;0
;;35;Corstens, M.A.H.C.;20;0;0;0;0;0;0;0;2;1;0;8;1;0;0;0;1;0;0;0;1;1;2;3;0;0
;;36;Telders, P.J.F.;4;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0;0;0
;;37;Goossens, N.A.M.;11;0;0;0;3;2;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;3;0;0;0;0
;;38;Eevers, G.J.J.M.;4;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;39;Berkers, E.J.G.;9;0;0;0;1;2;1;0;0;2;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0
;;40;de Vries, P.F.M.;7;0;0;0;0;0;0;0;0;4;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0
;;41;Frantzen-Hanegraaf, J.H.M.;8;1;0;3;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0
;;42;Mensink, J.J.J.W.;12;0;0;0;0;0;0;0;0;2;0;1;0;2;0;2;0;0;0;1;0;2;2;0;0;0
;;43;Reijnen, H.H.M.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;;44;Geven, A.W.M.;7;1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;;45;Magnée, J.H.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;46;van Oostenbrugge, L.H.;3;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;47;Duffhauss, J.P.;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;0;0;0
;;48;van Opbergen, W.M.M.;8;1;0;0;1;2;1;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0;0;0
;;49;Pecht, M.P.J.;10;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;3;1;1;0;1;0;0;0;0;0
;;50;Koppens, W.H.;8;1;1;0;2;0;0;1;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0
5;VVD;;;1634;64;51;71;43;115;59;54;231;56;42;109;58;67;14;82;67;72;45;79;48;105;26;57;4;15
;;1;Oomen, T.;611;34;27;36;16;45;22;17;20;16;21;64;25;14;11;42;19;27;20;17;17;50;15;32;0;4
;;2;Smits - Biemans, M.J.P.M.L.;174;5;7;12;8;18;3;6;1;11;9;3;3;1;1;16;3;10;5;28;9;13;0;2;0;0
;;3;van den Heuvel, M.J.;77;5;3;0;3;3;3;2;2;4;5;5;0;1;0;4;13;3;5;5;4;3;0;4;0;0
;;4;Bulten, W.A.;21;0;0;1;0;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0
;;5;Eijsbouts, P.J.J.M.;207;0;1;0;3;3;1;2;179;0;0;0;5;1;1;0;2;2;0;1;2;3;1;0;0;0
;;6;van Kessel, M.H.J.;48;1;0;8;1;5;5;1;0;2;2;0;0;0;0;5;2;4;5;1;1;5;0;0;0;0
;;7;Bankers, T.;55;4;3;4;2;4;3;3;0;3;0;0;1;0;1;2;1;7;4;3;3;7;0;0;0;0
;;8;Goorts - Janssen, E.L.M.;74;0;0;0;0;0;0;0;0;0;0;1;5;49;0;0;0;1;0;0;1;0;2;2;4;9
;;9;van Eunen, M.;20;2;0;0;0;0;3;0;0;1;1;0;0;0;0;0;0;0;0;5;4;4;0;0;0;0
;;10;van Waaijenburg, H.F.M.;49;1;1;0;2;9;3;5;0;4;0;1;0;0;0;3;10;1;2;2;2;3;0;0;0;0
;;11;Brinks, B.G.;18;2;2;1;2;1;1;0;0;1;0;0;0;0;0;3;0;4;0;1;0;0;0;0;0;0
;;12;Wentholt, C.A.M.;30;2;2;2;1;1;3;4;1;5;1;0;0;0;0;1;2;2;0;0;1;2;0;0;0;0
;;13;Meulendijks, W.T.G.;19;0;0;3;0;0;1;0;1;0;1;0;0;0;0;0;0;1;0;10;0;0;1;1;0;0
;;14;van Someren, J.P.G.;54;1;0;1;0;0;0;0;0;0;0;20;11;0;0;0;0;0;0;1;0;1;7;12;0;0
;;15;Smits, R.J.A.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
;;16;Mollemans, L.J.A.;14;0;0;0;1;0;8;1;0;1;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0
;;17;Lemmens - van Heek, C.J.;29;1;0;1;2;1;1;2;0;5;0;0;0;0;0;2;2;4;0;1;2;4;0;1;0;0
;;18;Lukassen, M.;10;0;1;0;0;0;1;0;1;0;0;2;2;0;0;2;0;0;0;0;0;1;0;0;0;0
;;19;Biemans, J.L.F.;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
;;20;Fransen, F.H.J.;14;0;0;1;1;0;0;0;10;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
;;21;Verheijen, J.P.A.;8;1;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;0;0;1;1;0;0;0;0
;;22;van Stiphout, K.H.T.;8;0;0;0;1;0;1;4;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
;;23;van Dijk, L.J.P.;11;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;7;0;0;0;0;2;0;0;0;0
;;24;Biemans - Heijnen, P.J.A.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;25;van Rooij, K.C.L.J.;16;1;0;0;0;0;0;1;9;0;1;0;1;0;0;0;1;0;2;0;0;0;0;0;0;0
;;26;van Griensven, J.M.C.;4;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0
;;27;van den Heuvel, L.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;28;van Rooij, W.L.P.;15;0;0;0;0;3;0;2;5;0;0;0;0;0;0;0;0;3;0;0;0;2;0;0;0;0
;;29;van Lierop, J.A.M.;9;1;0;0;0;2;0;0;0;2;0;1;0;0;0;0;0;0;1;2;0;0;0;0;0;0
;;30;Schlösser, M.M.;11;2;2;0;0;0;0;2;2;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0
;;31;Berkers, R.P.P.;26;0;0;1;0;1;0;1;0;0;0;11;3;0;0;2;1;1;0;0;0;1;0;2;0;2
6;Transparant Deurne;;;1371;55;45;88;58;133;61;75;44;95;54;98;50;44;18;57;76;61;31;59;47;60;24;33;2;3
;;1;van Tilburg, F.H.J.;317;16;17;27;18;45;21;10;3;25;5;4;8;3;1;24;11;22;5;10;16;23;0;3;0;0
;;2;Kuijpers-Aarts, M.A.;142;4;3;8;3;7;9;10;6;7;9;15;3;14;2;4;9;5;5;5;3;4;3;2;1;1
;;3;de Wit, G.H.G.;114;7;3;11;3;38;7;7;3;9;3;0;0;0;0;1;3;3;1;7;4;3;1;0;0;0
;;4;van Rixtel, J.H.;94;8;1;5;1;9;3;1;2;8;0;12;11;1;0;5;4;8;0;0;2;0;2;11;0;0
;;5;Geboers-Rops, A.M.C.;70;0;0;5;0;3;0;0;1;6;1;16;8;1;6;0;3;0;0;3;3;4;6;3;0;1
;;6;van Tilburg, A.E.M.;65;4;0;3;1;6;3;9;7;1;0;0;1;0;0;4;16;3;0;2;4;1;0;0;0;0
;;7;Sijben, R.P.M.;18;2;0;0;0;0;0;1;0;0;1;2;0;10;0;0;0;2;0;0;0;0;0;0;0;0
;;8;Hunnekens, N.F.G.;21;1;4;2;1;3;0;0;0;1;0;0;0;0;0;2;0;0;0;1;3;3;0;0;0;0
;;9;Poels, A.M.J.;12;2;0;2;3;0;0;0;0;1;0;0;0;0;0;2;1;0;0;0;0;1;0;0;0;0
;;10;Renders-de Wit, D.H.M.;22;0;0;1;0;5;1;0;13;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0
;;11;Basten, H.W.C.;54;0;0;1;0;0;0;0;0;0;1;29;9;0;0;0;0;0;0;0;0;0;8;6;0;0
;;12;van den Eijnden, J.G.;56;1;0;0;4;1;2;3;0;3;12;5;0;0;0;5;2;1;1;14;0;1;1;0;0;0
;;13;Stax, E.A.M.;33;1;0;5;4;3;0;1;2;1;0;0;1;0;0;2;0;3;3;0;4;2;1;0;0;0
;;14;van der Steen, J.;17;0;1;0;1;1;0;1;0;6;1;0;0;0;0;0;0;0;1;1;0;4;0;0;0;0
;;15;Sonnemans, M.H.;14;0;1;1;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;1;1
;;16;Lammers, W.W.C.;27;0;3;2;0;1;0;3;3;0;1;2;0;1;0;0;3;0;0;3;0;3;0;2;0;0
;;17;van Dijk, J.M.W.;27;1;6;4;8;0;0;1;0;1;0;0;1;0;0;0;0;3;0;0;0;2;0;0;0;0
;;18;Weerts, A.J.;11;0;0;0;0;0;4;0;0;1;2;0;0;0;0;1;0;1;0;1;1;0;0;0;0;0
;;19;Manders, P.A.G.M.;25;1;0;0;0;0;2;1;0;11;6;0;0;0;0;1;0;1;0;0;2;0;0;0;0;0
;;20;Mellema-Verschuuren, K.C.G.G.;11;0;0;0;0;0;0;0;0;0;1;1;4;0;2;0;0;2;0;0;0;0;0;1;0;0
;;21;Verdam, M.A.;30;0;0;3;0;0;1;10;0;0;0;0;0;0;0;1;7;1;2;2;0;2;0;1;0;0
;;22;Engelen, C.J.C.;21;0;0;0;2;0;0;5;0;2;2;0;0;0;0;0;4;1;5;0;0;0;0;0;0;0
;;23;van Ooij, H.G.J.;31;0;0;0;0;0;1;0;0;2;2;10;3;2;0;3;0;0;1;0;1;3;2;1;0;0
;;24;Kuijpers, M.H.;31;1;0;5;1;1;2;5;0;0;1;1;1;2;4;1;3;0;1;2;0;0;0;0;0;0
;;25;Yardim, L.R.M.;5;0;1;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;26;Keijzers, J.H.;6;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0
;;27;Schrama, N.G.M.;12;0;0;0;2;3;0;1;0;0;1;0;0;0;0;0;2;0;1;1;1;0;0;0;0;0
;;28;van den Anker, H.;18;2;0;1;0;0;2;4;0;3;0;0;0;0;1;0;5;0;0;0;0;0;0;0;0;0
;;29;Bouwmans, W.A.A.;22;0;0;0;1;0;2;0;0;5;4;0;0;0;2;0;0;1;0;5;1;1;0;0;0;0
;;30;Hurkmans, J.;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;;31;Pomšárová, B.;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;32;Dielissen, G.J.L.;7;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;2;0;0
;;33;Keeren, C.J.W.;14;0;5;0;1;3;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;1;0;0
;;34;Janssen, R.J.;7;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;3;0;0;1;0;0;0;0
;;35;de Wit, H.W.G.;7;1;0;0;0;2;0;0;0;2;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0
;;36;Arts, H.T.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;37;van der Heijden, A.W.;7;1;0;0;1;0;1;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0
7;50PLUS;;;595;30;24;39;41;19;20;45;6;44;23;33;14;7;5;25;31;27;16;16;39;55;9;17;2;8
;;1;van Ooijen, E.;333;21;13;21;26;8;10;17;4;19;11;30;13;6;5;14;9;16;11;6;18;29;9;15;0;2
;;2;van Diesen, J.A.J.;127;2;4;12;8;0;3;14;0;18;7;2;0;1;0;3;14;5;2;4;10;12;0;1;2;3
;;3;van den Berkmortel, W.A.G.;51;3;3;3;1;5;6;4;1;1;4;0;0;0;0;0;1;2;2;4;5;6;0;0;0;0
;;4;Claassen, I.G.H.M.;40;2;2;1;3;3;0;4;0;4;0;0;0;0;0;3;6;3;1;1;2;4;0;1;0;0
;;5;Manders, M.J.;24;2;0;2;2;1;1;5;0;2;0;0;0;0;0;2;0;0;0;1;2;4;0;0;0;0
;;6;Jeucken, G.J.;14;0;2;0;0;2;0;1;0;0;0;0;0;0;0;3;0;1;0;0;2;0;0;0;0;3
;;7;Heckathorn, J.H.;6;0;0;0;1;0;0;0;1;0;1;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0
