Verkiezing;;Gemeenteraad Deurne 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Deurne;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0762;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Cultuurcentrum Deurne;Reddingiushuis;Wijkhuis D'n Houtenhoek;Sporthal de Kubus;Gerardushuis;Molen Maria-Antoinette;Hofke van Marijke;MFA 't Huis Vlierden;Basisschool De Piramide;S.C.C. Den Draai;Gemeenschapshuis De Kastanje;Ontmoetingsruimte 'de Gasterij';Gemeenschapshuis De Moost;Gemeenschapshuis De Gouden Helm;Sporthal de Kubus (2);Hofke van Marijke (2);Cultuurcentrum Deurne (2);Microsporthal;S.C.C. Den Draai (2);Cultuurcentrum Deurne;Cultuurcentrum Deurne;Gemeenschapshuis De Kastanje;Gemeenschapshuis De Kastanje;Brandweer Neerkant;Brandweer Neerkant
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;21;22;24;25;26;27;28;29
Postcode;;;;;5751 KM;5751 GA;5751 ES;5754 DV;5752 AP;5751 LN;5753 BE;5756 AM;5751 VJ;5754 AV;5757 AP;5757 DZ;5758 RX;5759 PA;5754 DV;5753 BE;5751 KM;5751 JB;5754 AV;5751 KM;5751 KM;5757 AP;5757 AP;5758 SB;5758 SB
;aangetroffen stembiljetten;;;13807;537;498;649;718;953;435;709;793;818;500;682;372;654;439;719;683;569;409;534;568;928;146;302;63;129
;meer stembiljetten dan toegelaten kiezers;;;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0
;minder stembiljetten dan toegelaten kiezers;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;kiezers met stembiljet hebben niet gestemd;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te weinig stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te veel stembiljetten uitgereikt;;;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;geen verklaring;;;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;andere verklaring;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;Politieke Partij DOE!;;;3408;188;160;161;256;232;112;185;94;198;73;142;81;81;90;223;184;162;150;75;159;300;23;60;9;10
;;1;Biemans, M.H.;1682;112;97;83;116;133;55;96;39;94;46;46;25;23;23;90;83;89;90;37;99;173;11;19;3;0
;;2;Vrijnsen-de Corte, M.C.W.;210;8;12;15;27;13;10;4;2;24;5;2;1;3;2;20;12;12;7;8;10;12;1;0;0;0
;;3;van Neerven, B.A.;47;2;0;0;7;2;2;1;0;5;0;0;0;0;0;9;4;3;0;2;0;7;0;2;1;0
;;4;Thijssen-van Loon, E.T.M.;205;1;1;0;6;6;0;1;4;2;2;69;47;3;0;8;4;1;2;3;2;4;8;30;0;1
;;5;van Bakel, C.L.H.;57;1;4;3;7;6;3;1;0;4;1;1;0;0;0;9;5;2;3;1;3;3;0;0;0;0
;;6;Luijten, W.J.L.;79;4;0;0;2;0;0;3;0;2;1;0;3;0;56;3;0;0;0;2;0;1;0;0;2;0
;;7;Coopmans, P.W.;22;2;0;0;1;9;1;1;0;0;1;0;0;0;0;2;0;2;1;0;1;1;0;0;0;0
;;8;Coppus-Verhees, E.P.J.;110;4;0;11;5;12;6;3;4;10;0;3;1;2;0;5;8;8;9;2;4;13;0;0;0;0
;;9;van der Kant, D.J.G.;28;1;0;0;5;1;0;0;1;2;1;2;0;0;0;5;1;3;1;0;1;2;0;2;0;0
;;10;Smets, M.P.;32;1;6;5;0;2;0;0;0;2;1;1;0;1;0;4;0;2;2;0;0;5;0;0;0;0
;;11;van Kessel-Schrama, F.H.;59;4;7;6;8;6;2;5;2;3;2;0;0;0;0;4;2;1;2;1;2;2;0;0;0;0
;;12;Schreurs, A.F.M.;62;0;0;0;0;1;0;0;0;0;0;0;0;48;0;0;0;0;0;0;1;0;0;0;3;9
;;13;Verhagen-Berkers, A.J.H.;42;3;0;3;0;2;1;3;0;7;2;0;0;0;0;8;1;2;1;1;5;3;0;0;0;0
;;14;Swinkels, L.C.M.;48;1;1;1;4;3;0;1;22;2;0;3;0;1;0;1;3;3;0;0;1;1;0;0;0;0
