Verkiezing;;Gemeenteraad Helmond 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Helmond;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0794;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Wijkhuis Brede school de Fonkel;Valkennest (Bethlehemkerk);ROC ter Aa;Gymzaal de Fonkel (ingang Dasstraat);Gymzaal Koekoekstraat (ingang Reigerzaal);Bibliotheek Helmond;Gymzaal Hobostraat;Wijkcentrum de Boerderij;Sporthal de Braak;Gymzaal Paulus Potterlaan;Gymzaal Montgolfierstraat;Wijkhuis de Lier;Wijkhuis de Brem;Gymzaal de Straap;Wijkhuis de Brem;Wijkcentrum Parkzicht;Gymzaal Dierdonk;Buurthuis St. Anna;Gemeenschapshuis de Loop;Wijkgebouw de Zonnesteen;Veka Sporthal;Veka Sporthal (kantine);Sporthal Suytkade (ingang zijkant);De Geseldonk;Wijkhuis 't Brandpunt;Sporthal de Veste (ingang Brandpunt);Gymzaal de Vendelier;Gymzaal 't Baken;Zaal Adelaars;Sporthal Westwijzer (ingang wijkhuis);Sporthal Westwijzer (ingang wijkhuis);Societeit de Gezelligheid;Het Speelhuis;Zalencentrum de Smed;Gymzaal Gasthuisstraat (naast St. Trudoschool);Drive-thru;Wijkhuis Brede School de Fonkel;Wijkcentrum de Boerderij;Wijkhuis de Lier;Wijkhuis de Brem;Wijkcentrum Parkzicht;Wijkgebouw de Zonnesteen;Wijkhuis 't Brandpunt;Zaal Adelaars;Sporthal Westwijzer (ingang wijkhuis);Het Speelhuis;Gymzaal Gasthuisstraat (naast St. Trudoschool);Mobiel stembureau;Wijkhuis Brede school de Fonkel;Wijkcentrum de Boerderij;Wijkhuis de Lier;Wijkhuis de Brem;Wijkcentrum Parkzicht;Wijkgebouw de Zonnesteen;Wijkhuis 't Brandpunt;Zaal Adelaars;Sporthal Westwijzer (ingang wijkhuis);Het Speelhuis;Gymzaal Gasthuisstraat (naast St. Trudoschool);Mobiel stembureau
Gebiednummer;;;;;102;104;106;107;108;110;202;203;204;206;301;303;401;402;403;405;407;501;502;505;506;507;508;602;606;608;611;612;613;702;703;801;803;901;902;920;1102;1203;1303;1401;1405;1505;1606;1613;1702;1803;1902;1903;2102;2203;2303;2401;2405;2505;2606;2613;2702;2803;2902;2903
Postcode;;;;;5701 VL;5702 PJ;5702 NR;5701 VE;5702 PT;5701 RV;5702 TH;5702 JD;5703 HV;5702 CV;5703 EE;5703 BW;5709 BT;5709 KG;5709 BT;5709 PZ;5709 PZ;5705 AM;5704 AP;5704 HZ;5709 AB;5709 AB;5705 KZ;5706 KC;5708 ZD;5708 ZD;5706 KH;5706 CW;5706 AL;5707 TJ;5707 TJ;5707 HJ;5707 DZ;5708 GJ;5708 HK;5701 SH;5701 VL;5702 JD;5703 BW;5709 BT;5709 PZ;5704 HZ;5708 ZD;5706 AL;5707 TJ;5707 DZ;5708 HK;;5701 VL;5702 JD;5703 BW;5709 BT;5709 PZ;5704 HZ;5708 ZD;5706 AL;5707 TJ;5707 DZ;5708 HK;
;opgeroepenen;;;74359;2651;1493;2087;2274;1648;2458;1584;1527;2210;2315;1988;2080;2185;2114;2134;2025;1943;2273;2430;1945;1153;1853;1354;2886;2761;2611;2720;2509;2561;1802;2112;2028;2122;2230;2293;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;geldige stempas;;;25468;787;266;454;134;443;544;348;404;375;490;355;445;316;204;639;772;665;511;918;452;343;404;280;799;815;881;1085;774;794;336;430;1083;631;1029;981;195;173;155;108;157;185;141;233;207;109;154;197;52;313;241;199;286;310;215;429;342;176;275;310;119
;geldig volmachtbewijs;;;3716;159;47;73;32;68;61;39;50;61;86;44;75;57;23;111;115;108;47;134;62;38;45;29;115;149;147;148;136;176;44;52;171;55;149;118;33;27;27;12;26;28;16;26;26;21;14;29;8;53;31;38;30;40;33;53;40;20;31;29;1
;geldige kiezerspas;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;toegelaten kiezers;;;29184;946;313;527;166;511;605;387;454;436;576;399;520;373;227;750;887;773;558;1052;514;381;449;309;914;964;1028;1233;910;970;380;482;1254;686;1178;1099;228;200;182;120;183;213;157;259;233;130;168;226;60;366;272;237;316;350;248;482;382;196;306;339;120
;geldige stembiljetten;;;29024;934;308;525;166;508;602;384;448;434;573;390;516;372;227;745;887;769;555;1048;513;380;449;308;908;955;1022;1227;907;968;380;480;1251;680;1166;1097;228;200;181;120;177;212;156;258;233;130;163;224;58;366;272;234;316;349;248;480;380;193;306;338;120
;blanco stembiljetten;;;90;4;3;1;0;1;1;1;3;0;2;5;4;0;0;2;0;2;1;2;1;0;0;0;3;6;1;2;3;2;0;1;4;5;10;1;0;0;1;0;4;1;1;1;0;0;4;2;0;0;0;1;0;1;0;2;1;0;0;0;0
;ongeldige stembiljetten;;;71;8;2;1;0;2;2;2;3;2;1;4;0;1;0;3;0;2;2;2;0;1;0;1;3;3;5;4;0;0;0;1;0;1;2;1;0;0;0;0;2;0;0;0;0;0;1;0;2;0;0;2;0;0;0;0;1;3;0;1;0
