Verkiezing;;Gemeenteraad Middelburg 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Middelburg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0687;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Stembureau Provinciehuis Zeeland;Stembureau Educonsult / voorheen Acaciahof - stembureau 2;Stembureau ZB/Planbureau en Bibliotheek van Zeeland;Stembureau Wijkcentrum Van Cittershoff;Stembureau Sporthal de Sprong;Stembureau Educonsult / voorheen Acaciahof stembureau 6;Stembureau Hof van Buren - stembureau 7;Stembureau Praktijkschool Het Bolwerk;Stembureau Durps'uus op d'n oek;Stembureau De Hoeksteen;Stembureau Ter Hoogekerk;Stembureau De Ontmoetingskerk;Stembureau Gymzaal Mosselkreekstraat;Stembureau Gymzaal Palet - stembureau 20;Stembureau Sporthal de Kruitmolen - stembureau 22;Stembureau Sporthal de Kruitmolen - stembureau 23;Stembureau Voormalig CSW gebouw, ingang Koos Vorrinkstr;Stembureau Gymzaal Palet - stembureau 26;Stembureau Hof van Buren - stembureau 29;Stembureau Verenigingsgebouw achter Hervormde Kerk;Stembureau Dorpshuis de Arne;Stembureau Sporthal De Blikken;Stembureau ZB | Planbureau en Bibliotheek van Zeeland;Stembureau Sporthal De Sprong;Stembureau Sporthal de Kruitmolen;Stembureau Dorpshuis de Arne;Stembureau ZB | Planbureau en Bibliotheek van Zeeland;Stembureau Sporthal De Sprong;Stembureau Sporthal de Kruitmolen;Stembureau Dorpshuis de Arne;Stembureau Mobiel stembureau
;;5;Lorello, S.;34;0;2;4;3;0;0;1;0;0;2;1;1;2;3;0;0;3;1;2;0;0;0;0;3;0;0;3;2;1;0;0
;;6;Poppe-de Viet, R.M.E.;404;23;17;42;21;28;21;18;18;3;14;14;14;16;9;4;17;30;9;18;0;0;2;12;7;2;2;29;7;7;0;0
;;7;Rijkhals, D.;10;0;0;0;0;0;1;0;0;0;2;0;0;1;0;0;1;1;2;1;0;0;0;0;0;1;0;0;0;0;0;0
;;8;Dieleman, M.W.;95;10;5;10;1;1;2;4;2;0;4;1;2;0;7;1;1;9;0;3;0;0;0;7;2;0;0;13;4;3;3;0
;;9;Kavşitli, M.;331;5;2;16;1;15;9;5;7;3;10;22;40;43;31;6;18;5;28;7;0;1;0;10;5;8;0;11;14;9;0;0
;;10;Jansen, E.;105;7;4;13;1;8;2;5;3;0;5;4;4;6;1;4;6;3;4;2;0;0;3;2;0;1;0;9;4;3;1;0
;;11;Hannewijk, F.A.A.;84;3;7;7;1;6;4;5;4;1;3;3;6;2;6;0;0;6;2;1;0;1;0;6;0;2;0;3;5;0;0;0
;;12;De Brauwer-Koevoets, M.W.;39;4;0;2;2;4;1;1;0;2;1;2;1;4;1;0;0;3;2;1;0;0;0;4;0;0;0;2;0;2;0;0
;;13;Blanken, N.N.T.;46;6;1;6;2;3;2;2;4;0;3;0;1;2;3;0;0;1;0;0;0;0;0;4;0;0;0;3;2;0;0;1
;;14;Lameijn, E.;47;7;2;2;1;3;1;0;2;0;1;1;1;1;2;2;1;3;2;3;0;0;0;0;3;0;0;2;5;2;0;0
;;15;Muir, T.J.;50;9;2;6;0;2;14;1;0;0;4;0;1;0;2;0;1;3;1;0;0;0;0;0;0;0;0;3;1;0;0;0
;;16;Yurdem, Y.;304;32;12;17;1;21;6;12;10;5;15;1;10;27;18;11;6;17;27;15;1;1;1;4;4;3;0;7;11;6;3;0
;;17;Scherphof, I.G.;39;4;5;2;0;1;4;1;0;3;1;2;2;1;0;2;0;3;3;1;0;0;0;0;0;0;0;3;1;0;0;0
;;18;Anbeek, D.;129;17;7;9;1;9;4;15;1;0;5;1;5;3;3;4;1;17;1;2;0;0;0;6;6;4;0;6;0;2;0;0
;;19;Malawauw, E.;64;4;3;3;1;1;1;2;2;1;3;2;5;9;2;2;2;2;4;1;0;0;0;1;1;3;0;7;0;2;0;0
;;20;van den Heuvel, G.M.M.;4;1;0;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;21;de Doelder, P.F.;91;5;8;2;1;3;2;6;3;2;10;5;5;2;4;0;4;8;4;4;0;0;0;0;0;3;0;6;2;2;0;0
;;22;Radius-de Ridder, S.M.;27;1;4;3;0;1;6;1;0;1;0;1;0;1;0;1;0;1;1;0;0;1;2;0;0;0;0;2;0;0;0;0
;;23;van Kampen, P.H.;17;0;0;0;0;1;1;2;1;0;0;0;1;0;1;0;0;2;0;3;0;0;0;0;0;0;0;2;2;1;0;0
;;24;de Vries, A.A.;24;0;0;1;2;4;1;4;1;0;0;0;0;3;3;0;1;1;0;2;0;0;0;0;0;0;0;0;1;0;0;0
;;25;Szarafinski, S.J.;67;4;4;9;0;3;1;3;0;2;7;1;0;3;4;1;1;1;2;1;1;1;0;0;3;0;0;8;2;5;0;0
2;Lokale Partij Middelburg;;;3601;166;141;168;116;136;102;153;131;55;178;73;147;155;213;94;115;196;213;220;37;23;82;133;60;96;15;159;94;105;21;4
;;1;Smit, E.G.M.;1676;82;71;84;53;65;45;87;76;22;70;47;55;56;103;53;40;89;71;121;19;6;39;71;26;40;6;91;38;38;11;1
;;2;Steketee, W.P.;288;8;8;12;6;8;6;7;8;8;18;2;8;17;25;7;14;11;32;14;1;1;1;13;7;15;0;8;9;13;0;1
;;3;de Buck, A.;162;10;9;5;2;0;4;11;1;1;4;3;10;13;10;4;4;19;7;14;1;1;3;5;2;2;0;7;5;5;0;0
;;4;Barentsen - Heijgelaar, E.C.;585;21;23;29;19;26;18;16;30;9;34;5;39;27;36;12;20;25;50;31;1;2;10;16;9;10;2;25;13;23;3;1
;;5;Aarnoutse, J.;98;11;1;4;0;5;5;3;1;0;5;4;6;7;4;2;3;5;5;5;0;0;6;3;4;2;0;3;0;4;0;0
;;6;van den Boom, J.J.;68;1;0;1;0;3;0;0;0;2;8;0;1;0;6;0;4;3;14;2;2;2;0;2;1;9;0;4;2;1;0;0
;;7;Kollen, L.;71;7;2;0;21;4;0;1;1;0;2;1;1;2;2;2;1;5;2;3;0;0;4;3;0;0;0;1;4;2;0;0
;;8;Lodder, M.W.;125;7;11;6;1;4;13;10;5;2;5;4;3;3;3;1;0;9;3;8;1;0;2;7;3;1;2;4;6;1;0;0
;;9;Ridderbos, G.A.J.M.;36;1;1;3;0;1;0;2;0;6;2;0;1;1;3;1;7;1;3;0;0;0;0;0;0;0;0;2;0;1;0;0
;;10;Bartels, J.W.;48;2;0;1;1;0;1;0;0;0;0;0;0;0;0;0;1;1;1;0;8;7;14;1;0;1;4;0;0;0;5;0
;;11;van der Plas, F.J.M.;27;0;1;3;0;3;1;4;0;0;0;0;2;1;0;0;1;2;0;0;0;0;0;1;3;2;0;0;2;1;0;0
;;12;van der Wal, J.;44;1;2;3;2;2;0;0;1;0;1;0;1;2;3;1;1;3;8;4;0;0;1;1;1;1;0;0;3;2;0;0
;;13;Ridderbos, G.;8;0;0;0;1;0;1;1;0;2;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
;;14;de Zwart, H.;24;1;0;3;1;1;0;2;0;0;1;3;0;3;2;1;1;1;1;1;0;0;0;0;0;0;0;1;0;1;0;0
;;15;Kunst, A.C.;48;0;3;4;1;0;1;3;1;0;4;1;4;3;4;0;3;2;0;4;0;0;0;0;0;3;0;0;3;4;0;0
;;16;de Konink, F.N.;8;0;1;2;0;0;0;0;0;0;1;0;2;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;17;Lukas, P.J.;7;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;1;1;0;0;0;0;0;0;1;0;0;1;0;0;0
;;18;Ridderbos - la Grand, M.J.E.;16;1;1;0;0;1;0;0;0;2;2;0;0;0;2;0;0;1;1;1;0;1;1;0;0;2;0;0;0;0;0;0
;;19;Bish, J.J.;16;0;0;0;0;2;0;0;0;0;0;1;2;1;1;1;3;0;1;0;0;0;0;2;1;1;0;0;0;0;0;0
;;20;Meza - Munoz, L.D.;31;2;1;1;0;1;0;0;0;0;8;0;0;3;1;5;1;0;3;1;0;0;0;0;0;0;0;3;0;1;0;0
;;21;Guequierre, J.J.;47;2;0;1;4;5;1;0;4;0;1;1;1;4;1;2;1;4;4;3;0;0;1;2;0;2;0;1;1;1;0;0
;;22;de Graaf, E.;29;3;1;1;1;2;1;1;0;0;2;0;1;2;1;0;5;1;0;0;2;0;0;1;0;1;0;0;2;1;0;0
;;23;Doorn - Roosenburg, C.J.;48;2;2;0;1;0;2;1;1;0;2;0;4;2;2;0;2;2;4;3;2;1;0;3;1;1;1;4;1;3;0;1
;;24;Kraan, P.C.;91;4;3;5;2;3;3;4;2;0;8;1;5;6;2;2;3;10;2;5;0;2;0;2;2;2;0;4;4;3;2;0
3;CDA;;;2282;56;65;102;120;101;43;120;86;54;80;69;72;76;113;69;60;177;65;99;61;60;166;41;32;39;39;58;39;63;55;2
;;1;Aalberts, J.J.;1217;23;24;39;78;49;21;56;42;30;49;24;42;39;73;29;25;73;33;47;51;45;133;14;15;21;36;24;14;30;37;1
;;2;Poppe-Reijnierse, E.C.;531;21;22;33;28;27;10;34;17;15;11;22;18;19;16;19;13;51;12;23;3;6;15;12;10;10;0;17;12;23;11;1
;;3;Kant, W.A.;77;3;2;1;0;4;2;0;6;1;4;2;1;1;9;7;6;8;5;3;0;0;1;4;1;1;0;3;0;2;0;0
;;4;Beijer, S.B.;89;3;1;11;2;5;1;7;3;2;4;3;2;2;2;4;4;5;4;7;1;1;0;2;0;0;1;4;4;3;1;0
;;5;Theune, C.J.;21;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;1;0;0;0;7;4;0;0;0;1;0;2;0;3;0
;;6;Bin, R.F.F.;25;0;1;1;1;3;1;3;0;1;1;0;0;1;0;3;1;5;0;1;0;0;0;1;0;0;0;1;0;0;0;0
;;7;van der Bent, H.S.;28;1;4;0;0;0;1;4;1;0;0;3;0;1;1;1;1;7;0;1;0;0;1;0;0;1;0;0;0;0;0;0
;;8;Hoogstrate, D.J.;54;0;1;0;0;3;0;3;9;1;5;0;2;2;0;0;1;11;0;11;0;0;0;1;0;3;0;0;0;0;1;0
;;9;Jansen, W.F.M.;23;0;3;3;0;1;3;2;0;0;2;1;0;1;2;0;0;0;0;0;1;0;0;3;1;0;0;0;0;0;0;0
;;10;Knigge, S.;16;2;0;1;6;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;1;3;0;0;0
;;11;Kodde, J.;43;0;0;0;0;1;1;2;4;4;1;5;3;0;2;0;2;0;2;1;4;1;3;1;0;2;1;1;0;0;2;0
;;12;Sandee-Maljaars, J.A.;57;1;2;6;1;3;0;4;4;0;2;4;0;2;1;2;2;3;5;0;1;0;9;0;0;0;0;1;1;3;0;0
;;13;Donk, P.;17;0;0;0;0;0;0;0;0;0;0;4;1;4;1;0;0;3;0;0;0;0;0;0;1;0;0;1;2;0;0;0
;;14;Castenmiller, P.J.F.;16;0;1;2;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;2;0;0;0;2;1;0;0;4;0;1;0;0
;;15;Eleveld, J.J.;9;0;2;1;2;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0
;;16;Burger, A.A.J.;59;2;2;4;2;5;2;3;0;0;0;1;3;2;5;3;5;9;3;2;0;0;0;1;2;0;0;1;1;1;0;0
4;VVD;;;1819;129;75;118;49;98;61;111;81;27;74;42;65;54;61;58;65;86;59;87;27;19;66;79;17;32;18;72;33;36;18;2
;;1;Boonman, W.C.M.;806;50;21;45;20;47;16;47;43;20;43;22;23;20;34;25;36;28;26;45;13;11;24;37;8;18;11;39;9;14;9;2
;;2;Simons, C.;265;22;14;12;6;19;10;11;8;0;12;6;8;9;10;6;8;14;13;10;5;0;9;17;5;8;2;8;6;5;2;0
;;3;Jimenez Jansen, R.G.M.;270;25;18;28;4;13;14;14;6;4;11;2;13;6;7;8;9;12;9;6;4;2;10;9;3;4;1;10;13;2;3;0
;;4;Wöhler, A.C.;58;3;4;5;0;3;4;10;3;0;0;0;3;1;0;0;0;5;1;5;0;2;0;2;0;0;0;2;1;3;1;0
;;5;Meijer, S.E.;19;2;1;0;0;0;2;1;1;0;2;2;4;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0
;;6;Hildenbrant-Schuurs, I.;133;7;4;4;12;9;2;9;8;3;0;2;5;6;2;4;2;6;5;1;5;3;22;2;0;0;2;3;2;0;3;0
;;7;van Engelen, A.J.W.M.;17;2;0;2;0;0;0;0;0;0;1;2;1;1;0;0;1;0;0;2;0;0;0;1;0;0;2;0;0;2;0;0
;;8;van Loon, J.;10;1;1;0;0;1;1;0;0;0;1;0;0;0;0;3;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
;;9;Postma, G.A.;51;9;5;3;3;1;2;0;1;0;1;1;1;1;1;5;1;3;1;5;0;0;0;6;0;0;0;1;0;0;0;0
;;10;Soethout, J.;28;1;0;3;0;1;2;6;0;0;0;1;1;1;0;0;2;3;0;3;0;0;1;2;0;0;0;1;0;0;0;0
;;11;Murre, J.L.;11;0;0;0;0;0;0;3;0;0;0;0;0;1;1;1;0;0;0;3;0;0;0;0;0;0;0;2;0;0;0;0
;;12;Bostelaar, M.;10;0;0;1;1;1;0;0;1;0;0;1;0;0;0;2;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0
;;13;Oudshoorn, R.M.;2;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;14;van Leeuwen, M.;22;1;1;7;2;0;1;0;0;0;0;0;0;1;0;0;0;3;2;1;0;0;0;0;0;0;0;3;0;0;0;0
;;15;Meeuwse, M.J.;18;0;0;0;0;0;0;1;3;0;0;0;0;0;0;1;2;3;0;2;0;0;0;0;0;0;0;1;0;5;0;0
;;16;Lagerweij, W.;4;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;;17;Veldman, E.P.M.;12;1;0;0;0;1;0;0;2;0;0;0;2;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;18;Staat, A.C.;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
;;19;Maljaars, A.W.;4;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0
;;20;van Dis, M.;22;3;6;2;0;0;3;2;1;0;0;0;1;0;0;1;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0
;;21;van der Werf-Havinga, P.W.;2;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;22;Bosman, A.;28;1;0;1;0;1;2;4;1;0;1;2;3;0;2;0;0;3;0;2;0;0;0;2;0;0;0;0;2;1;0;0
;;23;van Gent, T.;25;1;0;3;1;0;2;3;2;0;1;0;0;1;1;2;2;2;0;1;0;0;0;1;0;0;0;1;0;1;0;0
5;Staatkundig Gereformeerde Partij (SGP);;;2309;24;24;28;120;80;24;42;65;102;48;220;76;35;59;30;25;109;56;51;268;188;282;25;22;23;61;42;23;18;103;36
;;1;Moens, P.;1407;12;17;21;69;44;18;21;36;70;30;155;48;23;39;14;13;65;31;35;156;115;146;18;14;16;43;30;13;12;53;30
;;2;de Voogd, C.J.;120;0;2;1;9;4;1;4;6;4;3;25;7;3;3;2;0;4;2;1;15;4;6;0;4;0;2;1;2;0;4;1
;;3;Schroevers, J.J.A.;272;9;0;2;15;17;0;7;11;6;3;14;15;2;6;9;5;12;4;4;34;18;49;0;2;6;1;4;1;1;12;3
;;4;Boogaard, A.;87;1;0;0;2;4;1;0;5;4;6;3;0;2;8;2;4;1;10;1;6;4;7;2;0;1;0;3;1;0;7;2
;;5;Hoogerland, T.J.A.;67;0;1;0;14;2;2;0;0;4;0;6;0;0;0;2;0;4;1;1;9;9;6;0;0;0;1;0;0;1;4;0
;;6;Houmes, M.;93;0;1;0;0;1;0;0;0;1;2;1;2;0;0;0;0;1;3;0;13;20;25;1;0;0;7;1;1;1;12;0
;;7;Verhage, M.C.;14;0;0;0;2;1;0;0;0;1;0;2;1;0;0;0;0;3;0;2;1;0;0;0;0;0;0;0;0;1;0;0
;;8;van Moolenbroek, M.A.;6;0;0;0;2;0;0;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;9;Francke, L.A.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
;;10;Nieuwenhuyzen, J.W.;23;0;1;0;0;3;0;3;5;0;1;0;2;0;0;0;0;4;1;0;0;1;1;0;0;0;0;1;0;0;0;0
;;11;Nieuwenhuijse, A.;8;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;2;1;0;0;0;0;1;0;0;0;0;1;0;1;0;0
;;12;Weststrate, A.M.;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;3;2;3;0;0;0;1;0;0;0;0;0
;;13;Ovaa, J.;4;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0
;;14;Hage, J.P.;19;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;7;0;5;0;0;0;2;0;0;0;4;0
;;15;Roozemond, A.C.;5;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0
;;16;Overbeeke, M.;14;0;0;1;0;1;0;0;0;1;0;5;0;2;0;0;0;1;0;0;0;2;0;1;0;0;0;0;0;0;0;0
;;17;de Goffau, J.;14;0;0;0;1;0;0;0;1;0;0;5;0;0;0;0;0;4;0;0;2;0;1;0;0;0;0;0;0;0;0;0
;;18;Harthoorn, J.J.;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;7;0;0;0;0;0;0;0;0;0
;;19;van Dijk, G.C.;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
;;20;Brouwer, L.;10;0;0;0;0;0;0;0;0;4;0;0;0;1;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;2;0
;;21;Klaassen, M.;63;0;0;1;1;0;1;0;0;0;0;0;1;0;1;0;0;1;3;3;12;11;19;0;0;0;4;0;1;0;4;0
;;22;Dekker, C.;59;2;2;2;4;3;1;6;0;3;1;3;0;2;1;1;1;6;1;4;2;1;4;3;0;0;0;0;4;1;1;0
6;ChristenUnie;;;1880;47;50;69;58;88;37;69;69;42;80;69;82;53;78;36;37;164;73;80;78;77;108;40;41;36;27;71;28;44;47;2
;;1;Beekman, A.P.;959;18;22;36;23;39;25;36;34;27;43;36;47;28;40;16;18;83;38;41;38;50;57;10;19;22;16;37;15;22;21;2
;;2;Remijnse, C.E.;61;1;4;1;3;4;1;4;5;2;1;0;1;2;5;2;0;7;3;1;0;0;1;4;3;0;1;3;1;1;0;0
;;3;Vrolijk- van der Feen, P.A.A.;309;9;13;11;16;20;10;8;12;3;20;16;15;12;7;5;12;32;9;10;3;1;7;17;8;8;0;11;4;8;2;0
;;4;de Heer, D.;24;0;0;1;1;2;0;1;0;0;1;1;1;0;3;2;0;2;3;1;0;0;0;1;2;0;2;0;0;0;0;0
;;5;Vaneveld, D.J.;43;3;0;1;3;0;0;3;3;1;2;4;1;0;8;0;0;1;3;0;0;0;1;1;1;1;0;3;0;1;2;0
;;6;de Ridder, J.V.;50;0;1;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;1;0;15;13;7;0;0;1;5;0;0;1;3;0
;;7;Koppejan- Robinson, S.;51;3;1;1;1;3;0;1;1;0;4;2;6;1;3;2;1;4;1;1;6;0;0;2;0;0;1;3;0;1;2;0
;;8;Platteeuw, J.A.;56;2;0;2;0;1;0;2;0;1;2;3;0;0;2;0;0;3;1;12;3;2;11;0;2;1;1;0;0;2;3;0
;;9;Renkema, E.C.;46;4;2;3;1;4;0;3;1;0;0;0;4;1;1;1;1;11;2;1;0;1;0;1;1;0;0;2;0;0;1;0
;;10;Oosse, J.M.C.;21;1;0;1;0;0;0;0;3;0;1;0;0;0;0;0;0;1;0;0;5;0;5;0;2;1;0;0;0;1;0;0
;;11;de Kuyper-Roelofsen, A.;32;0;0;2;1;5;0;0;0;0;1;1;1;1;1;0;2;4;1;1;1;0;4;1;0;0;0;1;0;0;4;0
;;12;Meulmeester, C.P.;25;0;0;0;0;0;0;0;0;2;0;0;0;0;1;0;0;1;0;0;1;4;9;0;0;0;0;0;0;0;7;0
;;13;Zwaanswijk, N.;6;0;1;0;0;0;0;2;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;;14;Keijzer, G.M.;12;1;0;0;0;1;0;0;0;3;0;0;0;0;0;1;0;0;0;1;0;1;1;0;0;0;0;0;0;2;1;0
;;15;Maljaars, R.A.;13;0;0;0;2;0;0;1;0;0;0;0;0;0;0;2;0;3;0;3;1;0;0;1;0;0;0;0;0;0;0;0
;;16;van Dijke, L.C.;5;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;;17;van Oosten, J.J.;3;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0
