Verkiezing;;Gemeenteraad Schouwen-Duiveland 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Schouwen-Duiveland;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;1676;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Brede School Noorderpolder Theo Thijssen;het Tonnenmagazijn;Dorpshuis Dreischor;Dorpshuis Noordgouwe;Dorpshuis Zonnemaire;'t Durps'uus Bruinisse;Hervormde Kerk;Verenigingsgebouw Ons Dorpshuis;Gemeentelijke gymzaal Nieuwerkerk, ingang via Burg.van Eetenstraat;Dorpshuis Oosterland;Gemeentelijke gymzaal Oosterland;Dorpshuis Ouwerkerk;Verenigingsgebouw Sirjansland;Dorpshuis de Putmeet;Dorpsuus Ellemeet;Dorpshuis 't Zuudende;Gereformeerde Kerk Haamstede;De Schutse;Groepsaccomodatie de Koebel;Dorpshuis Noordwelle;Dorpshuis Renesse;Dorpshuis Serooskerke;Verenigingsgebouw Chr.Ger.Kerk;Nieuwe Kerk, Zierikzee;Kerkcentrum Gasthuiskerk Zierikzee, ingang achterzijde via Hoge Molenstraat;Appartementengebouw Valletta;Lunchroom/Wijkhuis de Punt;Bolle Dier en Tuin;Mobiel stembureau;Mobiel stembureau;Mobiel stembureau;Nieuwe Kerk, Zierikzee (maandag);Nieuwe Kerk, Zierikzee (dinsdag);Dorpshuis Renesse (maandag);Dorpshuis Renesse (dinsdag);'t Durps'uus Bruinisse (maandag);'t Durps'uus Bruinisse (dinsdag)
;;7;Hanse, C.H.J.;280;18;9;12;6;7;4;0;18;16;18;9;12;7;7;2;14;7;1;5;6;5;0;2;9;5;17;19;16;0;0;0;4;8;1;9;4;3
;;8;van Gent, H.;81;2;0;4;4;0;0;0;3;0;2;1;2;1;3;2;1;4;3;0;5;9;14;1;1;0;3;5;4;0;0;0;1;3;0;2;1;0
;;9;Lanser, R.J.;114;3;5;2;0;2;0;1;4;2;1;1;0;1;5;1;0;2;10;3;8;39;2;0;3;0;2;1;3;0;0;0;1;1;10;0;1;0
;;10;Poot, A.E.M.;83;5;1;1;1;0;0;0;2;1;1;3;1;2;1;2;2;0;3;3;1;0;1;5;6;4;6;4;10;0;0;0;5;10;0;0;1;1
;;11;Haack, L.M.C.;56;0;0;0;0;2;0;0;1;0;0;2;1;0;0;0;0;9;11;8;1;7;0;1;1;0;0;2;2;0;0;0;1;1;2;3;1;0
;;12;Romijn, M.M.;67;0;0;0;0;0;2;1;31;16;0;1;0;1;1;1;2;0;1;0;1;0;1;0;2;0;0;0;1;0;0;0;1;0;0;0;0;4
;;13;de Jager, A.J.;19;0;0;11;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;3;0;0;0;0;0;1;0;0;0;0
;;14;de Jonge, R.;44;3;0;0;0;0;0;0;0;0;0;0;0;0;26;2;0;0;1;0;2;0;0;3;0;2;1;0;0;0;0;0;0;0;2;2;0;0
;;15;Meulblok, D.N.;49;0;0;0;0;0;0;0;0;0;0;0;1;4;0;2;0;8;8;2;2;7;0;0;1;0;0;0;4;0;0;0;0;1;2;7;0;0
;;16;Le Clercq, M.H.;21;2;0;0;1;1;2;1;0;0;1;0;1;0;0;1;0;0;2;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;3;3
;;17;de Bruijn, T.;7;0;0;1;0;0;0;0;0;0;0;0;0;0;2;3;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;18;Middelhoek, T.;46;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;6;10;15;0;4;0;0;0;0;2;1;0;0;0;0;2;0;0;2;0;2
;;19;Zuidgeest, J.S.;41;2;1;1;1;0;2;0;1;0;0;3;0;0;0;0;10;0;4;0;0;0;0;1;2;1;0;2;5;0;0;0;0;0;2;0;1;2
;;20;van Veenhuizen, J.;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;1;8;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1
;;21;Heule, C.J.;31;1;0;0;0;0;7;12;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;6
;;22;de Vries, E.;29;0;0;0;0;0;3;0;0;0;0;0;0;0;18;1;0;2;0;0;0;3;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0
;;23;de Vlieger, A.L.;28;0;0;0;0;17;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;4;0;0;1;0;0;0;0;0;0
;;24;den Haan, J.;36;1;11;1;1;2;0;0;0;0;1;0;0;0;3;0;0;1;2;0;0;0;0;1;0;1;5;1;4;0;0;0;1;0;0;0;0;0
;;25;van den Hoek, L.;52;0;2;1;0;0;0;1;0;2;0;0;0;0;0;0;2;1;1;1;0;10;20;5;0;0;0;1;1;0;0;0;0;0;2;2;0;0
;;26;van den Berge, A.P.;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;4;5;0;3;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;2
;;27;Fonteijne, F.H.;92;4;0;1;2;1;0;0;1;1;1;1;0;2;2;1;0;27;10;9;4;2;1;0;0;0;3;4;5;0;0;0;0;0;0;8;1;1
2;CDA;;;2416;148;58;38;46;63;118;125;78;95;34;37;25;30;105;19;49;149;82;78;22;67;13;84;67;94;98;125;128;11;1;7;76;96;21;17;49;63
;;1;Punt, R.A.;673;58;18;18;18;18;6;18;16;15;11;17;8;8;51;7;14;35;12;16;6;7;0;39;22;31;38;40;47;6;0;4;21;28;4;2;7;7
;;2;Joppe, D.P.W.;480;42;11;13;11;7;6;5;3;18;4;4;5;4;27;5;21;14;11;7;2;21;3;20;27;20;27;33;29;2;1;1;25;25;3;8;2;13
;;3;Schikker-Hoekman, J.P.C.;330;7;7;3;1;4;96;86;2;2;7;3;1;2;3;1;1;4;0;0;1;0;0;2;0;2;0;8;5;0;0;0;3;7;1;1;36;34
;;4;Flikweert, A.S.;401;23;11;1;7;18;8;8;43;50;6;9;5;9;3;0;6;5;0;2;0;7;1;13;10;26;25;26;30;1;0;0;17;21;0;0;4;6
;;5;Landman, E.M.;170;3;1;0;0;0;0;0;0;0;0;0;1;0;3;0;0;62;38;38;0;4;0;0;0;0;1;1;3;0;0;1;0;0;10;4;0;0
;;6;Kloet, J.;25;3;0;0;0;0;0;0;1;3;0;0;2;0;1;0;0;0;0;0;0;2;0;1;1;2;0;2;3;0;0;0;1;3;0;0;0;0
;;7;Timmerman, M.B.;17;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;5;0;0;0;0;0;0;0;2;0;1;3;0;0;0;0;2;0;0;0;1
;;8;Braber-Schot, M.D.;103;3;4;0;1;1;1;2;1;0;1;0;2;0;10;3;2;9;6;1;4;14;0;4;5;3;4;4;5;0;0;1;6;4;1;1;0;0
;;9;op 't Hof, J.A.J.;21;0;0;1;0;0;0;0;1;0;3;4;0;7;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
;;10;Overwater, A.C.J.;11;0;2;0;0;3;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1
;;11;Quant, D.;20;5;0;0;1;1;0;0;2;1;0;0;0;0;0;0;0;1;0;2;0;0;0;1;0;1;0;1;1;1;0;0;0;2;0;0;0;0
;;12;van Westen, C.J.;17;0;1;0;0;0;0;0;7;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;1;0;0;0;0
;;13;van Verschuer, O.M.;17;0;0;0;0;3;0;0;0;1;0;0;0;0;0;2;2;1;0;0;0;0;6;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0
;;14;Hoff, J.;4;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0
;;15;Remijn-van Mechelen, J.C.L.A.;53;0;1;1;3;1;0;0;0;1;0;0;0;0;1;1;0;8;13;5;3;3;0;4;0;4;2;2;0;0;0;0;0;0;0;0;0;0
;;16;Ruijtenberg, M.E.;6;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
;;17;Simons-Zwerus, A.;24;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;3;1;2;0;8;2;0;0;0;0;1;0;1;0;0;0;0;2;1;0;0
;;18;Vogelaar, J.E.;11;0;0;1;1;5;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1
;;19;Vogel, H.P.;8;1;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;20;van der Veer, M.;10;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;1;0;0;0;0
;;21;Stigter, J.C.D.;15;0;2;0;1;0;0;0;0;0;0;0;1;0;2;0;0;2;1;5;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
3;Staatkundig Gereformeerde Partij (SGP);;;2339;31;29;31;42;15;155;190;299;212;341;241;31;54;37;5;108;33;32;12;5;5;9;37;15;32;37;26;43;3;0;5;13;51;9;14;60;77
;;1;van der Paauw, F.G.R.;1471;21;18;21;26;11;82;87;208;136;234;136;23;35;27;3;89;24;22;6;2;5;5;19;10;25;32;15;19;3;0;5;7;32;7;8;25;43
;;2;Houtekamer, W.C.;235;0;0;2;6;1;29;34;20;10;43;47;0;6;1;0;7;0;1;0;0;0;0;2;1;2;0;0;2;0;0;0;0;3;0;0;8;10
;;3;de Bruine, L.;114;1;4;0;0;0;4;4;12;5;24;27;2;3;0;0;2;0;0;0;1;0;1;4;0;0;0;1;2;0;0;0;3;4;0;0;5;5
;;4;Mol, H.M.;63;0;0;0;1;0;7;23;2;2;0;5;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;9;10
;;5;van Heukelom, G.R.J.;101;5;2;0;2;2;2;1;27;25;5;11;0;3;1;0;0;0;0;2;0;0;1;0;0;0;0;0;10;0;0;0;1;1;0;0;0;0
;;6;van der Meer, A.P.;42;0;0;2;0;0;5;11;2;1;2;2;1;1;0;1;2;1;0;0;0;0;0;0;0;1;0;3;0;0;0;0;0;4;0;0;3;0
;;7;van den Berge, C.L.M.;49;3;0;0;2;0;3;1;3;4;2;0;0;0;1;0;1;4;8;3;2;0;0;0;2;0;0;0;4;0;0;0;0;2;0;4;0;0
;;8;Schot, J.;12;0;0;0;0;0;0;7;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;1
;;9;den Otter, A.H.;16;0;0;0;0;0;0;0;2;4;0;2;0;0;3;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0
;;10;Bogert, A.J.;19;0;0;0;0;0;10;4;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2
;;11;van de Velde, J.W.;19;0;4;3;2;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;3;0;1;1;0;1;0;0;0;0;1;0;1;0;0
;;12;de Wit, A.D.;20;0;0;1;1;0;1;1;8;3;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0
;;13;van der Cingel, A.L.C.;10;0;0;0;0;0;0;0;2;1;0;0;0;0;1;0;1;2;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0
;;14;Schot, J.C.;25;0;0;0;0;0;2;0;0;4;2;0;0;0;0;0;1;0;1;0;0;0;0;3;2;1;2;4;1;0;0;0;0;2;0;0;0;0
;;15;Stouten, C.;5;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
;;16;Boogaard, P.;17;0;0;1;0;0;1;3;0;1;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0
;;17;Molenaar, A.L.;48;0;0;0;0;0;5;12;7;5;5;0;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;6
;;18;de Jonge, J.M.;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;19;den Hartog, L.;3;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;20;Simmelink, A.A.;4;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;21;Blok, F.J.;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;22;Kik, L.J.;13;0;0;0;1;0;0;0;5;6;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;23;Mol, G.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
;;24;Simonse, N.J.;12;0;0;0;0;0;0;0;0;0;8;1;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;25;van Zuidland, M.A.;7;1;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0
;;26;van Klinken, A.G.J.;8;0;0;0;0;0;2;1;0;2;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
;;27;van der Schelde, J.J.J.;9;0;0;0;0;0;0;1;0;0;6;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;28;Houtekamer, G.E.;13;0;1;0;0;0;2;0;0;0;2;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;1;0;0;2;0
4;VVD;;;2351;136;59;105;85;74;84;55;58;62;35;31;66;27;78;24;84;140;100;98;43;150;22;48;58;75;31;105;77;3;3;0;48;64;55;74;40;54
;;1;Lemsom-van Gelderen, M.;943;62;25;15;36;19;32;25;31;35;14;19;13;11;27;5;54;73;44;48;14;39;8;29;28;32;14;46;34;2;2;0;19;28;17;19;11;13
;;2;van der Hoek, W.B.;391;20;6;5;8;1;7;4;2;1;1;1;5;0;14;9;4;29;23;29;16;73;9;5;7;7;8;11;11;0;0;0;8;9;23;32;1;2
;;3;Klompe-Hanse, A.K.A.;247;12;14;38;18;14;8;0;7;12;7;2;8;0;8;1;11;4;6;6;1;9;3;1;4;13;1;9;4;1;0;0;4;7;4;0;1;9
;;4;Stoppelenburg, P.;87;12;1;2;5;0;0;0;2;0;1;3;1;7;0;0;2;2;2;1;0;2;1;2;6;9;2;9;9;0;0;0;0;3;0;0;3;0
;;5;de Ceuninck van Capelle, R.F.E.;62;0;3;4;1;0;0;1;4;0;0;0;2;0;13;4;2;5;3;2;3;1;0;0;0;2;1;5;3;0;0;0;0;0;2;1;0;0
;;6;van der Sar-Wiskerke, M.A.;58;0;1;33;0;3;0;1;2;1;0;0;0;0;1;0;0;0;1;2;0;0;0;2;0;0;0;1;5;0;0;0;0;3;1;0;0;1
;;7;Geurtsen, H.P.;49;0;0;0;0;1;0;0;0;0;0;0;0;0;3;0;0;0;2;0;1;15;0;0;0;0;0;0;0;0;0;0;2;2;5;18;0;0
;;8;van Leersum, A.J.;64;4;4;1;2;30;0;0;2;0;0;1;2;0;0;0;7;0;0;0;2;1;0;1;1;1;0;0;0;0;0;0;4;0;0;0;1;0
;;9;Markusse, A.J.;61;10;1;0;3;4;0;2;2;2;0;0;0;4;1;0;0;0;0;0;0;0;0;3;7;6;0;4;5;0;0;0;3;3;0;0;0;1
;;10;de Kan, A.L.;29;6;0;0;0;0;0;19;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0
;;11;Elenbaas, J.J.;33;1;1;1;0;2;0;1;2;0;0;0;0;0;6;5;0;0;2;1;1;2;0;0;0;1;0;6;0;0;0;0;0;0;1;0;0;0
;;12;van Klaveren, P.G.W.;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;0;2;0;0;0;0;0;0;0;0;0;0;1;1;0;0
;;13;Ketting-van der Goot, M.;89;0;0;2;1;0;25;0;1;2;0;1;2;2;1;0;0;0;0;0;0;1;1;1;0;1;0;1;2;0;0;0;0;2;1;0;22;20
;;14;Vrijland, E.;44;0;0;2;0;0;1;0;1;6;0;0;29;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0
;;15;Clerx, H.B.A.;41;1;2;0;0;0;8;0;1;1;12;4;2;2;0;0;0;0;4;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1
;;16;Dalebout, T.H.;15;1;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;1;0;3;0;0;0;0;2;0;0;0;0;3
;;17;Holtkamp, E.P.J.E.;62;1;0;0;3;0;0;0;0;1;0;0;1;0;1;0;0;23;11;7;0;1;0;0;2;2;0;5;0;0;0;0;1;0;0;3;0;0
;;18;Lammerts, R.;14;2;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;3;0;2;0;0;0;0;1;0;0;0;0
;;19;van Leeuwen, V.;15;2;0;0;0;0;1;0;0;0;0;0;0;0;2;0;2;0;0;1;0;3;0;0;0;0;2;0;1;0;0;0;0;1;0;0;0;0
;;20;Velthuijsen, G.B.;20;1;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;3;2;0;0;0;0;2;0;0;0;1;0;0;1;0;3;1;0;0;0;2
;;21;van Geesbergen, H.J.;19;1;1;1;2;0;0;2;0;0;0;0;0;1;1;0;0;1;0;0;1;1;0;0;0;0;0;1;0;0;0;0;1;3;0;0;0;2
5;GROENLINKS;;;1899;97;86;102;50;66;13;28;43;46;18;23;45;17;69;22;41;127;86;96;8;45;23;68;97;68;69;96;117;0;1;0;70;96;24;15;17;10
;;1;van de Laar, R.T.H.;664;45;29;24;11;26;9;11;7;6;9;10;19;2;26;8;19;43;29;43;2;14;10;31;24;31;31;37;31;0;0;0;24;23;9;9;8;4
;;2;Smit, J.G.;501;22;21;21;11;16;2;6;15;19;4;5;5;7;15;8;5;48;32;33;3;15;5;14;24;15;11;18;36;0;1;0;23;27;8;1;3;2
;;3;Korenhof, B.;142;3;9;42;2;6;0;1;1;7;2;1;0;1;3;1;6;4;4;3;2;1;3;3;6;5;0;6;7;0;0;0;6;5;0;0;0;2
;;4;Kroesbeek, L.;136;7;2;4;5;3;0;1;5;3;0;2;12;2;5;1;0;6;1;6;0;3;2;7;8;4;7;9;13;0;0;0;6;11;0;0;0;1
;;5;van der Sleen, R.J.;38;2;0;0;0;0;0;0;10;4;0;1;1;1;1;1;2;1;1;1;0;0;1;0;2;0;3;3;2;0;0;0;0;1;0;0;0;0
;;6;Omar, W.;103;3;6;5;3;3;2;2;2;2;1;3;2;0;8;0;2;2;3;1;0;3;0;4;14;5;3;7;11;0;0;0;0;6;0;0;0;0
;;7;van der Werve, K.M.;82;2;16;0;16;4;0;0;0;0;0;0;3;0;5;0;2;5;1;1;0;0;0;1;5;1;3;5;2;0;0;0;2;2;1;2;3;0
;;8;van Merrienboer, M.H.C.W.;40;3;2;0;0;1;0;3;1;0;0;0;2;0;0;0;0;1;0;2;0;0;0;5;4;3;1;4;3;0;0;0;2;2;0;0;1;0
;;9;van der Wal, H.;26;1;0;3;0;3;0;0;0;0;2;0;1;0;0;0;0;0;4;2;0;0;0;0;0;1;0;0;4;0;0;0;1;4;0;0;0;0
;;10;Struijk, H.J.;22;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;2;2;0;0;0;0;1;1;0;0;2;1;4;0;0;0;1;4;0;0;1;0
;;11;Glas, J.M.;62;0;1;0;0;0;0;2;0;0;0;0;0;1;5;3;1;9;6;4;0;9;0;2;3;2;1;1;0;0;0;0;0;2;6;3;0;1
