Verkiezing;;Gemeenteraad Borsele 2022;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Borsele;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0654;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Stembureau Heinkenszand, De Stenge;Stembureau Heinkenszand, Dijkstede;Stembureau Lewedorp;Stembureau Nieuwdorp;Stembureau 's-Heerenhoek;Stembureau Borssele;Stembureau Driewegen;Stembureau Ellewoutsdijk;Stembureau Ovezande;Stembureau Oudelande;Stembureau Baarland;Stembureau Hoedekenskerke;Stembureau Kwadendamme;Stembureau Nisse;Stembureau 's-Heer Abtskerke;Stembureau 's-Gravenpolder, Dorpshuis;Stembureau 's-Gravenpolder, De Zwake;Stembureau Heinkenszand, De Stenge (maandag);Stembureau Heinkenszand, De Stenge (dinsdag);Stembureau 's-Gravenpolder, Dorpshuis (maandag);Stembureau 's-Gravenpolder, Dorpshuis (dinsdag)
Gebiednummer;;;;;1;3;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;30;31;32;33
Postcode;;;;;4451 CZ;4451 LA;4456 AL;4455 TL;4453 BE;4454 AS;4438 AH;4437 AE;4441 AE;4436 AC;4435 AD;4433 AL;4434 AC;4443 AE;4444 AG;4431 BP;4431 EP;4451 CZ;4451 CZ;4431 BP;4431 BP
;;24;van Damme, R.;45;1;1;0;0;0;3;0;0;0;0;1;1;5;9;0;12;9;0;0;1;2
2;CDA;;;2671;291;222;241;58;194;51;61;32;325;58;34;111;239;97;88;108;108;106;153;44;50
;;1;van de Plasse- Nagelkerke, M.C.J.;1131;109;113;89;40;87;31;19;11;30;21;12;25;173;58;22;54;50;66;78;26;17
;;2;Kampstra, N;309;82;59;14;4;6;2;0;0;2;2;6;1;10;14;9;16;17;18;32;6;9
;;3;van 't Westeinde, P.B.J.;92;19;9;6;2;5;2;2;0;3;4;0;1;1;2;19;0;2;3;8;0;4
;;4;Vermeulen, M;167;15;5;5;3;5;5;0;1;1;3;4;74;12;7;0;10;2;3;5;3;4
;;5;Koeleman, M.M.;30;2;0;5;1;3;0;0;0;0;0;4;1;0;2;2;3;1;0;2;1;3
;;6;Schenk, F.M.C.;469;13;7;15;4;8;2;37;17;282;16;4;6;19;7;4;7;4;7;6;1;3
;;7;Boogert, N.A.;53;3;2;0;0;0;1;0;0;0;1;0;0;1;1;27;3;8;0;0;4;2
;;8;Nelen, M.C.F.;29;8;8;2;0;4;0;0;1;0;0;0;0;0;0;0;0;0;4;2;0;0
;;9;van de Swaluw, A.P.J.;57;13;2;0;0;5;1;1;1;2;8;2;0;6;2;0;2;2;1;7;1;1
;;10;van Oosten, R.A.;30;3;0;0;0;0;0;0;0;0;0;0;0;0;1;0;6;14;0;0;2;4
;;11;van 't Westende, M.J.;66;6;0;1;0;50;0;0;0;1;1;0;0;3;0;0;0;0;0;4;0;0
;;12;Caljouw-van Garsel, E.J.P.;61;2;5;42;2;3;0;0;1;0;0;0;1;1;0;0;0;2;0;2;0;0
;;13;Bousché, B.R.H.;7;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
;;14;Oosthoek, A.L.;20;2;0;0;0;12;0;0;0;2;0;0;0;0;0;1;1;0;1;1;0;0
;;15;van der Maas, K.J.;17;0;1;0;0;1;0;0;0;0;0;0;1;0;0;1;6;5;0;0;0;2
;;16;Lijmbach, A.E.M.M.;64;1;0;61;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;17;Hoek-van Dijke, K.J.;13;6;3;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0
;;18;Audenaerd, T.A.H.;4;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0
;;19;van den Dries, P.B.J.;12;3;5;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0
;;20;van 't Westeinde, M.A.;40;4;2;1;1;2;0;2;0;2;2;1;1;12;3;2;0;0;0;4;0;1
3;Lokale Partij Borsele;;;2868;322;187;214;186;306;106;98;62;118;163;131;97;115;73;56;138;101;134;168;42;51
;;1;van Hekken, M.C.;1163;83;76;87;14;108;55;55;30;61;130;42;47;45;37;23;67;51;39;55;26;32
;;2;Smits, H.;341;26;12;40;149;49;5;5;3;9;7;1;2;5;3;3;1;3;10;7;1;0
;;3;Verbrugge, J.G.M.;244;82;39;7;2;9;3;2;2;4;1;2;1;1;6;1;5;3;33;37;2;2
;;4;van Overbeeke, C.J.;110;38;10;6;1;6;0;0;0;6;1;1;3;1;0;0;5;1;16;13;0;2
;;5;Bruijns, P.J.A.M.;115;21;18;6;1;9;2;2;1;4;0;0;2;2;3;1;6;2;15;19;0;1
;;6;Minderhoud, G.C.J.;143;10;8;16;3;4;11;9;7;9;17;6;9;8;2;6;5;2;1;7;1;2
;;7;van Wijngaarden, P.F.;126;6;1;1;0;2;0;4;1;1;0;69;15;3;4;2;5;6;3;3;0;0
;;8;Kooiker, B.;119;8;1;2;3;0;4;15;2;1;1;4;5;32;0;2;21;8;0;2;1;7
;;9;Vermue-Driedijk, M.J.G.;330;29;18;31;12;27;15;0;14;22;6;5;13;15;17;12;22;25;12;21;11;3
;;10;Werri, N.C.J.;177;19;4;18;1;92;11;6;2;1;0;1;0;3;1;6;1;0;5;4;0;2
4;Partij van de Arbeid (P.v.d.A.);;;1253;151;73;106;44;157;51;56;44;71;38;29;30;51;62;32;36;48;65;61;26;22
;;1;Witkam, A.P.;540;62;38;34;26;131;16;12;24;33;9;11;12;25;20;7;7;12;24;26;7;4
;;2;Stroosnijder, L.P.;335;45;9;14;10;9;29;13;7;19;14;10;6;13;10;12;25;31;16;12;17;14
;;3;Sandee, C.J.;25;5;6;0;0;1;0;1;0;1;2;0;0;1;0;0;0;1;6;1;0;0
;;4;Moncada Jaspe-Koudenburg, R.A.;100;8;3;39;5;4;3;6;4;2;4;3;1;1;5;4;0;0;4;2;0;2
;;5;Otte, F.J.;23;0;0;0;0;0;0;16;1;1;2;0;1;1;0;0;1;0;0;0;0;0
;;6;Schoone, L.W.A.;41;3;0;2;1;4;0;1;2;4;1;0;0;1;16;2;0;1;2;1;0;0
;;7;van Hertum, A.P.A.;26;10;2;0;0;1;0;1;0;0;0;0;0;2;0;0;2;0;0;7;0;1
;;8;Brilleman, I.;30;4;3;11;1;1;1;0;0;3;2;0;0;0;2;1;0;0;0;0;0;1
;;9;Miermans, C.T.;70;12;11;0;1;2;2;0;0;2;1;1;1;6;3;5;0;3;10;8;2;0
;;10;de Bart, M.H.;13;0;0;0;0;1;0;0;1;1;0;1;9;0;0;0;0;0;0;0;0;0
;;11;Moerman, N.L.;12;0;0;4;0;0;0;3;0;0;0;0;0;0;2;0;0;0;2;1;0;0
;;12;Uitterhoeve, H.J.G.;9;1;0;2;0;1;0;0;0;2;0;0;0;1;0;0;1;0;0;1;0;0
;;13;Eveleens, D.;7;0;0;0;0;1;0;0;3;0;0;1;0;0;0;1;0;0;1;0;0;0
;;14;Vollaard, P.J.;22;1;1;0;0;1;0;3;2;3;3;2;0;0;4;0;0;0;0;2;0;0
5;VVD;;;687;66;97;44;19;96;18;21;10;25;12;18;12;27;25;29;32;35;41;41;10;9
;;1;Boekholt, R.W.;395;32;42;31;13;68;14;18;4;16;3;5;11;16;14;16;24;14;27;16;7;4
;;2;Steketee, J.;81;14;21;4;0;3;1;2;0;1;2;1;0;4;3;0;1;5;9;8;0;2
