Verkiezing;;Gemeenteraad Reimerswaal 2022;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Reimerswaal;;;;;;;;;;;;;;;;;;;;;
Nummer;;0703;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Ons Dorpshuis Kruiningen;Verenigingsgebouw Geref. Gem. Kruiningen;Dorpshuis Kaj Munk Hansweert;Dorpscentrum Meerwaarde;Kerkelijk Centrum De Haven Yerseke;Dorpshuis Apeldoorn Oostdijk;Verenigingsgebouw Geref. Gem. Yerseke;Dorpshuis De Meiboom Krabbendijke;Voetbalvereniging Krabbendijke;Dorpshuis Luctor et Emergo Rilland;Gymzaal Cromvlietstraat Rilland;Brandweerkazerne Yerseke;MFC Tehaere Yerseke;Reimerswaalhal Kruiningen;Verenigingsgebouw Geref. kerk Krabbendijke;MFC Tehaere Yerseke (14 maart);MFC Tehaere Yerseke (15 maart);Ons Dorpshuis Kruiningen (14 maart);Ons Dorpshuis Kruiningen (15 maart)
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19
Postcode;;;;;4416 BK;4416 BJ;4417 AA;4414 AK;4401 EE;4415 AE;4401 CB;4413 GB;4413 CN;4411 AP;4411 AE;4401 KW;4401 HZ;4416 RC;4413 BK;4401 HZ;4401 HZ;4416 BK;4416 BK
;opgeroepenen;;;17277;1063;1175;1360;1003;1121;428;1525;1054;1060;1275;1120;1457;1286;1289;1061;0;0;0;0
;geldige stempas;;;9136;388;574;602;609;520;255;748;655;631;560;440;574;589;521;561;180;236;195;298
;geldig volmachtbewijs;;;1690;56;127;70;116;101;51;191;106;122;80;68;110;125;110;103;28;46;36;44
;geldige kiezerspas;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;toegelaten kiezers;;;10826;444;701;672;725;621;306;939;761;753;640;508;684;714;631;664;208;282;231;342
;geldige stembiljetten;;;10789;439;700;670;722;619;305;939;761;753;634;506;684;713;627;662;206;279;230;340
;blanco stembiljetten;;;22;2;0;2;3;2;0;0;0;0;4;0;0;1;3;0;1;2;0;2
;ongeldige stembiljetten;;;14;2;1;0;0;0;1;0;0;0;1;2;1;0;1;2;1;1;1;0
;aangetroffen stembiljetten;;;10825;443;701;672;725;621;306;939;761;753;639;508;685;714;631;664;208;282;231;342
;meer stembiljetten dan toegelaten kiezers;;;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
