Verkiezing;;Gemeenteraad Tholen 2022;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Tholen;;;;;;;;;;;;;;;;;;;;
Nummer;;0716;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;"Stembureau Ver.gebouw ""de Wingerd""";Stembureau Gemeentehuis Tholen;"Stembureau Gemeenschapscentrum ""Meulvliet""";Stembureau Zalencentrum Ger.Gemeente;Stembureau Dorpshuis 't Ouwe Raed' uus;Stembureau Sassegrave;"Stembureau Gemeenschapscentrum ""Haestinge""";Stembureau Gebouw Calvijn;Stembureau Dorpshuis de Stove;Stembureau Museum de Meestoof;"Stembureau Gemeenschapscentrum ""Wellevaete""";"Stembureau Dorpshuis ""De Vossenkuil""";Stembureau Dorpshuis De Wimpel;Stembureau Dorpshuis Ons Dorpshuis;Stembureau Gemeentehuis Tholen;Stembureau Gemeenschapscentrum Haestinge;Stembureau Gemeentehuis Tholen;Stembureau Gemeenschapscentrum Haestinge
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18
Postcode;;;;;4691 BP;4691 DV;4691 HT;4691 DS;4693 BV;4694 BP;4695 BA;4695 CE;4696 BK;4697 GE;4697 BJ;4698 AM;4675 CS;4675 RJ;4691 DZ;4695 BA;4691 DZ;4695 BA
2;VVD;;;1821;142;87;131;129;76;58;104;13;69;136;165;337;112;14;92;47;91;18
;;1;Hommel, F.J.A.;588;52;21;36;34;24;26;27;3;30;18;37;156;42;8;32;9;27;6
;;2;Fase, A.C.;324;11;5;9;23;15;6;16;1;12;68;91;18;16;0;8;11;11;3
;;3;Deurloo, A.C.;176;36;16;38;29;4;1;3;0;0;0;1;8;3;0;25;0;12;0
;;4;Wielaard-Moerland, H.;154;6;8;6;4;5;6;13;2;5;38;23;13;5;0;7;3;10;0
;;5;Harinck, R.F.W.;65;6;14;12;7;1;0;3;0;0;1;0;2;1;0;9;0;9;0
;;6;Vaders, J.C.;123;1;0;3;4;3;0;1;0;3;0;4;97;4;0;0;0;3;0
;;7;van Tilburg, M.J.;36;2;2;1;3;3;11;6;0;1;1;3;0;1;0;0;0;1;1
;;8;Bolier, J.W.;54;0;0;0;0;5;1;17;4;1;3;0;2;0;0;2;14;1;4
;;9;Lindhoud, C.J.;19;1;1;1;1;11;0;0;0;1;0;0;1;2;0;0;0;0;0
;;10;van Oost, A. J. C.;27;6;5;0;6;0;0;1;0;3;0;0;0;0;0;2;0;4;0
;;11;Slokkers, J.J.C.D.;20;0;0;3;0;0;0;2;0;0;0;0;15;0;0;0;0;0;0
;;12;Baljon, I.G.;8;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0
;;13;Schutz, B.A.;26;0;0;0;0;0;0;0;0;0;0;0;1;24;0;1;0;0;0
