Verkiezing;;Gemeenteraad Vlissingen 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Vlissingen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0718;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Hal Stadhuis;Speelzaal lokaal De Combinatie;Bioscoop CineCity;Atrium  Zorgcentrum Ter Reede;Gymzaal basisschool Louise de Coligny;Lokaal Apostolisch Genootschap;Stichting ROAT;Het Bolwerk;Adventkerk;Lokaal wijkcentrum De Burgerij;Gymzaal Theo Thijssenschool;Activiteitencentrum De Kwikstaart;Lokaal Het Kroonjuweel;Kantine Korfbalvereniging Atlas;Van Duijvenvoorde Sportzaal;Gymzaal basisschool De Omnibus;Kantine VC Vlissingen;Aula Begraafplaats;Historische Kerk Oost-Souburg;Zorgcentrum Scheldehof;Uitvaartcentrum Overtoom Groen;v/m Bibliotheek 't Spui;Mobiel Stembureau;Hal Stadhuis;Hal Stadhuis;Lokaal Apostolisch Genootschap;Lokaal Apostolisch Genootschap;Stichting ROAT;Stichting ROAT;Historische Kerk Oost-Souburg;Historische Kerk Oost-Souburg
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31
Postcode;;;;;4382 LG;4382 KB;4381 LZ;4382 CJ;4384 EV;4386 GZ;4385 AM;4386 EA;4386 AL;4384 HA;4384 PA;4388 KK;4388 MD;4389 TT;4388 VL;4385 HT;4383 VV;4388 NB;4388 AH;4381 EN;4382 XW;4381 HR;4382 MA;4382 LG;4382 LG;4386 GZ;4386 GZ;4385 AM;4385 AM;4388 AH;4388 AH
;;11;Fest, B.M.;42;0;2;0;0;0;0;1;0;0;0;0;11;5;0;1;0;0;2;8;0;0;0;0;0;0;0;0;1;2;5;4
;;12;Maul, W.K.J.H.;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;2;0;0;0;0;0;0;1;1
;;13;Neuféglise, M.;44;0;0;0;0;2;0;0;3;5;0;0;6;3;1;4;0;0;0;8;1;0;0;2;0;0;0;0;0;0;1;8
;;14;Waterman, L.F.;41;0;0;1;0;1;0;0;5;0;0;0;5;11;0;3;0;0;0;5;0;0;0;2;0;0;0;1;1;0;0;6
;;15;Worm, L.;38;3;0;1;2;1;1;3;0;3;0;0;1;3;0;2;0;0;4;10;0;1;1;1;0;0;0;0;0;0;0;1
;;16;Wortman, G.P.Q.;29;2;0;0;0;0;0;1;1;0;0;1;5;7;0;0;0;0;1;6;0;0;0;3;0;0;0;0;0;0;0;2
;;17;de Visser, J.;61;1;0;0;2;0;0;3;2;5;1;0;4;7;11;0;0;1;3;3;0;0;0;4;0;0;0;0;0;0;1;13
;;18;Bouwmeester-Vermeulen, J.;15;0;0;0;0;0;0;1;1;1;0;0;2;1;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;5
;;19;de Neef-Rooker, M.E.;21;0;0;0;0;0;2;0;1;2;0;0;0;0;9;0;1;0;0;1;1;0;1;1;0;0;0;0;0;0;0;2
;;20;Wamelink-Joziasse, P.M.J.;31;0;0;0;1;0;0;1;4;12;0;0;2;0;0;0;0;0;0;6;0;0;1;0;0;0;0;0;0;1;1;2
;;21;Blom, G.H.J.;12;0;0;0;1;0;0;0;0;0;0;0;2;1;0;1;0;0;0;1;0;0;0;1;0;0;0;0;2;3;0;0
;;22;Nagelhout-Hofman, C.;23;0;0;0;1;0;0;0;0;1;0;0;3;6;0;0;0;0;0;4;0;2;0;4;0;0;0;0;0;0;0;2
;;23;Buijs, A.;69;0;0;0;2;0;2;2;1;2;2;0;8;22;0;7;0;0;0;8;0;0;1;0;0;0;0;0;0;0;6;6
;;24;Weijermans, C.A.;17;0;0;0;0;0;0;0;1;2;0;0;2;2;0;2;0;0;0;7;0;0;0;0;0;0;0;0;0;0;1;0
;;25;Verkuil, J.C.J.;8;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;2
;;26;Deugd, R.;17;0;0;0;0;0;0;0;0;0;0;0;1;3;0;5;0;0;0;6;0;0;0;0;0;1;0;0;0;1;0;0
;;27;Slot, M.L.;7;1;0;0;1;0;0;0;0;0;0;0;1;1;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
;;28;Roeting, H.M.;5;0;1;0;0;0;0;0;1;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
