Verkiezing;;Gemeenteraad Vlissingen 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Vlissingen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0718;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Hal Stadhuis;Speelzaal lokaal De Combinatie;Bioscoop CineCity;Atrium  Zorgcentrum Ter Reede;Gymzaal basisschool Louise de Coligny;Lokaal Apostolisch Genootschap;Stichting ROAT;Het Bolwerk;Adventkerk;Lokaal wijkcentrum De Burgerij;Gymzaal Theo Thijssenschool;Activiteitencentrum De Kwikstaart;Lokaal Het Kroonjuweel;Kantine Korfbalvereniging Atlas;Van Duijvenvoorde Sportzaal;Gymzaal basisschool De Omnibus;Kantine VC Vlissingen;Aula Begraafplaats;Historische Kerk Oost-Souburg;Zorgcentrum Scheldehof;Uitvaartcentrum Overtoom Groen;v/m Bibliotheek 't Spui;Mobiel Stembureau;Hal Stadhuis;Hal Stadhuis;Lokaal Apostolisch Genootschap;Lokaal Apostolisch Genootschap;Stichting ROAT;Stichting ROAT;Historische Kerk Oost-Souburg;Historische Kerk Oost-Souburg
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31
Postcode;;;;;4382 LG;4382 KB;4381 LZ;4382 CJ;4384 EV;4386 GZ;4385 AM;4386 EA;4386 AL;4384 HA;4384 PA;4388 KK;4388 MD;4389 TT;4388 VL;4385 HT;4383 VV;4388 NB;4388 AH;4381 EN;4382 XW;4381 HR;4382 MA;4382 LG;4382 LG;4386 GZ;4386 GZ;4385 AM;4385 AM;4388 AH;4388 AH
;;13;Willemse, W.;35;1;5;2;3;1;1;2;0;0;2;0;0;3;0;1;3;0;0;0;3;0;3;0;2;1;0;1;0;0;1;0
;;14;Reijnierse, J.L.;32;0;1;2;0;2;1;0;13;0;0;1;2;0;2;2;1;1;0;1;1;0;0;1;0;0;0;0;0;1;0;0
5;GROENLINKS;;;1045;93;41;32;58;60;56;30;34;31;59;36;19;35;18;18;20;28;16;59;44;31;32;2;44;63;19;16;3;14;12;22
;;1;Portier, J.;325;21;8;10;15;14;17;12;8;5;23;11;9;11;9;8;7;9;8;28;11;5;5;1;12;25;7;7;1;7;3;8
;;2;Bostelaar-Trommelen, R.C.M.;226;16;6;8;18;14;15;2;8;11;8;12;3;8;6;2;5;4;3;7;11;8;5;0;9;15;8;6;0;1;1;6
;;3;Roose, J.;173;18;8;7;8;12;8;7;10;10;7;1;2;6;1;3;5;3;1;6;13;7;6;0;11;6;2;1;0;0;2;2
;;4;Mohandes, S.;135;21;13;5;2;6;6;5;1;2;10;5;1;2;1;2;0;7;2;8;4;5;8;1;2;7;1;0;2;3;1;2
;;5;Driessen, E.M.;8;0;1;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;1;0
;;6;Schaap, A.M.;18;2;0;0;0;4;1;0;0;1;1;0;0;0;0;0;0;3;1;0;0;0;0;0;0;2;1;0;0;0;0;2
;;7;Bottse, J.I.;29;5;1;0;2;1;2;3;0;1;1;1;1;2;0;0;2;0;0;1;0;0;1;0;2;1;0;1;0;0;0;1
;;8;de Dreu, L.;16;2;1;0;3;1;0;0;0;0;2;0;0;1;0;1;0;0;0;0;0;1;1;0;1;0;0;1;0;0;0;1
;;9;Bom, J.S.;13;0;0;0;2;0;1;0;1;0;2;0;0;0;0;0;1;0;1;1;0;1;2;0;0;1;0;0;0;0;0;0
;;10;Kordiš, G.;29;2;1;0;2;0;0;0;1;0;1;3;2;3;1;0;0;2;0;5;1;0;0;0;1;1;0;0;0;0;3;0
;;11;Verhage, E.;73;6;2;2;4;7;6;1;5;1;4;3;1;2;0;2;0;0;0;3;4;4;4;0;4;5;0;0;0;2;1;0
6;Partij van de Arbeid (P.v.d.A.);;;1553;111;68;73;101;105;85;42;56;69;77;56;38;42;9;15;45;61;15;37;82;36;47;14;72;87;21;33;14;11;14;17
;;1;Oreel, F.E.C.;975;67;37;49;66;65;57;33;36;37;55;30;22;26;6;8;30;36;11;24;56;18;27;7;45;68;10;16;8;4;10;11
;;2;Toğuç, Ö.;99;5;11;2;1;5;7;1;4;10;5;0;1;3;0;1;1;8;0;3;1;5;4;1;7;6;0;3;3;0;0;1
;;3;de Vries, K.L.;76;6;1;6;6;2;4;3;4;5;3;5;0;2;0;1;2;5;3;1;4;4;0;1;1;0;2;1;2;0;2;0
;;4;Baaijens, E.;122;12;5;3;7;11;5;0;1;8;4;6;4;2;3;2;2;2;1;2;7;2;8;4;9;4;0;6;0;1;0;1
;;5;Stevoski, H.;27;7;1;1;0;2;0;0;0;1;1;1;0;1;0;0;3;0;0;0;1;2;0;0;3;0;1;2;0;0;0;0
;;6;de Boer-Tijhuis, W.J.M.;33;1;4;1;4;0;1;0;1;0;1;2;1;1;0;3;0;0;0;2;1;1;3;0;1;3;1;0;0;0;0;1
;;7;Doppegieter, M.A.H.;64;5;2;1;1;9;3;1;5;1;3;3;1;0;0;0;3;4;0;1;7;1;3;0;2;0;2;2;1;2;1;0
;;8;Joosse, N.;22;1;1;1;0;1;0;0;1;2;0;0;5;1;0;0;0;1;0;2;1;0;0;0;0;1;0;0;0;1;1;2
;;9;Cappon, H.;11;2;1;0;1;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0
;;10;Verschelling, A.W.K.;9;1;0;0;0;0;0;0;1;2;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;1;1;0;0;0;0;0
;;11;Versluis, H.;12;0;1;1;2;0;0;0;0;1;0;0;0;0;0;0;2;0;0;1;1;0;0;0;0;0;1;1;0;1;0;0
;;12;la Soe, J.B.J.;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;13;Meijer, W.S.;11;0;0;1;0;1;2;0;2;0;2;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0
;;14;van Wijnen, J.H.;28;1;1;2;4;2;0;3;0;0;2;6;1;2;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0
;;15;van der Doef, J.C.T.;56;2;3;5;9;4;3;1;0;1;1;2;1;3;0;0;0;2;0;0;1;3;1;1;3;4;3;1;0;1;0;1
;;16;Dievenbach, P.A.J.;7;1;0;0;0;0;1;0;0;1;0;0;2;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
7;POV perspectief op Vlissingen!;;;1648;128;53;68;113;101;159;42;53;34;96;38;25;25;14;27;39;53;17;54;78;27;60;20;75;87;33;70;3;11;12;33
;;1;Kraan, W.B.;926;76;33;39;71;60;109;20;27;20;60;22;7;5;6;5;29;23;5;14;50;19;32;4;47;55;23;45;1;6;3;10
;;2;Kleefman, R.G.;66;9;1;6;2;2;3;3;0;1;1;0;5;2;1;0;0;1;1;7;2;1;0;2;7;4;0;0;0;0;3;2
;;3;Brunke, R.L.;124;9;6;5;10;6;7;5;4;2;6;1;1;1;0;3;1;8;0;0;12;2;18;0;6;4;1;4;1;1;0;0
;;4;Geerink, A.M.H.W.G.;220;17;6;3;11;8;11;5;8;7;20;4;5;8;3;13;3;9;4;14;7;2;2;7;3;9;2;11;0;3;3;12
;;5;van Poepéle, A.H.;44;2;1;1;2;3;6;2;6;0;1;0;1;1;1;2;3;4;0;3;0;0;0;0;1;3;0;0;0;0;0;1
;;6;Schinkel, J.;73;1;0;1;1;3;4;0;3;2;0;2;5;8;1;4;0;1;6;15;0;0;0;5;2;0;0;0;1;0;1;7
;;7;van Es, N.C.;33;2;0;0;0;0;3;3;1;0;2;4;0;0;0;0;3;3;0;0;0;1;2;0;2;2;1;2;0;1;1;0
;;8;Kraat, A.P.;17;1;0;1;0;12;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0
;;9;Hirdes, P.W.;31;2;2;0;6;2;6;0;0;0;1;0;0;0;1;0;0;1;0;0;1;1;0;1;3;1;2;1;0;0;0;0
;;10;Otten-van der Meulen, C.A.J.;41;4;2;3;5;3;2;1;1;0;3;2;0;0;1;0;0;0;0;0;1;0;1;0;3;4;1;4;0;0;0;0
;;11;Daalmeijer-Kuilder, D.;51;3;2;7;4;1;5;1;2;2;0;0;1;0;0;0;0;0;1;1;5;0;5;1;1;5;1;3;0;0;0;0
;;12;Poppe, J.C.;22;2;0;2;1;1;2;2;1;0;2;3;0;0;0;0;0;3;0;0;0;1;0;0;0;0;0;0;0;0;1;1
8;Staatkundig Gereformeerde Partij (SGP);;;1040;43;20;44;74;86;35;30;34;103;54;24;33;48;40;15;27;22;6;31;33;11;18;4;30;47;16;42;12;20;16;22
;;1;Janse-van der Weele, L.E.J.;879;37;19;41;71;84;29;19;26;75;45;24;22;36;28;12;23;18;5;20;30;11;16;3;28;42;15;37;11;18;15;19
;;2;Tromp, C.R.;70;1;1;0;0;2;3;3;3;12;4;0;3;4;6;1;0;1;0;6;3;0;0;1;2;5;0;4;0;2;1;2
;;3;Deelen, A.R.;10;1;0;0;0;0;2;2;0;3;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0
;;4;de Goffau-van Duin, W.;10;0;0;0;2;0;0;0;1;0;2;0;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
;;5;Bakker, D.;4;0;0;0;0;0;0;0;0;2;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;6;van Klinken, M.P.P.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;7;de Korne, D.F.;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
;;8;Jansen-van Herwijnen, J.G.;14;1;0;2;0;0;0;0;2;0;2;0;0;2;0;0;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;9;Huissen, A.M.J.;15;1;0;0;0;0;0;5;1;4;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0
;;10;de Waard, S.;13;0;0;0;0;0;0;0;0;0;0;0;3;0;5;2;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0
;;11;Sturm, D.;8;0;0;0;0;0;0;1;0;2;0;0;1;3;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;;12;Joosse, C.;5;1;0;0;0;0;0;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;13;Verhage, M.D.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
;;14;van Dijk, P.J.;9;0;0;1;1;0;1;0;0;2;0;0;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
9;SP (Socialistische Partij);;;844;76;61;26;40;54;16;31;42;28;43;15;23;26;9;12;30;50;14;31;37;20;27;5;31;45;6;6;6;8;9;17
;;1;Kuipers, P.E.;585;53;48;18;26;35;15;20;32;14;33;8;9;17;8;10;20;38;11;22;27;12;20;3;21;31;3;5;5;6;3;12
;;2;Stegers, W.M.;46;4;2;2;0;4;0;1;1;1;1;0;6;1;0;2;4;5;0;0;2;2;1;0;2;3;1;0;0;0;1;0
;;3;Holdorp, A.A.M.;42;2;2;1;2;3;0;1;1;6;1;0;0;2;1;0;2;1;2;4;2;0;1;2;0;0;0;0;0;0;3;3
;;4;Strobos, F.;10;0;2;0;0;0;0;0;1;0;1;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;1
;;5;Steutel, S.;22;4;2;0;3;1;0;1;0;0;1;2;2;0;0;0;1;0;0;1;1;1;0;0;1;0;0;0;0;1;0;0
;;6;Rijkse, J.J.;19;4;0;0;0;2;1;2;1;0;0;0;1;0;0;0;0;2;0;1;0;1;0;0;2;1;0;1;0;0;0;0
;;7;Penraat, O.P.;10;3;0;0;0;1;0;0;0;1;1;1;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0
;;8;Colijn-Ventevogel, C.J.;33;3;2;3;1;2;0;2;0;0;0;0;1;3;0;0;2;0;0;0;4;1;2;0;3;2;1;0;0;1;0;0
;;9;de Lange, J.;7;2;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
;;10;Reijnhout, E.;6;0;0;0;1;2;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;11;van der Putten, G.H.;10;0;0;0;1;0;0;0;0;5;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0
;;12;de Vries, J.W.;9;0;0;0;2;0;0;1;4;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0
;;13;Flipse, A.;9;1;1;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;1;0;0;0;0;0;0;0
;;14;Peul, P.F.;4;0;1;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;15;Stroosnijder, S.;32;0;0;1;0;4;0;0;0;1;4;1;4;1;0;0;0;3;1;1;0;0;1;0;1;6;0;0;0;0;2;1
10;D66;;;774;71;16;54;38;62;43;14;28;40;48;37;10;11;4;7;8;11;4;19;31;18;39;3;38;48;16;31;5;4;2;14
;;1;Ghering, O.W.;303;27;9;28;20;22;13;5;11;23;22;11;3;3;2;1;4;6;1;3;12;7;8;2;18;16;4;12;3;1;1;5
;;2;Schrijver, D.;308;29;4;18;6;24;16;5;15;13;18;10;5;4;1;4;3;4;3;11;11;10;22;1;20;23;5;11;2;0;1;9
;;3;Rietman, A.W.;27;0;0;0;0;5;3;0;0;0;0;6;0;1;0;1;1;0;0;0;0;0;4;0;0;2;2;1;0;1;0;0
;;4;Brouwer, B.;8;2;1;1;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
;;5;Peters, N.G.D.;30;3;0;2;1;4;1;2;0;0;3;5;0;0;0;0;0;0;0;0;4;0;0;0;0;1;2;2;0;0;0;0
;;6;van Mierlo-Maasdam, M.E.C.;30;3;1;2;5;1;5;0;0;1;1;1;1;0;0;0;0;1;0;1;2;0;0;0;0;3;1;0;0;1;0;0
;;7;Verboom, D.;10;1;0;2;0;0;1;1;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;0;0;0;0
;;8;Veraart, A.G.M.;15;4;1;0;3;0;1;0;0;0;0;2;0;1;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
;;9;Janse, A.;26;0;0;0;3;6;2;1;1;1;2;1;0;2;0;0;0;0;0;1;1;0;0;0;0;3;0;1;0;1;0;0
;;10;Versluijs, W.;13;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;0;1;3;0;0;0;2;2;0;0;0;0
;;11;Aalfs, T.H.;4;0;0;1;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11;CDA;;;605;37;13;45;57;54;32;10;31;28;34;26;4;18;7;4;8;12;2;17;31;9;19;4;15;29;18;16;3;9;6;7
;;1;Bertijn, C.;371;17;8;28;41;35;18;5;20;20;20;16;1;12;3;3;5;8;1;10;18;7;12;2;10;20;11;10;1;3;1;5
;;2;de Zwarte, M.;54;2;4;4;2;3;2;3;0;2;1;2;0;2;0;0;1;2;0;2;0;1;2;1;3;2;4;0;0;5;3;1
;;3;Seijbel, J.J.M.;78;8;0;4;5;5;5;1;5;2;5;4;1;3;1;1;0;2;1;4;6;1;3;0;0;2;0;4;2;0;2;1
;;4;de Rijke, G.J.C.;14;1;0;2;2;1;2;1;0;0;1;0;2;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0
;;5;Stuurwold-Vermeer, C.;20;0;0;2;2;5;1;0;0;1;0;1;0;0;2;0;1;0;0;0;3;0;0;0;0;2;0;0;0;0;0;0
;;6;Kloosterboer-Dijkstra, M.J.;57;6;0;4;5;3;3;0;6;3;6;3;0;1;1;0;0;0;0;0;4;0;1;0;2;3;3;2;0;1;0;0
;;7;Janssens, M.J.J.;11;3;1;1;0;2;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
12;ChristenUnie;;;579;33;14;20;14;33;18;17;28;43;37;12;24;37;11;10;26;14;5;30;8;7;21;7;10;18;18;14;3;10;18;19
;;1;Mersie, P.J.;289;18;9;14;11;14;11;6;7;25;18;3;8;24;5;1;9;6;3;11;5;2;16;4;6;9;13;10;0;7;5;9
;;2;Droogsma, J.;69;4;1;0;2;8;4;2;8;5;1;1;0;4;0;2;5;2;0;5;0;3;1;0;1;0;2;2;0;1;1;4
;;3;Karel, D.;39;3;0;2;0;0;0;2;0;1;4;3;1;1;2;0;0;1;1;1;2;0;0;0;2;2;0;1;3;1;2;4
;;4;Roos-Koolwijk, M.;44;4;2;1;0;2;0;0;3;5;9;2;1;2;0;0;4;0;0;1;0;0;3;2;0;2;0;0;0;0;1;0
;;5;de Jong, R.S.;12;1;0;0;0;0;0;3;0;0;0;0;0;0;4;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;1
;;6;Coppoolse-Bikker, S.M.;9;0;0;0;0;4;0;0;0;0;2;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0
;;7;Verhagen, R.E.;23;1;0;0;0;0;2;0;3;0;0;0;7;0;0;3;0;1;0;3;1;0;0;0;0;0;0;0;0;0;2;0
;;8;de Rijke, C.J.;14;0;0;0;1;0;0;0;2;1;1;0;2;1;0;0;1;0;0;4;0;0;0;0;0;0;0;0;0;0;1;0
;;9;Lammers, F.J.M.;3;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
;;10;de Jong, A.E.;6;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0
;;11;Verkerke, C.L.;18;2;2;2;0;2;0;0;0;0;0;0;2;0;0;1;0;1;0;0;0;0;0;0;0;4;0;0;0;0;2;0
;;12;de Keijzer, J.;30;0;0;0;0;1;1;1;5;4;0;0;1;0;0;1;7;2;0;2;0;2;0;0;0;1;0;0;0;1;0;1
;;13;Bolier, D.;23;0;0;1;0;2;0;3;0;2;2;3;1;2;0;0;0;0;0;1;0;0;0;1;0;0;3;0;0;0;2;0
13;Bestemming Vlissingen;;;315;38;25;8;9;13;14;9;9;5;24;9;3;13;2;4;9;22;3;10;13;10;11;2;4;20;4;6;3;4;5;4
;;1;Duijndam, A.L.;230;30;16;8;8;11;12;6;9;3;20;5;1;11;0;3;2;17;3;6;10;4;11;1;3;15;3;5;1;3;3;0
;;2;Tienpond, T.I.;32;3;2;0;1;0;0;1;0;2;3;1;2;0;0;0;4;0;0;1;2;2;0;0;1;1;0;1;0;0;2;3
;;3;Koster, M.V.;31;4;4;0;0;2;2;0;0;0;0;0;0;0;2;1;2;3;0;3;1;3;0;0;0;2;0;0;0;1;0;1
;;4;Jobse, C.J.;16;1;2;0;0;0;0;2;0;0;1;3;0;0;0;0;1;1;0;0;0;1;0;1;0;0;1;0;2;0;0;0
;;5;Lefebvre, A.;6;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0
14;Forum voor Democratie;;;745;87;40;21;29;36;25;39;38;27;34;13;19;27;13;12;39;28;12;39;27;28;24;10;18;20;5;7;4;5;4;15
;;1;Werner, A.;575;70;27;19;22;29;18;28;30;23;25;12;13;22;10;9;32;21;8;28;22;21;18;5;12;15;5;6;3;5;4;13
;;2;de Vries, H.J.;66;5;3;2;3;1;3;4;1;3;4;1;1;3;0;2;1;3;3;7;0;2;3;4;2;3;0;0;0;0;0;2
;;3;Schaap, J.C.;48;4;4;0;3;4;3;2;6;1;3;0;2;2;2;0;0;1;0;1;3;2;2;1;1;0;0;1;0;0;0;0
;;4;Muste, R.;7;1;3;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
;;5;Lingier, C.G.;24;3;0;0;0;2;0;4;1;0;2;0;0;0;0;1;4;3;0;0;0;0;1;0;1;1;0;0;1;0;0;0
;;6;Koens, C.;4;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0
;;7;van den Bosch, J.G.L.;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;8;van Giezen, L.L.;11;2;2;0;0;0;1;0;0;0;0;0;2;0;1;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0
;;9;Claerhoudt, I.C.F.;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0
;;10;van der Sloot, J.H.;7;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0
