Verkiezing;;Gemeenteraad Sluis 2022;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Sluis;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;1714;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Kerkgebouw Open Haven Oostburg;Parochiecentrum H. Eligiuskerk Oostburg;Dorpshuis De Zevendraaier Zuidzande;Verenigingsgebouw Cadzand;Dorpshuis Nieuwvliet;MFC 't Torentje Groede;MFC De Korre Breskens;Kantine V.V. Breskens;Dorpshuis Hoofdplaat;Gymzaal IJzendijke;Protstantse Kerk Schoondijke;Dorpshuis Waterlandkerkje;Gymzaal Aardenburg;Dorpshuis Sint Kruis;Dorpshuis Eede;MFC De Keure Sluis;Dorpshuis d'Ouwe Kerke Retranchement;Kerkgebouw Open Haven Oostburg maandag;MFC De Korre Breskens maandag;MFC De Keure Sluis maandag;Kerkgebouw Open Haven Oostburg dinsdag;MFC De Korre Breskens dinsdag;MFC De Keure Sluis dinsdag
;;4;Dekker, L.C.;161;2;13;18;11;7;6;4;3;5;34;15;1;10;0;1;6;2;4;0;2;7;2;8
;;5;de Croock, R.A.;270;5;6;3;0;0;3;4;1;1;19;8;3;47;11;145;2;1;1;1;1;6;0;2
;;6;Aarnoutse, J.;63;2;4;2;7;0;3;1;3;0;8;3;5;5;0;0;4;5;0;3;2;2;4;0
;;7;de Milliano-van den Hemel, P.C.A.;123;16;23;2;1;1;4;2;8;3;13;2;6;11;0;0;2;1;11;1;1;15;0;0
;;8;le Grand-van Cuijck, S.M.;24;3;7;1;0;1;0;3;1;0;1;0;0;2;0;1;0;0;2;1;0;0;1;0
;;9;Paridaen, W.A.M.;16;0;0;0;2;0;0;0;2;3;3;0;1;2;1;0;1;0;0;0;0;0;1;0
;;10;Buijze, S.;3;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0
;;11;Uitdewilligen, T.M.C.M.;11;1;3;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0;1;0;0;3;0;0
;;12;de Koeijer, K.J.;18;0;1;0;0;0;0;0;0;2;3;4;0;5;0;0;0;0;3;0;0;0;0;0
;;13;de Hullu, I.J.;22;3;2;2;0;1;1;3;0;2;3;1;0;2;0;0;0;0;0;2;0;0;0;0
;;14;Basting, P.J.;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;1;0;0;0;0;0
;;15;Oranje, W.;5;0;1;0;0;0;0;0;0;2;1;0;0;0;0;1;0;0;0;0;0;0;0;0
;;16;Kamphuis, L.;6;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;0;1
;;17;Ploegaert, P.P.M.;18;1;0;0;2;0;0;2;0;0;6;4;0;0;0;0;0;0;2;0;1;0;0;0
2;VVD;;;1862;101;119;57;111;70;79;121;75;90;149;84;73;137;28;42;223;48;35;22;39;52;47;60
;;1;Werkman, J.;538;27;34;6;33;21;21;41;24;13;35;35;46;51;11;11;19;17;17;12;8;28;21;7
;;2;van Beek, M.L.L.C.;191;11;7;8;5;2;5;7;8;5;7;7;7;10;3;3;59;2;3;5;7;6;2;12
;;3;Thomaes, P.A.J.C.;270;10;12;7;7;3;11;23;18;67;56;9;10;16;5;0;5;0;1;0;0;2;7;1
;;4;du Fossé, R.;252;5;17;4;12;2;3;3;3;0;3;4;2;17;0;11;106;5;3;0;15;8;0;29
;;5;Basting-Kok, M.S.;141;4;7;10;17;29;11;9;3;1;11;5;0;9;3;0;3;5;4;0;3;0;3;4
;;6;Verduin, K.D.W.;64;15;12;2;3;0;1;8;0;0;7;3;1;3;0;0;1;0;0;2;0;2;4;0
;;7;Dankaart, D.L.D.S.;112;14;14;3;10;2;5;8;2;0;11;9;5;12;2;0;2;2;4;1;0;4;2;0
;;8;Luteijn, P.R.;26;2;2;10;2;1;3;0;1;0;0;1;0;0;0;0;4;0;0;0;0;0;0;0
;;9;Almekinders, C.J.;42;0;2;2;13;0;4;1;2;0;2;2;0;1;0;0;3;1;2;0;2;2;0;3
;;10;Flikweert, L.E.;37;1;3;2;1;1;2;1;2;0;3;2;0;4;2;0;6;0;0;0;3;0;2;2
;;11;Castelijn, T.F.;11;0;0;0;1;0;0;3;1;2;1;0;0;0;0;0;3;0;0;0;0;0;0;0
;;12;Kruidhof, J.;32;3;2;0;3;1;0;0;4;0;0;0;0;1;0;0;1;16;0;0;0;0;0;1
