Verkiezing;;Gemeenteraad Noord-Beveland 2022;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;
Gebied;;Gemeente Noord-Beveland;;;;;;;;;;
Nummer;;1695;;;;;;;;;;
;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Dorpshuis Zaal onder de Toren;Dorpshuis Jhr. Mr. Casembroothuis;Dorpshuis Het Drenthehuis;Dorpshuis de Vriendschap;Dorpshuis de Stadsweide;Dorpshuis de Brug;Dorpshuis de Brug;Dorpshuis Jhr. Mr. Casembroothuis
;;2;Verwei, M.;74;3;2;3;5;50;5;3;3
;;3;van der Klooster, K.;81;48;10;2;2;6;8;1;4
;;4;van der Klooster-Dobbelaar, E.;124;60;11;6;3;16;15;7;6
;;5;Hartog, H.;49;24;5;3;1;2;10;2;2
;;6;'t Hoen-Verschuren, E.M.;69;2;30;0;1;8;11;2;15
;;7;de Smit, M.S.;84;3;1;0;0;0;73;7;0
;;8;Smit, G.L.;10;0;0;0;0;5;5;0;0
;;9;Verheijden, J.H.A.;5;0;0;0;0;0;3;2;0
;;10;van Geesbergen, R.C.;11;0;0;0;0;0;10;1;0
;;11;Beeuwkes, B.;6;2;0;0;0;1;1;0;2
;;12;Wattel, J.J.;13;0;3;0;0;3;1;0;6
;;13;van Keulen, P.L.;22;3;2;0;0;15;2;0;0
;;14;Harpe, L.;4;0;0;0;0;3;0;0;1
;;15;van den Aarssen, M.H.G.;13;0;8;1;0;3;0;0;1
;;16;Oudshoorn, A.C.P.;24;0;4;5;4;7;4;0;0
2;VVD;;;621;60;130;28;36;232;84;15;36
;;1;van Belzen, S.;264;32;65;13;11;93;25;9;16
;;2;Lokerse, J.P.;47;6;0;0;0;35;5;1;0
;;3;Mast, H.R.;66;5;43;1;1;4;1;0;11
;;4;Augustijn, M.E.;37;1;5;1;2;27;0;0;1
;;5;Breure-den Oudsten, E.S.;45;3;4;1;18;13;5;0;1
;;6;Viergever, W.P.;0;0;0;0;0;0;0;0;0
;;7;Versluis, E.P.;82;8;3;12;0;14;40;3;2
;;8;Winkel, F.J.P.;5;0;0;0;0;0;4;1;0
;;9;de Looff, G.J.F.;29;1;5;0;1;19;1;0;2
;;10;Breure, S.J.;17;1;2;0;3;10;1;0;0
;;11;Struijk, I.;11;2;1;0;0;8;0;0;0
;;12;Jansen, A.J.;9;1;0;0;0;6;1;0;1
;;13;Faasse, M.J.;9;0;2;0;0;3;1;1;2
3;Staatkundig Gereformeerde Partij (SGP);;;530;59;164;34;28;127;54;21;43
;;1;van der Maas, A.G.;447;57;137;32;22;96;44;20;39
;;2;van de Woestijne, C.;20;1;13;0;2;1;0;0;3
;;3;de Bruine, A.;31;0;3;0;0;21;7;0;0
;;4;van der Maas, P.J.;6;1;0;1;2;2;0;0;0
;;5;de Putter, M.A.;11;0;5;0;0;3;2;0;1
;;6;Wisse, A.M.;4;0;3;0;0;0;1;0;0
;;7;Poortvliet, H.J.;2;0;1;0;0;1;0;0;0
;;8;Bustraan, J.P.;2;0;1;0;1;0;0;0;0
;;9;van Eck, E.J.;7;0;1;1;1;3;0;1;0
4;CDA;;;383;45;116;20;18;55;66;16;47
;;1;Sandee, J.;230;20;84;7;7;25;38;12;37
;;2;Blok, C.;56;11;11;8;3;14;3;3;3
;;3;van Lobberegt, M.;19;10;1;3;0;2;1;0;2
;;4;Bakker, P.A.;14;0;11;0;2;0;0;0;1
;;5;de Jonge, C.C.;7;0;0;1;0;5;1;0;0
;;6;Deusing-Eckhardt, J.M.;13;1;3;1;0;3;5;0;0
;;7;de Nooijer, J.C.;5;1;0;0;0;1;2;0;1
;;8;Slenter-Jamar, A.P.L.M.;8;0;2;0;5;0;1;0;0
;;9;de Putter, A.;4;1;1;0;0;1;0;0;1
;;10;Geelhoed, G.P.;6;1;2;0;0;2;1;0;0
;;11;van der Weele, C.M.;21;0;1;0;1;2;14;1;2
5;BEN BEtrokken Noord-Beveland;;;272;69;51;2;19;75;23;7;26
;;1;Faasse, M.J.;120;20;32;2;10;26;13;5;12
;;2;de Bokx, M.J.;12;2;4;0;0;1;1;0;4
;;3;Yanover, G.I.;33;5;2;0;0;21;2;2;1
;;4;van der Kraan, C.;12;0;0;0;6;6;0;0;0
;;5;Smits, H.B.T.;23;2;4;0;1;13;3;0;0
;;6;Hasken, H.A.;9;2;4;0;0;1;1;0;1
;;7;de Neef, J.P.;32;30;1;0;0;1;0;0;0
;;8;Wittkamp, M.;25;7;4;0;2;4;3;0;5
;;9;Wilderom, M.P.;6;1;0;0;0;2;0;0;3
6;Partij van de Arbeid / GROENLINKS;;;428;65;58;19;85;82;60;26;33
;;1;Mahieu, E.;210;49;36;10;14;43;21;17;20
;;2;van der Kraan, G.M.;27;1;0;0;23;3;0;0;0
;;3;van der Wal, G.;38;1;0;0;29;6;1;1;0
;;4;de Jong, G.;11;0;9;1;0;0;0;0;1
;;5;van Loon, L.C.H.;29;3;1;0;16;3;5;1;0
;;6;'t Hart, M.L.;15;1;0;0;0;4;7;3;0
;;7;Flameling, I.A.;98;10;12;8;3;23;26;4;12
7;D66;;;345;42;39;25;14;147;36;17;25
;;1;Lelkens, C.C.M.;197;25;25;11;5;93;19;7;12
;;2;Takken, I;75;11;6;6;3;27;10;5;7
;;3;van der Beek, M.J.M.;18;2;3;0;0;10;0;1;2
;;4;Dijkinga, J.H.B.J.;10;2;2;0;0;5;0;1;0
;;5;Koster, J.M.J.C.;4;1;0;0;0;2;1;0;0
;;6;Wiegant, A.A.;2;0;1;0;0;1;0;0;0
;;7;Meulenberg, E. W.;6;1;0;1;0;4;0;0;0
;;8;van der Velden, M.J.M.;21;0;2;7;2;4;1;1;4
;;9;de Groot, H.A.W.;4;0;0;0;4;0;0;0;0
;;10;Marchand-van der Waal, A.L.A.;8;0;0;0;0;1;5;2;0
