Verkiezing;;Gemeenteraad Hulst 2022;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Hulst;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0677;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Stadhuis;De Blaauwe Hoeve;Gemeenschapscentrum Den Dullaert I (sporthal);Gymzaal Reynaertcollege (ingang Zandstraat);Gemeenschapscentrum Malpertuus;Gemeenschapscentrum de Kauter;Gemeenschapshuis Graauw;Gemeenschapscentrum De Warande;Gemeenschapscentrum 't Heike;Dorpscentrum Binnendéur;Dorpscentrum De Luifel;Dorpshuis Brandershole;Dorpscentrum Vogelwaarde (gymzaal);Gemeenschapshuis Hof ter Nesse;Dorpscentrum De Schuur;Reynaertland;Gemeenschapscentrum Den Dullaert II (sporthal);Gymzaal BS Inghelosenberghe;Hontenissehal Kloosterzande;Dorpscentrum Binnendéur 14 maart 2022;Gemeenschapscentrum Den Dullaert 14 maart 2022;Dorpscentrum Binnendéur 15 maart 2022;Gemeenschapscentrum Den Dullaert 15 maart 2022;Antonius Kloosterzande
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;21;22;23;24;25
Postcode;;;;;4561 EA;4561 NT;4561 NW;4561 XA;4567 BM;4568 AB;4569 AG;4564 AD;4566 AC;4587 AG;4586 AN;4583 ST;4581 BR;4589 KR;4585 AJ;4561 GX;4561 KZ;4564 AH;4587 BL;4587 AG;4561 NW;4587 AG;4561 NW;4587 CW
;;5;Roelands, J.;113;21;1;8;4;1;4;3;5;5;13;4;0;2;1;0;12;8;0;3;2;5;3;8;0
;;6;Maas, A.J.;135;3;3;2;5;3;0;5;3;7;19;19;3;6;4;5;10;4;4;18;5;2;3;2;0
;;7;Strooband-de Moor, M.M.;231;18;1;11;8;103;1;3;15;11;9;1;2;2;0;1;4;6;6;0;0;15;1;13;0
;;8;de Waal, D.G.E.M.H.;82;2;0;0;0;0;59;0;0;0;3;0;0;0;7;6;1;0;0;0;0;0;2;2;0
;;9;Eckhardt, M.D.;33;4;0;1;4;1;1;0;1;1;3;0;1;10;0;1;1;2;0;0;0;1;0;1;0
;;10;de Wolf, C.C.J.;106;22;1;13;8;2;0;1;13;0;0;2;0;3;0;0;3;16;3;0;0;7;0;12;0
;;11;van den Bergen, S.;111;5;0;0;2;0;0;1;4;0;6;3;1;69;0;9;2;3;1;0;0;0;0;2;3
;;12;van de Heijning, J.W.M.;51;0;0;0;2;15;2;9;0;3;3;1;0;3;3;2;2;3;2;0;0;0;0;1;0
;;13;Schauwaert, T.W.M.;43;0;0;6;1;0;0;2;10;1;0;0;0;1;0;0;0;3;6;0;1;4;0;8;0
;;14;Prins, J.;47;1;0;4;0;0;0;1;0;0;1;0;0;32;0;0;0;4;0;0;0;3;0;1;0
;;15;Buijsrogge, J.E.M.;27;2;0;5;0;0;0;9;1;0;0;0;0;0;0;2;0;3;2;0;0;1;1;1;0
;;16;Cappon, M.;20;1;0;2;0;0;0;1;3;2;4;0;0;0;0;0;0;0;1;1;2;0;2;1;0
;;17;van Grol, H.;42;4;0;0;1;0;0;6;2;2;3;10;1;2;0;0;3;3;1;0;0;0;1;3;0
;;18;de Koning, M.C.M.;42;5;4;2;7;3;0;0;1;1;0;0;0;0;0;0;4;7;1;0;0;1;0;6;0
;;19;van Putte, N.B.M.;47;1;0;1;1;11;1;0;14;0;0;0;0;0;0;0;0;3;7;0;0;3;1;4;0
;;20;de Klerk, R.P.M.;25;0;0;1;0;0;0;0;1;15;1;0;0;0;0;0;3;0;4;0;0;0;0;0;0
;;21;Verbiest-de Wilde, L.M.C.;70;4;0;2;3;0;0;0;2;4;9;2;2;28;1;5;3;3;0;1;0;0;1;0;0
;;22;de Booy, D.J.M.;51;3;0;5;3;11;22;0;0;0;1;0;0;0;0;0;1;0;0;0;2;0;0;3;0
;;23;de Theije-Michielsen, J.M.P.;8;0;0;0;0;0;0;1;0;0;1;0;0;2;0;0;0;2;0;0;2;0;0;0;0
;;24;Rottier, K.L.L.;8;0;0;0;0;0;0;1;0;0;0;0;0;0;2;1;0;0;0;1;0;0;3;0;0
;;25;Schuren, W.A.E.;18;0;0;0;0;1;0;0;0;0;0;0;0;16;0;0;0;1;0;0;0;0;0;0;0
;;26;Freijzer-Pieters, J.C.J.;20;5;0;0;0;1;0;0;5;0;0;0;6;0;0;0;0;2;0;0;1;0;0;0;0
;;27;van der Veeken, C.O.;141;8;0;13;18;10;2;4;15;11;1;1;4;0;2;3;5;13;7;0;0;12;2;10;0
;;28;van Daalen, D.A.A.;97;5;0;4;3;2;0;0;23;3;1;0;1;7;0;2;18;1;22;1;0;0;0;4;0
;;29;Segers, M.;44;9;0;6;4;1;0;0;1;1;4;0;2;11;0;0;2;2;0;0;0;0;0;1;0
;;30;Vinke, J.;14;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;3;3;1;1;0
;;31;Dobbelaer, A.T.M.;102;2;0;3;1;3;0;2;33;15;1;2;0;1;0;0;2;1;28;0;0;3;0;5;0
2;CDA;;;2180;237;27;98;93;86;66;120;174;201;96;44;47;101;25;48;127;95;103;29;45;105;61;141;11
;;1;Steijaert, D.K.E.;639;88;13;18;26;28;20;81;48;14;26;23;12;32;6;27;21;29;23;10;10;26;17;39;2
;;2;van de Kerkhove, P.J.M.;269;59;0;27;21;6;1;2;7;3;11;0;1;0;0;0;46;15;2;2;9;20;8;28;1
;;3;Martinet, K.L.;304;14;2;12;11;12;3;4;37;128;0;3;5;3;4;1;6;7;16;3;2;18;0;11;2
;;4;Nijskens-de Maat, C.R.J.;117;5;4;3;4;3;1;3;2;4;28;1;4;4;0;3;4;0;2;5;12;6;17;2;0
;;5;Verdurmen, W.A.P.E.;84;7;2;7;8;0;1;4;3;6;1;3;3;1;3;3;5;9;3;1;2;5;1;6;0
;;6;van Jole, S.G.B.;57;2;0;0;1;0;0;0;0;2;3;0;0;36;1;2;2;2;0;0;1;0;2;1;2
;;7;van Wesemael, J.G.R.;72;8;0;1;0;1;33;8;1;2;1;2;0;0;0;2;3;0;0;1;0;1;0;8;0
;;8;van Laak, H.J.M.;68;5;0;6;3;2;0;2;8;2;0;0;0;0;0;0;5;8;8;0;1;9;0;9;0
;;9;Kuijpers, F.P.;39;2;0;2;1;3;0;0;0;0;4;1;0;3;8;5;0;4;1;2;0;0;2;0;1
;;10;Mandjes-de Keijzer, W.A.;16;0;1;0;0;13;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0
;;11;van de Kerkhove, P.H.M.;33;5;1;1;0;2;0;1;0;0;0;0;0;0;0;0;8;0;4;0;0;4;1;6;0
;;12;de Letter, C.E.M.;27;1;2;2;0;0;0;0;10;1;0;0;0;2;0;0;2;1;6;0;0;0;0;0;0
;;13;Crutzen, A.P.A.;42;3;0;5;4;1;3;3;1;2;2;2;0;0;0;1;3;1;0;0;0;3;0;8;0
;;14;Hemelaar, P.J.M.;72;4;2;1;1;2;0;0;26;7;2;1;2;1;0;0;3;4;14;0;0;0;1;1;0
;;15;Freijzer, K.J.;16;1;0;0;1;0;0;0;0;0;0;0;13;0;0;0;0;1;0;0;0;0;0;0;0
;;16;van der Meijden, E.J.M.;14;3;0;0;0;1;0;0;0;0;0;0;0;3;0;1;5;1;0;0;0;0;0;0;0
;;17;Blommaert, R.A.M.;11;0;0;0;0;0;0;0;1;0;0;0;0;7;0;0;0;0;0;0;0;3;0;0;0
;;18;Vael, T.E.N.;32;5;0;3;1;1;0;1;4;11;0;1;0;0;0;0;3;0;2;0;0;0;0;0;0
;;19;van Laere, P.T.A.;11;0;0;2;0;2;0;0;0;0;1;1;3;2;0;0;0;0;0;0;0;0;0;0;0
;;20;Bracke, D.G.A.J.;43;4;0;0;3;5;0;0;3;0;7;0;0;2;0;0;2;1;1;1;5;2;2;4;1
;;21;van Hoof, J.P.H.;6;0;0;0;1;0;0;0;0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;1;0
;;22;van Laak, B.P.J.;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;2;0
;;23;Mulder, L.J.A.;13;1;0;1;0;0;0;0;6;1;2;0;0;0;0;0;0;0;1;0;0;1;0;0;0
;;24;Francken, E.H.F.;24;1;0;3;0;1;0;0;4;12;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0
;;25;Steijaert, J.I.S.;70;6;0;3;2;3;4;11;4;1;2;6;0;3;2;3;1;3;5;2;2;2;5;0;0
;;26;Hoefeijzers, B.A.J.;31;4;0;0;0;0;0;0;0;1;0;0;1;0;0;0;4;4;2;0;0;4;0;11;0
;;27;Dieleman, J.A.M.;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0
;;28;Mallens, A.L.;3;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;;29;Jonkman, M.M.;25;3;0;0;0;0;0;0;0;1;6;0;0;1;1;0;1;0;2;2;1;0;5;0;2
;;30;Thönissen, B.J.E.F.M.;13;4;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;2;0
;;31;Totté, A.A.V.;21;1;0;0;0;0;0;0;9;2;0;0;0;0;0;0;3;0;5;0;0;0;0;1;0
3;Groot Hontenisse - Hulst;;;1567;59;12;44;38;70;29;21;46;30;208;205;41;112;70;66;45;36;29;105;111;36;104;44;6
;;1;van Driessche, F.A.D.;514;30;8;20;22;24;8;6;9;16;28;140;23;18;6;21;18;13;16;22;7;18;21;19;1
;;2;van Kerckhoven, P.K.;264;1;0;1;0;1;0;2;2;0;83;6;1;3;2;12;1;1;0;41;65;3;36;0;3
;;3;Mangnus, L.A.;167;6;0;8;2;5;13;2;4;4;6;20;8;34;7;13;4;4;0;7;0;5;6;9;0
;;4;van den Kieboom, F.C.H.M.M.;65;2;0;2;1;1;1;0;2;2;7;3;0;2;1;2;2;2;3;5;10;3;11;3;0
;;5;Lernout, G.L.C.;43;3;0;1;1;0;0;1;22;2;0;0;0;0;0;0;5;0;4;0;1;0;0;3;0
;;6;Alvarez Morcus, J.;88;1;0;0;0;0;1;1;1;2;33;14;0;0;0;3;0;0;0;9;11;1;10;0;1
;;7;Sijnesael, P.P.A.;31;0;3;1;1;0;0;1;0;0;1;4;0;10;0;4;0;1;1;0;1;1;2;0;0
;;8;Scheerders, P.J.;32;2;0;5;3;1;0;3;0;0;2;1;2;3;1;1;1;4;1;0;0;0;2;0;0
;;9;Durgutović, S.;19;1;0;0;0;3;1;0;0;0;5;1;1;2;1;3;0;1;0;0;0;0;0;0;0
;;10;Baouchi, H.;13;1;0;0;0;1;0;0;0;0;3;2;0;1;1;0;1;0;0;0;0;0;1;1;1
