Verkiezing;;Gemeenteraad Veere 2022;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Veere;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0717;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Stembureau Verenigingsgebouw het Akkoord;Stembureau Verenigingsgebouw de Spil;Stembureau Verenigingsgebouw Vrouwenpolder;Stembureau Verenigingsgebouw de Zandput;Stembureau Verenigingsgebouw Amicitia;Stembureau Dorpshuis Nimmerdor;Stembureau Verenigingsgebouw Ons Huis;Stembureau Sportcentrum de Couburg;Stembureau WoZoCo de Brouwerij;Stembureau MFA Onderdak;Stembureau MFA de Soute Schakel;Stembureau Gemeentehuis Domburg;Stembureau Sporthal de Halve Maan 1;Stembureau Sporthal de Halve Maan 2;Stembureau Sportzaal de Bellink;Stembureau Verenigingsgebouw Westkapelle Herrijst;Stembureau Sportcentrum de Couburg ma;Stembureau Gemeentehuis Domburg ma;Stembureau Sporthal de Halve Maan ma;Stembureau Sportcentrum de Couburg di;Stembureau Gemeentehuis Domburg di;Stembureau Sporthal de Halve Maan di;Stembureau Mobiel: Wkp Zout Veere;Stembureau Mobiel: Okp Dom
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24
Postcode;;;;;4351 AS;4352 AH;4354 AD;4353 BA;4363 BC;4364 BL;4365 AH;4371 AZ;4371 EB;4373 DA;4374 BB;4357 ET;4356 BX;4356 BX;4361 CG;4361 AE;4371 AZ;4357 ET;4356 BX;4371 AZ;4357 ET;4356 BX;;
2;Dorpsbelangen en Toerisme Veere (DTV);;;1149;81;37;70;66;40;105;37;115;70;49;70;31;34;38;70;79;28;8;24;55;10;25;4;3
;;1;Roelse, L.A.;499;27;21;15;28;17;54;17;34;17;17;39;11;8;20;52;69;7;0;13;13;5;10;3;2
;;2;Sparreboom, S.;159;5;6;4;8;6;5;8;24;16;23;17;5;3;2;3;4;3;2;1;10;1;3;0;0
;;3;de Buck, J.A.;90;10;0;9;5;2;2;4;2;0;0;0;3;20;13;1;0;1;1;4;0;2;10;0;1
;;4;Stevense, G.J.C.;23;11;1;0;1;0;0;0;1;2;0;0;0;0;0;1;1;0;0;2;1;0;2;0;0
;;5;den Hamer, C.A.;4;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
;;6;Minderhoud, K.W.;135;1;1;0;1;0;3;0;46;31;1;2;4;0;0;3;0;16;0;1;24;1;0;0;0
;;7;Luteijn, J.;66;2;1;0;3;4;31;5;1;2;0;5;3;2;0;1;1;1;3;0;1;0;0;0;0
;;8;Langebeeke, A.J.C.;42;7;3;24;1;0;2;1;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0
;;9;Hamelink-Menig, L.M.M.;15;11;0;0;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;10;Huiszoon, K.;24;2;0;0;1;0;0;1;0;0;0;3;0;1;1;8;3;0;0;0;4;0;0;0;0
;;11;Bulder, C.A.;54;3;4;17;0;1;5;1;2;2;6;3;3;0;1;1;0;0;0;3;1;1;0;0;0
;;12;van der Leek, G.A.;18;0;0;0;16;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
;;13;Bosschaart, A.I.;16;1;0;0;0;8;1;0;1;0;1;1;2;0;0;0;0;0;0;0;1;0;0;0;0
;;14;Geldof, J.P.C.;4;1;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3;CDA;;;1387;65;41;52;196;70;107;43;91;75;82;108;27;63;53;49;72;31;16;23;34;20;41;17;11
;;1;Wisse, P.A.C.;861;42;26;29;101;44;67;27;55;54;57;43;21;44;37;37;41;21;13;17;20;13;33;10;9
;;2;Sanderse, J.W.;86;0;5;3;31;2;7;4;1;2;1;6;1;7;5;0;2;0;0;3;2;2;1;0;1
;;3;Katsivelis, O.;57;0;2;2;1;2;0;0;18;11;1;0;0;4;1;0;0;6;2;0;7;0;0;0;0
;;4;van Os-Koevoets, H.M.;78;1;0;6;5;2;7;4;6;2;1;22;4;0;1;1;1;4;1;2;3;0;2;3;0
;;5;van Hese, B.L.H.;11;2;0;0;2;0;0;0;0;0;1;5;0;0;0;1;0;0;0;0;0;0;0;0;0
;;6;Joziasse, E.;16;0;1;9;0;0;0;0;3;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0
;;7;den Herder, W.;60;0;1;1;46;1;4;0;1;0;0;0;0;1;0;1;0;0;0;1;1;1;1;0;0
;;8;Wouters-Kleinepier, K.W.F.;35;2;2;1;3;0;0;0;1;2;0;16;1;2;0;1;4;0;0;0;0;0;0;0;0
;;9;Reijnierse, J.W.;31;0;0;0;1;0;1;0;0;0;1;0;0;1;0;6;19;0;0;0;0;0;0;1;1
;;10;de Visser-van den Dungen, C.J.T.M.;31;1;0;0;1;2;2;2;1;1;13;5;0;1;0;0;0;0;0;0;1;1;0;0;0
;;11;Roelse, Z.;22;0;0;0;1;0;16;3;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0
;;12;Meijers, L.C.;22;14;1;0;2;0;1;0;0;1;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0
;;13;Lous, S.J.;17;0;0;0;1;0;0;0;0;0;0;0;0;3;8;0;0;0;0;0;0;2;3;0;0
;;14;Nonnekes, J.J.;24;0;0;1;0;17;0;2;0;0;0;1;0;0;0;0;2;0;0;0;0;0;1;0;0
;;15;Braam, J.;2;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;16;Wielemaker, A.;7;1;0;0;0;0;1;0;2;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
;;17;de Visser, P.;4;0;0;0;0;0;0;0;0;0;0;3;0;0;0;1;0;0;0;0;0;0;0;0;0
;;18;Lampert, J.;23;2;3;0;0;0;1;1;3;1;5;3;0;0;0;0;2;0;0;0;0;0;0;2;0
4;VVD;;;1630;155;41;77;93;38;115;29;146;94;97;132;101;75;67;64;75;38;24;28;64;35;37;3;2
;;1;Osté-Aarnoutse, M.;929;58;29;50;54;21;57;20;118;70;60;65;32;39;15;43;50;32;14;19;53;15;10;3;2
;;2;van Houten, R.;185;7;5;5;11;9;6;0;11;6;10;6;54;4;6;8;7;1;10;3;1;13;2;0;0
;;3;Barendregt, P.A.;99;63;1;8;0;0;1;0;2;1;5;1;1;2;0;2;2;1;0;0;0;4;5;0;0
;;4;van Broekhoven, A.G.H.;48;4;0;0;0;1;32;1;1;4;0;0;1;1;0;0;1;0;0;2;0;0;0;0;0
;;5;van den Berg, L.V.M.;34;0;0;1;1;3;0;0;2;3;13;3;3;0;2;2;1;0;0;0;0;0;0;0;0
;;6;Wattel, E.J.W.;89;0;1;1;3;2;2;0;0;0;3;0;3;19;36;1;1;0;0;2;1;1;13;0;0
;;7;Lievense, N.;79;0;0;0;0;0;1;0;1;1;2;53;0;0;0;2;11;2;0;2;3;1;0;0;0
;;8;de Visser, R.;33;0;0;6;2;0;0;0;1;0;0;1;1;10;5;2;1;0;0;0;0;0;4;0;0
;;9;Rijk, C.F.;27;0;1;0;0;0;1;0;9;7;1;0;0;0;0;0;0;1;0;0;6;1;0;0;0
;;10;van den Berge, A.J.;31;19;0;2;1;0;1;0;0;0;0;1;2;0;2;1;1;0;0;0;0;0;1;0;0
;;11;Boone, P.C.;17;0;0;0;1;2;12;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0
;;12;van der Hoofd, A.;8;1;2;0;2;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
;;13;de Visser, N.J.G.;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;;14;te Roller, M.;15;0;0;2;12;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;;15;Bierens, C.W.;18;0;0;1;0;0;0;8;0;2;2;1;2;0;0;0;0;0;0;0;0;0;2;0;0
;;16;van Halderen, A.J.M.;8;0;0;1;6;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;;17;Schanck-van den Berge, C.C.W.;8;3;2;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0
5;HART VOOR VEERE (HVV);;;2051;93;36;137;116;68;138;45;101;55;62;347;209;50;38;115;217;26;42;27;30;55;30;13;1
;;1;van Kervinck, S.;697;35;15;49;39;23;37;18;47;23;19;109;65;14;14;38;56;14;19;9;14;22;12;6;0
