Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;het Omnium;Bethelkerk;gymzaal de Krul;Wijkcentrum Jan Ligthart;Stadskantoor;de Zuidwester;Wijkcentrum de Spinne 1;Wooncentrum Erasmuspark;Wijkcentrum de Spinne 2;Wijkcentrum de Pit;'t Beest;Serviceflat de Horst;Amicitia, Kloetinge;het Wilhelminahuis, Wilhelminadorp;'t Katshuis, Kattendijke;De Griffioen, Wolphaartsdijk;Heer Hendrikhuis, s-Hr Hendrikskinderen;Heer Arendhuis, s-Hr Arendskerke;Ontmoetingskerk;Mobiele stembus 1 (wo 16-03);Mobiele stembus 2 (wo 16-03);het Omnium (ma 14-03);het Omnium (di 15-03);Wijkcentrum Jan Ligthart (ma 14-03);Wijkcentrum Jan Ligthart (di 15-03);Wijkcentrum de Pit (ma 14-03);Wijkcentrum de Pit (di 15-03);Stadskantoor (ma 15-03);Stadskantoor (di 15-03);Mobiele stembus 1 (ma 14-03);Mobiele stembus 1 (di 15-03);Mobiele stembus 2 (ma 14-03);Mobiele stembus 2 (di 15-03);Ontmoetingskerk (ma 14-03);Ontmoetingskerk (di 15-03)
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;13;14;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38
Postcode;;;;;4463 AB;4461 NZ;4461 JA;4461 NB;4462 GE;4461 ET;4463 CV;4463 XZ;4463 CV;4462 TL;4461 CS;4461 WZ;4481 AH;4475 AR;4474 AT;4471 BB;4472 AN;4458 BC;4462 RA;;;4463 AB;4463 AB;4461 NB;4461 NB;4462 TL;4462 TL;4461 GE;4461 GE;;;;;;4462 RA
;;9;van Groningen, A.;20;3;0;2;2;0;0;0;0;1;2;0;0;3;0;0;1;1;0;2;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0
;;10;Verkuil, C.;7;0;1;0;0;0;0;1;0;0;0;0;1;1;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;;11;Murre, J.M.C.;22;0;0;2;1;0;0;1;0;0;0;0;1;0;0;0;15;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1
;;12;Zwemer, M.C.;6;0;0;0;0;2;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;;13;Fierloos, A.N.;19;0;0;5;1;1;3;2;0;0;2;0;2;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;;14;van Bennekom, K.T.;28;0;1;6;0;3;1;1;2;1;1;1;1;0;1;0;0;0;0;2;0;0;2;1;0;1;0;2;0;0;0;0;0;1;0;0
;;15;Lukasse, J.;12;0;0;1;0;4;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;1;0
;;16;Schiebaan-Boone, N.M.C.;31;0;6;5;0;1;0;1;0;1;1;0;1;1;1;0;1;1;1;3;0;2;1;1;1;0;0;1;0;0;0;0;0;0;1;0
;;17;Verschuure, A.G.P.;32;0;0;4;0;1;0;0;2;0;3;0;2;2;3;0;3;1;3;1;0;1;0;1;1;0;0;0;0;0;0;3;0;0;0;1
;;18;Snellen, M.W.H.L.M.;6;0;1;0;0;0;0;2;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;19;de Korte, E.J.;25;0;0;0;0;0;0;1;0;1;0;0;2;2;0;0;16;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;;20;Koppejan, E.J.A.;29;1;2;4;0;1;0;1;1;1;1;0;0;0;0;1;0;1;1;2;0;0;3;7;0;0;0;0;0;1;0;0;0;0;1;0
;;21;de Frel, C.J.;15;0;0;7;0;0;1;0;0;0;0;0;0;1;0;2;0;2;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0
;;22;Verburg-Gorthuis, C.W.;47;1;4;3;0;0;0;1;4;0;6;0;0;1;1;0;5;0;3;5;0;0;1;0;0;2;0;2;0;0;0;2;0;2;0;4
