Verkiezing;;Gemeenteraad Het Hogeland 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Het Hogeland;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;1966;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Sportcentrum De Mencke 1;St. Vincentiusgebouw;Ability;Sportcentrum De Mencke 2;Rehoboth;Sporthal Scherphorn;Het Anker;Dorpshuis Nieuw Calvaria;Dorpshuis Diggelschip;'t Klokhoes;'t Schienvat;Dorpshuis Usquert;Op Roakeldais 1;Op Roakeldais 2;Sporthal De Beemden 1;Sporthal De Beemden 2;Gebouw Thedema;Gymzaal Schoolstraat;De Meenschaar;Sporthal De Vlijt;Dorpshuis Zijlvesterhoek;Dorpshuis De Kern;Ripperdahal 1;Kerkgebouw De Poort;Terra Winsum;Ripperdahal 2;HHC Winsum;De Hoogte;Dorpshuis Agricola;Concordia;Dorpshuis Op Streek;Ubbegaheem;Artharpe;Ontmoetingscentrum;Dorpshuis Vierhuizen;'t Anker;c.r. De Marne;Kantine FC LEO;Dorpshuis De Warf;Kronkelhoes;Dorpshuis Open Haard;Dorpshuis Eenrum;Dorpshuis Pieterburen;St. Vincentiusgebouw 14-03-2022;St. Vincentiusgebouw 15-03-2022;De Meenschaar 14-03-2022;De Meenschaar 15-03-2022;De Hoogte 14-03-2022;De Hoogte 15-03-2022;Kantine FC LEO 14-03-2022;Kantine FC LEO 15-03-2022
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51
;opgeroepenen;;;38800;982;1159;1171;1155;872;953;847;886;282;566;755;1127;904;920;1115;1333;1059;1161;1124;1163;476;1036;816;779;1156;1056;1022;937;1016;792;422;991;525;1150;308;1151;680;1454;420;740;429;1342;568;0;0;0;0;0;0;0;0
;geldige stempas;;;19313;398;322;432;333;241;398;539;444;104;256;389;476;429;463;297;262;490;615;524;638;286;604;344;375;576;326;496;493;688;241;272;567;287;494;168;417;317;463;201;360;201;634;290;205;318;321;458;241;320;135;165
;geldig volmachtbewijs;;;2241;41;43;60;55;27;54;68;38;15;44;58;66;52;3;43;29;52;72;51;84;24;74;27;39;72;35;75;60;65;27;18;51;28;61;15;72;42;64;21;34;15;85;37;22;46;44;48;30;27;8;20
;geldige kiezerspas;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;toegelaten kiezers;;;21554;439;365;492;388;268;452;607;482;119;300;447;542;481;466;340;291;542;687;575;722;310;678;371;414;648;361;571;553;753;268;290;618;315;555;183;489;359;527;222;394;216;719;327;227;364;365;506;271;347;143;185
;geldige stembiljetten;;;21397;433;364;488;383;261;443;606;479;118;298;441;541;473;463;336;288;539;685;570;719;306;675;368;411;646;360;568;549;747;266;285;614;314;553;183;480;358;524;219;391;213;709;327;236;364;365;504;261;346;143;184
;blanco stembiljetten;;;121;5;0;3;5;3;3;1;3;1;2;6;1;7;3;3;3;3;2;5;2;3;1;3;0;1;1;2;3;6;2;4;3;0;2;0;6;0;1;3;3;1;8;0;0;1;0;3;1;1;0;1
;ongeldige stembiljetten;;;32;1;1;1;0;4;5;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;1;0;2;1;1;0;1;1;0;1;1;1;0;0;0;2;1;0;0;2;2;0;0;0;0;0;0;0;0;0
;aangetroffen stembiljetten;;;21550;439;365;492;388;268;451;607;482;119;300;447;542;481;466;340;291;542;687;575;722;309;677;371;413;648;362;570;553;754;268;290;618;315;555;183;486;360;526;222;394;216;719;327;236;365;365;507;262;347;143;185
