Verkiezing;;Gemeenteraad Westerkwartier 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Westerkwartier;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;1969;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Nienoordkapel;Gemeentehuis Leek;Dienstencentrum De Schutse;Cazemier Boerderij;Novatec;Het Anker;Mfc De Molenstreek;Pannenkoekenburcht Nienoord;MCO De Gaveborg;Het Bolwerk;Sportcentrum Leek;Sportpark Oostindie;Kerk De Hoeksteen;De Bibliotheek Leek;Sportcentrum Leek 2;Gemeentehuis Zuidhorn;Dorpshuis Dörpsstee;Gastkerk;Kerk De Rank;Sporthal De Bokkediek;Kerk Grijpskerk-Niezijl;'t Bartoleshûs;Dorpshuis De Wending;Dorpshuis Soltketen;Dorpshuis 't Schanshuus;De Meeden;'t Hoge Hof;Dorpshuis Den Ham;Dorpshuis Hornhuis;Kerk De Zaaier;Dorpshuis Eisseshof;Dorpshuis Heralmahuus;Dorpshuis De Vrijwilliger;Steak- en Partyhouse André Dokter;Cultureel Centrum Zuidhorn;Gemeentehuis Grootegast;Dorpshuis 't Spectrum;Dorpshuis 't Kompas;Gemeentewerf Grootegast;Sporthal De Leegens;Dorpshuis 't Hörnhuus;Mfc De Veste 1;Mfc De Veste 2;Gebouw Ons Centrum Oldekerk;Dorpshuis De Rotonde;Gemeentehuis Marum;Gebouw De Wieken;Gebouw De Weme;Ons Centrum 2;Dorpshuis Op de Welle;Dorpshuis Jonkersvaart;Gebouw Oomkegast;Gebouw Ons Centrum Marum;Dorpshuis Schleurholtshuus;De Doorrit;Sporthal De Holten;Kerk De Morgenster;de Roomsterborgh;Gemeentehuis Leek 14 maart;Gemeentehuis Zuidhorn 14 maart;Gemeentehuis Grootegast 14 maart;Gemeentehuis Marum 14 maart;Gemeentehuis Leek 15 maart;Gemeentehuis Zuidhorn 15 maart;Gemeentehuis Grootegast 15 maart;Gemeentehuis Marum 15 maart
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;101;102;103;104;201;202;203;204
Postcode;;;;;9351 AN;9351 BJ;9351 KP;9356 AT;9356 AS;9354 AR;9354 AG;9351 PG;9828 RC;9812 PL;9351 NV;9351 XZ;9351 KA;9351 HC;9351 NK;9801 AJ;9804 RL;9801 AG;9801 AZ;9843 BV;9843 AA;9845 AK;9844 PE;9881 PA;9842 PE;9831 RD;9831 RZ;9833 PB;9832 PD;9883 PS;9884 PC;9886 PG;9885 PC;9805 TD;9801 CG;9861 AC;9862 TH;9866 AP;9861 GK;9863 PE;9864 PL;9865 TE;9865 TE;9821 PA;9822 AA;9363 BA;9365 PS;9824 PH;9363 BX;9367 PX;9366 TA;9362 RC;9363 AD;9891 AB;9893 PC;9363 EH;9861 ES;9351 TC;;;;;;;;
;opgeroepenen;;;51125;1041;1014;1120;1093;1080;939;1123;1061;568;280;1161;1103;1106;1065;1202;1307;1140;1266;1408;1127;1036;419;276;438;370;937;849;258;353;1068;202;134;158;1240;1298;1003;515;711;982;906;552;804;856;1032;1270;1315;906;908;1238;1191;437;712;1122;900;373;1119;911;1122;0;0;0;0;0;0;0;0
;geldige stempas;;;26510;374;332;554;652;315;409;532;421;316;198;611;609;452;457;426;900;574;308;432;650;494;174;112;252;232;536;433;129;186;568;126;79;99;721;832;628;278;388;219;362;254;451;446;483;706;706;376;302;181;471;204;359;376;433;265;488;345;409;358;428;176;234;484;520;294;391
;geldig volmachtbewijs;;;3164;35;36;52;74;30;55;57;52;41;22;59;81;49;57;47;99;77;33;39;84;56;15;18;24;28;52;42;12;28;74;17;3;9;101;89;77;35;46;21;57;34;69;76;63;88;89;57;44;17;58;29;55;55;56;28;71;40;54;33;39;17;25;52;50;42;40
;geldige kiezerspas;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;toegelaten kiezers;;;29674;409;368;606;726;345;464;589;473;357;220;670;690;501;514;473;999;651;341;471;734;550;189;130;276;260;588;475;141;214;642;143;82;108;822;921;705;313;434;240;419;288;520;522;546;794;795;433;346;198;529;233;414;431;489;293;559;385;463;391;467;193;259;536;570;336;431
;geldige stembiljetten;;;29537;409;366;603;726;342;464;584;473;353;220;663;689;496;513;471;991;650;341;467;730;548;186;129;274;259;585;473;139;212;641;142;80;108;816;920;703;313;434;237;416;288;517;518;543;792;787;430;345;198;527;233;413;429;484;293;557;384;462;391;466;192;259;532;570;336;425
;blanco stembiljetten;;;82;0;1;3;1;1;0;4;0;2;0;7;1;1;1;0;2;0;0;3;2;1;3;0;2;0;1;2;2;1;1;1;2;0;3;0;0;0;0;1;3;0;2;3;1;2;4;2;0;0;1;0;1;1;5;0;2;0;1;0;2;0;0;2;0;0;1
;ongeldige stembiljetten;;;57;0;2;0;0;2;0;1;0;2;0;0;0;4;0;1;6;1;0;1;2;1;0;1;0;1;2;0;0;1;1;0;0;0;3;1;1;0;0;2;0;0;1;2;2;0;4;1;1;0;1;0;0;1;0;0;0;1;0;0;0;1;0;1;0;0;5
;aangetroffen stembiljetten;;;29676;409;369;606;727;345;464;589;473;357;220;670;690;501;514;472;999;651;341;471;734;550;189;130;276;260;588;475;141;214;643;143;82;108;822;921;704;313;434;240;419;288;520;523;546;794;795;433;346;198;529;233;414;431;489;293;559;385;463;391;468;193;259;535;570;336;431
;meer stembiljetten dan toegelaten kiezers;;;5;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
;minder stembiljetten dan toegelaten kiezers;;;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
;kiezers met stembiljet hebben niet gestemd;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te weinig stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te veel stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;geen verklaring;;;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0
;andere verklaring;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;VZ Westerkwartier;;;8099;85;80;149;150;83;169;223;120;86;17;139;99;103;123;98;153;103;45;83;310;190;71;25;122;86;113;106;37;29;162;41;19;29;143;203;220;141;233;97;176;117;327;326;205;290;180;122;163;48;184;66;164;100;77;42;112;138;90;62;73;75;61;113;102;96;105
;;1;van der Velde, Y.;2104;25;27;39;52;31;31;60;33;36;8;39;26;22;33;33;36;32;13;22;24;12;11;9;26;4;20;29;4;12;58;12;7;7;34;46;79;34;51;28;51;42;57;55;54;77;53;41;45;21;67;21;20;29;18;10;40;43;22;23;17;34;20;27;31;31;50
;;2;de Vries, J.;484;31;19;34;27;16;7;8;20;12;1;44;31;23;30;26;1;2;0;0;0;2;1;0;0;0;1;0;0;0;5;0;0;0;0;4;2;1;2;2;1;1;0;1;6;6;0;7;3;1;1;6;3;1;3;2;2;4;27;15;1;1;0;33;2;2;3
;;3;van Putten, C.E.;642;11;3;13;14;5;4;7;14;12;2;10;12;15;15;13;15;6;1;6;10;1;0;2;8;4;12;6;5;2;9;1;0;0;15;10;21;6;5;13;6;3;4;5;15;9;32;14;23;4;10;7;75;16;5;8;13;15;7;4;3;2;12;14;8;8;12
;;4;Koopmans, O.S.M.;358;0;0;0;0;0;1;1;2;0;0;1;3;0;0;0;3;2;1;2;146;94;4;4;23;9;1;0;0;2;10;1;0;12;4;6;1;1;1;1;1;0;1;4;0;2;0;2;2;0;1;1;0;0;2;0;0;1;1;0;4;0;0;0;0;0;0
;;5;Kiekebeld - van der Knaap, F.S.;223;0;0;4;4;0;1;5;5;4;0;2;2;2;2;1;1;10;1;2;10;2;1;3;3;2;3;1;0;1;3;0;0;0;6;11;5;4;1;0;1;0;1;3;29;42;0;2;1;1;2;3;4;2;4;3;1;5;4;2;1;1;1;1;4;0;3
;;6;Lamberst, R.;137;6;4;16;2;8;3;0;3;1;0;5;5;11;8;2;1;0;1;0;2;0;0;0;0;10;3;2;0;0;0;0;0;0;2;0;3;0;1;2;0;1;0;0;2;2;0;1;1;1;3;0;0;0;0;0;0;2;11;5;0;0;0;6;1;0;0
;;7;Beute, H.J.;486;1;2;1;11;4;0;9;12;0;0;8;0;1;0;0;2;0;0;1;3;6;9;1;0;3;1;3;6;1;7;4;6;4;2;0;65;28;33;21;33;1;7;4;10;14;3;8;7;0;23;8;11;3;10;4;6;31;1;1;1;15;3;3;1;23;0
;;8;de Jong, G.;632;0;1;2;2;0;0;0;0;0;0;2;1;0;2;2;0;0;1;0;1;0;3;0;1;0;0;1;0;0;4;0;0;0;0;3;4;2;5;4;11;26;235;231;2;0;8;6;27;1;4;0;7;4;0;0;2;3;0;2;0;3;6;1;0;7;5
;;9;Rook, H.;167;0;0;2;0;0;1;0;1;0;0;0;0;1;0;0;20;7;2;11;0;2;0;0;18;0;2;1;0;0;17;4;0;0;24;31;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;12;0;0;0;9;0;0
;;10;Veenstra, J.A.;128;1;1;4;1;1;44;27;0;0;0;2;6;1;1;2;3;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;3;4;0;0;0;4;0;3;1;0;2;0;3;2;0;0;0;6;1;0;0
;;11;van Dellen, G.G.;407;0;0;4;6;1;1;6;10;2;0;2;0;5;1;3;0;12;1;0;8;1;2;0;5;11;4;1;8;5;1;4;2;1;3;1;9;17;89;5;17;11;3;6;22;23;3;10;10;1;10;1;14;1;3;1;4;11;0;1;0;4;4;0;3;10;3
;;12;Meinders, A.;183;0;0;0;1;1;0;0;3;5;0;0;0;1;0;0;33;4;5;11;1;0;0;0;4;0;0;2;0;1;4;1;0;0;24;42;1;0;0;0;0;0;0;0;1;2;0;0;0;1;0;1;1;0;2;0;0;0;0;0;10;2;0;0;18;1;0
;;13;Knollema, L.M.;94;3;12;10;6;4;1;0;0;0;0;10;4;4;14;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;2;0;0;1;1;0;6;1;0;0;0;7;0;0;0
;;14;van der Velde, K.B.B.;20;0;0;2;2;4;0;0;0;0;0;2;1;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0
;;15;Apoll, K.;50;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;4;2;8;0;9;2;1;0;2;0;0;0;0;0;0;0;2;1;0;0;0;9;0;0;0;3;0;0;0;1;1
;;16;Groenveld, B.;34;1;0;0;0;0;2;0;0;1;0;0;1;0;0;0;0;1;0;0;0;1;0;0;5;13;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0;1;0;0;0
;;17;Fokkinga, L.H.;80;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;25;2;2;10;4;0;0;10;0;0;10;1;0;0;0;0;4;0;0;0;7
;;18;de Haan, H.;63;0;0;0;0;1;0;0;1;0;0;0;0;1;0;1;1;0;1;2;1;0;0;0;0;0;1;0;1;0;1;0;0;0;4;0;5;4;1;8;2;0;1;0;1;1;1;0;2;0;2;1;1;0;0;0;0;3;1;0;0;4;0;2;0;5;2
;;19;Scheeringa, M.O.;137;0;1;0;1;0;0;1;7;6;0;0;0;0;1;1;8;5;1;8;4;2;0;0;2;0;0;1;1;1;1;0;0;0;3;6;0;8;3;0;0;0;0;0;12;39;1;0;0;0;0;0;6;2;0;0;0;0;2;1;0;0;0;0;2;0;0
;;20;Koenes, H.;167;1;0;2;0;0;59;65;1;2;2;3;0;2;0;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0;0;3;0;0;8;4;0;2;0;0;0;0;0;1;0;0;2;2;0;0;0
;;21;Borger, R.A.H.;26;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;5;0;0;2;0;0;0;0;8;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0
;;22;Wijnalda - Westerhof, A.A.;151;0;0;1;2;1;0;2;1;2;0;1;0;8;2;2;0;0;3;0;2;1;0;0;0;0;0;0;1;0;1;0;0;0;1;2;1;0;0;0;0;1;2;0;10;6;33;6;2;4;4;2;1;18;0;0;12;2;0;0;0;1;3;2;0;1;7
;;23;Bootsma, S.J.;51;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;8;4;5;5;0;0;0;0;0;0;1;2;0;0;0;0;0;0;2;11;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;1;4;0;2
;;24;Rootinck, B.J.G.;88;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;3;0;0;0;1;4;5;5;2;0;0;0;0;30;25;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;3;0
;;25;Hazenberg, B.;53;0;0;0;0;0;0;1;1;0;0;1;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;7;2;3;1;22;1;0;1;0;1;0;0;1;0;0;0;0;0;2;0;0;3;0;0;0;1;0;0;0;0;1
