Verkiezing;;Gemeenteraad Veendam 2022;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Veendam;;;;;;;;;;;;;;;;;;;;
Nummer;;0047;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Gemeentehuis;Cultuurcentrum van Beresteyn;Waterschap Hunze en Aa's;Station Veendam;Sporthal de Hoogkamp;Sporthal Wildervanckhal;Jakob Bruggemacentrum;Margaretha Hardenberg Cultuurcentrum;Dorpshuis de Molenwiek;Dorpshuis Borgercompagnie;Cultuurcentrum van Beresteijn;Waterschap Hunze en Aa's;Magaretha Hardenberg Cultuurcentrum;Mobiel Stembureau;Cultuurcentrum van Beresteijn;Waterschap Hunze en Aa's;Magaretha Hardenberg Cultuurcentrum;Mobiel stembureau
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18
Postcode;;;;;9641 AW;9641 AD;9641 PJ;9641 KG;9645 EN;9648 AA;9641 EZ;9648 CW;9644 VL;9631 TN;9641 AD;9641 PJ;9648 CW;;9641 AD;9641 PJ;9648 CW;
;opgeroepenen;;;21809;2308;3446;3744;1634;1880;2955;2806;1334;1349;353;0;0;0;0;0;0;0;0
;geldige stempas;;;9023;631;1095;1182;442;640;1331;266;485;521;213;476;308;109;23;621;416;214;50
;geldig volmachtbewijs;;;1134;70;159;156;47;86;174;23;47;70;21;67;58;13;2;73;41;26;1
;geldige kiezerspas;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;toegelaten kiezers;;;10157;701;1254;1338;489;726;1505;289;532;591;234;543;366;122;25;694;457;240;51
;geldige stembiljetten;;;10101;694;1246;1330;489;720;1504;288;532;587;227;537;366;122;24;691;454;240;50
;blanco stembiljetten;;;33;1;4;5;0;1;5;0;0;4;4;4;0;0;1;1;2;0;1
;ongeldige stembiljetten;;;28;6;3;3;0;5;2;1;0;0;3;2;0;0;0;2;1;0;0
;aangetroffen stembiljetten;;;10162;701;1253;1338;489;726;1511;289;532;591;234;543;366;122;25;694;457;240;51
;meer stembiljetten dan toegelaten kiezers;;;6;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0
;minder stembiljetten dan toegelaten kiezers;;;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;kiezers met stembiljet hebben niet gestemd;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te weinig stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te veel stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;geen verklaring;;;7;0;1;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0
;andere verklaring;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;GemeenteBelangen Veendam (GB);;;3094;183;432;431;162;162;525;66;143;175;43;155;105;39;8;211;143;94;17
;;1;Schmaal, H.J.;1443;89;182;197;90;85;261;21;48;86;23;62;56;19;8;97;61;48;10
;;2;Knot, C.A.;416;27;61;60;20;22;66;11;20;28;5;16;18;2;0;25;22;12;1
;;3;de Jonge, R.M.;105;7;16;16;3;8;9;8;6;3;2;10;2;1;0;6;7;1;0
;;4;Westerhuis, J.;45;4;10;3;1;1;5;3;2;2;0;4;1;0;0;7;1;1;0
;;5;Huizenga, A.;121;6;18;13;6;5;18;1;1;7;4;11;3;0;0;13;14;1;0
;;6;Zweerts de Jong, M.G.;230;11;36;32;15;14;35;3;6;10;2;19;6;0;0;21;14;5;1
;;7;van Woerkom, N.J.;61;3;14;7;2;4;6;6;1;2;0;3;8;1;0;3;1;0;0
;;8;Visser, G.H.;104;4;11;3;0;2;28;2;24;3;0;4;0;4;0;4;1;12;2
;;9;Kraan, A.H.;90;1;6;13;4;6;18;1;8;8;2;5;1;1;0;7;3;4;2
;;10;Mooijman, T.M.;44;4;4;6;2;1;6;0;2;0;1;6;2;4;0;3;3;0;0
;;11;Bos, M.;25;1;4;10;0;1;3;0;0;0;1;1;0;0;0;2;1;0;1
;;12;Koekoek, A.C.;64;7;7;11;4;2;13;4;2;4;1;2;0;1;0;5;0;1;0
;;13;Zweerts de Jong, N.;5;0;2;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0
;;14;Ubels, J.;23;1;9;7;0;0;0;0;0;0;0;0;2;0;0;3;1;0;0
;;15;Pots, D.;17;4;3;0;1;1;0;2;0;0;0;5;0;0;0;1;0;0;0
;;16;Horlings-Schmaal, A.;41;0;8;5;3;2;9;0;4;5;0;0;0;0;0;4;0;1;0
;;17;Feijen-Westerhuis, H.A.T.;18;1;1;0;0;2;0;0;0;9;2;1;0;0;0;0;2;0;0
;;18;Wolthuis, G.G.;5;0;3;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0
;;19;de Jonge, M.P.;11;2;3;2;0;1;2;0;0;0;0;0;0;0;0;0;1;0;0
;;20;van der Laan, D.;21;2;1;7;0;0;8;0;1;0;0;0;0;0;0;0;2;0;0
;;21;Boomstra, J.;116;9;28;22;8;1;12;2;3;4;0;5;6;2;0;6;6;2;0
;;22;Visser, M.G.;21;0;0;6;1;2;5;0;2;1;0;0;0;0;0;0;0;4;0
;;23;Smit, N.;27;0;4;3;0;2;3;1;6;1;0;0;0;1;0;1;3;2;0
;;24;Oost, L.;3;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0
;;25;Visser-Huizing, G.G.;2;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;;26;Kraan-Zwiers, E.;5;0;0;0;0;0;4;0;1;0;0;0;0;0;0;0;0;0;0
;;27;Schmaal, A.;9;0;0;2;0;0;4;0;1;0;0;0;0;1;0;1;0;0;0
;;28;Oost-Visser, L.M.;12;0;1;1;1;0;5;0;3;0;0;0;0;1;0;0;0;0;0
;;29;Schmaal, E.;10;0;0;3;0;0;3;0;1;1;0;0;0;0;0;2;0;0;0
2;Partij van de Arbeid (P.v.d.A.);;;2094;160;242;286;115;164;278;50;72;97;51;154;82;25;4;159;112;26;17
;;1;Grimbergen, A.M.A.;675;37;69;91;42;58;79;14;34;37;13;43;40;4;1;52;41;9;11
;;2;Haije, R.;67;4;8;11;3;5;5;2;1;8;3;1;4;1;0;4;3;4;0
;;3;Tepper, J.;165;10;11;29;4;9;40;8;6;1;2;10;3;6;0;8;10;8;0
;;4;Kenters, B.A.;58;2;9;3;4;1;12;0;2;13;0;5;1;2;0;2;0;1;1
;;5;Slor, O.P.V.;44;6;4;5;2;1;1;3;2;5;0;2;0;4;1;3;3;0;2
;;6;Greven, A.;116;9;11;11;4;1;34;0;4;3;5;12;7;3;0;4;7;1;0
;;7;Loots, P.;476;56;69;58;34;36;49;13;8;20;6;43;10;2;1;46;22;0;3
;;8;Olijve, J.;19;3;2;2;0;2;2;1;1;1;0;4;0;0;0;1;0;0;0
;;9;Pricker, L.;41;4;4;9;1;1;5;0;2;2;1;3;2;0;0;5;2;0;0
;;10;Janssen, H.;9;0;1;0;0;2;0;0;4;0;0;0;2;0;0;0;0;0;0
;;11;Stokker, P.;18;0;0;0;0;0;2;1;0;0;11;1;0;0;0;1;2;0;0
;;12;Tepper, P.K.;10;0;3;1;1;1;3;0;0;0;0;0;0;0;0;1;0;0;0
;;13;Dragt, A.;16;1;1;3;0;4;0;0;0;0;1;0;0;0;1;2;1;2;0
;;14;van der Ark-Wiering, R.C.;21;1;3;3;3;2;0;0;0;1;0;3;0;3;0;1;1;0;0
;;15;de Bruijne, P.M.;11;0;3;4;2;0;0;1;0;0;0;0;0;0;0;1;0;0;0
;;16;Welten, L.H.T.M.;8;0;1;0;0;0;5;0;0;0;0;0;0;0;0;2;0;0;0
;;17;Hoving, G.;16;1;3;2;0;2;2;0;0;0;0;1;4;0;0;0;1;0;0
;;18;Haije-Aletić, E.;6;0;0;0;0;1;1;0;1;0;0;0;3;0;0;0;0;0;0
;;19;Buiring, L.;5;1;1;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
;;20;Klatter, H.G.E.;17;2;0;6;1;0;7;0;1;0;0;0;0;0;0;0;0;0;0
;;21;Vazel, A.;18;1;3;1;1;4;1;0;0;1;0;0;2;0;0;0;3;1;0
;;22;Kenters-van der Hoek, G.F.;2;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0
;;23;Muurman, F.;11;2;1;1;0;0;1;0;1;0;0;2;0;0;0;0;3;0;0
;;24;Batting-Niewzwaag, B.;11;0;2;1;2;0;1;0;0;1;0;0;1;0;0;0;3;0;0
;;25;Bos, J.B.;9;0;1;3;0;0;4;1;0;0;0;0;0;0;0;0;0;0;0
;;26;de Raad, Y.;33;1;2;4;5;4;6;1;0;1;0;5;0;0;0;4;0;0;0
;;27;Oldenburg, A.;10;0;2;0;0;0;0;3;0;0;0;2;3;0;0;0;0;0;0
;;28;Gräper-Niemeijer, J.;16;1;0;0;0;0;2;0;0;0;8;2;0;0;0;1;2;0;0
;;29;Batting, H.;12;1;2;0;1;0;1;0;0;1;1;1;0;0;0;1;3;0;0
;;30;Mete, T.;162;14;26;36;5;30;12;2;2;0;0;14;0;0;0;17;4;0;0
;;31;Steenhuis, K.;7;1;0;0;0;0;2;0;0;2;0;0;0;0;0;2;0;0;0
;;32;Olman, C.J.;5;2;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0
3;SP ( Socialistische Partij);;;1243;93;113;155;40;123;181;43;76;102;40;76;41;10;3;68;42;36;1
;;1;Veenstra, L.;693;52;69;89;20;78;100;20;36;52;24;53;19;4;2;41;19;15;0
;;2;Schoonewille, H.;109;5;8;9;3;4;12;6;6;9;7;10;7;2;0;7;8;6;0
;;3;Jonker, L.;118;0;5;13;2;14;21;3;15;3;2;2;10;3;0;6;8;10;1
;;4;van der Ende-Smit, A.;85;9;6;14;5;3;13;4;5;12;3;3;1;1;1;3;2;0;0
;;5;Beijne, A.;22;0;4;4;2;1;0;0;0;10;0;0;0;0;0;0;1;0;0
;;6;Veenstra, K.;48;9;4;5;2;4;6;0;3;7;2;3;0;0;0;2;0;1;0
;;7;Schoonewille, A.D.;76;6;7;10;5;8;18;3;3;3;1;5;1;0;0;5;1;0;0
;;8;Koldenhof, H.L.;7;2;0;2;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0
;;9;te Kolstee, M.;10;1;2;0;0;0;3;1;1;0;0;0;1;0;0;0;0;1;0
;;10;Roggekamp, J.;6;1;2;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0
;;11;Verhagen, J.G.;18;0;3;3;0;2;3;1;2;1;0;0;1;0;0;0;0;2;0
;;12;Kalk, R.;15;6;0;0;0;0;3;0;0;0;0;0;0;0;0;3;2;1;0
;;13;Brouwer, K.W.;17;0;0;4;0;2;0;3;2;4;0;0;0;0;0;1;1;0;0
;;14;van Petersen, J.;2;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0
;;15;Holtman, J.;17;2;3;2;1;6;1;1;1;0;0;0;0;0;0;0;0;0;0
4;VUK;;;914;52;100;116;23;86;150;39;81;73;25;24;16;16;2;49;35;26;1
;;1;Langen, J.P.;731;42;83;90;19;68;123;28;67;55;20;19;8;15;1;40;31;21;1
;;2;Venema-van der Woude, H.;116;3;11;15;3;10;19;8;9;12;5;3;4;1;1;7;2;3;0
;;3;Stockmann, E.C.E.M.;67;7;6;11;1;8;8;3;5;6;0;2;4;0;0;2;2;2;0
5;CDA;;;638;45;57;89;36;43;82;16;47;48;7;27;36;8;5;38;27;21;6
;;1;Drent-Sinot, G.E.M.;323;22;31;54;15;19;34;4;21;20;4;15;22;6;1;24;16;11;4
;;2;de Jong, W.H.;46;5;2;9;1;2;10;2;2;1;1;2;5;0;0;2;1;1;0
;;3;Hammenga, A.;50;2;4;4;6;6;5;0;3;3;1;4;0;0;1;5;3;2;1
;;4;Hilbrants-de Boer, W.J.;28;1;2;3;2;0;10;0;0;3;0;1;1;1;0;4;0;0;0
;;5;van der Meijden, J.C.J.;23;2;0;2;0;4;2;1;1;6;1;1;2;0;0;0;0;0;1
;;6;van Vliet, G.H.;15;1;3;3;3;0;0;2;2;0;0;0;0;0;0;0;1;0;0
;;7;Oosting, A.K.;6;1;1;0;0;0;0;3;0;0;0;0;0;0;0;0;1;0;0
;;8;Bos, H.F.;7;1;0;0;1;0;4;0;0;0;0;0;1;0;0;0;0;0;0
;;9;Jonker-Westers, M.S.;10;0;2;2;0;0;2;0;0;0;0;0;1;0;1;1;0;1;0
;;10;Laarman, G.J.;54;1;0;3;2;2;10;1;13;12;0;1;2;1;0;0;2;4;0
;;11;Yilmaz, N.;14;0;4;2;1;4;0;1;0;0;0;1;0;0;0;0;1;0;0
;;12;Wolterbeek, R.H.F.;6;1;0;2;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0
;;13;Valkema, K.;9;2;0;2;2;0;0;0;0;0;0;0;2;0;0;0;1;0;0
;;14;Volders, A.G.;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
;;15;Sloot, R.;9;3;2;0;1;0;2;0;0;1;0;0;0;0;0;0;0;0;0
;;16;Wind, B.;15;1;2;2;0;0;1;0;5;2;0;0;0;0;0;0;0;2;0
;;17;Levenga, N.W.;22;2;4;1;1;5;2;2;0;0;0;2;0;0;0;2;1;0;0
6;VVD;;;734;56;97;86;36;32;104;22;33;33;27;38;49;7;0;55;47;10;2
;;1;Wierenga, B.;363;23;56;39;12;15;55;11;14;20;9;28;19;5;0;20;29;7;1
;;2;Meerloo - van Koldam, B.;122;11;12;20;7;9;16;5;1;5;7;1;10;2;0;10;5;0;1
;;3;von Henning, D.A.;27;2;0;5;0;1;3;0;0;0;11;0;3;0;0;2;0;0;0
;;4;Nieboer, A.M.;28;1;2;0;0;1;5;4;10;2;0;0;2;0;0;0;0;1;0
;;5;Bunskoek, A.;36;1;16;4;5;0;3;2;0;0;0;0;1;0;0;2;2;0;0
;;6;Kooistra, F.H.;10;0;2;1;3;0;1;0;0;0;0;0;0;0;0;2;1;0;0
;;7;Heikens, G.;75;14;5;7;5;3;9;0;5;1;0;5;6;0;0;11;2;2;0
;;8;Hoogerduijn Strating, G.J.E.;30;2;0;5;3;2;6;0;3;1;0;2;1;0;0;2;3;0;0
;;9;Wright - van der Meer, H.;16;0;0;1;0;1;1;0;0;0;0;2;4;0;0;2;5;0;0
;;10;Prins, H.;27;2;4;4;1;0;5;0;0;4;0;0;3;0;0;4;0;0;0
7;D66;;;658;55;97;90;41;58;87;28;32;28;13;32;13;2;1;41;29;11;0
;;1;Schoenmaker-Tiems, J.E.;327;30;42;48;14;15;55;10;18;8;12;19;8;1;1;21;19;6;0
;;2;Smid, P.;44;2;16;3;2;0;5;0;1;4;1;2;0;0;0;7;1;0;0
;;3;Narman-Işik, E.;172;18;25;23;21;37;5;18;0;3;0;6;1;0;0;8;4;3;0
;;4;van der Linden, D.;52;3;6;4;1;4;10;0;7;12;0;2;1;0;0;1;1;0;0
;;5;Koetse, H.;9;0;0;4;2;0;1;0;1;0;0;0;0;0;0;1;0;0;0
;;6;Smit, F.B.;8;0;2;1;0;0;1;0;0;0;0;0;2;0;0;1;1;0;0
;;7;Kromkamp, T.;7;1;0;2;1;0;0;0;1;0;0;0;0;0;0;1;1;0;0
;;8;Deinum, S.T.;9;1;2;0;0;0;1;0;1;1;0;0;1;0;0;1;0;1;0
;;9;Spelde, A.A.;30;0;4;5;0;2;9;0;3;0;0;3;0;1;0;0;2;1;0
