Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Huis van Cultuur en Bestuur;De Reensche Compagnie;Baptistenkerk Beukemastraat;Wijkcentrum Spokie;Dorpshuis Westerbroek;Multi Functioneel Centrum Foxhol;Scoutinggebouw De Trappers;Voormalige J. Albrondaschool;Wijkcentrum De Kern;Wijkcentrum 't Spinneweb;Zalencentrum Brandpunt;Vredekerk;Wijkcentrum Woldwijck;Brandweermuseum Hoogezand-Sappemeer;BWRI Molenraai;De Houtstek;MFC Schildwolde;MFC Siddeburen;MFC Velemansdroom;Dorpshuis De Pompel;De Borgstee;Dorpshuis Mainschoar;Ruitenvelder;Sportcafé Kuper;'t Hof van Scharmer;De Graankorrel;De Menterne;De Zijlen, locatie de Gilde;MFC de Noordsuythoeve;Gebouw Muziekvereniging;De Broeckhof;MFA Meeden;Huis van Cultuur en Bestuur;Huis van Cultuur en Bestuur;Wijkcentrum 't Spinneweb;Wijkcentrum 't Spinneweb;De Houtstek;De Houtstek;De Menterne;De Menterne
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40
Postcode;;;;;9603 AE;9602 PJ;9601 BN;9602 AE;9608 PK;9607 RJ;9606 PB;9605 PL;9601 XD;9611 EE;9611 AA;9602 VT;9602 KD;9611 JJ;9611 TH;9621 AC;9626 AX;9628 CG;9939 PC;9625 PJ;9617 BN;9615 AB;9619 PL;9628 TK;9616 TE;9617 AB;9649 BX;9649 DA;9635 AZ;9636 CL;9636 BS;9651 AG;9603 AE;9603 AE;9611 EE;9611 EE;9621 AC;9621 AC;9649 BX;9649 BX
;;1;Joostens, N.;860;22;15;17;15;21;12;14;4;7;9;8;12;23;12;10;109;123;51;6;16;28;11;16;2;20;27;22;16;12;19;33;8;10;19;6;5;24;60;6;10
;;2;Metscher, M.T.;245;13;12;14;8;1;8;0;0;8;12;8;10;26;24;10;5;1;0;0;2;0;3;9;24;0;0;1;1;0;2;2;0;9;14;1;12;1;4;0;0
;;3;Boer, K.;58;1;0;0;10;1;0;1;0;0;2;0;3;1;0;0;7;1;13;1;0;1;0;0;4;2;2;0;1;1;2;0;1;1;0;0;0;2;0;0;0
;;4;Folkersma, R.;84;12;8;3;0;0;1;2;1;9;0;1;8;8;2;2;0;0;0;0;0;1;1;1;0;2;3;0;1;0;0;0;1;2;7;1;4;0;3;0;0
;;5;Knol, G.P.;107;9;2;19;9;0;3;4;7;5;0;2;4;9;0;6;0;2;0;0;0;0;1;2;0;1;3;0;4;1;0;0;0;4;8;0;1;1;0;0;0
;;6;Prins-Kruize, I.R.;266;16;0;7;4;4;0;3;2;6;9;4;3;10;3;6;22;24;10;2;1;8;1;9;2;4;7;12;2;10;16;28;7;1;5;0;1;4;13;0;0
;;7;van de Wetering-Melse, C.T.;68;2;3;2;4;1;2;3;0;3;3;4;5;3;3;7;1;3;0;0;0;1;3;0;1;0;0;2;0;1;0;0;0;0;6;1;4;0;0;0;0
;;8;Boven, H.J.;20;0;1;0;0;0;0;0;0;2;4;2;0;0;0;3;0;2;0;0;0;0;0;1;0;0;1;0;0;1;0;1;0;0;1;0;1;0;0;0;0
;;9;Jansma-den Boer, T.A.W.;50;2;0;0;1;3;0;1;0;0;1;0;0;1;0;0;0;0;3;0;0;10;1;0;0;7;16;0;0;0;0;0;0;0;2;0;0;0;2;0;0
;;10;Bent, G.J.W.;9;2;0;0;0;0;1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;;11;van der Spek, M.J.;9;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0
;;12;Hoeksema-Schoenmaker, M.A.;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;14;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;1;1;0;1;0;0;0
;;13;Bondt, G.J.;40;2;1;1;1;0;0;1;0;2;8;0;2;3;2;5;1;0;0;0;0;0;2;2;0;0;0;0;0;1;0;3;0;0;0;0;3;0;0;0;0
;;14;Dikkema, K.W.;20;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;7;4;0;0;0;1;0;0;2;0;0;0;3;0
;;15;Braam, P.;13;2;0;1;1;0;1;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;2;0;0;0;0;0;0
;;16;de Haan, J.;9;0;2;0;1;0;0;3;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;;17;Bos, J.J.;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;1
;;18;Dekker, M.;24;1;6;1;1;0;0;0;0;1;2;0;1;4;3;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
;;19;Nijburg-Pastoor, A.M.;20;1;2;1;0;0;0;0;1;0;0;0;0;1;0;0;2;0;11;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;20;Gernaat, H.;27;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;4;0;0;1;0;2;8;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0
6;CDA;;;1959;133;43;89;44;24;13;56;19;58;58;37;23;70;63;52;51;87;180;36;27;62;19;30;59;24;53;38;28;62;50;56;46;56;80;25;29;24;21;18;16
;;1;Drenth, E.;899;85;22;54;31;10;11;28;11;41;36;26;10;44;41;31;16;24;60;3;1;24;8;14;18;11;19;10;9;19;23;18;18;31;47;15;17;3;3;2;5
;;2;van der Burg-Versteeg, A.P.A.;472;16;5;11;6;1;0;7;7;3;9;4;5;6;7;11;22;42;95;32;22;9;3;7;29;5;18;2;1;10;6;13;7;8;10;1;4;10;12;3;3
;;3;Wind, H.;123;4;2;1;0;0;0;0;0;1;3;1;1;1;1;0;1;4;2;0;0;2;1;0;0;0;0;24;17;2;7;8;16;2;1;0;1;2;0;11;7
;;4;Min, M.N.;85;6;2;5;0;9;0;3;1;1;2;3;2;11;1;2;1;1;1;1;1;4;2;0;0;0;5;1;1;3;0;2;0;3;5;1;2;1;0;1;1
;;5;van der Werk, P.;51;7;3;3;3;0;0;1;0;7;2;0;2;3;5;4;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;5;1;1;2;0;0;0
;;6;Stellingwerf, G.;36;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;4;10;3;0;3;0;0;1;1;0;1;0;0;0;0;0;0;0;0;1;0;5;4;0;0
;;7;Renkema, P.;44;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;2;1;1;0;0;19;2;0;1;7;6;0;0;0;0;0;0;0;0;0;0;1;1;0;0
;;8;de Winter-Wijffels, A.C.M.;100;2;3;2;0;0;0;2;0;2;1;0;0;0;3;1;0;1;2;0;0;2;1;4;1;1;1;1;0;27;11;12;5;8;2;3;2;0;0;0;0
;;9;Joosten, J.L.;35;7;2;8;1;0;0;0;0;3;2;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;2;3;0;0;0;1;0
;;10;Grashuis, A.J.;10;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;2;0;1;0;0;0;0;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0
;;11;van der Meijden, M.W.;12;0;2;1;0;0;1;0;0;0;0;1;1;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0
;;12;van der Burg, H.;5;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;13;Schuil, H.G.;34;3;0;4;2;0;0;7;0;0;1;0;2;1;1;0;0;0;0;0;0;1;0;0;3;0;1;0;0;0;0;0;0;2;6;0;0;0;0;0;0
;;14;Vonk, R.J.;6;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;15;Molema, W.J.;13;3;0;0;0;0;0;3;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;1;0;0;0;0;0;0
;;16;Bos, F.;34;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;3;3;15;0;0;1;0;1;6;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0
7;GROENLINKS;;;1791;120;55;77;96;48;26;54;45;63;37;22;67;119;66;50;57;26;28;19;19;69;29;30;13;19;55;60;36;52;29;35;31;50;82;13;28;15;13;15;23
;;1;Dewnarain, R.A.;559;48;21;31;20;17;9;29;16;21;17;8;12;24;19;17;20;8;9;8;8;16;16;6;3;8;26;10;5;19;8;10;5;11;22;5;16;3;6;1;1
;;2;Bosscher, A.D.;97;2;0;2;3;0;0;1;0;1;0;1;2;1;0;0;1;2;2;0;0;1;0;0;0;0;0;29;22;1;1;5;3;2;1;0;0;0;0;14;0
;;3;Woest, S.D.;138;3;8;13;14;1;2;3;1;6;5;2;12;21;3;3;6;0;1;0;1;3;3;5;0;0;2;1;0;0;1;2;1;6;7;0;2;0;0;0;0
;;4;Zuiderveen, G.A.;41;1;0;0;3;0;3;0;1;2;2;0;0;0;9;8;0;2;0;0;0;0;0;1;0;0;0;0;0;3;1;0;1;0;2;1;0;0;0;0;1
;;5;Dewnarain, A.L.;291;22;6;7;17;18;4;9;8;6;3;2;9;24;16;7;10;3;2;2;6;18;4;10;3;6;9;5;2;7;6;4;5;8;11;4;2;2;2;0;2
;;6;Danoe, M.;211;15;7;13;12;4;6;3;7;13;3;5;15;22;8;8;1;3;5;1;2;3;2;2;1;2;4;3;4;2;8;3;3;4;11;2;2;1;0;0;1
;;7;Mohamed, B.;112;9;3;3;10;3;0;1;0;5;0;1;12;20;2;2;0;2;0;0;0;2;1;0;1;0;1;1;0;1;0;1;0;13;14;0;1;1;1;0;1
;;8;Poel-Kuperus, S.T.;73;11;1;5;5;1;1;3;3;3;1;2;0;3;4;2;1;0;0;0;0;2;0;3;0;0;1;2;0;2;1;3;0;2;7;0;1;3;0;0;0
;;9;Roossien, C.H.;26;2;1;0;2;0;1;1;0;3;0;0;2;1;1;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;2;0;1;4;0;2;0;0;0;0
;;10;Brandsma, L.;65;1;2;1;0;1;0;0;0;0;1;0;2;0;1;1;17;6;4;0;1;1;2;3;3;0;6;0;0;2;0;1;0;1;1;0;0;5;2;0;0
;;11;Poel, J.A.K.;19;3;0;0;7;0;0;2;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;0;1;0;0;0;0
;;12;Witteveen, W.J.;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;4;0;1;0;0;0;1;0;0;1;0;0
;;13;Liu, R.D.;14;0;2;1;0;0;0;1;0;3;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;1;0;0
;;14;Mahler, F.;15;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;4;8;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;15;Hamersma, K.;19;0;2;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15
;;16;van Leeuwen, H.J;10;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;2;0;0;0;0;0;0;0;0;0
;;17;de Ruijter, S.F.A.;9;2;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;18;Visscher, H.;18;0;1;0;1;0;0;0;0;0;5;0;1;0;2;0;0;0;0;0;1;0;0;0;0;0;1;0;0;2;1;0;0;0;2;0;1;0;0;0;0
;;19;Westerhof, O.J.;31;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;19;0;0;0;2;5;0;0;0;0;1;0;0;0;0;0;0;0;0;1
;;20;ter Steege, G.G.;14;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0
;;21;Post, M.H.;20;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;7;1;1;2;0;1;0;0;0;0;0;0;0;1
8;D66;;;1264;118;20;38;36;24;17;76;38;32;19;20;17;36;43;31;36;31;34;16;16;61;28;41;16;33;36;37;15;25;56;45;13;50;49;14;7;12;15;4;9
;;1;Lutterop, Y.P.;538;71;14;23;8;13;6;53;10;12;6;12;11;19;22;13;10;4;8;7;6;24;7;12;3;7;17;17;7;8;9;15;7;29;30;7;3;0;3;2;3
;;2;Lafarre, D.;185;12;2;4;8;3;2;7;9;6;8;3;4;3;8;9;3;1;0;1;4;12;5;15;4;8;2;11;2;1;3;0;0;6;7;5;2;1;3;0;1
;;3;Paapst, M.H.;55;4;1;1;0;1;0;0;0;3;0;0;0;0;1;0;2;2;15;2;1;0;0;2;0;2;4;0;0;0;4;0;2;0;0;0;0;6;0;1;1
;;4;Fennis, T.S.;26;1;1;2;0;0;1;1;0;1;0;1;0;7;0;0;0;0;0;0;0;0;2;0;0;1;1;2;0;0;1;0;0;1;1;1;0;0;0;0;1
;;5;Uijtendaal, F.;70;2;0;0;0;0;0;3;0;2;0;0;0;0;0;1;0;2;0;0;0;0;0;1;6;0;1;2;4;1;23;17;2;0;0;0;1;1;0;0;1
;;6;Smith, E.D.;189;10;1;4;9;6;1;8;6;2;3;3;1;1;8;8;6;4;5;2;3;16;14;6;2;11;9;3;0;7;4;5;0;7;7;1;0;1;3;0;2
;;7;Renkema, G.H.;42;5;0;0;2;0;0;1;0;1;0;1;0;1;0;0;3;8;4;3;0;3;0;3;1;0;1;0;1;1;0;0;0;0;0;0;0;2;1;0;0
;;8;Deutz, M.P.A.M.;15;1;0;1;3;0;1;0;5;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0
;;9;Menting, A.;4;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
;;10;Stiekema, L.H.L.;30;0;0;0;3;0;5;1;0;2;1;0;0;0;0;0;11;0;0;0;0;0;0;0;0;1;1;0;0;2;0;0;0;2;1;0;0;0;0;0;0
;;11;ter Veer, R.M.;12;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;2;0;2;0;0;0;0;0;0;0;1;0;0;1;0;2;0;0
;;12;Pel, T.;5;2;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;13;Gerrits, P.J.H.M.;7;1;0;0;0;0;0;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;;14;Niezink, J.J.;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;10;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;0;0
;;15;Kuiper, A.G.;10;1;1;1;1;0;0;0;0;0;0;0;1;2;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;16;Hesp, M.J.;25;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;4;11;7;1;0;0;0;0;0;0;0;0
;;17;Liefers, E.M.;34;6;0;0;1;1;0;1;4;2;1;0;0;1;3;0;0;0;0;0;0;4;0;0;0;1;0;1;1;0;1;0;1;3;1;0;0;0;0;1;0
9;BBB-LMG;;;3851;127;71;110;90;140;104;109;83;89;110;70;69;137;114;156;125;142;152;42;76;64;186;92;83;54;80;106;52;240;150;158;70;53;102;36;54;43;50;31;31
;;1;Kruzenga, F.A.;1349;50;33;52;42;29;31;42;27;43;43;34;33;59;55;74;42;33;50;16;38;36;29;31;16;18;43;36;13;27;46;32;29;26;49;18;28;8;9;16;13
;;2;Brinkkemper, S.E.;328;33;7;17;14;1;10;8;5;16;12;2;24;43;8;16;1;5;9;6;2;3;7;7;0;3;1;5;1;4;4;6;0;12;19;3;3;4;7;0;0
;;3;Bruins, G.;178;2;4;2;2;2;2;1;2;1;0;1;1;2;2;2;3;3;18;6;3;1;1;5;10;1;4;3;1;67;6;0;4;1;3;3;0;4;2;0;3
;;4;van Dijken, M.E.;442;8;6;12;10;55;49;11;0;7;12;10;5;5;8;11;17;4;4;2;2;14;111;10;6;4;20;1;0;1;0;4;2;5;14;1;1;7;1;1;1
;;5;Ackermann, P.;45;2;6;1;1;0;0;0;0;1;3;3;1;0;8;4;3;0;0;0;0;0;2;1;0;0;1;0;0;1;0;0;0;0;1;2;3;0;0;0;1
;;6;Deekens, S.;62;0;7;5;1;0;0;0;1;7;11;4;1;5;3;3;0;1;0;0;0;0;0;1;2;0;0;0;0;1;1;1;0;0;2;0;5;0;0;0;0
;;7;Braster, G.B.F.;76;8;5;0;4;0;2;5;12;3;2;4;1;6;0;0;4;0;2;0;0;0;7;0;0;0;1;3;0;4;0;1;1;0;0;1;0;0;0;0;0
;;8;Bosman, M.E.;46;2;0;2;1;1;0;0;0;5;6;3;0;3;6;2;0;0;3;0;1;0;1;0;0;0;0;0;0;0;1;0;1;2;1;2;2;0;1;0;0
;;9;Rook, R.;66;5;3;1;2;22;6;3;1;2;5;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;2;3;1;1;0;1;0;0;2;0;0;0;0;1;1
;;10;van Rosmalen, T.J.G.;154;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;3;3;9;1;2;0;0;4;7;5;2;7;2;36;29;32;0;0;0;0;0;3;3;0;3
;;11;de Boer, W.A.;186;0;0;1;2;2;0;0;0;1;1;0;1;2;0;0;21;43;25;7;9;0;2;3;21;4;3;0;1;5;0;2;2;1;0;0;2;10;15;0;0
;;12;Scheffer, H.J.;10;0;0;1;0;1;0;0;0;1;0;0;0;0;2;0;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
;;13;Min, W.J.;14;0;0;1;0;2;0;5;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0
;;14;Bos-Wu, M.;200;2;0;0;0;0;0;0;1;1;0;1;0;0;2;4;1;11;7;0;2;1;1;1;5;0;0;4;2;45;43;52;5;2;0;0;1;0;0;2;4
;;15;Wiegmans, S.F.A.;4;0;0;1;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;16;Flikkema, R.A.;2;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;17;Hoving, K.K.T.;689;14;0;13;9;25;4;34;32;1;14;7;2;11;20;40;28;38;22;4;16;9;25;29;14;18;3;44;31;48;20;27;26;2;10;6;9;6;12;11;5
