Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Huis van Cultuur en Bestuur;De Reensche Compagnie;Baptistenkerk Beukemastraat;Wijkcentrum Spokie;Dorpshuis Westerbroek;Multi Functioneel Centrum Foxhol;Scoutinggebouw De Trappers;Voormalige J. Albrondaschool;Wijkcentrum De Kern;Wijkcentrum 't Spinneweb;Zalencentrum Brandpunt;Vredekerk;Wijkcentrum Woldwijck;Brandweermuseum Hoogezand-Sappemeer;BWRI Molenraai;De Houtstek;MFC Schildwolde;MFC Siddeburen;MFC Velemansdroom;Dorpshuis De Pompel;De Borgstee;Dorpshuis Mainschoar;Ruitenvelder;Sportcafé Kuper;'t Hof van Scharmer;De Graankorrel;De Menterne;De Zijlen, locatie de Gilde;MFC de Noordsuythoeve;Gebouw Muziekvereniging;De Broeckhof;MFA Meeden;Huis van Cultuur en Bestuur;Huis van Cultuur en Bestuur;Wijkcentrum 't Spinneweb;Wijkcentrum 't Spinneweb;De Houtstek;De Houtstek;De Menterne;De Menterne
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40
Postcode;;;;;9603 AE;9602 PJ;9601 BN;9602 AE;9608 PK;9607 RJ;9606 PB;9605 PL;9601 XD;9611 EE;9611 AA;9602 VT;9602 KD;9611 JJ;9611 TH;9621 AC;9626 AX;9628 CG;9939 PC;9625 PJ;9617 BN;9615 AB;9619 PL;9628 TK;9616 TE;9617 AB;9649 BX;9649 DA;9635 AZ;9636 CL;9636 BS;9651 AG;9603 AE;9603 AE;9611 EE;9611 EE;9621 AC;9621 AC;9649 BX;9649 BX
;;4;Westerdiep, J.;187;4;7;9;13;7;2;5;1;4;11;7;8;10;20;14;3;0;3;0;0;4;0;1;0;0;5;2;1;2;2;14;0;5;8;7;5;1;0;2;0
;;5;van Duren, J.;157;3;4;4;1;2;2;2;1;1;0;2;1;2;1;3;2;0;0;0;0;2;0;3;1;1;1;33;16;5;7;7;2;2;3;0;0;0;0;20;23
;;6;Bousema, A.;21;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;2;10;0;0;0;0;1;0;0;2
;;7;Bronsema-de Vries, M.;112;1;0;0;1;2;0;2;1;7;1;0;0;4;2;1;0;1;1;0;1;3;0;1;0;0;0;3;5;3;4;5;48;0;2;1;2;1;0;1;8
;;8;Huizenga, G.G.J.;56;0;1;0;0;0;0;0;0;1;0;2;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;14;23;0;0;4;0;1;0;1;0;0;0;2;5
;;9;Voogd, I.L.;45;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;1;6;11;1;11;2;2;1;3;0;0;0;0;0;0;2;0;1;1;0;0;0;0;0;0
;;10;Ilhan, N.;69;7;3;2;16;0;2;4;1;2;2;0;5;5;1;3;0;1;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;5;1;5;0;1;0;0
;;11;Loer, H.;36;0;0;1;0;0;0;0;0;0;0;0;0;1;2;0;7;0;0;0;0;0;0;0;1;0;0;1;0;13;5;2;1;0;0;0;0;0;0;1;1
;;12;Bakker, F.J.;16;1;1;1;1;0;0;1;0;0;2;0;0;0;3;4;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
;;13;van der Leeuw, IJ.C.W.;54;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;9;22;8;0;0;1;0;2;0;3;0;0;0;0;0;1;0;0;0;0;0;1;4;0;0
;;14;Udo, H.P.;4;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;15;Folgerts, H.E.;75;6;4;6;0;2;1;1;0;7;6;8;3;0;6;3;0;0;1;0;0;0;2;0;0;1;0;1;0;0;1;1;0;1;4;4;6;0;0;0;0
;;16;van Schie, J.C.M.;50;1;1;1;5;1;0;1;3;0;0;1;4;1;2;2;3;1;2;4;0;3;1;2;0;0;1;2;0;1;1;0;0;1;4;0;0;1;0;0;0
2;GemeenteBelangen Midden-Groningen;;;5368;268;194;170;199;49;67;152;63;139;103;105;90;232;140;128;68;71;187;19;16;166;186;95;88;85;136;313;187;124;168;214;453;166;198;32;75;21;19;80;102
;;1;Ploeger, M.;1473;52;31;27;38;11;15;34;21;20;22;25;10;51;34;28;27;28;46;5;4;30;22;26;11;11;19;88;37;45;33;36;424;35;47;5;20;1;7;26;21
;;2;Nieland-Kampen, P.A.;1352;105;80;78;72;19;34;90;23;72;41;38;44;128;58;47;15;12;17;3;5;16;22;22;10;10;16;18;7;15;15;18;12;67;66;16;22;9;2;6;2
;;3;Loots, H.;388;0;3;0;3;1;0;0;0;1;1;0;1;1;0;3;2;0;2;1;2;3;1;0;0;1;1;154;99;1;2;9;6;0;3;0;3;1;0;33;50
;;4;Buurke, J.A.;334;19;18;13;9;8;3;5;2;11;4;6;8;5;9;4;4;6;10;0;0;0;113;20;6;4;4;0;0;3;3;2;0;6;12;0;15;0;2;0;0
;;5;Akkerman-Ritsema, G.H.;425;6;6;9;7;9;2;3;4;6;2;2;4;5;2;4;3;5;11;1;4;113;8;15;3;55;94;2;2;5;0;5;3;7;7;1;0;5;2;1;2
;;6;Velthuis, J.;300;4;1;4;8;0;1;3;0;0;3;1;5;2;0;5;0;1;1;0;0;1;2;0;3;0;0;8;9;6;92;111;6;10;2;0;1;0;1;3;6
;;7;Velthuis, C.;23;0;1;1;0;0;0;0;0;1;0;0;0;1;0;0;2;0;0;1;0;0;0;0;0;0;0;0;1;3;0;7;1;1;0;0;0;0;0;1;2
;;8;Hulzebos, J.;371;54;29;23;24;0;6;8;8;17;12;25;11;16;18;14;1;0;1;0;0;0;7;2;1;0;0;1;0;0;4;8;0;29;39;4;4;2;0;3;0
;;9;Lenting, E.H.;198;6;2;0;0;0;0;1;0;1;2;0;0;2;0;1;9;4;93;4;1;0;0;5;50;0;2;2;0;5;2;2;0;0;2;0;0;0;2;0;0
;;10;Loots, H.H.;47;1;0;0;3;0;0;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;12;10;0;4;1;0;0;0;0;2;0;0;2;8
;;11;Wijchers, I.;69;6;5;3;21;0;1;0;0;1;2;0;3;9;2;5;0;0;0;0;0;0;0;0;0;1;0;0;0;3;1;1;0;4;0;0;1;0;0;0;0
;;12;Ruiter, J.K.;40;0;1;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;30;0;0;0;0;2;2;0;0;0;1;0
;;13;Wolthuis, M.;51;0;0;0;1;0;1;0;0;2;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;20;15;1;0;0;0;0;0;0;0;0;0;1;8
;;14;de Groot, H.G.;10;1;2;2;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;0
;;15;Staring-Tholen, C.;18;3;2;3;1;1;0;0;0;0;0;2;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0
;;16;Keuning, M.W.;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;5;2;5;4;0;0;0;0;0;0;0;0;1
;;17;Massink, H.T.;37;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;4;15;1;3;0;0;0;2;2;0;0;0;0;1;0;1;0;0;0;0;0;3;2;0;0
;;18;Kragt, M.;7;0;2;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0
;;19;Meiring, S.F.H.;64;4;3;3;2;0;0;1;0;2;6;4;0;2;12;13;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;7;1;3;0;0;0;0
;;20;Roffel, L.;10;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;0;0;0;0;0;0;0
;;21;Veldthuis, G.H.;21;0;2;0;2;0;0;0;1;0;0;0;0;1;2;1;0;0;0;0;0;0;0;0;0;0;0;1;1;3;2;4;0;1;0;0;0;0;0;0;0
;;22;van Delden, A.M.;39;2;0;0;1;0;0;4;0;1;0;0;0;0;0;0;0;0;0;1;0;3;10;2;0;1;0;6;0;0;0;0;1;3;0;0;0;0;0;2;2
;;23;Haze, H.;60;4;4;4;6;0;1;2;1;2;7;1;3;2;2;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;2;9;2;4;0;1;0;0
;;24;Broek-Prins, G.;13;1;1;0;0;0;0;0;0;1;0;1;0;1;0;2;0;0;2;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0
3;SP (Socialistische Partij);;;2000;65;104;115;103;40;47;29;26;91;77;57;73;142;50;49;40;36;78;20;63;38;28;25;39;21;27;61;41;45;55;72;33;45;47;20;25;14;21;13;25
;;1;Lesman-Veenstra, J.;1110;39;71;75;60;29;25;18;14;55;52;30;36;83;31;24;20;21;32;9;6;30;18;14;16;17;19;24;18;33;25;25;26;24;37;17;16;4;6;2;9
;;2;Vader, T.O.;108;3;0;0;1;1;2;1;0;3;6;2;2;2;0;5;3;2;32;5;0;0;0;1;20;0;1;2;0;1;1;2;1;0;1;0;0;2;4;0;2
;;3;Oest, H.P.;55;2;2;4;8;0;0;0;4;5;2;0;0;10;2;1;0;0;0;0;0;2;0;0;1;0;1;0;3;0;0;0;1;4;0;2;1;0;0;0;0
;;4;Klaassens, I.;87;2;2;9;4;2;2;2;5;7;1;8;3;16;2;3;4;0;0;0;0;1;3;0;0;1;0;0;0;2;0;3;0;1;3;0;0;0;1;0;0
;;5;Croeze, R.;46;3;1;2;0;0;0;1;0;0;0;0;0;3;2;3;9;2;0;1;0;1;2;3;0;1;1;0;0;0;0;0;0;1;0;0;1;4;5;0;0
;;6;van Dijk, C.;53;1;8;3;2;1;3;3;1;6;1;0;3;6;1;2;0;2;1;0;0;0;0;0;0;0;2;1;0;0;1;0;1;2;2;0;0;0;0;0;0
;;7;Veendorp, J.;91;0;2;2;0;2;2;0;1;1;1;1;0;5;1;1;0;1;0;0;0;0;0;0;0;0;0;2;0;3;23;37;2;3;0;0;0;0;0;0;1
;;8;van der Laan, S.;100;2;0;1;0;2;1;0;0;0;1;0;0;1;0;0;1;4;8;5;57;0;0;1;2;2;2;2;1;0;0;0;0;1;0;0;0;4;2;0;0
;;9;Leemhuis, R.;15;2;2;1;1;0;0;0;0;3;1;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0
;;10;Swarts, R.;60;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23;9;2;3;4;1;0;0;0;0;0;0;7;10
;;11;Koning, K.W.;35;1;2;0;0;0;0;0;1;1;3;9;2;0;4;0;0;0;2;0;0;0;1;0;0;0;0;0;0;2;1;0;0;0;0;0;5;0;1;0;0
