Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;De Boschpoort;Leger des Heils;Botanica-Hof;Kindcentrum Beukenlaan;SOB kazerne;Speeltuinvereniging Bovenburen;De Renselheerdt;Tennishal Hoorntjesweg;Het Parkholt;Campus Winschoten 1;Campus Winschoten 2;Brasserie Slag bij Heiligerlee;Dorpshuis De Tille;Eextahal Scheemda;Kantine SC Scheemda;Dependance gemeentehuis;Kantine vv Oldambtster Boys;Dorpshuis 't Trefpunt;De Schakel;Brede school De Meerkant;Party Centrum Finnewold;MFC De Hardenberg;OBS De Uilenburcht;Kantine Lubbert Bruins Sportpark;Akkerschans;Heerlijke Streken;Leger des Heils 14-03-2022;Dorpshuis De Tille 14-03-2022;Dorpshuis 't Trefpunt  14-03-2022;Party Centrum Finnewold 14-03-2022;Leger des Heils 15-03-2022;Dependance gemeentehuis 15-03-2022;Brede school De Meerkant 15-03-2022;Akkerschans 15-03-2022
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;30;31;32;33;40;41;42;43
Postcode;;;;;9671 GB;9671 CC;9671 KZ;9674 CC;9675 HJ;9675 JW;9675 AB;9675 NB;9675 JA;9673 GS;9673 GS;9677 PB;9678 PR;9679 HA;9679 KM;9679 BR;9943 PA;9944 AG;9681 AL;9682 PB;9684 CL;9684 AM;9686 NG;9688 RE;9693 BS;9685 AW;9671 CC;9678 PR;9944 AG;9684 CL;9671 CC;9679 BR;9682 PB;9693 BS
;;7;van Breugel-Cuperus, C.;18;0;0;0;0;1;0;0;1;0;0;0;0;0;2;0;1;0;4;6;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;;8;van 't Westeinde, D.H.;36;0;1;1;0;0;1;0;0;2;1;0;0;3;0;0;2;2;0;1;0;3;1;1;3;8;1;0;0;1;2;0;0;0;2
;;9;van den Aker-van der Schoot, H.G.;23;1;0;2;0;1;1;2;0;2;1;0;1;0;0;0;0;1;0;0;2;1;0;0;4;0;0;0;0;0;2;2;0;0;0
;;10;Overbeek, S.W.;16;0;0;2;1;0;0;1;2;1;0;0;0;2;0;0;1;0;0;0;0;0;0;1;0;0;2;3;0;0;0;0;0;0;0
8;D66;;;818;50;18;37;24;46;25;14;14;63;25;21;28;21;51;21;26;12;36;29;30;28;17;18;11;17;37;26;2;6;10;23;21;7;4
;;1;Davelaar, H.G.;491;20;11;18;16;27;13;6;7;31;9;12;19;17;28;18;19;7;11;22;21;24;17;8;10;14;28;10;2;6;9;13;13;4;1
;;2;Boven, M.A.;139;17;2;9;4;7;4;3;1;19;9;5;2;1;13;1;4;4;1;0;1;3;0;3;1;0;5;12;0;0;0;4;4;0;0
;;3;van der Werff, I.M.G.;39;1;0;1;0;2;0;1;0;1;0;0;2;0;6;1;0;0;21;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
;;4;Nellen, M.A.M.;19;0;0;1;0;0;6;0;0;0;0;0;0;1;0;1;0;0;0;5;4;0;0;1;0;0;0;0;0;0;0;0;0;0;0
;;5;de Vos, J.P.;16;0;2;3;3;1;2;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1
;;6;Wójcik, K.F.;45;7;0;2;1;5;0;1;0;3;4;2;1;0;1;0;1;0;1;1;1;0;0;4;0;0;1;2;0;0;0;5;0;2;0
;;7;Boutsioukis, M.D.;31;2;0;1;0;3;0;3;3;4;3;0;2;2;2;0;0;1;0;0;1;0;0;1;0;0;0;1;0;0;0;0;2;0;0
;;8;Vonk, B.E.;14;0;2;1;0;1;0;0;1;1;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;2;0;1;0;0;0;1;0;1;0
;;9;de Waal, E.;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;3;0;0;0;0;0;0;0;0
;;10;Beukema, H.;19;3;1;1;0;0;0;0;2;4;0;0;1;0;1;0;1;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;1;0;1
9;ChristenUnie;;;734;29;26;27;30;41;7;24;16;33;28;32;28;53;39;18;29;0;8;76;38;4;8;14;8;8;25;16;10;3;1;23;27;5;0
;;1;Bolt, G.J.;377;14;10;13;13;16;3;10;5;10;9;10;16;36;25;9;21;0;2;46;28;2;4;6;4;6;13;5;8;2;1;14;13;3;0
;;2;de Boer-Barten, W.;162;3;9;8;12;17;2;2;5;8;12;12;6;9;7;5;2;0;1;6;0;2;1;2;0;0;9;7;0;1;0;5;8;1;0
;;3;Sluiter, K.;24;1;0;3;1;0;1;2;0;2;0;2;0;2;1;0;0;0;0;2;0;0;0;1;0;0;2;2;0;0;0;2;0;0;0
;;4;Jonkers-Geertsema, H.;33;3;1;2;1;2;1;2;3;1;1;5;1;2;1;0;1;0;0;1;0;0;0;0;1;1;0;1;0;0;0;0;2;0;0
;;5;de Jager-Nanninga, T.J.;38;5;3;0;3;4;0;1;0;8;1;0;0;1;3;1;2;0;0;0;0;0;1;0;0;0;0;1;1;0;0;1;2;0;0
;;6;Breedijk-Slager, H.E.;62;0;0;0;0;1;0;5;2;3;3;1;1;2;2;3;2;0;3;20;9;0;1;0;1;0;0;0;1;0;0;0;1;1;0
;;7;Sluik, H.A.;5;0;0;0;0;0;0;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;;8;van der Sijden-Hovestadt, N.;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0
;;9;Duerink, G.;28;3;3;1;0;1;0;1;1;0;1;1;4;1;0;0;0;0;0;1;0;0;0;5;2;0;1;0;0;0;0;1;1;0;0
10;Oldambt Aktief;;;497;19;9;16;22;21;17;14;12;31;27;13;13;9;17;5;14;4;6;28;19;33;10;45;8;15;6;17;1;0;7;17;11;6;5
;;1;Postmus, N.H.;286;11;7;7;15;11;12;4;5;18;11;9;7;5;10;3;8;3;5;13;15;18;4;33;5;9;4;9;1;0;2;6;6;5;5
;;2;Plat, G.;59;3;1;2;2;0;3;4;2;6;7;0;1;3;0;1;0;0;1;1;3;7;3;2;0;2;2;0;0;0;0;3;0;0;0
;;3;van Lang, G.J.;32;2;0;4;1;3;0;0;0;0;5;2;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;5;0;0;2;2;2;0;0
;;4;Keiserie, A.G.I.;55;1;0;1;3;0;2;3;3;5;1;1;0;0;0;0;0;0;0;10;1;6;1;8;1;2;0;1;0;0;3;2;0;0;0
;;5;Haan, G.;12;0;0;0;0;0;0;0;1;0;0;0;0;1;3;1;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;2;0;0
;;6;Eising, W.D.;5;0;0;1;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
;;7;Daanje, C.;5;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0
;;8;Olgers, L.B.;8;0;0;0;0;0;0;0;0;0;1;1;1;0;3;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0
;;9;Postmus-Kugel, P.G.;16;1;0;0;0;5;0;0;0;1;0;0;0;0;0;0;1;1;0;1;0;1;1;1;0;2;0;0;0;0;0;0;0;1;0
;;10;Orsel, J.;19;1;0;1;0;2;0;2;0;1;1;0;4;0;1;0;2;0;0;0;0;0;0;0;2;0;0;1;0;0;0;1;0;0;0
11;GROENLINKS;;;628;45;10;24;14;33;32;11;7;43;11;25;23;20;38;10;30;13;9;28;18;24;24;23;13;22;14;13;4;3;1;23;12;3;5
;;1;Langbroek, A.J.M.;274;18;2;17;8;13;21;5;2;27;3;11;8;15;17;4;11;4;1;13;5;7;6;10;5;6;6;4;3;0;1;9;9;0;3
;;2;Dale, J.M.;159;11;4;5;2;12;5;1;1;6;1;8;8;2;11;4;9;5;5;7;3;9;11;2;3;6;6;1;1;1;0;5;1;1;2
;;3;Walvis, I.;44;1;1;0;1;0;0;2;0;0;3;1;2;0;2;0;4;2;1;0;0;4;5;6;0;7;0;1;0;1;0;0;0;0;0
;;4;Valeton-Sontrop, M.T.;28;6;1;0;0;2;2;1;1;3;1;0;1;0;0;0;1;0;1;1;0;0;1;0;1;2;0;0;0;0;0;2;1;0;0
;;5;Verheggen, V.H.;91;7;2;2;3;5;4;2;3;6;2;5;4;2;5;2;3;2;0;3;3;1;1;4;2;0;1;7;0;0;0;7;1;2;0
;;6;Verkerk, A.;32;2;0;0;0;1;0;0;0;1;1;0;0;1;3;0;2;0;1;4;7;3;0;1;2;1;1;0;0;1;0;0;0;0;0
12;Belang van Nederland (BVNL);;;166;5;5;5;15;4;1;1;7;4;5;5;15;3;7;4;6;9;2;8;5;13;4;14;0;4;7;2;1;0;1;3;1;0;0
;;1;Zijlstra, H.;137;5;3;4;14;3;1;1;5;4;5;5;9;3;4;4;4;8;2;8;5;10;3;12;0;2;6;2;1;0;1;2;1;0;0
;;2;Kuipers, H.A.;10;0;0;0;1;1;0;0;1;0;0;0;2;0;0;0;1;0;0;0;0;1;0;1;0;1;1;0;0;0;0;0;0;0;0
;;3;Zijlstra, W.Y.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;4;Zijlstra, H.E.;18;0;2;1;0;0;0;0;1;0;0;0;4;0;3;0;1;0;0;0;0;2;1;1;0;1;0;0;0;0;0;1;0;0;0
13;PVV (Partij voor de Vrijheid);;;859;38;14;31;20;45;36;27;17;38;42;23;36;33;43;18;34;8;32;42;14;37;14;59;15;32;14;19;6;3;1;29;12;5;22
;;1;Venema, H.;581;21;6;18;15;25;22;15;12;17;27;17;22;24;30;12;24;8;23;33;12;23;10;41;12;30;11;15;4;3;1;23;6;5;14
;;2;Slijm, S.A.;112;8;1;6;2;9;9;8;4;10;8;2;5;2;1;2;3;0;3;3;1;6;1;3;1;0;1;2;0;0;0;2;3;0;6
;;3;Blaauw, R.B.;74;4;6;6;0;8;3;3;1;5;2;2;7;2;4;2;3;0;0;1;1;3;1;0;0;2;1;0;2;0;0;3;2;0;0
;;4;Hebels, G.R.;92;5;1;1;3;3;2;1;0;6;5;2;2;5;8;2;4;0;6;5;0;5;2;15;2;0;1;2;0;0;0;1;1;0;2
14;Blanco (Oosterhoff, B.);;;81;7;2;0;0;1;2;3;4;2;1;5;3;2;0;1;2;1;2;2;1;6;3;2;4;8;4;0;2;0;0;2;4;0;5
;;1;Oosterhoff, B.;81;7;2;0;0;1;2;3;4;2;1;5;3;2;0;1;2;1;2;2;1;6;3;2;4;8;4;0;2;0;0;2;4;0;5
