Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;De Boschpoort;Leger des Heils;Botanica-Hof;Kindcentrum Beukenlaan;SOB kazerne;Speeltuinvereniging Bovenburen;De Renselheerdt;Tennishal Hoorntjesweg;Het Parkholt;Campus Winschoten 1;Campus Winschoten 2;Brasserie Slag bij Heiligerlee;Dorpshuis De Tille;Eextahal Scheemda;Kantine SC Scheemda;Dependance gemeentehuis;Kantine vv Oldambtster Boys;Dorpshuis 't Trefpunt;De Schakel;Brede school De Meerkant;Party Centrum Finnewold;MFC De Hardenberg;OBS De Uilenburcht;Kantine Lubbert Bruins Sportpark;Akkerschans;Heerlijke Streken;Leger des Heils 14-03-2022;Dorpshuis De Tille 14-03-2022;Dorpshuis 't Trefpunt  14-03-2022;Party Centrum Finnewold 14-03-2022;Leger des Heils 15-03-2022;Dependance gemeentehuis 15-03-2022;Brede school De Meerkant 15-03-2022;Akkerschans 15-03-2022
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;30;31;32;33;40;41;42;43
Postcode;;;;;9671 GB;9671 CC;9671 KZ;9674 CC;9675 HJ;9675 JW;9675 AB;9675 NB;9675 JA;9673 GS;9673 GS;9677 PB;9678 PR;9679 HA;9679 KM;9679 BR;9943 PA;9944 AG;9681 AL;9682 PB;9684 CL;9684 AM;9686 NG;9688 RE;9693 BS;9685 AW;9671 CC;9678 PR;9944 AG;9684 CL;9671 CC;9679 BR;9682 PB;9693 BS
;;9;Pals, J.;13;1;0;0;1;0;0;1;0;3;0;1;4;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
;;10;Michels-Stevan, A.J.;50;4;2;1;2;4;3;6;4;6;2;4;0;0;3;0;0;0;0;0;0;2;0;1;0;2;0;1;0;0;0;0;0;1;2
;;11;Verheggen, F.F.J.M.;5;0;1;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;12;Bosboom, B.J.;9;0;0;0;1;2;0;0;0;0;1;1;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0
;;13;Haneman, J.F.;2;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;14;Warris, C.J.B.;4;1;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;15;Tuin, F.;8;0;0;5;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
;;16;Broekhuizen, L.K.;76;3;3;3;8;7;0;1;4;5;4;2;4;1;3;0;4;2;0;4;1;1;4;0;1;0;2;0;1;1;0;5;1;0;1
2;SP (Socialistische Partij);;;1347;59;28;61;33;52;52;42;43;46;30;46;59;49;52;33;63;24;43;75;44;63;40;65;22;32;25;24;11;9;9;43;43;9;18
;;1;Nobbe-Kok, H.T.E.;822;34;20;46;17;35;36;24;26;25;23;27;32;33;27;17;40;14;21;38;33;31;21;41;15;24;10;20;10;4;2;25;33;5;13
;;2;Wesselink, J.;95;2;0;1;2;3;3;2;3;5;0;2;2;1;2;1;2;2;1;7;2;21;11;5;3;0;2;0;0;0;4;0;1;2;3
;;3;van Delden-Weering, M.J.;99;6;4;6;7;2;3;6;1;3;3;4;2;3;3;2;7;1;1;1;1;2;2;4;0;1;4;2;1;3;1;10;1;1;1
;;4;Seubring, J.;28;2;0;0;0;3;0;0;0;0;1;0;1;0;0;0;0;0;0;2;0;1;1;9;3;3;0;0;0;0;1;0;0;0;1
;;5;Nobbe, J.H.J.;30;2;1;0;1;2;1;3;4;6;0;1;0;0;1;0;0;0;3;1;2;0;0;1;0;0;1;0;0;0;0;0;0;0;0
;;6;Dost, M.L.P.H.;26;2;1;3;0;3;2;3;2;0;0;2;0;2;0;3;0;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0
;;7;Borisova, D.D.;56;6;1;0;0;0;0;0;6;1;0;3;0;1;1;4;0;1;4;14;1;1;0;1;1;2;4;1;0;0;0;1;1;1;0
;;8;Boltjes, H.B.;41;0;0;1;0;0;0;0;0;0;1;2;1;4;6;3;11;1;2;0;1;1;0;1;0;0;0;0;0;0;0;1;5;0;0
;;9;Brinks, J.;17;0;0;0;0;0;0;1;0;0;0;0;0;1;2;1;0;0;0;9;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0
;;10;Fruitema, K.R.T.;16;0;0;2;1;0;0;3;0;0;0;1;0;0;2;0;0;0;1;0;0;0;3;0;0;2;1;0;0;0;0;0;0;0;0
;;11;Schaak, A.N.;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;12;Petrusma, J.P.;38;1;0;0;1;3;3;0;0;1;0;2;20;0;0;0;1;0;0;0;0;2;0;1;0;0;0;0;0;0;1;2;0;0;0
;;13;Brader, H.;15;1;1;2;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;3;3;0;0;1;0;0;1;0;0;0;0;0;0;0;0
;;14;Strikker, G.H.W.;15;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;10;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0
;;15;Viel, M.;21;0;0;0;0;0;0;0;1;5;1;0;0;0;6;1;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0
;;16;Bolderman-Lesterhuis, L.;27;1;0;0;3;0;4;0;0;0;1;2;0;3;2;1;1;0;0;0;0;1;2;1;0;0;2;0;0;0;0;3;0;0;0
3;VVD;;;1430;92;58;64;33;95;48;42;27;103;56;52;34;26;62;21;49;15;47;69;36;32;32;32;30;18;77;40;8;13;12;62;29;10;6
;;1;Wünker, F.H.;724;44;29;34;19;61;25;15;15;53;36;29;14;14;35;8;26;8;17;34;24;17;12;14;10;9;27;22;2;4;5;38;15;3;6
;;2;Meertens, M.;186;21;8;6;3;9;7;6;5;16;7;9;3;3;5;4;4;3;6;13;1;3;2;2;5;4;13;1;3;1;1;9;3;0;0
;;3;Steijnis, J.W.;74;8;3;5;0;8;0;4;1;5;2;1;2;1;0;3;0;0;0;0;1;0;6;0;0;2;6;4;1;0;4;4;1;2;0
;;4;Leuning, S.R.;133;14;14;8;5;7;7;8;2;10;5;4;4;3;2;1;3;0;3;6;4;0;3;3;0;2;3;10;0;0;0;2;0;0;0
;;5;van Dijken, P.I.;57;0;1;1;3;3;0;4;1;1;0;4;3;0;0;0;2;2;0;0;1;1;7;0;0;0;21;0;0;0;1;0;1;0;0
;;6;Kruize, J.J.;24;1;1;3;0;1;2;0;0;3;2;0;5;1;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;2;0;0
;;7;van 't Westeinde, J.;71;1;2;1;1;1;4;0;0;0;2;1;0;0;3;0;4;1;21;4;1;4;1;2;3;0;0;1;1;5;1;3;1;2;0
;;8;Sigmond, L.A.;23;0;0;0;0;0;1;0;0;4;0;0;0;0;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0
;;9;Rijlaarsdam-Sikma, H.M.;30;1;0;1;0;1;1;0;0;3;0;1;1;1;0;2;5;0;0;4;0;4;0;0;0;0;0;0;0;0;0;0;5;0;0
;;10;van der Meulen, T.K.;17;0;0;0;0;3;1;0;1;1;0;0;2;1;0;0;0;0;0;0;3;0;0;0;0;0;2;0;1;1;0;0;0;1;0
;;11;ten Have-Mellema, A.L.;91;2;0;5;2;1;0;5;2;7;2;3;0;2;1;3;4;1;0;8;0;3;1;11;12;1;4;2;0;2;0;6;1;0;0
4;Verenigde Communistische Partij;;;1442;58;28;76;53;51;45;54;24;35;29;44;64;31;49;19;38;38;45;62;60;85;69;143;37;58;22;18;4;3;15;24;26;22;13
;;1;Modderman, E.;1045;38;21;58;30;30;37;40;10;30;22;28;50;25;37;11;26;21;38;52;52;66;50;107;28;31;21;15;3;1;13;9;18;19;8
;;2;Kenter, J.A.;55;4;1;0;1;4;2;4;3;1;0;4;0;1;0;0;3;0;1;0;2;7;1;6;0;2;0;0;0;0;1;5;2;0;0
;;3;Geerdes, G.;110;5;1;8;11;4;2;5;5;3;1;4;3;0;6;3;2;2;1;4;2;1;7;13;1;4;1;2;0;0;0;4;1;2;2
;;4;van der Laan, H.H.;20;3;0;3;3;2;0;1;1;0;0;3;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
;;5;Boven, E.;52;2;1;3;3;8;0;2;0;0;3;3;3;1;1;0;2;0;1;1;2;0;5;6;0;0;0;0;1;0;0;1;2;1;0
;;6;Meezen, J.G.;17;1;0;2;2;2;2;0;0;0;0;1;0;2;1;0;0;0;0;0;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0
;;7;Brekveld, D.;9;0;0;2;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;3;1;0;0;0;0;0;1;0;0;0;0
;;8;de Groot, A.;12;0;0;0;0;0;0;0;1;0;0;0;4;0;2;0;1;1;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
;;9;Noordegraaf, A.M.;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;10;Hoiting-Waalkens, H.G.;6;0;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;0;0;0
;;11;Sanders, B.G.;31;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;1;0;17;0;0;0;0;0;1;2;0;2
;;12;Jacobs, P.F.;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;13;Bont, S.H.;8;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;4;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;14;Eefting, G.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
;;15;Wolthers, G.B.;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;5;4;0;0;0;0;0;0;0;0;1
;;16;Borgers, C.M.;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
;;17;de Jonge, A.;4;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;18;Engberts, W.;6;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;1;0;0;0;0;0;0;0;0;0;0
;;19;Veen, B.;5;1;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;;20;de Jonge, J.;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;21;Plat, A.M.C.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;22;Folkerts, R.K.;3;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;23;Veentjer, A.;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0
;;24;van Dijke, J.J.H.;3;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;25;Zoutman, J.;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;26;Drenth, J.;4;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0
;;27;Modderman-Mulder, G.M.;14;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;6;0;5;0;0;0;0;0;0;0;0;0;0;0
;;28;Hofman, H.;3;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
5;Gemeentebelangen Oldambt;;;1967;88;63;94;56;91;89;46;31;95;58;45;80;170;118;38;105;25;47;76;49;39;40;86;14;45;64;43;26;4;8;71;43;17;3
;;1;Klein, G.A.;1032;46;35;47;26;42;41;20;12;59;37;23;29;98;70;22;62;14;29;41;14;25;18;34;8;29;25;23;21;4;1;41;27;7;2
;;2;Kuiper, A.;100;7;3;3;4;3;0;0;3;3;2;2;0;4;5;3;5;0;0;2;1;0;5;13;0;4;18;0;0;0;2;4;3;1;0
;;3;Musch-Dijkhuis, G.;168;15;5;7;3;4;14;9;5;2;8;4;14;14;7;1;10;2;4;7;2;5;1;8;1;1;5;3;1;0;0;4;2;0;0
;;4;van der Laan, H.;65;3;1;7;6;14;5;0;4;2;3;4;2;2;1;1;1;0;0;0;3;0;0;0;0;0;0;1;0;0;0;3;2;0;0
;;5;de Raaf, C.H.;174;13;14;17;9;11;15;8;0;12;4;8;4;8;3;0;6;1;0;5;0;0;0;9;0;3;3;9;0;0;0;11;0;1;0
;;6;Klein, S.A.;84;1;1;1;3;3;5;2;0;14;1;1;2;5;8;0;5;0;5;5;5;3;1;2;2;1;1;0;0;0;1;2;2;2;0
;;7;Winkel-Dijkhuis, M.;29;1;2;4;2;6;2;1;0;0;0;0;0;2;0;0;2;1;0;1;0;0;1;1;2;0;0;0;1;0;0;0;0;0;0
;;8;Hamar de la Brethonière, A.M.;98;0;0;3;3;6;4;2;3;2;0;3;24;6;3;2;5;0;5;6;3;2;2;1;0;2;2;2;1;0;0;5;0;1;0
;;9;de Grooth, D.J.;43;0;2;2;0;0;0;0;2;0;1;0;0;1;0;1;0;0;1;1;7;0;9;0;0;0;9;0;0;0;3;1;0;3;0
;;10;Buiter, F.;29;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;2;0;2;1;18;1;1;0;0;0;0;0;0;0;0;0
;;11;Kolthof, J.A.;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;12;Meinders, P.V.;40;0;0;0;0;0;2;0;0;0;0;0;0;30;2;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;0;0;0;0
;;13;Wingelaar, M.W.;5;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;1
;;14;Hageman, H.;10;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;1;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;15;Wingelaar-Visser, A.G.;8;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;1;1;0
;;16;Pomp-Dijkhuis, A.;37;0;0;0;0;0;0;0;0;0;0;0;2;0;15;7;7;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0
;;17;Goet, R.C.;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0
;;18;Klein-Bakker, G.A.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;19;Strating, M.H.;10;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;20;Musch, G.;14;1;0;3;0;0;0;2;2;0;0;0;1;0;2;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0
;;21;de Keijser, H.A.;16;0;0;0;0;0;0;0;0;0;1;0;1;0;1;1;0;6;1;2;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0
6;Partij voor het Noorden;;;1547;70;43;51;65;74;56;58;39;81;48;39;56;73;94;33;94;17;57;83;29;48;38;37;27;58;40;24;9;3;16;38;34;8;7
;;1;Nieboer, J.;942;45;30;35;46;43;40;43;22;58;32;30;39;48;48;13;51;10;37;41;14;23;19;21;11;22;25;17;7;2;5;32;24;4;5
;;2;de Wal, J.M.;225;13;7;9;3;9;7;6;5;8;6;5;5;6;10;6;11;5;11;38;11;3;4;4;3;8;8;4;0;1;3;1;3;2;0
;;3;Kalse, M.M.W.;42;1;1;4;1;5;2;2;0;6;3;1;6;1;0;0;3;0;0;0;0;1;1;1;1;0;1;1;0;0;0;0;0;0;0
;;4;Suurling, A.;103;1;5;1;3;3;4;3;2;2;1;0;5;13;12;3;12;1;2;2;1;1;5;0;7;1;2;1;2;0;0;3;4;1;0
;;5;van der Veen, G.A.;25;0;0;1;3;2;0;0;6;3;1;1;0;0;2;4;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
;;6;de Vries, C.;21;0;0;0;0;0;1;1;0;1;0;0;0;0;8;2;5;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0
;;7;Bolhuis, J.H.;15;3;0;0;5;1;0;1;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
;;8;Slijfer-Brouwer, M.T.J.;16;3;0;1;0;2;1;1;3;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0
;;9;Schwertmann, H.;31;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;3;0;0;0;23;0;0;0;0;2;0;0;0;2
;;10;Smit, H.J.;16;1;0;0;4;4;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;1;1;0;0;0;0;1;1;0;0
;;11;de Vrieze, H.;10;0;0;0;0;1;0;0;0;1;0;0;0;0;4;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
;;12;Boon, B.H.;23;2;0;0;0;1;1;0;0;0;2;0;0;2;2;0;4;0;5;0;1;0;1;0;0;1;1;0;0;0;0;0;0;0;0
;;13;Zwiers, B.;15;0;0;0;0;0;0;0;1;1;0;0;0;0;3;4;2;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0
;;14;Doornbos, M.F.;36;1;0;0;0;2;0;1;0;0;2;0;0;2;0;0;1;0;0;0;0;9;3;8;3;0;2;0;0;0;2;0;0;0;0
;;15;de Raad, L.J.N.;27;0;0;0;0;1;0;0;0;1;0;0;1;0;2;0;1;0;0;1;1;7;4;1;2;1;0;0;0;0;3;0;0;1;0
7;CDA;;;1000;18;31;29;10;20;15;36;16;52;27;19;30;49;48;34;48;13;64;118;63;25;10;20;32;23;18;17;9;10;6;40;30;15;5
;;1;van Bostelen, T.M.;446;10;17;14;6;14;8;19;4;35;8;5;15;16;30;13;27;5;35;50;13;5;4;10;2;2;6;8;4;5;0;27;22;7;0
;;2;Naaijer, S.;145;5;8;6;3;3;2;4;5;1;5;8;9;15;3;4;7;0;2;13;13;1;2;1;0;5;6;3;5;0;0;3;1;1;1
;;3;de Groot, G.;149;2;3;1;0;0;0;3;1;5;6;5;0;4;2;4;4;4;8;23;10;13;1;7;23;8;1;2;0;0;0;3;1;3;2
;;4;Sijbolts, M.J.;13;0;0;0;0;0;0;0;3;2;1;0;0;1;1;3;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;5;van der Burg-Klooster, A.;87;0;2;3;0;1;3;7;0;3;1;1;5;5;5;6;3;0;2;15;13;0;2;0;0;0;1;0;0;0;2;1;3;3;0
;;6;Knottnerus, O.;67;0;0;0;0;0;0;0;0;1;4;0;0;3;5;4;2;1;12;10;10;2;0;0;0;0;1;0;0;4;0;4;3;1;0
