Verkiezing;;Gemeenteraad Pekela 2022;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;
Gebied;;Gemeente Pekela;;;;;;;;;;;;;
Nummer;;0765;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;MFC De Binding;Gemeentehuis;Brede school De Groenling;Dollard College (Pekela);Dorpshuis De Kiepe;Het Tehuis;Dorpshuis de Riggel;MFC de Binding;Dorpshuis De Kiepe;MFC de Binding;Dorpshuis De Kiepe
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11
Postcode;;;;;9665 HT;9665 JD;9665 HS;9665 RA;9663 EG;9663 RC;9663 TT;9665 HT;9663 EG;9665 HT;9663 EG
;;11;Kamphuis, J.;21;3;4;9;0;0;1;0;4;0;0;0
;;12;Roorda-Koerts, A.;13;1;4;4;0;1;0;1;2;0;0;0
4;PVV (Partij voor de Vrijheid);;;686;96;105;75;90;61;76;57;26;24;51;25
;;1;van Dooren, A.C.;440;55;56;45;50;46;62;49;13;20;25;19
;;2;van Dooren, R.J.;12;0;2;3;2;1;3;1;0;0;0;0
;;3;Hartman, A.;71;11;14;14;10;0;1;0;11;0;10;0
;;4;de Waard, J.;28;4;2;1;6;2;6;3;0;2;0;2
;;5;Kuiper, R.P.;22;3;4;4;5;1;1;0;1;0;1;2
;;6;Hulshof, G.;76;18;11;7;15;6;3;4;0;2;10;0
;;7;Stoffers, J.;14;0;9;0;2;3;0;0;0;0;0;0
;;8;Wekema, J.;23;5;7;1;0;2;0;0;1;0;5;2
5;CDA;;;525;30;37;43;42;109;109;19;10;39;19;68
;;1;Oppewal, F.;292;20;21;18;23;68;59;8;2;19;13;41
;;2;Jonker, H.;87;1;0;1;1;25;26;7;0;12;0;14
;;3;Berghuis, D.;65;5;14;22;6;6;5;0;2;1;4;0
;;4;Ritzema, M.P.;6;0;0;0;0;2;1;0;1;1;0;1
;;5;van der Hoek, E.S.;60;4;2;2;10;7;16;2;3;3;2;9
;;6;Haan, J.;7;0;0;0;2;0;2;2;0;0;0;1
;;7;Ritzema-Palsma, M.;3;0;0;0;0;0;0;0;0;1;0;2
;;8;Beikes, H.J.G.;3;0;0;0;0;1;0;0;2;0;0;0
;;9;Vredeveld, C.H.;2;0;0;0;0;0;0;0;0;2;0;0
6;GROENLINKS;;;447;49;59;52;35;53;59;60;10;20;23;27
;;1;Knevelman-Hulshof, H.;274;20;28;23;19;34;40;55;5;15;13;22
;;2;Schipper, D.P.;44;8;6;12;8;2;4;1;0;1;1;1
;;3;Nieuweboer, M.;20;2;1;0;1;8;4;0;0;3;1;0
;;4;Schoonhoven-Hemmes, W.G.;24;3;9;4;2;0;0;0;5;0;1;0
;;5;Oosterveld, C.;18;7;4;4;0;0;0;0;0;0;3;0
;;6;Sikkens, N.;18;6;4;4;1;1;0;1;0;0;1;0
;;7;van de Boom, B.J.A.;1;0;0;0;0;0;0;1;0;0;0;0
;;8;Oosterveld-Vredeveld, H.;5;0;3;1;0;0;1;0;0;0;0;0
;;9;van der Laan, G.;18;0;3;0;0;2;7;1;0;1;2;2
;;10;Duit, A.;25;3;1;4;4;6;3;1;0;0;1;2
7;VVD;;;272;23;20;24;17;69;31;41;5;9;12;21
;;1;Fridrichs-Kok, J.J.;136;11;14;10;9;39;11;15;5;4;6;12
;;2;Westers-Borgesius, J.;70;5;5;3;1;13;16;14;0;4;1;8
;;3;de Jonge, G.;24;0;0;3;0;5;4;12;0;0;0;0
;;4;Heikens-Nanninga, E.C.;11;2;0;0;0;8;0;0;0;1;0;0
;;5;van Oeveren, C.M.;31;5;1;8;7;4;0;0;0;0;5;1
