Verkiezing;;Gemeenteraad Wierden 2022;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Wierden;;;;;;;;;;;;;;;;;;;;;
Nummer;;0189;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Plantsoenlaan 1;Chris Soumokilstraat 69A;Wilhelminastraat 28;Oude Pastoriestraat 9;Oude Pastoriestraat 9;Nieuwe Schoolweg 5;Van Kregtenweg 9;Ypeloschoolweg 2B;Lage Dijk 12A;Weusteweg 15;Plantsoenlaan 1;Plantsoenlaan 1;Mettenkampsweg 5;Mettenkampsweg 5;Mettenkampsweg 5;Wilhelminastraat 28;Spoorstraat 5;Dahliastraat 4;Spoorstraat 5
Gebiednummer;;;;;1;3;4;8;9;10;11;12;14;18;20;21;22;23;24;25;26;27;28
Postcode;;;;;7642 EC;7642 XX;7642 CS;7468 GC;7468 GC;7645 AV;7467 PL;7468 RE;7468 EZ;7641 AG;7642 EC;7642 EC;7468 AH;7468 AH;7468 AH;7642 CS;7641 BJ;7641 VZ;7641 BJ
;;2;Braamhaar, M.A.F.L;214;10;6;1;35;36;3;2;6;32;4;2;2;32;8;17;3;8;6;1
;;3;Egberts, A.W.F.;325;20;21;8;2;6;122;26;28;0;17;11;8;2;1;1;13;13;15;11
;;4;van der Kolk, J.H.;87;12;1;2;0;2;3;15;20;1;3;2;2;0;0;0;2;6;11;5
;;5;Hakvoort, A.J.;125;17;10;4;0;0;5;0;1;1;25;14;15;1;0;0;3;15;10;4
;;6;Langenhof, M.;189;11;4;3;25;34;3;8;3;26;5;1;8;12;12;19;4;3;7;1
;;7;van Schooten, L.J.;33;3;3;0;1;0;0;0;0;0;9;10;2;0;0;0;0;0;3;2
;;8;Koers, J.S.;31;8;0;2;0;0;5;1;0;0;4;0;1;0;0;0;2;3;0;5
;;9;ter Haar, N.T.E.;172;7;2;0;26;41;0;12;0;25;3;1;4;19;11;10;1;0;7;3
;;10;Kranendonk, M.R.;8;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;1
;;11;Klaas, J.W.;39;11;4;2;0;0;1;0;0;0;2;3;2;0;0;0;2;7;2;3
;;12;ter Beke, E.H.L.;56;7;3;3;0;0;1;0;0;1;8;5;6;1;1;0;5;4;7;4
;;13;Landeweerd, G.H.;44;6;4;0;0;0;2;0;0;0;1;2;7;0;0;0;1;7;10;4
;;14;ter Haar, E.A.;32;0;1;0;7;12;0;0;2;1;0;0;0;1;2;4;0;0;2;0
;;15;den Hartogh - ten Have, L.S;12;4;1;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;3;1
;;16;Idema, J.;5;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
;;17;Wolbrink, W.A.;12;0;0;0;0;0;0;10;1;0;0;1;0;0;0;0;0;0;0;0
;;18;Lammers, G.J.;13;0;0;0;0;0;0;11;0;0;0;0;0;0;0;0;0;1;0;1
;;19;Hagedoorn, A.;27;1;1;0;0;0;0;0;0;0;3;2;4;0;0;0;0;5;10;1
;;20;Pluimers, H.;15;0;0;0;3;0;0;2;0;3;0;1;0;4;0;0;0;0;2;0
;;21;den Hartogh, A.;2;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;22;Kastenberg, F.G.;14;3;0;0;1;0;0;0;2;2;0;1;1;0;2;0;0;2;0;0
;;23;Veneman, J.;6;0;0;2;0;1;0;0;0;0;0;0;1;0;0;0;0;0;2;0
;;24;Ekkel, F.;29;0;0;0;6;4;0;2;0;7;1;0;1;5;1;2;0;0;0;0
;;25;Getkate, D.;16;2;0;1;3;0;0;0;1;1;2;1;2;0;0;0;0;0;1;2
3;ChristenUnie;;;1276;158;79;26;108;103;68;52;20;74;69;56;84;42;17;55;36;54;133;42
