Verkiezing;;Gemeenteraad Hengelo (O) 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Hengelo (O);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0164;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Stadhuis Hengelo;Gereformeerde Kerk Morgenster;Suroyo TV (A);Suroyo TV (B);Mor Augin kerk;Wijkcentrum De Hengelose Es (A);Wijkcentrum De Hengelose Es (B);Fiora Zorg;Thuiszorgorganisatie Oriant Zorg;Wijkcentrum De Sterrentuin (A);Wijkcentrum De Sterrentuin (B);Bibliotheek Hengelo Stad;Baptistengemeente Hengelo (A);Baptistengemeente Hengelo (B);Denksportcentrum Hengelo;Wijkcentrum De Tempel (A);Wijkcentrum De Tempel (B);Kristalkerk (A);Kristalkerk (B);Remonstrantse Gemeente Twente;MFA 't Berflo;Nivoncentrum Hengelo (A);Nivoncentrum Hengelo (B);ROC van Twente (A);Buurtcentrum 't Lansink (A);Buurtcentrum 't Lansink (B);Kantine Sportvereniging T.V.O.;ROC van Twente (B);Gymlokaal Breemarsweg 481 A  (A);Gymlokaal Breemarsweg 481 A  (B);Gymlokaal Klaas de Rookstraat 61;Thaborkerk;Wijkcentrum Kulturhus Hasselo (A);Gymlokaal Cruys Voorberghstraat 105 (A);Gymlokaal Cruys Voorberghstraat 105 (B);Wijkcentrum Kulturhus Hasselo (B);Sportpark Slangenbeek ATC'65;Wijkcentrum Slangenbeek (A);Wijkcentrum Slangenbeek (B);Ontmoetingsruimte Bastion;Stadhuis Hengelo;Wijkcentrum De Hengelose Es;Wijkcentrum De Sterrentuin;Wijkcentrum De Tempel;MFA 't Berflo;Buurtcentrum 't Lansink;Wijkcentrum Kulturhus Hasselo;Wijkcentrum Slangenbeek;Stadhuis Hengelo;Wijkcentrum De Hengelose Es;Wijkcentrum De Sterrentuin;Wijkcentrum De Tempel;MFA 't Berflo;Buurtcentrum 't Lansink;Wijkcentrum Kulturhus Hasselo;Wijkcentrum Slangenbeek
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;22;23;24;25;26;27;29;30;31;32;33;35;36;37;38;39;40;41;42;43;141;142;143;144;145;146;147;148;151;152;153;154;155;156;157;158
Postcode;;;;;7551 EB;7555 MH;7556 AV;7556 AV;7556 MD;7556 LN;7556 LN;7556 TV;7556 NP;7557 XX;7557 XX;7551 HV;7557 GD;7557 GD;7557 EG;7552 JZ;7552 JZ;7552 HE;7552 HE;7552 DA;7552 VG;7553 LB;7553 LB;7553 VZ;7553 BS;7553 BS;7554 PV;7553 VZ;7555 KA;7555 KA;7558 DJ;7558 BA;7558 CP;7558 WV;7558 WV;7558 CP;7559 PB;7559 NM;7559 NM;7559 HN;7551 EB;7556 LN;7557 XX;7552 JZ;7552 VG;7553 BS;7558 CP;7559 NM;7551 EB;7556 LN;7557 XX;7552 JZ;7552 VG;7553 BS;7558 CP;7559 NM
;opgeroepenen;;;66171;1914;1799;1718;1764;1692;1892;2057;1649;1784;1760;1705;1444;1420;1399;1348;1418;1373;1468;1406;1763;1883;1894;1786;1615;1075;1415;1060;1699;1495;1463;1527;1564;1615;1712;1675;1517;2002;1949;2052;2400;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;geldige stempas;;;29794;1457;880;401;389;389;816;727;448;349;341;386;630;400;424;364;371;364;710;661;706;638;398;651;363;476;636;514;407;573;619;570;553;697;568;490;701;587;842;808;784;603;311;151;183;153;321;487;364;966;519;222;359;255;460;753;599
;geldig volmachtbewijs;;;3344;143;100;38;65;62;104;85;38;40;32;37;120;36;0;31;41;42;101;76;86;65;28;79;57;47;69;83;54;73;76;72;59;80;68;46;77;78;101;117;114;39;32;12;14;13;22;40;37;106;43;25;29;27;39;88;58
;geldige kiezerspas;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;toegelaten kiezers;;;33138;1600;980;439;454;451;920;812;486;389;373;423;750;436;424;395;412;406;811;737;792;703;426;730;420;523;705;597;461;646;695;642;612;777;636;536;778;665;943;925;898;642;343;163;197;166;343;527;401;1072;562;247;388;282;499;841;657
;geldige stembiljetten;;;32985;1590;978;438;452;449;917;808;482;387;373;419;744;433;422;393;409;404;810;728;790;700;425;727;418;515;702;593;460;641;692;640;610;777;633;535;775;663;938;917;895;641;341;163;196;166;340;525;400;1066;557;243;388;281;498;841;657
;blanco stembiljetten;;;73;7;1;0;1;2;2;1;2;0;0;1;3;3;1;2;2;2;1;3;0;1;1;2;2;1;1;1;0;1;1;2;1;0;1;1;1;2;4;4;3;0;0;0;0;0;0;1;1;4;2;0;0;1;0;0;0
;ongeldige stembiljetten;;;77;4;1;0;1;0;1;3;2;2;0;3;3;0;1;0;1;0;0;5;3;2;0;1;0;7;2;2;1;4;2;0;0;0;2;0;1;1;1;3;0;1;2;0;1;0;3;1;0;2;1;4;1;1;1;0;0
;aangetroffen stembiljetten;;;33135;1601;980;438;454;451;920;812;486;389;373;423;750;436;424;395;412;406;811;736;793;703;426;730;420;523;705;596;461;646;695;642;611;777;636;536;777;666;943;924;898;642;343;163;197;166;343;527;401;1072;560;247;389;283;499;841;657
;meer stembiljetten dan toegelaten kiezers;;;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
;minder stembiljetten dan toegelaten kiezers;;;9;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0
;kiezers met stembiljet hebben niet gestemd;;;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te weinig stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te veel stembiljetten uitgereikt;;;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
;geen verklaring;;;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0
;andere verklaring;;;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;Pro Hengelo;;;2221;118;64;27;29;29;77;60;40;23;21;39;60;38;31;21;23;19;68;34;49;47;40;38;20;43;42;16;28;25;32;50;33;48;66;40;56;64;52;56;55;50;22;8;14;16;22;32;27;78;46;16;26;16;39;52;36
;;1;Peters, F.;1153;72;27;15;18;20;26;24;22;9;13;18;37;19;15;10;18;9;40;24;27;19;20;23;10;19;23;10;12;13;15;21;19;25;31;21;34;35;27;31;34;26;12;3;8;11;12;19;17;30;17;8;10;13;18;24;20
;;2;van der Brugh, E.;363;14;16;5;4;3;12;12;2;2;2;10;7;4;5;3;2;3;9;2;12;12;9;9;3;8;7;0;5;4;1;11;5;6;18;7;8;12;12;13;9;8;3;2;0;1;1;3;4;18;9;0;4;1;3;12;6
;;3;van Wakeren, B.G.;129;6;10;3;1;1;8;2;1;2;2;2;1;4;2;0;2;0;2;1;4;0;2;1;0;3;0;0;3;0;4;1;1;5;5;0;4;5;0;7;4;3;0;0;1;1;1;1;2;6;2;0;0;0;5;5;3
;;4;Wiertsema, W.;31;0;0;0;0;0;1;0;0;0;1;1;0;1;1;0;0;0;1;1;0;3;0;0;0;0;1;0;0;0;0;2;0;1;1;0;0;3;0;1;0;0;0;0;0;1;2;1;0;0;2;0;0;1;3;2;0
;;5;Kemperink, A.B.E.G.;114;2;3;0;1;3;5;1;2;0;1;0;4;1;1;0;0;0;3;2;6;3;0;1;1;5;2;0;3;2;4;3;2;1;2;3;2;4;6;1;1;5;0;2;2;0;2;6;0;7;2;1;2;1;1;2;0
;;6;Albek, F.W.G.;80;4;0;0;1;0;13;10;3;3;0;0;2;0;0;1;0;2;2;0;0;0;0;2;0;0;0;0;0;0;2;2;2;1;1;1;0;0;0;1;0;2;3;0;0;0;2;1;1;2;6;3;2;0;1;0;4
;;7;Roetgerink, L.T.M.;139;12;3;2;2;1;5;4;5;2;1;4;4;9;3;4;0;3;4;0;0;1;5;1;1;1;4;1;1;2;1;3;2;3;5;3;5;0;0;0;4;2;0;0;2;0;0;1;2;7;1;2;3;0;3;4;1
;;8;Oostrom, C.C.;68;2;0;1;2;1;1;0;1;5;0;0;0;0;1;1;0;1;2;2;0;6;0;0;3;5;3;5;2;1;1;2;0;3;1;1;2;0;0;0;0;1;0;1;0;0;0;0;1;2;0;0;2;0;3;2;1
;;9;Ramerman, J.J.;11;1;0;0;0;0;0;0;1;0;1;0;3;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0
;;10;Borkent, D.;19;2;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;2;0;1;2;0;0;1;0;1;0;0;1;1;0;0;0;0;1;0
;;11;Venema, A.M.;12;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;2;0;1;0;0
;;12;Klein Poelhuis, M.;24;1;1;0;0;0;1;0;0;0;0;0;0;0;2;0;0;0;1;0;0;1;2;1;0;1;2;0;0;0;1;2;1;1;0;1;0;2;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
;;13;Haverkamp, R.;6;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;;14;van Ark, M.;21;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;1;2;1;0;1;0;1;0;0;0;0;0;0;2;1;0;0;0;0;0;1
;;15;van Essen, E.L.;39;0;3;1;0;0;4;5;0;0;0;2;2;0;0;2;0;0;0;0;0;0;1;0;2;1;0;0;1;1;1;1;1;0;0;0;0;1;1;0;0;1;1;0;0;0;0;0;0;1;4;1;1;0;0;0;0
;;16;Meindertsma, P.;12;2;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;0;0;0;0;0;0;2;0;0;1;0;0;0;0;1;0;0;0;0;0;0
2;VVD;;;3853;233;122;48;65;49;116;94;61;37;28;37;104;60;38;32;20;24;91;79;143;54;29;69;48;43;70;56;56;97;91;87;56;76;58;64;66;101;150;162;200;76;39;14;11;13;41;31;66;115;62;20;18;25;44;67;97
;;1;Boers, M.S.B.;1773;88;56;16;26;20;49;48;26;12;19;17;37;21;19;18;11;15;51;41;62;23;14;37;26;13;39;35;27;30;35;46;33;46;38;32;35;51;71;69;83;30;24;11;6;10;24;11;34;43;26;15;8;11;19;32;34
;;2;Schoemaker-Olde Olthof, B.J.M.;1103;68;25;15;21;20;39;14;15;16;5;10;37;19;11;9;7;4;19;20;39;11;4;13;12;12;15;9;16;24;24;24;15;15;12;21;19;28;52;65;73;30;6;2;3;2;8;10;18;34;16;5;6;9;15;22;40
;;3;Gerrits, G.G.;328;29;7;4;8;6;1;6;8;1;1;4;10;7;1;0;0;0;9;8;10;4;3;5;3;9;5;3;8;29;24;4;3;3;1;2;2;3;9;12;17;6;1;0;0;0;6;2;6;11;8;0;3;0;3;3;10
;;4;Janssen, S.M.;62;6;2;1;2;0;4;3;2;0;0;3;1;2;0;0;0;0;1;0;0;2;0;1;0;0;0;3;1;2;0;2;0;4;0;1;2;2;3;1;2;0;0;1;0;0;0;1;1;2;1;0;0;1;0;0;2
;;5;van der Zweth-Maijer, C.;84;8;11;2;2;0;3;5;1;1;1;1;2;1;0;1;1;0;4;1;5;2;2;1;0;1;3;0;0;1;0;3;0;1;0;0;0;0;5;2;3;1;0;0;0;0;3;0;1;3;0;0;0;0;0;0;2
;;6;Hekman, S.G.R.;53;5;1;2;2;0;2;1;2;0;1;0;2;1;1;0;0;0;1;3;5;1;3;2;0;0;3;2;0;3;0;0;0;0;0;2;1;0;1;0;2;2;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;;7;Lensink, L.A.M.;159;14;12;3;2;0;8;13;6;0;0;1;9;4;1;2;1;1;1;0;6;1;1;1;2;0;0;0;3;0;2;1;2;4;1;0;1;11;1;3;3;2;5;0;0;1;0;1;1;11;8;0;0;1;2;2;4
;;8;Fens, H.;71;0;3;1;0;1;1;0;0;5;1;1;0;0;0;0;0;1;1;2;2;0;0;4;0;1;1;4;0;2;0;3;0;2;4;2;3;0;4;3;3;1;0;0;0;0;0;4;3;4;1;0;1;0;1;0;1
;;9;de Rosa Spierings, A.J.G.;11;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;;10;Andriol, M.L.G.;16;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;3;0;0;0;0;1;1;0;0;1;2;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
;;11;Analbers, B.H.;17;2;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;2;0;0;0;0;1;0;0;1;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1
;;12;Kok-Bouma, B.H.;32;1;0;0;0;0;1;2;0;0;0;0;1;0;0;1;0;0;2;2;6;0;0;0;0;0;1;0;0;1;2;0;1;0;0;0;0;0;0;0;0;2;0;0;1;0;0;1;1;1;1;0;0;0;2;2;0
;;13;Dalenoort, A.;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;14;Korte, M.;6;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0
;;15;Boers-Varkevisser, S.N.;6;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0
;;16;Gorter, W.M.;11;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
;;17;Janssen-Prins, C.G.;10;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
;;18;van het Reve, B.R.;12;0;0;2;0;0;2;0;0;0;0;0;0;1;0;1;0;2;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;19;Steenkamp, R.S.;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0
;;20;Vollenbroek, K.J.P.;53;5;2;0;1;1;0;0;1;1;0;0;3;2;2;0;0;1;0;1;2;3;0;3;0;2;1;0;0;0;0;2;1;0;1;2;0;0;2;0;5;0;2;0;1;0;0;1;1;1;0;0;0;0;2;0;1
;;21;Fens, R.J.;34;2;1;2;0;0;2;1;0;1;0;0;1;1;0;0;0;0;1;0;2;1;0;2;2;0;0;0;1;1;0;0;1;1;0;1;0;2;2;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
3;SP (Socialistische Partij);;;3170;183;69;41;45;40;68;72;45;29;20;25;51;32;37;52;80;84;90;73;52;56;48;101;46;64;100;30;53;48;53;57;47;71;50;64;77;23;52;39;34;97;60;22;33;22;31;78;25;113;68;29;62;38;62;92;37
;;1;Koetsveld, H.;1410;67;26;17;17;10;32;29;21;11;9;17;23;14;16;27;41;40;52;34;18;23;15;40;23;23;48;17;26;22;27;35;19;33;26;32;31;12;35;19;21;36;24;8;12;6;8;46;16;43;33;8;19;15;31;37;20
;;2;Mulder, V.H.;481;42;13;8;6;4;10;11;4;3;2;3;6;3;6;7;13;11;14;14;5;4;8;18;4;18;24;3;3;7;6;2;3;10;4;11;10;1;2;6;5;22;10;4;5;5;8;11;1;19;8;4;15;6;12;13;4
;;3;Leusink, G.J.;76;3;2;2;3;3;0;2;1;1;0;0;1;1;1;2;3;0;6;6;0;1;2;6;0;1;1;0;0;1;2;0;2;1;0;1;2;0;0;0;0;2;1;3;1;1;2;0;1;3;1;3;0;0;1;0;0
;;4;Vennegoor, G.J.J.;61;1;0;0;0;1;0;0;0;1;0;2;1;1;2;0;1;0;1;0;2;2;1;1;5;1;1;0;1;1;0;0;3;1;0;5;1;0;0;1;0;5;1;0;0;2;1;0;0;4;1;1;1;4;1;3;0
;;5;Spekreijse, M.;132;5;6;2;0;3;1;5;0;0;1;0;4;1;3;0;3;4;1;6;5;1;3;8;2;3;7;0;0;2;4;2;2;2;0;0;9;2;2;1;1;2;0;1;1;1;1;3;2;9;1;2;2;1;1;2;2
;;6;Rouwet-Smits, M.B.;237;12;10;1;2;4;8;3;6;8;0;2;3;1;0;7;5;7;3;5;8;11;5;2;2;2;5;3;7;3;2;4;5;6;3;5;5;1;3;6;2;5;6;1;6;0;2;3;2;7;5;1;2;4;2;11;3
;;7;Westendorp, E.J.;146;16;6;1;3;4;2;1;1;1;1;0;4;4;1;2;4;1;2;1;2;2;1;7;2;2;4;4;4;2;2;3;0;1;0;2;4;2;2;0;0;8;0;2;0;0;1;1;1;5;4;2;6;2;4;8;1
;;8;de Koning, S.;35;2;1;1;2;1;0;0;1;0;1;0;1;0;1;1;1;3;1;0;0;4;0;0;0;0;0;0;2;0;0;0;0;1;0;0;1;0;0;1;0;1;0;0;1;0;0;1;0;3;1;0;0;0;0;2;0
;;9;Bruinsma, A.G.;8;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0
