Verkiezing;;Gemeenteraad Kampen 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Kampen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0166;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Stembureau Stadskazerne;Stembureau De Burgwal;Stembureau Wijkcentrum Reijersdam;Stembureau Westerkerk;Stembureau De Leuke Hanzestad;Stembureau Stadhuis;Stembureau Sporthal KHC;Stembureau De Ommeland;Stembureau Vakgarage Van Winsum;Stembureau Kerkelijk Centrum Open Hof;Stembureau Eudokiakerk;Stembureau Sporthal Cellesbroek;Stembureau De Veenhof;Stembureau IJsclub VZOD Kampen;Stembureau De Schalmei;Stembureau Hoornbeeck College;Stembureau Oosterholthoeve;Stembureau Wijkcentrum Het Lokaal;Stembureau De Bron;Stembureau De Hoeksteen;Stembureau De Herberg;Stembureau Hervormd Verenigingsgebouw;Stembureau De Kandelaar;Stembureau An de Steege;Stembureau Quintus;Stembureau Impact;Stembureau Almere College/ISK;Stembureau Bazuinkerk;Stembureau De Rank;Stembureau Mobiel stembureau verzorgingshuizen 1;Stembureau Mobiel stembureau verzorgingshuizen 2;Stembureau Stadskazerne;Stembureau Stadhuis;Stembureau Eudokiakerk;Stembureau De Hoeksteen;Stembureau Stadskazerne;Stembureau Stadhuis;Stembureau Eudokiakerk;Stembureau De Hoeksteen
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;12;13;14;15;16;17;18;19;20;21;23;24;25;26;27;28;29;32;33;34;35;101;106;112;121;201;206;212;221
Postcode;;;;;8261 CA;8261 EP;8262 CN;8262 DC;8261 LK;8261 DD;8265 VC;8262 WE;8265 WX;8265 BB;8265 DD;8265 KA;8278 BC;8264 DX;8265 RG;8265 TZ;8271 PS;8271 TT;8271 BB;8271 GB;8277 AA;8274 AN;8275 AH;8276 AG;8261 GC;8263 AH;8265 HZ;8265 RL;8271 JE;;;8261 CA;8261 DD;8265 DD;8271 GB;8261 CA;8261 DD;8265 DD;8271 GB
;opgeroepenen;;;42091;1587;1504;1370;1370;1535;1567;2393;1464;1543;2744;1409;1352;644;1621;1201;980;2713;1319;1371;2573;1370;725;632;611;1391;1431;1255;1158;1258;0;0;0;0;0;0;0;0;0;0
;geldige stempas;;;23037;673;500;561;644;682;781;717;668;541;979;569;538;367;757;644;672;939;604;747;1509;807;454;427;409;714;473;525;677;579;114;147;237;460;323;436;338;719;444;662
;geldig volmachtbewijs;;;2865;57;46;59;45;88;106;129;60;60;87;67;68;75;95;75;114;143;91;102;235;175;52;36;54;76;77;52;63;84;7;6;22;39;39;48;35;62;51;85
;geldige kiezerspas;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;toegelaten kiezers;;;25902;730;546;620;689;770;887;846;728;601;1066;636;606;442;852;719;786;1082;695;849;1744;982;506;463;463;790;550;577;740;663;121;153;259;499;362;484;373;781;495;747
;geldige stembiljetten;;;25808;728;537;615;687;765;883;843;727;599;1064;633;605;441;848;717;782;1072;691;848;1744;982;505;463;462;787;547;577;734;662;119;151;259;499;358;484;371;780;495;744
;blanco stembiljetten;;;50;1;7;4;0;3;2;3;1;2;1;2;0;1;1;2;0;6;2;0;1;0;0;0;1;1;1;1;5;0;0;0;0;0;1;0;0;0;0;1
;ongeldige stembiljetten;;;45;2;2;1;2;2;3;0;0;0;1;0;1;0;3;0;2;4;2;1;0;0;1;0;0;2;2;0;1;1;2;2;0;0;3;0;2;1;0;2
