Verkiezing;;Gemeenteraad Deventer 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Deventer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0150;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Stembureau Het Stadhuis;Stembureau Groote-en Voorster Gasthuis;Stembureau Buurthuis 't Hovenhuus;Stembureau Speeltuinvereniging De IJssel;Stembureau Woon- en zorgcentrum St.Jurriën;Stembureau Het Enkhuis;Stembureau Speeltuin De Driehoek;Stembureau Woon- en zorgcentrum De Bloemendal;Stembureau Wijkcentrum De Schalm;Stembureau Woonzorgcentrum Ludgerus;Stembureau Woon- en zorgcentrum Humanitas;Stembureau De Kroon;Stembureau De Finsehof;Stembureau Grand Café, Sint Jozef Verpleeghuis;Stembureau Huis van de Wijk;Stembureau Saxion Hogeschool;Stembureau Buurthuis Wijk 16;Stembureau Kunstcircuit Deventer;Stembureau SV Colmschate'33;Stembureau Openbare basisschool De Wiz@rd;Stembureau Gezondheidscentrum Spikvoorde;Stembureau De Vijf-er;Stembureau Gemeenschapshuis De Kuip;Stembureau Gebouw voetbalvereniging Helios;Stembureau Bej.centrum 't Dijkhuis;Stembureau Cultuurhuus Braakhekke;Stembureau Kulturhus De Spil;Stembureau Kulturhus Diepenveen;Stembureau Ons Centrum;Stembureau Brasserie De Lindeboom;Stembureau Atheneumbibliotheek;Stembureau Deventer Schouwburg;Stembureau Voetbalvereniging Sallandia;Stembureau Bij de Halte (voorheen Huize Corel);Stembureau Kindcentrum Olijfboom, gymzaal;Stembureau Tafeltennisvereniging Swift;Stembureau Etty Hillesum Lyceum - Het Vlier;Stembureau Stichting Masohi;Stembureau De Kei;Stembureau Koningskerk, ingang Van Hetenstraat;Stembureau Kindercentrum Rivierenwijk;Stembureau De Scheg 2;Stembureau Tapperij/Eethuis Hof van Colmschate;Stembureau De Scheg 1;Stembureau Boode;Stembureau Sporthal Uutvlog;Stembureau Sporthal Schalkhaar;Stembureau Voetbalvereniging Diepenveen;Stembureau Nieuw Sion;Stembureau Sporthal Keizerslanden;Stembureau Bibliotheek;Stembureau Eerste Deventer Montess.sch.;Stembureau Wijk- en Speeltuinvereniging De Zwolsewijk;Stembureau Stembus;Stembureau Het Stadhuis;Stembureau Buurthuis 't Hovenhuus;Stembureau Het Enkhuis;Stembureau De Finsehof (ingang Dapperstraat);Stembureau Kunstcircuit Deventer;Stembureau De Vijf-er;Stembureau Cultuurhuus Braakhekke;Stembureau Brasserie De Lindeboom;Stembureau Het Stadhuis;Stembureau Buurthuis 't Hovenhuus;Stembureau Het Enkhuis;Stembureau De Finsehof;Stembureau Kunstcircuit Deventer;Stembureau De Vijf-er;Stembureau Cultuurhuus Braakhekke;Stembureau Brasserie De Lindeboom;Stembureau Voetbalvereniging Sallandia;Stembureau Bij de Halte (voorheen Huize Corel);Stembureau Wijk- en Speeltuinvereniging De Zwolsewijk;Stembureau Voetbalvereniging Sallandia;Stembureau Bij de Halte (voorheen Huize Corel);Stembureau Wijk- en Speeltuinvereniging De Zwolsewijk
;geen verklaring;;;48;2;0;2;2;0;0;0;0;5;0;0;0;7;0;2;0;1;1;1;1;0;1;0;0;0;1;0;2;0;3;1;3;0;0;0;0;0;0;0;0;0;0;1;0;4;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;1;0;1;0;0;1;0;0;0
;andere verklaring;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;Gemeentebelang;;;8610;143;7;87;93;1;51;94;0;150;38;10;96;104;0;60;72;81;142;179;278;5;187;209;162;20;525;513;521;199;359;59;136;40;60;50;36;96;45;84;87;22;115;211;116;350;404;167;284;131;47;77;109;69;11;69;13;11;16;59;61;165;130;100;30;16;27;64;104;248;186;13;22;22;18;28;16
;;1;Grijsen, E.G.;4155;52;4;34;45;1;30;57;0;77;24;4;47;46;0;33;23;39;75;118;166;3;104;145;84;11;227;325;116;94;167;21;56;26;35;24;18;35;24;37;39;16;57;131;67;149;174;82;68;64;14;45;56;38;3;31;6;9;8;27;42;74;75;42;17;6;15;45;55;116;91;7;13;10;6;18;12
;;2;Smeenk, G.H.;693;3;0;5;3;0;1;2;0;18;1;2;12;9;0;1;5;1;8;7;11;0;10;8;4;0;3;6;262;2;9;6;7;2;7;2;1;14;1;3;13;1;8;2;7;3;22;4;127;2;3;5;10;4;4;6;0;1;1;4;2;1;4;2;0;1;0;1;5;3;2;2;2;0;2;1;2
;;3;Eltink, H.;627;42;1;23;14;0;6;9;0;14;1;4;5;21;0;4;15;19;10;17;29;1;19;22;18;0;1;4;8;0;6;11;30;5;5;4;6;16;8;9;9;1;17;20;13;1;4;5;3;0;2;12;12;13;0;13;4;0;2;12;7;0;0;21;4;2;5;2;13;2;5;1;6;3;1;4;1
;;4;Muilerman, C.H.;651;4;0;5;2;0;4;4;0;5;1;0;6;3;0;5;6;1;6;5;10;0;5;10;33;3;121;29;5;13;4;1;2;1;3;1;2;6;0;2;6;0;5;15;7;99;93;0;3;3;1;3;6;1;0;2;1;0;0;2;1;31;0;4;0;2;1;2;2;41;4;0;0;3;5;0;0
;;5;Vrielink e/v Trompert, L.J.A.;275;2;0;0;1;0;2;0;0;3;1;0;1;1;0;1;4;1;4;1;11;0;5;2;2;0;3;1;7;1;32;1;8;2;1;2;2;5;2;4;3;0;1;7;3;6;2;26;7;42;3;1;1;4;2;0;1;0;0;0;0;1;14;3;2;1;0;4;1;2;19;0;0;1;3;1;1
;;6;Roetert, A.;279;1;0;0;5;0;2;2;0;11;6;0;4;4;0;0;2;3;6;4;3;0;0;2;0;0;2;3;65;0;13;7;7;1;2;2;3;3;1;6;5;0;6;4;0;2;1;7;20;0;21;1;7;1;0;4;0;0;1;4;0;0;1;6;0;0;3;1;2;1;10;0;1;0;0;0;0
;;7;te Boekhorst, E.B.M.;571;19;1;10;16;0;1;6;0;7;0;0;5;3;0;8;13;7;11;9;24;0;15;7;10;0;28;136;8;13;17;9;5;0;1;7;3;1;2;11;4;2;11;7;4;9;17;12;5;6;2;3;5;1;0;1;1;1;0;5;6;5;4;5;5;4;2;2;8;7;12;0;0;0;0;2;0
;;8;Koot, A.M.;328;2;0;0;0;0;0;2;0;3;0;0;7;5;0;1;0;1;1;1;1;0;1;4;2;4;88;1;0;1;5;0;9;0;0;0;1;1;0;2;0;0;3;3;1;44;40;1;2;0;0;0;0;1;1;2;0;0;1;0;0;27;3;2;0;0;0;1;0;50;2;1;0;0;0;0;0
