Verkiezing;;Gemeenteraad Deventer 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Deventer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0150;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Stembureau Het Stadhuis;Stembureau Groote-en Voorster Gasthuis;Stembureau Buurthuis 't Hovenhuus;Stembureau Speeltuinvereniging De IJssel;Stembureau Woon- en zorgcentrum St.Jurriën;Stembureau Het Enkhuis;Stembureau Speeltuin De Driehoek;Stembureau Woon- en zorgcentrum De Bloemendal;Stembureau Wijkcentrum De Schalm;Stembureau Woonzorgcentrum Ludgerus;Stembureau Woon- en zorgcentrum Humanitas;Stembureau De Kroon;Stembureau De Finsehof;Stembureau Grand Café, Sint Jozef Verpleeghuis;Stembureau Huis van de Wijk;Stembureau Saxion Hogeschool;Stembureau Buurthuis Wijk 16;Stembureau Kunstcircuit Deventer;Stembureau SV Colmschate'33;Stembureau Openbare basisschool De Wiz@rd;Stembureau Gezondheidscentrum Spikvoorde;Stembureau De Vijf-er;Stembureau Gemeenschapshuis De Kuip;Stembureau Gebouw voetbalvereniging Helios;Stembureau Bej.centrum 't Dijkhuis;Stembureau Cultuurhuus Braakhekke;Stembureau Kulturhus De Spil;Stembureau Kulturhus Diepenveen;Stembureau Ons Centrum;Stembureau Brasserie De Lindeboom;Stembureau Atheneumbibliotheek;Stembureau Deventer Schouwburg;Stembureau Voetbalvereniging Sallandia;Stembureau Bij de Halte (voorheen Huize Corel);Stembureau Kindcentrum Olijfboom, gymzaal;Stembureau Tafeltennisvereniging Swift;Stembureau Etty Hillesum Lyceum - Het Vlier;Stembureau Stichting Masohi;Stembureau De Kei;Stembureau Koningskerk, ingang Van Hetenstraat;Stembureau Kindercentrum Rivierenwijk;Stembureau De Scheg 2;Stembureau Tapperij/Eethuis Hof van Colmschate;Stembureau De Scheg 1;Stembureau Boode;Stembureau Sporthal Uutvlog;Stembureau Sporthal Schalkhaar;Stembureau Voetbalvereniging Diepenveen;Stembureau Nieuw Sion;Stembureau Sporthal Keizerslanden;Stembureau Bibliotheek;Stembureau Eerste Deventer Montess.sch.;Stembureau Wijk- en Speeltuinvereniging De Zwolsewijk;Stembureau Stembus;Stembureau Het Stadhuis;Stembureau Buurthuis 't Hovenhuus;Stembureau Het Enkhuis;Stembureau De Finsehof (ingang Dapperstraat);Stembureau Kunstcircuit Deventer;Stembureau De Vijf-er;Stembureau Cultuurhuus Braakhekke;Stembureau Brasserie De Lindeboom;Stembureau Het Stadhuis;Stembureau Buurthuis 't Hovenhuus;Stembureau Het Enkhuis;Stembureau De Finsehof;Stembureau Kunstcircuit Deventer;Stembureau De Vijf-er;Stembureau Cultuurhuus Braakhekke;Stembureau Brasserie De Lindeboom;Stembureau Voetbalvereniging Sallandia;Stembureau Bij de Halte (voorheen Huize Corel);Stembureau Wijk- en Speeltuinvereniging De Zwolsewijk;Stembureau Voetbalvereniging Sallandia;Stembureau Bij de Halte (voorheen Huize Corel);Stembureau Wijk- en Speeltuinvereniging De Zwolsewijk
2;Partij van de Arbeid (P.v.d.A.);;;5449;165;8;137;206;13;110;177;0;199;32;7;92;99;1;60;95;125;138;136;223;6;107;121;87;4;48;26;178;11;118;100;143;41;55;107;65;140;45;80;108;32;77;143;133;34;29;35;69;13;36;80;99;67;16;69;21;25;32;42;48;33;42;118;33;37;36;84;83;33;69;15;25;38;21;36;33
;;1;de Geest, R.S.;2112;54;5;46;72;3;37;52;0;91;18;4;39;37;0;17;32;51;47;66;86;3;31;66;41;2;19;9;68;2;41;33;41;15;23;40;24;50;24;33;44;7;34;68;55;16;13;13;19;4;13;28;34;25;11;29;10;13;17;18;20;6;19;35;12;11;10;44;25;18;35;6;14;23;5;16;20
;;2;Leget, J.C.;1209;44;1;34;57;1;25;40;0;39;2;2;16;22;1;13;22;27;35;27;62;1;34;26;18;1;6;9;35;3;30;20;40;7;12;31;4;33;7;9;25;6;15;35;30;5;2;9;17;6;7;15;26;10;3;18;5;6;5;8;13;3;10;31;8;10;10;15;13;7;17;3;1;5;3;8;3
;;3;Eekhuis, T.M.;421;10;1;12;10;4;11;25;0;10;1;0;4;12;0;3;5;15;12;11;15;1;8;12;8;0;1;1;7;0;8;13;0;3;7;5;20;8;2;8;11;10;3;10;17;2;1;1;1;1;2;4;10;2;1;2;2;2;1;7;3;3;1;13;3;3;2;8;6;2;1;1;1;3;3;1;4
;;4;Varenbrink, P.;102;1;0;2;5;0;2;1;0;4;0;0;0;1;0;0;1;1;3;2;4;0;1;1;3;0;1;0;21;0;6;0;0;0;1;0;0;2;0;4;2;0;3;2;3;1;0;0;6;0;0;0;2;3;1;0;0;0;1;0;0;0;2;2;0;1;1;1;0;0;1;0;1;0;1;1;0
;;5;Visser, D.I.;304;9;0;25;14;0;4;8;0;11;0;0;5;5;0;3;7;8;5;9;9;0;4;3;5;0;12;1;5;2;6;9;10;2;3;8;0;6;2;2;6;1;1;3;1;5;3;4;1;0;0;9;6;6;0;2;3;1;0;2;2;10;0;5;4;0;2;4;5;1;4;0;1;0;5;4;1
;;6;Hoogenberg, S.;179;4;0;5;4;0;4;8;0;7;0;0;7;2;0;1;2;1;3;6;1;0;3;3;3;0;0;3;17;0;8;2;7;3;2;3;3;8;0;3;3;0;3;0;2;0;0;1;17;0;1;4;1;2;0;2;1;1;0;0;0;0;0;2;1;1;0;0;2;0;3;2;2;2;2;1;0
;;7;Aydin, B.;250;3;0;3;9;0;14;15;0;13;1;0;4;3;0;11;11;1;4;0;17;1;6;1;1;0;0;0;1;0;1;1;15;0;0;3;3;7;3;10;11;2;3;8;6;0;0;1;1;0;7;5;4;4;0;2;0;0;0;0;5;0;0;4;1;6;2;3;12;0;0;0;1;0;0;0;0
;;8;van den Berg, L.S.;151;8;0;1;7;0;0;7;0;3;1;0;0;2;0;4;4;2;9;1;5;0;2;4;2;0;0;1;6;0;3;2;9;0;2;3;2;9;1;3;2;1;3;0;5;0;0;3;2;0;0;1;2;0;0;4;0;0;3;1;3;2;3;3;2;0;1;0;6;0;0;0;0;1;0;0;0
;;9;de Noord, S.F.;11;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
;;10;Boonen, A.;18;1;0;0;1;0;1;0;0;0;0;0;0;1;0;1;1;5;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
;;11;Hoogendam, B.C.J.;5;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;12;Jeffrey, L.J.;91;3;0;1;1;0;0;4;0;1;0;0;2;2;0;1;1;1;12;3;3;0;3;0;0;0;0;0;1;0;4;0;3;0;2;1;0;2;1;0;1;1;6;2;8;0;0;0;2;0;0;0;1;1;0;1;0;0;0;0;0;0;0;1;0;0;2;5;4;0;2;1;0;0;0;0;1
;;13;Jonker, J.J.H.;16;1;0;2;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;;14;Breman, C.M.;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;4;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
;;15;Nijhuis, E.;55;5;0;0;2;0;1;5;0;1;0;0;2;0;0;0;2;0;2;0;5;0;1;0;0;0;1;0;0;0;2;0;0;1;1;1;2;1;0;0;1;0;0;3;1;0;0;0;0;0;0;0;5;0;0;1;0;0;1;1;1;0;1;1;0;0;0;1;1;0;2;0;0;0;0;0;0
;;16;Mondeel, M.;10;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;17;Brendel, P.J.M.;50;0;0;0;1;0;1;2;0;0;3;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;4;0;0;0;5;1;0;2;0;1;3;0;0;0;0;0;0;0;0;4;0;0;1;0;1;2;0;0;1;0;0;1;0;4;0;0;0;3;1;1;0;2;0;1
;;18;Heetebrij-Rietman, J.;44;1;0;0;2;0;0;2;0;0;1;0;0;0;0;0;0;3;1;0;1;0;0;1;0;1;5;0;0;0;1;0;0;0;0;0;2;0;0;1;0;0;0;0;0;4;5;0;0;0;0;0;0;0;0;1;0;0;0;0;0;6;0;1;0;0;0;0;1;4;0;0;0;0;0;0;0
;;19;Odé, A.W.M.;14;1;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0
;;20;Wiebinga, P.M.;17;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;5;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;1;1;0;0;0;0;1;1;0;0;0;0;0;0;0
;;21;Hermans, P.G.B.;16;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;1;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0;2;0;0;1;0;0;0;0;1;0
;;22;Yildirim, Ç;90;3;1;3;7;0;7;2;0;5;0;0;1;3;0;1;3;0;0;2;9;0;4;1;0;0;0;0;1;0;0;3;2;2;0;7;0;5;1;4;0;1;0;1;0;0;0;0;0;0;1;1;0;6;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0
;;23;Boom, H.M.;57;0;0;1;0;0;2;4;0;2;1;0;1;1;0;0;0;1;0;0;2;0;0;0;0;0;0;0;2;0;2;10;5;2;0;1;2;1;0;0;0;1;0;0;0;0;0;0;2;0;1;0;1;1;0;1;0;0;0;0;0;0;0;6;0;1;0;1;0;0;0;1;0;1;0;0;0
;;24;de Bree, T.A.;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;25;Spa, A.;102;11;0;1;3;1;1;1;0;4;1;0;2;3;0;1;2;5;3;0;0;0;1;1;2;0;0;1;2;0;1;5;6;0;1;2;0;2;1;2;0;0;0;2;2;0;0;0;0;0;1;7;1;3;0;3;0;0;1;0;0;1;1;2;0;1;1;0;4;0;0;0;0;2;0;3;1
;;26;Doornebos, B.J.;27;0;0;0;2;0;0;0;0;2;0;0;3;2;0;1;0;0;0;1;1;0;0;0;0;0;0;0;2;0;1;1;0;0;0;0;0;1;0;0;0;0;1;3;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;1
;;27;Fleskes, J.J.T.;30;1;0;0;0;0;0;0;0;5;0;0;3;1;0;0;1;0;1;0;1;0;5;1;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0
;;28;Kolkman, J.W.J.;54;2;0;0;1;4;0;0;0;0;3;0;1;1;0;0;1;4;1;3;0;0;1;1;1;0;0;0;1;0;3;0;1;2;1;1;1;0;0;1;0;0;1;0;0;0;0;2;1;0;2;1;1;0;0;1;0;0;1;1;1;0;0;3;0;1;0;0;2;0;0;0;0;1;0;0;0
3;VVD;;;3709;89;3;58;50;2;35;44;0;94;15;2;62;51;0;32;37;90;46;137;200;6;144;182;148;5;75;25;209;13;145;37;77;20;25;33;32;78;23;37;67;6;70;92;65;77;60;53;86;5;15;60;39;25;6;50;2;10;18;21;35;29;36;52;11;7;20;36;84;54;86;3;15;11;10;20;12
;;1;Donkers, B.J.;1906;34;2;32;22;2;14;15;0;64;9;2;27;21;0;10;21;47;29;68;100;6;69;96;68;5;50;14;100;8;69;14;34;5;12;14;15;38;15;17;18;4;38;54;30;46;39;29;54;4;9;26;18;13;2;24;2;5;14;12;19;19;14;26;7;3;10;23;43;36;52;3;7;10;6;12;7
;;2;Schol, W.K.;690;16;1;7;10;0;5;7;0;9;0;0;7;8;0;2;5;9;9;43;44;0;41;39;57;0;8;5;27;1;23;11;14;6;5;6;5;12;4;11;5;1;18;21;21;11;13;10;6;0;4;4;10;4;0;7;0;2;2;3;10;3;5;7;3;1;4;1;32;6;8;0;0;1;3;4;3
;;3;Zuijdam, R.W.;50;1;0;0;0;0;1;1;0;2;0;0;2;2;0;2;0;0;0;2;2;0;0;2;1;0;2;0;3;0;2;1;2;1;0;1;1;1;0;1;2;0;0;2;0;0;0;0;1;0;0;3;0;1;0;2;0;0;0;0;0;0;1;0;0;1;0;1;1;0;1;0;0;0;0;1;0
;;4;Sipman, E.M.L.;138;6;0;4;1;0;3;3;0;2;0;0;3;6;0;1;1;6;3;7;9;0;10;6;3;0;2;3;3;0;3;1;6;1;0;0;0;2;0;0;3;0;6;1;4;2;1;3;0;0;1;2;2;0;0;2;0;0;0;1;0;1;1;2;0;0;1;5;1;0;0;0;4;0;0;0;0
;;5;Korendijk, H.;78;1;0;0;0;0;0;1;0;3;0;0;3;0;0;0;0;1;0;2;1;0;0;4;9;0;9;0;1;1;1;0;0;4;0;0;0;0;0;0;1;0;1;0;0;8;3;0;1;1;0;2;0;1;0;2;0;0;0;1;1;0;1;1;1;2;0;1;0;4;5;0;0;0;0;0;0
;;6;Rosenkamp, R.P.;177;10;0;2;6;0;0;6;0;5;2;0;2;1;0;16;2;4;1;2;4;0;7;12;1;0;0;0;6;0;6;0;2;2;0;1;3;7;1;3;27;1;0;4;5;0;0;5;0;0;0;1;1;0;0;1;0;0;0;3;1;0;2;7;0;0;3;0;0;1;0;0;1;0;0;0;0
;;7;Hopman, E.H.;66;2;0;1;1;0;1;1;0;1;0;0;1;0;0;0;0;9;0;4;3;0;0;4;1;0;2;0;4;0;1;1;2;0;1;0;2;3;0;0;1;0;0;2;1;0;0;0;0;0;0;2;1;0;0;1;0;2;0;0;0;1;1;1;0;0;1;2;1;2;1;0;0;0;0;1;0
;;8;Maatman, S.;48;1;0;0;3;0;0;2;0;3;1;0;4;3;0;0;0;2;0;0;3;0;2;1;1;0;0;0;0;0;1;0;0;0;3;0;0;1;0;0;3;0;2;0;0;0;2;0;0;0;0;2;0;1;0;1;0;0;2;1;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0
;;9;Damoiseaux, D.H.J.M.;8;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;10;Brouwer, R.;127;1;0;0;0;0;2;0;0;1;0;0;1;2;0;0;1;0;0;2;7;0;5;0;1;0;0;0;52;0;6;3;3;0;0;0;1;4;0;0;1;0;0;0;0;1;0;1;17;0;0;1;0;1;2;4;0;1;0;0;2;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1
;;11;Dickmann, N.R.M.;16;0;0;0;1;0;0;0;0;0;0;0;1;2;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;2;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0
;;12;de Boer, P.;43;0;0;0;2;0;3;2;0;2;0;0;1;4;0;0;1;2;0;1;0;0;2;3;0;0;0;2;0;0;0;0;0;1;0;1;2;0;0;1;2;0;4;0;2;0;0;0;0;0;0;2;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;13;Groenewold, R.G.;7;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;14;den Exter van den Brink, C.G.;13;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
;;15;Jellema, H.W.F.;14;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;2;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
;;16;Westerbeek-Spin, B.J.Th.;44;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;2;0;0;0;0;4;0;15;1;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;1;6;0;0;0;0;0;0
;;17;Zijl, J.P.;8;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;18;Rosenkamp-Rolloos, M.E.;7;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0
;;19;Hartong, L.W.G.;25;0;0;2;1;0;1;1;0;2;0;0;0;0;0;0;0;0;0;1;0;0;3;2;0;0;0;0;0;0;0;0;2;0;1;0;0;1;0;0;0;0;0;0;0;0;0;2;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0
;;20;Klein Lebbink, G.M.;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;1;1;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;2;1;0;0;0;0;0;0
;;21;Beker, M.G.W.;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;2;0;0;0;0;0;0
;;22;Kleine Schaars, M.B.M.;99;8;0;6;0;0;0;3;0;0;1;0;4;0;0;0;5;4;0;2;4;0;2;1;5;0;0;0;2;0;2;4;3;0;2;4;0;2;0;2;0;0;1;1;0;0;1;0;4;0;0;7;2;2;0;1;0;0;0;0;1;0;0;2;0;0;1;1;1;0;6;0;0;0;1;1;0
;;23;Mulders, B.M.;78;4;0;1;0;0;3;0;0;0;0;0;5;1;0;1;0;2;0;3;11;0;1;6;0;0;1;0;2;0;10;0;2;0;0;1;1;1;2;2;1;0;0;1;1;1;1;3;1;0;0;1;1;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;1;0;2;0;0;0;0;0;0
;;24;Ledeboer, D.A.;38;0;0;0;0;0;1;1;0;0;2;0;0;1;0;0;0;1;0;0;5;0;1;1;0;0;0;0;0;0;3;0;3;0;0;1;0;1;0;0;1;0;0;2;1;0;0;0;0;0;0;4;0;0;0;4;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;1
4;GROENLINKS;;;6010;247;8;202;284;2;132;204;0;98;4;1;73;148;1;61;142;106;112;107;186;6;136;105;55;0;54;58;326;17;184;159;282;39;69;172;59;93;26;89;132;27;57;78;76;33;20;39;94;23;32;151;129;59;8;107;31;38;36;38;49;6;38;214;35;33;52;50;59;34;52;3;20;14;15;61;20
;;1;van der Meulen, T.;1462;42;4;39;45;1;30;36;0;33;1;0;26;26;1;12;21;19;29;39;44;5;39;31;20;0;14;9;147;5;33;35;34;10;20;34;17;24;12;22;24;8;11;24;25;12;8;15;46;7;9;22;26;13;4;28;7;9;9;15;15;3;13;41;6;6;12;11;13;14;20;2;3;0;3;11;8
;;2;Zegel-van Tiel, A.G.;1563;48;2;53;84;1;40;63;0;18;2;1;17;47;0;12;32;24;33;27;60;0;45;30;20;0;16;10;71;2;49;41;79;11;19;43;18;19;3;22;24;7;16;25;21;11;4;9;15;3;5;43;45;14;1;23;7;14;9;7;12;1;5;55;15;9;11;16;14;9;14;0;11;6;4;11;5
;;3;van der Meer, A.;1247;75;2;56;66;0;29;57;0;27;1;0;12;40;0;9;39;15;20;14;32;0;25;19;6;0;6;7;51;0;33;33;74;7;12;27;12;14;7;20;37;5;11;14;19;5;2;3;17;4;6;27;22;10;1;23;8;8;5;9;5;0;7;59;6;6;17;16;17;5;3;1;5;2;1;9;5
;;4;Jansen, R.J.O.;83;12;0;4;2;0;4;0;0;0;0;0;2;0;0;1;1;16;0;1;2;0;0;2;0;0;0;0;3;0;0;7;3;0;1;4;0;1;0;2;2;0;0;1;1;0;0;0;1;0;0;1;3;0;0;0;1;0;0;0;0;0;2;2;0;0;1;0;0;0;0;0;0;0;0;0;0
;;5;van Wilgen, I.S.;526;26;0;16;33;0;12;21;0;13;0;0;6;7;0;15;16;12;7;7;14;1;5;4;1;0;3;0;21;1;12;14;32;3;6;20;4;14;2;10;15;4;3;4;5;2;2;1;3;0;5;19;14;4;0;10;1;2;7;3;3;0;2;22;2;4;5;4;4;0;3;0;0;2;5;7;1
;;6;van Straaten, J.B.;114;9;0;3;3;0;1;1;0;0;0;0;0;1;0;3;4;3;4;3;5;0;2;1;0;0;1;2;7;0;5;2;5;0;1;2;2;3;0;1;8;0;3;1;0;1;3;0;0;3;0;4;1;0;0;3;2;0;0;0;2;0;1;3;0;0;1;0;2;0;0;0;0;0;0;2;0
;;7;van Knippenberg, J.M.M.;16;1;0;0;1;0;1;3;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;3;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
;;8;Melikoğlu, O.;163;6;0;4;4;0;2;5;0;2;0;0;1;4;0;6;3;2;0;3;5;0;3;6;1;0;0;0;6;0;10;2;11;2;2;4;1;5;2;1;6;1;6;2;0;0;0;2;0;1;4;9;2;1;0;0;0;1;4;0;2;0;0;7;0;1;2;0;1;1;3;0;0;0;0;4;0
;;9;Diepenhorst, J.A.;45;1;0;1;1;0;1;0;0;0;0;0;0;4;0;0;1;0;0;4;0;0;1;0;0;0;0;0;1;0;0;2;3;0;0;2;0;0;0;0;0;0;1;1;0;0;0;1;0;0;1;0;1;1;1;6;0;2;0;0;0;0;0;4;0;0;0;0;0;1;2;0;0;1;0;0;0
;;10;Leefmans, S.M.;237;7;0;13;18;0;2;10;0;2;0;0;1;4;0;2;4;9;5;4;14;0;3;1;2;0;0;0;4;0;7;10;17;1;1;13;1;4;0;5;7;2;2;2;0;0;0;0;3;2;1;6;2;7;0;7;0;2;0;1;4;0;1;9;1;3;1;1;2;0;1;0;0;1;0;4;1
;;11;Thijssen, R.C.;19;0;0;2;0;0;1;0;0;0;0;0;0;3;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;3;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;2;0
;;12;Frelier, M.M.;67;3;0;2;6;0;1;1;0;0;0;0;1;0;0;0;1;0;4;1;0;0;2;2;1;0;7;1;1;3;0;3;2;0;1;2;0;0;0;1;1;0;0;0;0;1;1;1;3;0;1;1;0;1;0;0;1;0;0;0;1;1;1;2;1;0;0;0;1;1;1;0;0;0;1;0;0
;;13;Bussink, M.A.J.;82;0;0;0;3;0;0;1;0;0;0;0;0;0;0;0;3;2;2;0;0;0;0;3;0;0;5;28;2;5;3;2;0;1;0;1;0;2;0;0;0;0;0;1;2;1;0;0;0;0;0;3;0;1;0;0;0;0;0;3;0;0;1;1;0;1;0;1;1;2;0;0;0;1;0;0;0
;;14;Le Net-van Bruggen, A.P.;71;7;0;2;1;0;1;1;0;0;0;0;1;2;0;0;1;0;0;3;0;0;3;0;0;0;0;0;1;0;0;2;2;2;0;4;3;1;0;2;0;0;1;1;1;0;0;1;2;0;0;0;8;1;0;1;2;0;1;0;2;0;0;1;0;0;1;0;1;0;1;0;0;0;0;7;0
;;15;Slot, B.J.M.;11;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0
;;16;Haven, A.;104;8;0;1;6;0;4;3;0;1;0;0;2;6;0;1;8;2;2;0;2;0;1;0;0;0;0;0;2;0;5;1;11;1;3;5;0;2;0;0;3;0;0;0;0;0;0;0;1;1;0;4;1;3;0;0;1;0;1;0;2;0;2;3;0;1;0;0;0;0;1;0;1;0;1;1;0
