Verkiezing;;Gemeenteraad Raalte 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Raalte;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0177;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Gemeentehuis raadzaal (Raalte);Gemeentehuis trouwzaal (Raalte);Swaenewoerd (Raalte);Spelzaal Kwintijn (Raalte);Dorpshuis Lierderholthuis;Tent Raalte Zuid;Helpende Handen (Raalte);Hotel Inn Salland (Raalte);Gymzaal het Raan (Raalte);De Noaber/Schuilenburg (Raalte);Hoftheater (Raalte);Elckerlyc (Luttenberg);De Schalm (Mariënheem);De Belte (Nieuw Heeten);KulturhusTrefpunt (Heeten);Sporthal Heeten (Heeten);Café De Hoppe (Broekland);Dorpshuis het Trefpunt (Laag Zuthem);De Veldhoek (Heino);Bij Ne9en (Heino);Dorpshuus Heino;Sporthal Hoogerheyne (Heino);Het Wooldhuis (Heino);Gemeentehuis raadzaal (Raalte);Elckerlyc (Luttenberg);KulturhusTrefpunt (Heeten);Café de Hoppe (Broekland);Dorpshuus Heino;Gemeentehuis raadzaal (Raalte);Elckerlyc (Luttenberg);Stembureau KulturhusTrefpunt (Heeten);Café de Hoppe (Broekland);Dorpshuus Heino;Mobiel stembureau (meerdere plaatsen);Mobiel stembureau (meerdere plaatsen);Mobiel stembureau (meerdere plaatsen)
;;12;Smook, M.H.;56;1;0;2;1;0;1;0;0;5;1;1;1;1;1;0;0;0;0;7;14;5;4;0;2;0;0;0;0;0;0;0;0;8;0;0;1
;;13;Galama, A.J.;7;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;14;Bennink, A.;27;0;0;0;1;0;0;0;0;1;2;3;18;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;15;Guldemond-Jacobs, K.D.;84;0;2;2;1;0;0;0;1;3;0;1;0;0;0;1;2;53;0;0;0;0;0;0;2;1;2;2;0;0;0;0;11;0;0;0;0
;;16;Maatman, E.A.;32;1;0;0;2;0;1;1;0;4;1;0;16;1;1;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0
;;17;Overmars, H.W.M.;109;3;1;0;0;3;4;1;2;3;0;0;3;6;1;1;6;61;1;1;0;1;1;0;0;0;0;3;0;1;0;2;4;0;0;0;0
;;18;Kiekebosch, J.A.M.;29;2;0;2;2;0;0;3;1;3;4;2;0;0;0;2;0;0;0;0;1;0;0;0;2;0;0;0;0;5;0;0;0;0;0;0;0
;;19;Fidom, R.G.;24;0;2;0;2;0;0;3;1;2;4;4;0;0;0;3;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0
;;20;Ruiter, J.F.M.;13;2;1;0;2;0;0;0;0;3;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0
;;21;Groenewegen, G.S.;7;0;2;0;1;0;0;0;1;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;22;Verhoef, M.C.;81;1;0;1;0;0;0;1;1;4;0;2;54;1;0;0;0;0;0;0;0;1;0;0;0;6;0;0;0;0;9;0;0;0;0;0;0
;;23;Grabijn, R.;9;1;1;0;2;0;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;;24;Hoogeslag, M.J.;95;0;3;0;3;0;0;0;0;0;2;0;0;0;2;46;28;0;0;0;0;0;1;0;0;0;8;0;0;0;0;2;0;0;0;0;0
;;25;van den Berg, H.;8;0;0;0;3;0;0;1;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;26;Guldemond, A.J.;24;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;1;12;0;0;0;0;0;0;1;0;0;0;0;1;0;0;6;0;0;0;0
;;27;Reinders, S.M.E;7;0;1;0;1;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;;28;Huls, C.S.M.;5;0;1;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;29;Logtenberg, E.H.J.;28;0;0;0;1;3;0;0;0;0;0;1;0;0;1;0;2;1;0;5;5;3;4;0;1;0;0;0;0;0;0;1;0;0;0;0;0
;;30;Zielman, G.A.;40;1;1;0;0;1;0;2;0;0;7;0;2;3;0;0;0;0;11;0;2;2;2;0;4;0;0;0;0;0;2;0;0;0;0;0;0
;;31;Wagenmans, W.J.M.;65;1;1;2;0;1;1;3;1;5;0;2;2;1;5;12;14;1;1;1;0;0;1;0;1;0;5;0;1;2;0;1;0;0;0;0;0
2;CDA;;;3281;115;128;123;135;31;165;112;69;170;80;98;239;109;156;204;146;151;62;84;96;89;89;18;99;27;37;8;30;168;77;62;21;51;9;11;12
;;1;Toeter - Aalderink, G.H.;1382;60;67;72;68;13;101;70;34;109;47;56;20;58;19;48;50;53;34;15;41;38;31;17;49;0;14;1;16;113;7;20;5;19;5;6;6
;;2;van Loevezijn, J.G.S.J.;261;5;6;4;3;1;0;6;1;6;4;5;1;2;2;92;66;2;4;4;2;1;2;0;2;0;11;0;0;4;0;21;0;1;0;0;3
;;3;Booijink, A.;324;23;21;23;31;0;32;19;12;10;13;8;1;9;4;10;0;33;0;1;1;3;2;0;28;0;2;2;1;26;0;2;4;2;0;1;0
;;4;Neimeijer, J.G.M.;312;0;5;1;1;17;2;1;5;4;0;9;10;9;1;4;9;3;11;62;40;33;39;1;2;1;4;0;10;0;3;2;0;21;2;0;0
;;5;van der Woude, R.G.J.;182;12;18;16;17;0;13;9;6;27;9;15;0;0;1;0;1;3;0;0;1;0;2;0;11;0;0;0;0;17;0;0;1;0;0;3;0
;;6;Schuurkamp, T.;127;0;1;0;2;0;0;0;0;0;0;0;0;1;119;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;3
;;7;Scholten, M.E.M.;332;2;0;0;0;0;1;0;2;1;3;0;200;17;2;2;0;0;3;0;2;0;0;0;3;26;0;0;0;0;65;1;0;0;1;1;0
;;8;Tijs, A.J.M.;101;1;0;1;1;0;7;1;1;0;0;0;0;1;8;40;17;0;0;0;0;1;2;0;0;0;4;0;0;1;0;15;0;0;0;0;0
;;9;Horst, T.;40;0;0;0;0;0;2;0;1;0;0;0;3;1;0;1;0;0;4;2;5;9;4;0;0;0;0;0;1;0;0;0;0;7;0;0;0
;;10;Valpoort, E.D.;8;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;11;Grijpma, J.C.A.M.;8;1;3;0;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;12;Kleine Staarman, A.M.;11;1;0;0;1;0;1;0;0;2;2;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0
;;13;Elshof, J.W.L.;85;1;1;0;1;0;2;1;2;1;0;0;0;1;0;0;0;56;0;0;1;0;1;0;0;0;0;5;0;1;0;0;11;0;0;0;0
;;14;Temmink, G.E.M.;22;3;3;3;2;0;0;0;1;2;2;4;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0
;;15;Schokker, M.;21;1;0;0;0;0;0;0;0;3;0;0;0;0;0;2;3;0;0;0;2;3;4;0;0;0;0;0;1;0;0;1;0;0;1;0;0
;;16;Freriks, F.J.;4;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;17;Brinkhuis, J.A.;6;0;2;1;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;18;Tuten - Hogeboom, H.;27;3;1;1;1;0;0;1;2;1;0;1;2;1;0;3;0;0;3;0;1;0;1;0;2;0;1;0;0;2;0;0;0;0;0;0;0
;;19;Wichink Kruit, F.M.;6;0;0;0;3;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;;20;Koggel - Alferink, H.G.M.;8;0;0;1;0;0;1;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0
;;21;Bulstra, J.;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;22;Assink, D.;7;0;0;0;0;0;2;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0
;;23;van Voorst tot Voorst, S.E.;6;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
3;BurgerBelangen;;;4677;171;136;153;221;79;182;212;110;349;210;259;58;264;22;110;97;75;124;209;307;282;334;2;111;12;26;5;89;225;22;24;13;145;11;22;6
;;1;Nijboer, B.J.M.;1984;68;59;55;65;24;98;79;41;119;84;78;27;29;10;26;27;30;24;108;199;167;181;0;49;8;8;2;58;102;11;10;10;102;5;17;4
;;2;van der Heide - van der Kolk, S.M.L.;545;43;23;25;70;4;39;38;11;82;38;41;1;5;3;7;7;10;4;7;8;9;5;0;17;2;1;1;3;33;1;1;0;3;2;1;0
;;3;Lammers, H.L.H.;404;11;11;14;16;1;11;2;11;11;15;11;17;216;2;4;5;3;1;1;1;0;2;0;6;2;0;0;1;19;8;1;0;0;0;0;1
;;4;Terlouw, G.;186;7;6;11;12;0;4;17;7;41;16;17;1;5;2;3;1;1;1;0;0;0;2;0;8;0;0;0;1;20;1;1;0;0;1;0;0
;;5;Brinkhuis, M.E.;109;1;2;3;3;0;2;2;1;0;2;1;0;1;0;1;0;2;1;11;14;12;29;1;1;0;0;0;9;0;0;0;0;10;0;0;0
;;6;van Savoijen, P.C.;75;0;0;0;1;0;0;0;4;1;1;1;1;0;0;1;0;0;59;0;2;0;2;1;0;0;0;0;0;0;0;0;0;1;0;0;0
;;7;Bongertman, J.F.;131;6;9;13;4;1;6;10;6;22;12;24;1;0;0;2;0;0;0;0;0;2;0;0;5;0;0;0;1;4;0;0;0;1;0;2;0
;;8;Holterman, D.J.W.;177;4;1;3;2;1;1;1;2;0;0;1;1;3;0;1;0;4;3;11;30;24;60;0;0;0;1;0;11;1;0;0;0;10;1;0;0
;;9;Schutte, M.H.J.;61;2;0;3;3;0;1;2;1;7;8;3;1;0;0;1;0;15;0;0;0;1;2;0;4;0;0;2;0;3;0;0;2;0;0;0;0
;;10;Gootjes, T.;17;4;1;0;2;0;0;0;3;1;1;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
;;11;Kock, B.W.A.M.;23;1;0;0;1;0;0;0;3;9;1;2;0;1;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
;;12;Haverkamp, L.L.;87;4;7;4;4;0;5;11;3;6;5;16;2;1;0;6;0;1;1;0;0;0;0;0;4;0;2;0;0;5;0;0;0;0;0;0;0
;;13;Oostewechel, S.M.;126;0;0;1;1;0;0;0;0;2;0;0;0;1;3;47;47;1;0;0;0;0;0;0;0;0;13;0;0;0;0;10;0;0;0;0;0
;;14;van Dijk - van Leeuwen, A.N.G.;79;3;5;4;5;0;1;6;0;9;5;25;1;0;0;1;1;0;0;0;0;2;3;0;1;0;0;0;0;4;0;1;1;1;0;0;0
;;15;Hofhuis, W.G.H.;65;0;0;1;1;2;0;2;0;1;0;3;1;0;0;1;1;1;3;22;10;8;6;0;0;0;0;0;0;0;0;0;0;1;1;0;0
;;16;Hiddes - Nieuwenhuis, I.L.;32;3;0;0;1;0;1;2;0;8;3;9;0;0;0;1;1;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0
;;17;Reimert, T.G.;102;0;0;1;1;7;0;2;1;3;0;3;1;1;0;0;1;2;1;23;14;18;19;0;0;0;0;0;0;0;0;0;0;4;0;0;0
;;18;Geerts - Ruiter, G.J.M.G.;20;0;0;3;0;1;0;2;2;0;2;0;0;0;1;0;0;1;1;0;0;0;0;0;1;0;0;0;0;3;1;0;0;0;0;2;0
;;19;Schotman, J.A.G.;86;5;2;3;15;0;5;20;6;0;3;5;0;0;0;0;2;1;0;0;0;1;4;0;4;0;0;0;0;10;0;0;0;0;0;0;0
;;20;Kanters, B.C.M.;37;0;1;0;0;0;0;0;0;4;0;3;0;0;0;6;0;0;0;4;5;7;0;0;2;0;0;0;1;2;0;0;0;2;0;0;0
;;21;Jansen, A.;11;1;0;0;0;0;0;0;5;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0
;;22;Vloedgraven, G.M.G.;26;2;0;3;5;0;1;3;0;2;1;1;0;1;0;0;1;0;0;0;0;0;0;0;5;0;1;0;0;0;0;0;0;0;0;0;0
;;23;Oortwijn, G.J.M.;14;0;0;1;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;6;1;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0
;;24;Hartholt, J.J.G.;35;0;0;0;1;22;0;0;0;0;0;0;1;0;0;1;0;0;1;0;2;4;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1
;;25;Nijboer, H.T.A.;31;2;2;3;2;0;4;3;0;6;2;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0
;;26;Lozeman, H.;22;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;6;3;7;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0
;;27;Kloppenberg, H.H.M.;18;0;0;0;0;13;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;;28;Ogink, H.A.;15;0;1;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;4;1;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;29;Pijnacker, I.M.;37;2;2;0;1;0;2;4;1;4;2;11;0;0;0;0;0;0;0;0;0;0;3;0;1;0;0;0;0;3;0;0;0;1;0;0;0
;;30;Koning, J.W.;10;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;3;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;31;Schrijver - Klein Hofmeijer, M.H.J.;20;1;2;1;1;0;0;4;0;4;3;0;0;0;0;1;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
;;32;Hekking, M.T.M.;57;1;0;1;0;0;0;2;1;1;2;3;0;0;0;0;0;0;1;12;5;14;7;0;0;0;0;0;2;0;0;0;0;5;0;0;0
;;33;Eikelboom, W.J.;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;34;van Dongen, W.A.M.;15;0;1;0;1;0;1;0;0;2;4;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;4;0;0;0;0;0;0;0
4;VVD;;;1942;123;63;60;82;27;118;73;62;115;109;171;63;100;23;76;43;64;21;58;51;46;84;0;57;2;8;5;21;121;13;19;6;43;7;7;1
;;1;Kreule, A.H.;709;46;22;22;27;11;59;46;28;44;40;55;18;13;10;26;11;31;7;16;14;14;25;0;27;1;2;1;9;48;6;4;2;18;4;2;0
;;2;Engelsman, E.;176;4;2;6;2;5;13;1;3;9;8;7;3;3;4;8;5;4;0;17;5;11;21;0;3;1;1;0;3;10;0;2;2;11;1;1;0
;;3;Melenhorst, D.G.B.;280;24;14;11;11;4;14;5;13;35;17;37;6;6;5;3;3;5;2;8;5;7;11;0;6;0;2;0;0;16;0;4;0;3;2;1;0
;;4;Jansen, R.T.J.;115;13;11;2;14;0;7;4;4;7;12;26;0;0;0;0;0;2;0;0;0;0;0;0;2;0;1;0;0;9;0;0;1;0;0;0;0
;;5;Hoogkamer, P.P.;47;1;0;0;0;0;2;0;4;1;4;2;0;1;0;0;0;0;0;2;10;4;8;0;0;0;0;0;1;2;0;0;0;5;0;0;0
;;6;Tutert, R.R.C.;76;2;2;2;2;0;3;5;1;0;1;2;1;33;1;0;2;5;0;0;0;1;1;0;3;0;0;0;0;8;1;0;0;0;0;0;0
;;7;Kanters, E.P.M.;22;1;0;0;0;2;0;1;0;1;0;0;0;0;0;0;0;0;0;6;3;3;2;0;0;0;0;0;1;1;0;0;0;1;0;0;0
;;8;Hintzen, C.A.;34;2;1;1;1;4;1;1;1;0;0;2;0;0;0;1;0;1;11;2;0;0;0;0;0;0;0;2;0;1;0;0;0;2;0;0;0
;;9;de Lange, J.R.;23;1;0;0;1;0;2;1;1;0;1;11;0;0;0;0;1;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0
;;10;van 't Klooster, A.C.;21;1;0;0;0;0;1;1;1;2;0;3;0;0;0;0;0;0;0;3;1;2;0;0;1;0;0;0;1;2;0;1;0;1;0;0;0
;;11;Schuring, R.P.;42;1;0;0;0;0;0;0;0;0;0;0;31;4;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0
;;12;Gerner, E.M.;75;2;2;3;6;0;3;1;0;1;5;2;1;35;1;0;1;0;0;0;2;0;0;0;3;0;0;1;0;5;0;0;0;0;0;1;0
;;13;van der Vegte, E.J.M.;76;1;1;0;0;0;0;0;0;0;0;1;2;0;1;36;20;1;0;0;1;0;0;0;1;0;2;0;0;0;0;8;0;0;0;0;1
;;14;Tutert, W.A.;18;3;0;0;0;0;1;0;1;0;1;0;1;1;0;0;0;5;0;0;0;0;1;0;1;0;0;1;0;1;0;0;0;0;0;1;0
;;15;Kogelman, B.H.M.;9;2;0;0;0;0;1;0;1;0;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;16;Klinkert, M.W.;11;2;0;0;2;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;1;0
;;17;Moser, M.J.;9;0;0;2;1;0;0;0;0;1;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;18;Rabelink, M.T.J.W.;53;2;3;6;3;0;6;2;2;2;7;2;0;3;0;0;0;1;0;1;0;1;0;0;4;0;0;0;0;8;0;0;0;0;0;0;0
;;19;Broekhof, J.M.;7;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0
;;20;Wilpshaar, H.J.;6;3;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;21;Reimert, J.P.;4;1;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;22;Jonkman, B.J.;14;0;0;0;4;0;1;1;0;1;0;4;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;23;Molenaar, T.;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0
;;24;Arends, W.;7;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0
