Verkiezing;;Gemeenteraad Rijssen-Holten 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Rijssen-Holten;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;1742;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Gemeentehuis Rijssen;Gemeentehuis maandag;Gemeentehuis dinsdag;Open Hof;Het Parkgebouw;Het Parkgebouw maandag;Het Parkgebouw dinsdag;Gebouw Schietvereniging;Sion;Gymnastieklokaal Welleweg;Willem-Alexanderschool;voormalige basisschool de Salto;De Hoeksteen;Sporthal de Stroekeld;Kulturhus Holten;Kulturhus Holten maandag;Kulturhus Holten dinsdag;Sporthal 't Mossink (voorheen Diessenplas);Kulturhus Dijkerhoek;Gymnastieklokaal Lageweg;Sporthal 't Mossink (voorheen Haarschool);De Tabernakel;Mobiel Stembureau dinsdag;De Ark;De Ark maandag;De Ark dinsdag
;minder stembiljetten dan toegelaten kiezers;;;5;4;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;kiezers met stembiljet hebben niet gestemd;;;5;4;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te weinig stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te veel stembiljetten uitgereikt;;;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
;geen verklaring;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;andere verklaring;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;Staatkundig Gereformeerde Partij (SGP);;;5909;440;150;309;336;321;68;132;403;420;506;385;448;373;464;25;8;11;9;10;13;9;494;68;204;114;189
;;1;Scheppink, A.J.;3175;236;96;179;188;150;34;68;224;234;292;226;254;194;226;17;7;7;3;6;9;7;221;62;85;61;89
;;2;Beens, B.;805;46;17;25;44;40;8;12;46;54;65;45;41;45;69;2;0;0;4;1;4;0;130;1;39;17;50
;;3;Bosma, E.G.;633;64;9;38;41;29;10;15;52;42;61;42;55;39;44;0;1;0;0;1;0;0;48;0;24;6;12
;;4;Noeverman, J.;52;1;2;2;4;4;1;0;4;2;1;0;0;3;2;0;0;0;0;1;0;0;8;0;11;2;4
;;5;Jansen, R.;130;16;0;8;7;17;2;0;6;9;9;3;7;4;15;0;0;1;0;0;0;0;15;1;4;4;2
;;6;Reterink, J.W.;102;5;2;3;9;11;2;4;1;13;5;6;8;8;10;0;0;0;1;0;0;0;7;0;1;3;3
;;7;Haase, A.S.;98;3;0;11;2;3;0;3;5;11;13;6;4;8;13;0;0;1;0;1;0;1;5;2;5;1;0
;;8;Rietman, J.E.;81;4;6;3;4;15;0;2;5;3;0;7;2;11;5;0;0;0;0;0;0;0;10;0;0;4;0
;;9;Voortman, A.J.;160;10;1;5;4;11;2;8;10;11;8;5;13;3;18;0;0;2;1;0;0;0;18;0;12;6;12
;;10;ter Harmsel, W.J.;70;8;3;1;2;2;0;1;2;2;5;1;7;4;18;0;0;0;0;0;0;0;4;0;3;0;7
;;11;Nieuwenhuis, J.G.;41;3;0;4;3;0;0;0;7;5;6;6;2;2;1;1;0;0;0;0;0;0;1;0;0;0;0
;;12;Jansen, A.J.F.;80;0;2;9;7;3;0;4;3;3;8;8;5;17;6;0;0;0;0;0;0;0;2;0;2;0;1
;;13;Ligtenberg, J.;24;4;0;0;5;2;0;1;0;0;1;3;2;0;0;0;0;0;0;0;0;0;3;0;3;0;0
