Verkiezing;;Gemeenteraad Steenwijkerland 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Steenwijkerland;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;1708;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Gemeentehuis;Gemeentehuis;Gemeentehuis;MFC de Zuidwester;De Meenthe;De Meenthe;De Meenthe;sporthal 't Ravelijn;Wijkgebouw De Gagels;De Meenthehof;Sportcomplex de Waterwyck I;Sportcomplex de Waterwyck II;MFC et Kloniehuus;Dorpshuis Onna;Club Smithy's;Racket & Fitnesscentrum Steenwijk;MFC Hoogthij;Dorpshuis Kallenkote;De Burght I;De Burght I;De Burght I;De Burght II;Dorpshuis Sint Janskamp;Gereformeerde Kerk Vrijgemaakt;Dorpshuis de Zandbelt;De Wanne;De Wanne;De Wanne;De Buuzepolle;Kulturhus;MFC De Ploats;Zalencentrum Dalzicht;Zalencentrum Dalzicht;Zalencentrum Dalzicht;De Landerijen;Dorpshuis De Slinger;Kalenberger Gemeenschapshuis;Streekcentrum de Wielewaal;Dorpshuis De Botter;Dorpshuis De Botter;Dorpshuis De Botter;Dorpshuis De Skulpe;Dorpshuis Dwarsgracht
;geen verklaring;;;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;andere verklaring;;;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;BuitenGewoon Leefbaar (BGL);;;5339;67;93;176;158;77;92;164;108;163;178;236;69;204;112;119;307;487;38;21;39;110;77;55;38;129;13;28;94;151;178;166;78;158;411;310;137;44;98;8;8;72;35;33
;;1;Bus, A.G.;1593;22;32;57;56;22;35;61;39;55;53;85;25;69;36;33;94;80;10;4;16;23;20;10;11;6;1;3;8;26;38;43;32;57;144;130;44;16;35;4;4;27;16;11
;;2;ten Berge, M.A.T.;616;11;15;19;27;14;23;17;12;22;31;32;13;40;8;8;49;121;5;1;0;7;6;7;3;3;1;1;2;11;8;13;3;6;14;13;12;7;14;0;0;11;4;2
;;3;Ruitenberg, H.;196;0;6;8;2;0;0;4;3;2;2;2;1;11;10;14;12;11;4;0;0;1;0;0;1;2;2;1;1;40;22;6;0;1;2;3;0;1;18;0;0;1;0;2
;;4;Smit, M.;432;1;0;10;2;1;0;7;2;1;3;5;3;17;0;1;16;20;1;2;0;0;0;0;0;0;0;0;1;4;2;3;23;43;147;63;41;4;8;0;0;1;0;0
;;5;Haveman-Regeling, C.;187;6;6;7;9;1;8;7;2;16;22;18;3;6;27;0;7;1;2;2;0;2;0;1;0;1;0;0;1;2;4;4;0;1;1;2;0;4;4;0;0;6;4;0
;;6;Daan, B.;434;7;7;18;8;10;7;8;3;10;9;13;7;17;4;16;44;201;3;0;0;0;1;2;0;0;0;0;0;1;2;1;4;3;8;12;0;5;2;0;0;1;0;0
;;7;Keizer, R.;221;5;10;18;18;12;9;16;16;23;20;32;7;2;6;3;12;3;0;0;2;0;0;1;0;0;0;0;1;0;2;1;0;0;0;0;0;0;1;0;0;0;1;0
;;8;Holterman, T.;195;2;1;7;4;3;1;6;2;4;2;4;0;5;0;1;5;3;0;0;0;0;0;0;1;1;8;17;51;18;46;1;0;0;1;0;0;0;0;0;0;0;0;1
;;9;Mooiweer, G.;95;0;0;0;0;0;1;3;1;2;0;0;0;0;2;1;3;0;0;2;9;19;12;15;11;1;0;2;0;0;1;8;0;0;0;0;0;1;0;1;0;0;0;0
;;10;Klein Wolterink, T.G.;47;1;3;0;1;0;0;1;0;2;1;2;2;1;1;0;0;2;0;0;1;0;0;0;0;0;0;1;0;1;0;1;2;1;13;6;0;2;1;0;0;1;0;0
;;11;Stam, G.;108;0;0;3;0;1;0;0;0;0;2;1;0;0;0;0;1;0;0;0;0;5;0;2;1;88;0;0;1;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0
;;12;Schiere, C.H.;103;0;2;4;1;0;1;3;1;2;7;6;1;13;3;35;3;6;2;0;0;0;0;0;0;1;0;0;0;2;0;0;0;0;1;2;2;0;3;0;0;2;0;0
;;13;Bijl, S.;130;1;0;2;5;0;2;4;4;4;2;3;0;5;4;0;5;3;4;0;1;3;1;1;0;0;0;1;25;13;26;3;1;1;1;1;0;0;0;0;0;1;0;3
;;14;Oosterkamp, T.;44;0;0;0;0;0;1;0;0;1;1;0;0;1;0;1;0;1;0;0;0;0;3;0;0;0;0;0;0;0;0;0;2;8;11;12;0;0;1;0;0;1;0;0
;;15;van der Linde, K.;34;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;4;11;10;0;0;0;0;0;1;3;0;1;0;0;0;0;0;0;0;0;0;0
;;16;Smit, J.A.B.M.;101;0;0;1;1;0;1;0;3;2;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;17;28;27;2;2;0;1;0;4;0;0
;;17;Korthoef, K.;35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;1;1;0;26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;18;de Jonge, K.;157;1;5;10;13;7;2;23;14;8;14;20;5;0;5;4;4;3;3;0;0;0;0;0;0;0;0;1;0;0;0;2;0;0;0;2;0;1;8;0;0;2;0;0
;;19;van der Linde, J.;94;1;0;0;2;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;70;0;1;1;0;0;1;1;2;0;1;7;0
;;20;Feenstra, A.R.;44;2;1;2;0;1;1;0;0;0;0;0;0;1;0;0;35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
;;21;Knol, K.;45;1;1;0;0;1;0;0;0;0;0;0;0;2;1;0;2;2;1;0;0;1;0;1;0;0;0;1;0;5;12;0;0;0;0;0;0;0;0;0;0;0;0;14
;;22;van den Dolder, G.;27;0;0;2;0;0;0;1;0;3;0;2;0;3;4;0;1;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0
;;23;van der Meer, T.;31;6;1;2;1;1;0;2;2;3;2;3;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;1;0;1;0;1;0;0;0
;;24;Bijl, T.;66;0;1;0;0;0;0;0;1;0;1;0;1;0;0;1;5;3;1;0;0;4;0;1;0;0;0;0;3;26;14;2;0;0;0;0;0;0;0;0;0;2;0;0
;;25;Kok, J.T.;55;0;0;1;3;0;0;0;2;0;1;1;0;7;1;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;14;17;0;0;0;0;0;0;0;0
;;26;de Boer, H.;54;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;1;0;35;0;0;0;2;11;1;0
;;27;Akkerman, O.;21;0;0;2;4;1;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;3;0;0;1;0;0;0;1;0
;;28;Dedden, J.M.;51;0;1;0;0;0;0;0;0;1;1;3;0;0;0;0;2;3;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;8;15;13;0;0;0;0;1;0;0;0
;;29;Lok-Kwakman, P.;58;0;0;1;0;0;0;1;0;1;0;1;0;0;0;0;1;0;1;2;2;24;20;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
;;30;Boerman, P.J.J.;8;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0
;;31;te Riele, T.G.;16;0;0;1;0;2;0;0;0;0;2;0;0;0;0;0;2;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;;32;Dahmen, E.J.E.;41;0;1;0;0;0;0;0;0;0;0;1;0;1;0;1;0;1;1;8;8;10;6;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0
2;Partij van de Arbeid (P.v.d.A.);;;2858;72;109;181;176;70;89;174;64;126;122;217;72;52;68;37;163;146;10;59;72;138;45;22;18;7;6;14;27;105;87;60;13;23;33;45;21;17;39;5;8;23;16;7
;;1;Bunt, S.;554;9;11;31;22;14;15;31;15;23;24;41;17;6;16;7;25;19;4;1;4;9;2;5;5;2;3;5;5;58;33;14;4;5;12;11;5;8;10;4;4;8;2;5
;;2;Jongman, T.;931;19;30;38;21;27;26;44;23;27;42;51;19;16;20;7;33;33;2;56;63;124;41;12;10;4;2;6;9;15;17;29;4;6;8;12;4;4;5;0;3;10;8;1
;;3;Mulder, J.;687;28;33;52;50;12;25;55;12;46;37;61;23;17;16;9;42;67;2;1;0;1;0;3;0;1;1;2;9;10;17;6;2;4;2;12;2;3;20;0;0;3;0;1
;;4;Logtmeijer, R.;224;5;12;27;31;5;7;22;3;10;9;27;9;2;10;6;20;4;0;0;1;2;0;0;0;0;0;0;1;1;1;1;1;2;5;0;0;0;0;0;0;0;0;0
;;5;Sommer, W.H.;95;4;6;7;37;4;3;5;0;5;2;10;3;0;0;2;4;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
;;6;Wolters, M.;36;0;3;5;9;0;2;1;0;2;0;2;0;1;2;0;3;1;0;0;0;0;0;0;0;0;0;0;0;3;0;1;0;0;0;0;1;0;0;0;0;0;0;0
;;7;van der Zwan, C.;13;1;0;3;1;0;0;3;2;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;;8;Dekker, A.R.;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;4;2;6;2;0;0;0;0;0;0;0
;;9;Cordes, J.C.;50;3;1;1;0;2;4;0;0;5;2;2;1;0;0;0;17;2;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;1;2;0;0;0;2;0;0;2;0;0
;;10;Klinefelter-Koopmans, A.L.;53;1;2;5;3;2;1;2;2;2;1;2;0;1;0;0;2;14;0;0;1;0;0;2;0;0;0;0;1;2;0;0;0;1;1;1;2;2;0;0;0;0;0;0
;;11;Greven, B.F.L.;50;1;2;2;0;2;4;4;3;2;3;14;0;0;1;5;3;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0
;;12;Hofman, L.;12;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;3;2;1;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0
;;13;Schrijver, T.L.;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;3;0;0;0;0;0;0;0
;;14;Doorenspleet, T.;25;0;5;3;1;0;1;0;1;0;0;5;0;1;0;0;4;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0
;;15;ten Klooster, J.;15;0;0;1;0;0;0;3;0;1;0;0;0;7;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0
;;16;Nengerman, T.;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;17;Dalstra, J.B.H.;10;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;4;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0
;;18;Gorte, J.;23;0;1;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;6;11;0;0;0;0;0;0;0;0;0;0;0;0;0
;;19;Boxum, T.;17;0;2;0;0;0;0;0;1;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;1;0;1;8;0;0;0;0;0;0;0;0;1;0;0;0
;;20;Rhee, W.P.;6;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0
;;21;Ziel, W.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
;;22;Dousi, U.A.M.M.;5;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0
;;23;Santema, H.P.H.;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;24;Eising, G.;8;1;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;25;de Jager, F.;3;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;26;Greven, L.F.;14;0;0;3;0;1;0;1;0;1;1;1;0;0;3;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3;CDA;;;1685;24;49;71;37;36;69;91;37;49;64;71;32;42;49;29;66;77;25;23;55;83;55;79;43;7;2;15;29;38;28;53;11;25;57;52;15;2;32;3;7;35;9;9
;;1;Homan, E.;647;8;16;22;17;23;36;44;13;16;30;31;17;24;21;17;35;36;11;6;13;26;13;10;7;1;1;11;16;7;8;17;6;15;22;19;4;0;9;2;5;6;3;3
;;2;Netjes, C.J.;139;0;9;9;5;10;7;11;5;11;9;11;3;2;7;4;8;2;3;1;1;2;1;4;0;0;0;0;0;0;0;0;1;1;1;1;3;0;5;0;0;1;0;1
;;3;van Beekhuizen, J.;153;1;1;3;0;0;2;1;0;2;0;0;0;0;0;0;1;0;0;8;11;24;9;45;30;2;0;0;3;0;0;2;0;0;4;1;0;1;0;0;0;1;1;0
;;4;van Benthem, K.H.;138;1;2;1;1;0;2;2;0;0;0;0;0;0;6;1;1;2;2;2;9;1;6;10;2;0;0;0;0;2;0;29;1;0;10;10;2;0;8;0;0;21;4;0
;;5;Vredenburg, J.P.;181;4;11;11;4;2;8;13;2;3;3;8;2;3;3;4;6;24;4;0;0;2;0;0;2;4;0;0;6;17;17;0;0;4;7;0;0;0;1;0;2;1;0;3
;;6;Tuenter-Hetebrij, T.;103;5;2;6;1;0;6;10;5;6;5;3;5;2;4;0;3;1;1;0;3;0;2;2;1;0;1;0;1;8;3;3;1;2;1;4;0;1;4;0;0;0;1;0
;;7;Lolkema, J.H.;29;3;2;6;1;0;1;3;2;1;1;4;0;2;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;8;Punt, M.;13;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
;;9;Weemstra-van Dorsten, V.;69;0;0;0;1;0;0;4;2;1;1;1;1;3;1;1;3;11;2;0;0;2;2;0;0;0;0;1;0;0;0;0;2;3;10;13;3;0;0;0;0;1;0;0
;;10;van der Spek, A.W.;9;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;11;Petter, G.;11;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0;0;3;0;1;0;0;0;0;0;0;0;0;0;0;0;2
;;12;van de Poll, J.F.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;13;Rabbers, J.;25;0;0;1;0;1;0;0;8;0;0;0;0;0;2;0;0;0;0;2;1;4;3;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0
;;14;van der Terp, P.A.;69;2;5;7;6;0;7;1;0;5;9;11;4;2;4;0;1;0;0;0;2;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;;15;de Jong, T.G.;13;0;0;0;1;0;0;1;0;2;3;1;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;16;Pereboom, H.J.;27;0;1;2;0;0;0;0;0;2;2;0;0;4;0;0;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;5;1;0;2;0;0
;;17;Kersjes, G.J.K.;59;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;15;18;19;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0
4;VVD;;;2338;39;65;77;46;46;77;138;120;70;71;164;40;61;82;84;155;61;19;11;11;52;27;48;16;7;4;12;54;114;137;143;10;20;27;37;21;14;48;9;8;59;17;17
;;1;Slomp - Dekkers, M.J.A.;977;17;20;34;24;15;29;35;50;25;32;51;17;19;31;30;53;33;15;4;8;22;12;16;5;6;4;9;39;85;95;17;6;12;12;17;15;9;13;4;5;9;11;12
;;2;van Duijvenvoorde, J.;168;1;1;2;0;1;2;2;0;2;2;3;0;1;1;3;6;2;0;1;0;11;4;0;2;0;0;0;2;2;4;97;1;1;1;1;0;0;6;0;0;4;2;0
;;3;Ziel, J.;76;3;2;1;0;0;1;1;0;0;1;1;0;0;0;2;0;0;0;3;1;11;7;30;8;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1
;;4;Loman, H.J.;204;1;6;9;5;15;11;17;40;9;8;25;4;6;7;7;16;4;1;0;1;0;1;0;1;0;0;0;1;2;3;0;1;1;1;0;0;0;1;0;0;0;0;0
;;5;Evers - Jacquemijns, L.R.;101;2;10;5;2;5;6;13;5;7;0;7;0;5;8;2;8;5;1;2;0;0;0;1;0;0;0;0;3;0;0;1;0;0;0;0;1;0;1;0;0;0;0;1
;;6;Beltman, E.;26;0;0;1;1;0;2;1;0;2;0;0;0;0;0;0;11;1;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;2;1;0;0;0;0;0
;;7;van Gelderen, S.P.;23;0;1;0;0;0;0;3;3;0;0;4;2;0;3;0;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0
;;8;Lolkema, J.;27;0;0;0;0;0;0;0;1;0;0;1;1;5;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;6;8;0;0;0;0;0;0;0;0
;;9;Bennen, M.P.;38;1;3;1;1;0;2;1;0;0;0;3;0;2;6;3;14;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;10;Harmsma, A.M.;346;5;16;17;10;6;15;48;17;17;22;50;11;13;19;10;25;6;0;0;0;4;1;1;0;0;0;2;2;7;11;2;0;1;0;2;0;1;5;0;0;0;0;0
;;11;van de Koppel, P.C.;27;2;0;1;0;0;1;0;0;0;0;4;0;0;0;0;15;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0
;;12;Boldewijn, A.W.B.;5;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;0;0;0;0;0;0;0;0
;;13;Rose, P.L.;71;2;3;5;3;2;1;11;3;5;1;11;4;6;4;2;2;0;0;0;0;0;0;0;0;0;0;0;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2
;;14;Nijenhuis, K.;37;0;0;0;0;0;1;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;2;9;19;0;0;0;0;0;0;0;0;0;0;0;0;1
;;15;van Rij, H.B.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;16;Strampel, M.;17;0;0;0;0;0;1;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;2;5;3;0;0;0;0;0;0;0
;;17;Nijdam, H.;23;0;0;0;0;0;0;3;0;0;0;0;0;0;0;2;0;1;0;0;0;0;1;0;0;0;0;0;1;0;1;13;0;0;0;0;0;0;0;0;0;0;1;0
;;18;Reilink, J.W.H.;29;0;0;1;0;1;2;0;0;0;1;0;0;1;1;21;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;19;van Dijk, Y.;8;2;0;0;0;0;0;0;0;1;2;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;20;Kuperus - Hartink, G.C.;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;21;Hagendijk, J.;17;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;1;0;2;0;0;0;0;0;0;0;0;0;7;0;0;0;1;0;0;2;0;0;0;1;0
