Verkiezing;;Gemeenteraad Dalfsen 2022;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Dalfsen;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0148;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;De Wiekelaar;Parochiehuis Hoonhorst;Rest. Het Roode Hert;Geref. Kerk(Vrijgem.);Gemeentehuis;Ned. Gereformeerde Kerk;Kulturhus De Mozaiek;Hofje van Buisman;NH Jeugdgebouw;Restaurant Madrid;Kulturhus De Spil;Maranathakerk;Gemeentewerf Dalfsen;Brugkerk;Partycentrum Het Witte Peerd;Kerkelijk Centrum De Overkant;CBS De Spiegel;Ontmoetingskerk;Gemeentehuis maandag;Gemeentehuis dinsdag;Kulturhus De Mozaiek maandag;Kulturhus De Mozaiek dinsdag;Kulturhus De Spil maandag;Kulturhus De Spil dinsdag
Gebiednummer;;;;;3;4;5;6;7;8;9;11;12;15;16;19;25;26;27;28;29;30;31;32;33;34;35;36
Postcode;;;;;7722 ST;7722 LR;7722 PJ;7721 XM;7721 AX;7721 DX;8151 AZ;8151 AR;7711 CD;7722 HS;7711 KK;7711 HS;7721 CZ;8152 BL;7711 CH;7721 AD;7722 RJ;7711 AD;7721 AX;7721 AX;8151 AZ;8151 AZ;7711 KK;7711 KK
;opgeroepenen;;;23115;1231;1449;669;1058;1082;1137;1048;1246;1387;512;1628;1459;1547;1524;1539;1381;1603;1615;0;0;0;0;0;0
;geldige stempas;;;12907;579;789;395;749;561;833;515;459;702;239;682;694;555;464;559;494;672;478;454;669;205;324;301;535
;geldig volmachtbewijs;;;1585;70;112;62;103;62;87;59;51;92;37;100;79;73;65;81;41;63;64;62;79;9;30;32;72
;geldige kiezerspas;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;toegelaten kiezers;;;14492;649;901;457;852;623;920;574;510;794;276;782;773;628;529;640;535;735;542;516;748;214;354;333;607
;geldige stembiljetten;;;14406;638;894;453;849;619;916;566;507;792;273;773;767;626;527;637;534;733;540;514;747;213;354;331;603
;blanco stembiljetten;;;62;8;5;4;1;2;4;5;3;1;3;8;4;2;1;3;0;2;1;2;0;0;0;1;2
;ongeldige stembiljetten;;;25;3;2;0;2;3;0;3;0;1;0;1;2;0;1;0;1;0;1;0;1;1;0;1;2
;aangetroffen stembiljetten;;;14493;649;901;457;852;624;920;574;510;794;276;782;773;628;529;640;535;735;542;516;748;214;354;333;607
;meer stembiljetten dan toegelaten kiezers;;;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;minder stembiljetten dan toegelaten kiezers;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;kiezers met stembiljet hebben niet gestemd;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te weinig stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te veel stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;geen verklaring;;;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;andere verklaring;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;Gemeentebelangen;;;5472;226;285;176;302;202;272;183;202;362;114;394;366;209;162;287;212;253;261;164;221;62;129;143;285
;;1;Ramaker, J.G.J.;958;35;40;52;82;59;102;19;14;11;31;20;38;52;22;23;85;74;17;64;73;9;17;7;12
;;2;Schuurman, A.;1258;16;14;19;39;39;37;11;6;118;11;162;189;36;9;102;28;37;149;28;27;4;3;60;114
;;3;Haarman, I.G.J.;517;26;29;14;65;35;42;1;5;9;12;13;10;54;3;11;45;52;9;29;35;1;3;6;8
;;4;Kleine Koerkamp, H.A.J.;471;1;2;1;0;1;2;102;144;0;0;0;1;4;96;0;0;2;0;0;2;37;76;0;0
;;5;Kappert, H.G.;262;97;5;10;19;11;9;3;1;7;7;8;0;15;1;7;11;14;2;2;16;3;5;3;6
;;6;Hekman, J.;415;8;1;8;1;2;0;1;0;100;0;70;51;2;0;49;0;0;39;0;0;0;1;24;58
;;7;Jutten, G.M.M.;142;3;0;8;30;6;20;5;2;1;16;0;0;8;3;1;8;13;0;8;7;0;0;2;1
;;8;van Lenthe, J.W.;211;2;132;1;8;4;5;2;0;0;11;5;2;5;0;0;5;6;2;11;6;2;1;0;1
;;9;Upper, J.B.;151;6;0;2;4;2;5;0;3;16;0;26;12;2;0;22;3;3;6;5;7;0;0;11;16
;;10;Holterman-Pot, M.J.;224;1;1;0;1;1;2;1;0;46;0;47;27;0;0;35;1;3;14;0;4;0;0;13;27
;;11;Pessink, H.W.;71;4;0;0;0;0;0;0;0;15;0;8;10;1;0;6;0;4;8;0;0;0;0;6;9
;;12;Smudde, M.R.;72;9;0;2;0;6;4;0;1;6;0;11;2;1;0;4;3;0;4;1;2;0;0;3;13
;;13;Spijker, E.H.J.M.;34;0;0;2;7;0;6;0;0;0;0;0;0;1;0;0;0;8;0;0;10;0;0;0;0
;;14;Meulenbelt, M.T.;55;1;2;4;12;4;6;2;0;0;2;1;0;4;1;0;2;6;0;3;3;0;0;1;1
;;15;van Zanten, H.;7;0;0;0;0;0;2;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2
;;16;Wildvank-Kappert, W.M.H.;62;1;1;1;1;1;1;16;11;0;1;0;0;1;11;0;1;0;0;0;0;2;13;0;0
;;17;Nijentap, W.W.J.;72;3;0;25;4;4;3;0;1;6;4;0;0;4;0;8;1;4;0;0;1;0;0;0;4
;;18;Mars, M.N.M.;38;0;20;0;3;2;0;1;0;0;6;0;0;0;3;0;0;0;0;0;2;0;0;0;1
;;19;Horstman, J.G.;23;0;0;0;0;0;0;5;4;0;1;0;0;0;5;0;1;0;0;0;1;2;4;0;0
;;20;Hop-Bazuin, J.;11;0;0;1;0;0;1;2;0;0;0;0;0;2;0;0;0;1;0;0;2;0;0;0;2
;;21;Diepman, L.P.M.M.;33;1;21;2;1;2;0;2;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0
;;22;Schiller, E.H.;42;0;0;10;1;3;0;0;0;0;3;0;0;2;1;7;5;5;0;0;4;0;0;1;0
;;23;Westerman, A.;45;1;0;0;0;1;2;0;0;10;0;6;8;0;0;5;1;0;5;0;0;0;0;2;4
;;24;Booijink, R.J.M.;56;0;0;0;5;7;11;3;0;0;0;0;0;6;0;0;5;9;0;4;6;0;0;0;0
;;25;Hilgenkamp, H.W.J.;52;3;4;6;11;0;1;0;4;0;0;0;0;2;0;1;4;5;0;3;7;0;0;0;1
;;26;Klosse, H.;15;0;0;0;0;0;1;0;0;3;0;4;2;0;0;0;0;0;2;0;0;0;0;1;2
;;27;Verbeek, F.C.;9;0;0;0;0;2;1;0;0;0;3;0;0;1;1;0;0;0;0;1;0;0;0;0;0
;;28;Reurink-Schoemaker, M.J.;51;2;0;0;1;3;0;0;0;10;0;9;13;1;0;2;0;0;3;2;0;0;1;1;3
;;29;Ellenbroek, J.G.;21;0;0;0;0;0;1;7;6;0;0;0;0;0;2;0;0;0;0;0;0;0;5;0;0
;;30;van Leeuwen, R.W.J.;26;0;2;0;3;2;4;0;0;2;2;0;1;0;1;0;1;2;1;1;0;2;0;2;0
;;31;Eijkelkamp, R.A.M.;68;6;11;8;4;5;4;0;0;1;2;4;0;5;3;2;2;5;0;2;4;0;0;0;0
2;CDA;;;3767;261;365;141;167;120;176;279;232;182;79;111;134;115;250;139;110;143;103;79;163;95;168;55;100
;;1;Ramerman, A.J.;1214;13;52;31;47;43;56;160;113;32;29;31;26;32;140;34;33;44;32;32;41;51;103;11;28
;;2;Ruitenberg, E.;489;6;49;65;41;25;40;1;5;9;23;11;12;22;5;19;32;32;11;9;56;0;0;3;13
;;3;Kouwen, R.H.;258;10;0;2;4;0;4;0;0;64;0;32;38;1;0;28;0;6;22;2;0;0;0;18;27
;;4;Veldkamp-Bot, M.E.J.;144;1;67;2;10;3;7;0;0;0;2;3;1;10;0;2;4;9;2;5;9;2;0;1;4
;;5;Zwakenberg-Hoogenboom, H.A.;395;0;5;2;2;3;5;97;92;2;2;3;0;0;90;0;1;2;1;0;2;31;55;0;0
;;6;Prinsse, W.;256;212;0;2;5;2;2;2;0;1;2;0;2;6;0;1;4;3;0;5;4;0;0;0;3
;;7;Schuurman, A.J.;177;3;0;1;1;1;4;0;0;38;0;10;33;3;0;34;2;2;20;1;0;0;0;12;12
;;8;Diepman, L.H.M.M.;214;0;156;3;3;4;2;6;2;0;9;1;2;1;2;4;7;6;1;4;1;0;0;0;0
;;9;Valk, M.;137;0;6;6;21;14;22;0;0;3;2;2;1;14;3;1;7;6;0;6;20;0;0;3;0
;;10;Evenboer-Meekhof, K.;88;4;0;3;2;3;2;0;0;16;0;11;13;1;0;8;4;1;4;0;2;0;0;5;9
