Verkiezing;;Gemeenteraad Enschede 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Enschede;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0153;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Stadhuis Enschede;Stadskantoor;De Grote Kerk;Bibliotheek Centrum;Villa de Bank;Performance Factory;Performance Factory;Stadsbank Oost Nederland;Dansschool Dekker;Stichting Vierkwart;Saxion;Goed Nieuws Gemeente;RKSV Vogido;Bonhoeffer College Van der Waalslaan;De Roef;Ontmoetingskerk;Drive In parkeerplaats Diekmanhal;Drive In parkeerplaats Diekmanhal;Tubanters;ROC van Twente;'t Nije Terphoes;St. Jan Kerk;Speeltuin Boswinkel;Immanuelkerk;De Stedelijke Mavo;Pathmoshal;Speeltuin Stadsveld;Thomaskerk;Thomaskerk;Zone College;Stichting Enschedese Speeltuinen;'t Proathuus;Opstandingskerk;Clubgebouw EMOS;Stedelijk Lyceum Kottenpark;Prismare;Prismare;Ons Huis Het Achtervoort;Ons Huis De Dollard;Het Kompas;Deppenbroekhal;U.T. De Bastille (Atrium);U.T. De Bastille (Atrium);Sparta Enschede;Voetbalvereniging VOSTA;De Kom;De Kom;Tent nabij OBS Park Stokhorst;Sportzaal Stroinkslanden;Stroinkshuis;Stroinkshuis;Tent nabij BSO De Knalhut;Tent nabij BSO De Knalhut;Gymzaal Het Riet;Speeltuin Tuindorp;OBS De Broekheurne;FC Aramea;Tent Kinderboerderij De Wesseler;De Magneet;Mediant Helmerzijde;Sportzaal Helmerhoek;Sportzaal Helmerhoek;Buurthuis Bultsweg;Parochiehuis;Sporthal De Brug;Sporthal De Brug;Protestantse Gemeente Glanerbrug;Buurthuis Dolphia;Drive In parkeerplaats Avanti;Drive In parkeerplaats Avanti;Dorpshuis Lonneker;LSV Lonneker;Eetcafé de Buren;Eetcafé de Buren;Oude Usselerschool;De Grote Kerk;Drive In parkeerplaats Diekmanhal;Thomaskerk;Opstandingskerk;Het Kompas;De Kom;Sportzaal Stroinkslanden;De Magneet;Sportzaal Helmerhoek;Sporthal De Brug;Dorpshuis Lonneker;Eetcafé de Buren;De Grote Kerk;Drive In parkeerplaats Diekmanhal;Thomaskerk;Opstandingskerk;Het Kompas;De Kom;Sportzaal Stroinkslanden;De Magneet;Sportzaal Helmerhoek;Sporthal De Brug;Dorpshuis Lonneker;Eetcafé de Buren;Ariënstaete / Klaaskateplein;De Eschpoort / Floraparkstraat;Bruggerbosch / Ariënshuis;De Hatteler / De Posten;Broekheurnerstede / Broekheurnerborg;Lippink's hof / De Cromhoff
;aangetroffen stembiljetten;;;58037;1090;1065;1253;290;937;417;408;678;499;685;915;635;466;458;959;574;379;347;358;205;393;745;785;724;870;444;547;530;556;209;349;548;1174;877;941;930;1005;499;621;630;342;769;865;427;784;345;384;1365;759;471;520;655;681;299;374;705;416;762;673;825;862;757;225;613;681;605;357;268;608;918;1092;159;761;613;297;655;277;353;251;289;317;353;423;325;348;213;272;1003;461;511;452;452;494;419;561;452;565;335;402;111;144;49;111;115;92
;meer stembiljetten dan toegelaten kiezers;;;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0
;minder stembiljetten dan toegelaten kiezers;;;14;1;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;3;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;kiezers met stembiljet hebben niet gestemd;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te weinig stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te veel stembiljetten uitgereikt;;;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;geen verklaring;;;29;1;0;0;0;0;1;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;2;0;0;1;0;1;0;0;2;0;0;0;1;3;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;2;0;0;2;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;andere verklaring;;;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
1;Burgerbelangen Enschede (BBE);;;12077;211;151;168;49;201;58;55;105;101;114;156;133;124;106;225;82;89;72;105;48;78;148;172;149;186;76;135;129;111;32;60;89;217;101;172;161;158;110;116;125;71;37;43;100;166;62;83;332;172;112;98;205;202;49;87;103;85;136;101;219;197;176;119;228;235;231;126;75;252;402;216;40;159;116;65;92;54;64;39;53;59;86;69;49;98;38;52;155;88;88;66;86;102;101;88;85;232;61;88;12;27;10;22;13;22
;;1;van den Berg, N;5700;90;67;86;20;102;27;28;55;32;36;83;62;69;55;113;34;25;32;54;24;26;74;77;66;92;43;61;82;57;16;20;48;99;53;73;63;60;48;57;51;35;18;23;51;70;33;33;172;77;43;46;98;109;26;50;49;43;69;46;127;97;92;23;94;90;99;52;42;147;227;100;17;71;59;34;42;22;28;21;19;34;45;18;26;44;19;25;70;46;48;27;25;56;41;39;51;102;26;42;9;17;6;11;6;13
;;2;Lents, L.I.P.;1211;24;21;24;5;25;5;11;10;19;14;17;10;9;11;14;13;9;8;8;8;11;15;17;16;21;11;12;10;12;5;15;7;23;12;27;19;25;12;8;10;13;4;9;11;23;9;7;31;14;12;9;12;10;5;7;10;8;12;15;22;30;20;1;11;19;17;9;4;15;33;31;6;24;12;3;11;6;6;3;7;4;7;10;5;4;4;6;9;8;7;3;12;9;9;7;9;10;1;14;1;3;1;0;2;2
;;3;Teutelink, M.G.B.;446;13;4;9;0;8;0;1;0;6;3;4;5;3;2;6;5;7;4;4;0;1;5;7;2;2;3;5;6;5;0;6;0;5;10;7;5;9;5;5;5;1;1;1;5;2;2;7;12;7;10;5;10;8;0;3;5;1;5;6;3;12;6;0;7;7;3;3;2;1;4;14;0;7;9;2;0;3;4;1;3;3;6;6;6;0;6;1;7;8;0;0;0;5;3;5;5;4;13;2;0;2;0;2;2;1
;;4;Overink, B;220;6;8;4;0;2;1;1;1;3;11;8;5;0;1;7;1;1;2;2;0;2;2;1;4;1;0;1;2;1;1;2;0;6;0;4;1;4;0;1;4;1;1;1;0;2;1;2;3;3;1;4;0;0;3;0;4;0;1;1;1;1;0;2;7;3;6;4;3;7;2;2;0;3;3;1;1;1;2;1;2;0;1;3;0;7;1;3;6;2;0;1;1;0;1;1;1;9;1;1;0;0;0;0;0;0
;;5;Kel, G.M;361;7;5;3;1;12;3;2;2;2;6;3;6;3;1;4;1;2;5;0;0;2;5;10;9;6;2;11;2;5;1;5;0;6;2;1;4;6;4;2;5;6;0;2;0;10;2;1;3;6;6;4;7;5;5;7;10;5;3;5;5;6;5;0;7;0;3;0;2;7;6;0;0;4;0;1;4;1;3;1;3;0;4;8;3;0;1;0;6;1;8;2;3;0;2;5;0;11;1;2;0;0;1;2;0;0
;;6;Schrauwen, V.M.J;517;17;6;12;2;14;0;1;4;6;9;10;5;4;3;19;5;10;3;14;2;6;11;7;8;8;3;8;2;4;1;4;2;16;5;8;9;8;3;9;5;0;2;3;3;12;4;1;15;7;4;0;5;10;0;8;0;2;2;5;11;9;5;0;5;10;7;4;0;5;10;10;2;5;4;2;5;5;2;1;2;2;0;0;0;0;0;1;9;4;2;7;4;5;4;2;5;4;2;3;0;1;0;0;2;0
;;7;de Ruiter, J.W.;184;1;1;1;2;0;1;0;1;3;2;3;3;0;0;0;0;1;1;0;1;1;0;0;5;2;0;2;1;1;0;0;2;1;0;3;2;0;2;0;5;2;1;0;0;0;0;1;4;4;13;3;22;16;0;1;1;7;1;0;3;2;2;2;1;0;3;1;0;0;4;3;0;2;1;1;0;0;0;0;0;0;5;2;0;0;0;0;4;0;2;2;5;1;7;1;0;4;1;1;0;0;0;0;0;0
;;8;Sanders, B.J.;315;13;4;0;2;8;4;0;7;7;0;0;3;1;2;7;1;0;0;0;2;3;6;8;10;1;4;6;3;4;2;1;9;11;1;0;3;3;5;3;0;1;0;0;9;7;2;3;6;3;0;2;6;5;0;3;5;0;6;1;9;0;1;0;4;0;1;4;2;3;5;6;1;3;3;2;8;2;3;1;2;0;0;4;2;0;0;1;6;1;1;9;5;0;3;9;1;1;4;3;0;0;0;1;0;1
;;9;Brouwer, P;171;5;2;4;4;1;0;0;5;0;2;0;0;2;5;2;2;3;4;0;0;1;0;4;1;4;0;0;0;2;0;0;1;5;0;3;3;3;0;2;3;0;1;0;2;2;1;2;1;0;0;0;1;0;1;0;1;2;3;1;0;4;2;0;3;2;1;1;0;1;6;1;2;9;4;10;6;0;2;0;0;0;2;1;0;1;0;4;3;1;0;0;2;0;2;0;0;2;0;8;0;0;0;0;0;0
;;10;van Wakeren, D.F.;183;0;1;2;7;3;1;1;2;3;7;4;1;0;2;0;0;6;0;1;2;3;1;1;2;4;0;0;1;0;0;0;5;3;0;2;3;1;2;2;1;1;0;0;1;0;1;1;4;4;1;0;5;2;1;0;0;1;2;0;0;5;8;3;3;6;8;0;1;9;11;2;0;3;0;1;2;0;0;0;1;1;1;0;1;10;0;1;0;1;0;0;0;1;0;0;2;2;1;0;0;0;0;1;0;0
;;11;Heurman, S;488;8;6;4;2;5;3;2;1;4;2;10;7;8;8;12;9;11;4;4;3;2;5;9;2;6;0;7;1;4;2;0;2;4;5;16;10;4;2;6;1;2;2;0;2;8;1;3;18;18;2;0;12;10;0;0;0;3;5;0;10;8;10;0;8;25;19;6;4;7;16;4;0;5;2;0;2;3;1;0;1;4;2;3;1;3;0;2;5;3;1;0;7;4;9;5;6;13;0;1;0;0;0;1;0;0
;;12;Ceben, Z;386;5;6;4;1;3;3;2;6;2;11;2;10;2;2;5;3;7;4;4;3;4;9;5;2;1;1;6;1;4;0;0;3;8;1;4;20;19;6;7;22;4;1;0;4;9;1;3;10;2;3;3;6;8;3;3;10;5;5;8;1;4;1;1;0;3;0;0;3;0;7;2;0;0;2;0;2;2;2;0;7;3;4;0;0;1;1;2;5;0;7;0;9;7;1;8;0;3;0;0;0;0;0;1;0;1
;;13;Vogelzang, J;672;3;0;3;0;5;0;2;2;7;3;3;6;5;3;0;0;1;0;1;1;2;3;7;3;4;3;0;3;2;2;5;2;7;4;5;1;3;3;5;1;0;1;0;1;3;2;4;6;4;4;2;5;2;0;0;0;0;4;0;2;6;2;82;61;58;49;35;6;43;45;0;0;4;0;0;3;4;3;3;0;0;1;0;0;24;1;2;3;4;2;8;4;2;1;0;0;60;1;3;0;0;1;0;1;0
;;14;Otter, N;229;4;4;4;1;0;3;1;1;1;2;2;0;3;2;5;5;1;0;4;0;5;0;4;1;2;1;1;1;2;1;0;0;0;3;4;5;2;3;2;1;3;1;0;5;9;2;2;22;2;1;7;4;1;0;0;0;1;6;3;4;3;2;0;0;2;5;1;2;2;3;3;1;6;4;2;1;1;2;1;1;3;1;2;0;0;0;0;9;1;0;0;2;8;2;0;0;1;0;1;0;2;0;0;0;1
;;15;Altena, J;144;2;5;0;1;1;1;1;1;0;0;0;0;4;1;2;0;1;1;1;1;1;1;1;2;6;1;0;2;1;0;0;0;2;0;2;1;4;1;1;0;0;0;0;0;0;1;6;0;9;6;12;8;6;0;2;2;1;3;1;5;1;4;0;3;1;3;0;2;0;1;0;0;3;0;0;0;0;2;0;0;0;4;0;1;1;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0
;;16;Vluttert, G.J.V.;49;6;1;0;0;0;2;0;0;0;0;0;1;0;1;3;0;0;0;0;0;2;0;0;0;1;2;1;0;1;0;0;3;2;0;2;0;1;2;1;0;0;0;1;0;2;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;2;0;0;0;0;1;0;0;0;3;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0
