Verkiezing;;Gemeenteraad Ommen 2022;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Ommen;;;;;;;;;;;;;;;;;;;;;
Nummer;;0175;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Stembureau Gemeentehuis Ommen 16 maart;"Stembureau Jeugdgebouw ""De Schakel"" 16 maart";"Stembureau Verenigingsgebouw ""De Garve""";"Stembureau Restaurant ""De Bootsman""";"Stembureau Verenigingsgebouw ""Irene"" 16 maart";Stembureau Cultureel Centrum CARROUSEL 1e zaal;"Stembureau Kerkelijk Centrum ""De Kern""";Stembureau Het Baken;"Stembureau Restaurant ""De Nieuwe Brug""";Stembureau Hervormd Centrum;"Stembureau Sportzaal ""De Slaghen"" 1e zaal";Stembureau Mobiel stembureau;Stembureau Sportzaal ''De Slaghen'' 2e zaal;Stembureau Cultureel Centrum CARROUSEL 2e zaal;Stembureau Spoor 7;Stembureau Gemeentehuis Ommen 14 maart;Stembureau Gemeentehuis Ommen 15 maart;"Stembureau Verenigingsgebouw ""Irene"" 14 maart";"Stembureau Jeugdgebouw ""De Schakel"" 15 maart"
;;21;Hallink, G.J.;70;1;46;0;0;1;2;1;1;0;1;0;0;3;0;0;2;0;0;12
;;22;Kamphuis, H.;13;1;0;0;0;0;0;2;1;0;1;1;0;1;0;1;0;4;0;1
;;23;Alberts, H.J.;27;0;0;25;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
;;24;Hoekstra - van den Berg, J.;10;5;0;0;0;0;1;0;0;0;1;1;0;1;0;0;1;0;0;0
;;25;de Ruiter, J.;11;1;0;0;0;0;1;0;2;0;0;0;0;2;0;0;1;4;0;0
;;26;Binnenmars, J.H.;8;2;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;27;Massier, J.H.;7;0;0;0;1;0;0;0;0;3;0;0;0;0;0;0;1;0;2;0
;;28;Zuiderweg - Roetert, W.H.;18;0;0;0;15;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0
;;29;Hekman, G.;13;1;0;0;0;0;0;0;1;0;0;1;3;0;5;0;2;0;0;0
;;30;Buter, J.;10;0;0;0;0;0;2;2;2;0;2;0;0;0;0;1;0;1;0;0
3;ChristenUnie;;;1483;103;48;142;39;79;174;57;140;49;80;105;19;114;63;50;80;115;18;8
;;1;Hemstede, M.H.;985;64;35;89;21;40;129;43;103;30;55;67;11;67;43;34;54;78;14;8
;;2;Marsman, G.J.P.;125;11;0;8;7;5;15;4;10;2;8;11;0;22;2;4;9;6;1;0
;;3;Ekkelkamp, G.J.;42;8;1;4;0;1;1;1;5;0;5;2;1;3;1;0;4;5;0;0
;;4;Heres, H.G.;46;2;3;32;1;2;1;0;0;0;1;1;0;0;0;0;1;2;0;0
;;5;Schuurhuis-Schra, G.M.;66;7;3;0;1;3;7;1;5;1;1;7;1;13;2;3;3;8;0;0
;;6;Visser, N.R.;31;2;0;2;1;1;6;3;3;1;1;0;0;2;3;2;3;1;0;0
;;7;Visser, B.;12;0;0;0;0;0;0;0;5;0;1;4;0;1;0;0;1;0;0;0
;;8;Drok, D.;16;0;0;0;0;1;3;1;2;1;2;4;0;0;2;0;0;0;0;0
;;9;Bolks, G.J.;11;0;0;5;0;0;0;1;0;0;0;0;0;0;4;1;0;0;0;0
;;10;de Bruine, L.J.;7;0;0;0;0;1;0;0;1;0;0;4;0;0;0;0;0;1;0;0
;;11;Weelink, H.;14;0;0;0;1;0;0;2;1;0;0;2;0;3;0;0;1;4;0;0
;;12;van der Mooren, K.C.T.;5;0;0;0;0;3;0;0;0;1;0;0;0;0;0;1;0;0;0;0
;;13;Stroobosscher, K.R.;32;1;0;0;4;4;3;0;1;0;1;2;2;2;3;1;2;5;1;0
;;14;van der Horst, R.;28;1;0;0;0;14;2;0;0;2;0;1;4;0;0;1;0;1;2;0
;;15;ten Kleij, H.;8;0;5;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
;;16;Hiemstra, H.;3;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0
;;17;Maessen, J.F.W.H.A.M.;11;0;0;0;0;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0
;;18;Tromp, W.H.;15;3;0;0;0;0;2;1;2;0;3;0;0;0;1;0;0;3;0;0
;;19;Spijker, A.;12;0;1;0;0;0;2;0;1;0;2;0;0;1;1;2;2;0;0;0
;;20;Westert, J.;14;4;0;0;3;2;2;0;1;0;0;0;0;0;1;0;0;1;0;0
4;Volkspartij Ommen Vooruit (VOV);;;1524;108;26;146;49;75;156;86;74;99;103;126;19;93;77;72;96;100;9;10
;;1;de Jonge, G.S.;589;35;8;18;23;34;67;37;34;47;42;49;7;26;38;30;44;41;2;7
;;2;de Jong, J.;133;2;0;88;1;1;6;1;0;2;8;3;0;2;3;7;3;5;1;0
;;3;van der Velde, B.;78;7;1;2;0;2;5;10;2;4;4;16;0;6;2;4;2;10;0;1
;;4;Middelkamp, G.J.;41;0;0;17;2;1;4;1;5;2;0;2;0;2;0;0;1;4;0;0
;;5;Kleinjan, D.B.N.;69;9;6;0;3;4;3;3;0;17;2;4;4;10;3;1;0;0;0;0
;;6;Pieters, E.;26;0;1;0;0;0;2;0;0;5;2;3;1;2;4;4;1;1;0;0
;;7;Hemstede, A.;190;22;3;7;7;10;19;8;11;9;11;18;4;10;7;7;19;13;3;2
;;8;Oldeman, P.H.;43;5;1;0;0;1;10;1;2;0;0;4;0;2;2;0;3;12;0;0
;;9;van Elburg, G.;54;5;3;2;2;0;3;3;7;7;6;5;0;3;0;3;2;2;1;0
;;10;Hagedoorn, J.;17;0;0;11;0;1;3;0;1;0;0;0;0;1;0;0;0;0;0;0
;;11;ten Cate, K.;12;1;0;0;2;0;2;1;3;0;2;0;0;1;0;0;0;0;0;0
;;12;Smit, H.;25;2;0;0;0;0;5;2;1;0;0;5;0;1;1;3;3;2;0;0
;;13;Worst, K.;13;1;0;0;3;1;0;0;0;0;3;1;0;1;1;0;2;0;0;0
;;14;Geurs, D.B.;15;0;0;0;0;10;0;0;0;1;0;0;0;0;0;2;0;0;2;0
;;15;Midde, N.;6;0;0;1;0;0;0;1;1;0;0;1;0;1;0;0;1;0;0;0
;;16;Hersevoort, P.A.;37;0;0;0;0;0;5;0;0;0;2;0;0;25;1;1;3;0;0;0
;;17;van Lingen, J.P.;176;19;3;0;6;10;22;18;7;5;21;15;3;0;15;10;12;10;0;0
5;VVD;;;554;33;32;22;43;49;27;31;21;46;22;35;16;27;7;68;22;39;0;14
;;1;Smits, R.B.L.L.;330;21;25;8;36;32;14;14;14;21;13;24;6;12;5;31;14;28;0;12
;;2;Terpstra, E.G.;34;2;0;0;2;3;5;0;1;12;0;3;1;0;0;2;1;1;0;1
;;3;Veldhuis, E.;16;0;0;1;1;4;0;1;2;0;0;0;0;1;0;2;0;4;0;0
;;4;Westerhof, R.S.;14;1;1;1;0;0;1;2;0;2;2;0;0;0;0;1;1;2;0;0
;;5;Rosema, Z.M.T.;61;5;1;1;3;6;6;2;3;6;1;4;1;5;0;8;5;3;0;1
;;6;de Zeeuw, T.;22;0;0;0;0;3;0;4;0;0;3;0;7;0;0;5;0;0;0;0
;;7;Timmer, R.;19;1;0;0;1;0;0;2;0;0;0;1;0;8;1;5;0;0;0;0
;;8;Hagedoorn, G.J.;17;0;3;5;0;0;0;1;1;2;0;1;0;0;0;3;0;1;0;0
;;9;de Ruiter, W.R.;9;0;0;5;0;1;0;0;0;0;0;1;0;0;0;2;0;0;0;0
;;10;Hofstee, C.;8;2;0;0;0;0;0;2;0;1;2;0;0;0;0;1;0;0;0;0
;;11;van der Linde, W.;24;1;2;1;0;0;1;3;0;2;1;1;1;1;1;8;1;0;0;0
6;D66;;;629;62;40;18;34;38;43;20;21;32;35;63;16;54;27;47;34;37;0;8
;;1;Mors, H.F.J.;247;21;15;12;16;19;20;6;6;17;10;26;4;17;11;18;9;18;0;2
;;2;Wernars, R.C.M.;269;28;19;4;15;17;18;11;9;11;15;20;11;24;14;17;18;12;0;6
;;3;Waanders, W.;16;3;4;0;1;0;0;0;0;3;0;2;1;1;1;0;0;0;0;0
;;4;Heerink, F.T.;57;3;1;0;1;1;4;1;3;0;4;12;0;9;1;10;3;4;0;0
;;5;Nijhuis, G.D.;25;5;1;1;1;1;1;1;1;1;2;2;0;2;0;0;4;2;0;0
;;6;van Wijngaarden, W.P.;15;2;0;1;0;0;0;1;2;0;4;1;0;1;0;2;0;1;0;0
7;Partij van de Arbeid (P.v.d.A.);;;669;56;100;8;22;19;63;28;35;26;28;40;9;41;20;46;40;67;1;20
;;1;Moerman, H.;284;25;4;5;12;4;41;11;22;13;12;18;5;19;6;19;23;42;0;3
;;2;Pol - de Ruiter, S.A.N.;188;18;6;2;9;10;18;10;5;8;6;15;3;17;9;20;12;18;1;1
;;3;van der Linde, R.;145;6;89;1;0;0;1;4;4;4;6;5;0;3;2;1;0;3;0;16
;;4;Slagter, W.E.;17;2;0;0;0;3;2;1;1;0;3;0;0;1;1;0;1;2;0;0
;;5;van Mantgem, J.P.;11;3;0;0;0;1;0;0;0;1;0;0;1;0;0;2;1;2;0;0
;;6;Brinkman, J.H.;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;;7;Luttekes, M.H.;23;2;1;0;1;1;1;2;3;0;1;1;0;1;2;4;3;0;0;0
