Verkiezing;;Gemeenteraad Zwolle 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Zwolle;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0193;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Stembureau Sionskerk;Stembureau Wijkcentrum De Enk;Stembureau Wijkcentrum De Weijenbelt;Stembureau Stadhuis;Stembureau Dienstencentrum De Terp;Stembureau Rode Kruisgebouw;Stembureau Wijkcentrum S.I.O.;Stembureau IJsselhallen drive though - stemstraat 1;Stembureau IJsselhallen drive through -stemstraat 2;Stembureau Koningskerk;Stembureau De Bierton;Stembureau Cultuurhuis Stadshagen;Stembureau Gymzaal Sportlaan 10;Stembureau Het Anker;Stembureau Wijkcentrum De Bestevaer;Stembureau Sionskerk;Stembureau Wijkcentrum De Enk;Stembureau Wijkcentrum De Weijenbelt;Stembureau Stadhuis;Stembureau Dienstencentrum De Terp;Stembureau Rode Kruisgebouw;Stembureau Wijkcentrum S.I.O;Stembureau IJsselhallen drive though - stemstraat 1;Stembureau IJsselhallen drive through -stemstraat 2;Stembureau Koningskerk;Stembureau De Bierton;Stembureau Cultuurhuis Stadshagen;Stembureau Gymzaal Sportlaan;Stembureau Het Anker;Stembureau Wijkcentrum De Bestevaer;Stembureau Gymzaal bij school De Wieden;Stembureau Kerk De Hoeksteen;Stembureau Gymzaal Gouwe;Stembureau Gymzaal bij school De Aquarel;Stembureau Gymzaal bij school De Aquarel;Stembureau Sionskerk;Stembureau Stadkamer Centrum;Stembureau Wijkcentrum De Enk;Stembureau Gymzaal bij school De Mozadance;Stembureau Stadskantoor;Stembureau Hogeschool KPZ (Pabo);Stembureau De Twijn (zij-ingang);Stembureau Wijkcentrum De Weijenbelt;Stembureau Kerk de Hoofdhof;Stembureau Stadhuis;Stembureau Papenstraattheater;Stembureau Gymzaal bij school Aquamarijn;Stembureau Historisch Centrum Overijssel;Stembureau Dienstencentrum De Terp;Stembureau Wijkcentrum De Vlasakkers;Stembureau Wijkcentrum Holtenbroek;Stembureau Aula van school Het Facet;Stembureau Deltion College;Stembureau Rode Kruisgebouw;Stembureau Wijkcentrum S.I.O;Stembureau Gymzaal De Marshof;Stembureau Gymzaal De Marshof;Stembureau Bewonersvereniging Ittersummerbroek;Stembureau Gymzaal bij scholen IJsselhof en Talentum;Stembureau Gymzaal bij scholen IJsselhof en Talentum;Stembureau Wijkcentrum De Pol;Stembureau IJsselhallen drive through - stemstraat 1;Stembureau IJsselhallen drive through - stemstraat 2;Stembureau Bioscoop Pathé;Stembureau Gymzaal achter Carolus Clusius;Stembureau IJsselhal;Stembureau Kulturhus Wijthmen;Stembureau Gymzaal bij scholen De Ark en De Markesteen;Stembureau Gymzaal bij school De Sluis;Stembureau Koningskerk;Stembureau Hogeschool Windesheim;Stembureau De Bierton;Stembureau Dorpshuis De Molenkamp;Stembureau Cultuurhuis Stadshagen;Stembureau Kerk De Fontein;Stembureau Strandhuis Milligers;Stembureau Kantine CSV'28 op sportpark De Verbinding;Stembureau Gymzaal Sportlaan;Stembureau Kerk Open Kring;Stembureau School De Krullevaar;Stembureau SV HTC;Stembureau Gebouw van de IJsvereniging WVF;Stembureau Stinskerk;Stembureau Het Anker;Stembureau Gymzaal bij Geert Grooteschool;Stembureau Wijkcentrum De Bestevaer;Stembureau Recreatiezaal Parkzicht;Stembureau Mobiel stembureau 1;Stembureau Mobiel stembureau 2;Stembureau Mobiel stembureau 3;Stembureau Mobiel stembureau 4
;;14;ter Huerne, A.C.;31;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;2;1;0;0;2;1;0;0;2;0;1;1;1;0;0;0;3;0;1;0;0;0;1;0;0;2;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;1;1;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0
;;15;von Oerthel, D.;74;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;1;0;0;0;0;0;2;1;2;3;0;0;0;4;0;0;2;0;2;1;0;0;1;0;1;1;1;0;0;0;0;5;0;4;1;3;1;1;0;3;1;1;2;0;6;2;0;0;5;2;0;0;0;0;0;0;3;2;0;0;0;0;1;3;3;0;0;0;0;0;0;0
;;16;Roose, J.;213;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;2;0;1;0;1;1;1;1;0;0;0;23;4;6;2;2;9;14;11;3;6;1;0;9;0;5;4;3;5;4;0;16;1;0;5;1;0;1;0;4;1;2;2;3;1;2;4;0;2;2;5;2;1;1;10;5;7;1;0;1;2;0;0;2;1;0;2;1;0;0;0;0
;;17;Vogel-Bwefar, W.T.;95;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;1;0;2;1;0;0;0;0;0;1;3;3;0;1;6;3;4;4;1;4;1;0;0;0;2;0;1;1;0;2;1;0;1;2;0;1;2;1;0;1;0;0;0;2;0;0;1;2;0;0;0;1;1;0;0;1;2;3;6;3;2;6;1;0;1;0;5;1;2;0;1;0;0;0
;;18;Spoelstra, J.C.;20;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;2;3;0;0;2;3;1;0;0;0;0;0;0;0;0;0;0;0
;;19;Sleurink, J.;39;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3;1;0;1;0;3;0;2;0;2;1;2;1;2;0;0;0;0;2;0;1;1;0;0;0;0;2;1;0;0;0;0;0;1;0;0;1;2;0;0;1;0;2;0;0;1;0;0;0;0;0;0;0;0
;;20;Hakvoort, D.E.;133;2;0;0;0;0;0;2;0;0;1;0;0;0;0;0;2;1;0;1;0;0;4;0;0;1;2;6;0;0;1;0;0;0;1;0;0;6;9;6;1;2;1;0;0;3;1;3;3;0;3;7;0;4;1;3;2;4;0;2;1;6;0;0;3;0;0;0;6;2;1;1;0;0;5;5;1;0;2;2;5;1;1;0;2;0;3;1;0;0;0;0
;;21;Velema, A.C.;117;1;0;0;0;0;3;5;0;0;1;0;1;0;0;1;1;0;3;0;0;2;0;0;0;5;1;1;0;0;0;1;1;0;1;0;0;2;0;0;0;0;1;2;1;2;0;4;4;3;2;5;0;0;1;2;3;1;4;2;2;3;0;1;1;6;1;0;1;4;7;1;2;0;6;3;0;0;1;0;3;0;1;2;3;0;0;0;0;1;0;1
;;22;Volkerink, E.S.C.;70;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;1;1;1;0;0;0;3;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;1;1;0;0;1;4;1;2;0;4;2;1;2;2;0;0;0;4;2;4;1;2;1;1;0;0;1;1;0;2;0;1;1;0;1;0;1;0;1;0;0;1;0;0;1;3;2;1;2;1;0;0;1;0
;;23;Ghattas, H.;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;3;0;0;0;0;0;0;0;1;0;0;0;0;0
;;24;Hollander-Knol, J.K.;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;3;0;2;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;2;2;1;0;0;1;2;0;0;0;0;0;0;0
;;25;Ploegman, J.R.;27;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;3;0;0;0;0;0;0;0;0;1;1;4;0;0;0;0;1;0;0;1;1;1;0;0;0;1;0;0;0;0;1;0;0;0;0;1;5;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
;;26;Ophoff, J.;74;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;2;4;0;2;0;1;1;1;1;1;1;1;0;1;0;1;1;1;0;2;3;1;0;4;1;0;2;3;1;3;0;2;1;0;0;0;1;1;0;0;0;0;1;1;1;0;0;3;2;1;1;4;3;0;3;1;1;1;2;0;0;0;0;0
;;27;van den Belt, C.;201;0;0;1;0;0;0;0;0;0;0;0;4;0;0;0;2;0;4;0;2;0;2;1;0;0;0;7;1;1;1;10;6;0;1;0;2;0;0;5;2;2;4;2;2;2;1;0;3;5;2;7;3;4;0;5;8;8;1;2;2;2;0;2;2;2;1;0;9;0;1;1;1;1;7;8;11;2;1;10;8;0;5;5;4;1;1;1;0;0;0;0
;;28;Bruinink-van der Velden, A.J.;107;0;0;0;0;0;0;1;0;0;3;0;2;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;2;2;1;0;2;2;0;0;1;1;0;3;0;2;1;0;1;3;0;2;0;1;0;1;0;1;1;1;0;0;2;3;2;2;0;3;1;0;2;0;2;1;1;2;1;0;11;4;6;2;3;7;6;0;3;2;3;0;1;0;0;0;0;0
;;29;Scholten, C.A.;96;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;2;0;0;0;0;1;1;0;1;1;4;0;0;1;0;2;0;0;0;0;2;0;1;0;0;0;0;0;2;0;0;1;2;2;8;12;0;6;6;1;1;0;2;1;0;1;0;1;0;0;0;0;0;1;0;0;0;5;1;11;0;5;1;3;0;0;2;1;0;0;0;0;0;0;0
;;30;van Vuuren, H.A.;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;1;1;0;0;0;0;0;0;3;3;1;1;0;1;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;1;0;0;2;1;0;0;0;0;0;0
;;31;Eikema, E.;33;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;1;3;1;0;1;0;0;0;0;0;0;4;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;3;0;2;0;1;0;1;2;2;0;0;1;1;0;0;0;0;0;0;0
;;32;Visscher, A.;78;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;1;5;1;0;1;0;5;1;0;0;0;1;3;4;1;4;3;4;1;3;0;0;0;1;2;0;2;0;0;0;0;0;3;10;0;2;1;0;0;2;3;0;2;0;1;1;1;0;2;0;1;0;2;0;0;0;0;0;0;0
;;33;Sijtsma, E.J.;19;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;1;0;2;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;34;van Faassen-Ravensbergen, M.F.;37;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;2;0;1;0;5;0;1;0;0;0;0;0;3;1;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;1;0;0;2;1;1;1;0;5;0;0;1;1;1;0;0
;;35;Noordzij, W.;60;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;1;1;0;1;1;3;4;0;1;1;1;2;0;3;0;5;2;2;0;2;0;2;0;3;2;0;3;0;0;0;0;0;0;0;0;0;2;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;2;3;0;1;1;0;0;1;0;0;0;0
;;36;van der Veer, A.;86;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;2;2;0;0;2;0;3;1;0;0;0;1;5;0;0;4;0;0;1;0;0;0;4;2;1;0;3;3;1;0;2;0;2;0;0;2;0;1;0;1;2;0;0;2;1;0;0;2;1;2;0;1;2;2;3;2;2;1;2;1;0;2;3;2;2;1;0;0;0;1;1
;;37;Boxman, A.R.;58;0;1;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;1;0;0;0;0;0;0;0;0;0;0;6;3;2;5;0;0;6;0;0;0;0;1;0;7;1;5;1;0;1;2;1;0;0;0;2;0;0;1;0;0;1;1;0;0;0;0;0
;;38;Anker, E.W.;31;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;2;2;0;0;0;1;0;3;1;0;0;1;0;0;0;1;0;2;0;0;0;0;0;0;0;0;1;0;1;0;0;0;4;1;0;0;0;2;0;0;0;0;0;0;2;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0
2;GROENLINKS;;;9526;49;89;27;52;28;24;84;8;9;48;69;71;16;9;49;80;145;62;104;54;38;110;16;9;77;67;150;37;34;75;183;189;65;110;93;118;222;433;264;146;136;96;163;80;316;104;125;195;182;73;236;31;74;42;202;121;125;81;99;98;188;32;37;226;172;39;39;201;163;143;105;169;34;371;158;127;82;94;100;184;20;60;105;108;214;166;69;6;10;10;2
;;1;Roelfs, A.H.;5033;37;48;24;26;15;19;48;0;3;34;42;37;8;7;31;53;75;36;40;32;14;61;10;3;52;44;79;17;20;44;101;116;33;58;43;71;93;183;113;57;79;49;108;42;123;32;68;89;87;27;118;18;45;17;102;75;69;48;60;62;98;11;18;79;93;19;21;108;103;86;48;92;23;229;72;80;42;46;66;120;16;40;66;59;112;86;34;4;9;6;2
;;2;Pelman, P.;233;1;3;1;1;0;0;0;0;0;1;0;2;0;1;2;1;0;0;2;3;1;3;1;0;1;1;4;2;0;5;4;6;1;3;3;2;3;7;4;2;3;1;3;2;5;2;4;4;5;2;1;1;0;2;7;1;4;5;2;5;8;3;0;9;8;0;1;5;5;6;1;2;0;9;2;2;3;0;4;8;2;1;4;3;7;10;0;0;0;0;0
;;3;Roetman-Visser, M.;735;4;7;0;3;1;0;9;0;2;3;6;4;3;1;6;5;10;8;6;1;6;3;1;0;2;2;19;10;4;4;9;17;9;7;11;9;14;39;22;10;3;5;14;6;23;11;2;16;12;6;12;2;9;3;16;11;8;9;7;8;15;0;3;21;14;3;7;19;14;10;7;14;2;25;7;9;16;11;9;20;0;4;11;8;14;6;2;2;1;1;0
;;4;Boon, J.P.L.;77;0;1;0;1;0;0;0;0;0;0;1;0;1;0;1;0;1;0;5;2;1;3;0;0;1;0;0;1;0;0;0;0;0;0;0;1;4;4;3;0;0;1;0;0;5;2;1;4;2;2;2;0;0;0;2;2;0;0;2;0;1;1;0;1;0;0;1;0;1;0;3;3;0;2;1;1;0;0;1;0;0;0;0;1;3;1;0;0;0;0;0
;;5;Leest, M.M.;503;1;3;1;6;1;2;8;2;1;0;4;4;1;0;2;4;8;1;10;0;1;8;0;3;2;3;4;1;1;2;5;10;2;4;9;7;19;28;12;10;10;7;3;2;24;7;5;17;15;3;15;1;0;6;4;3;3;3;4;3;12;1;2;15;13;1;1;15;8;4;7;12;3;16;8;2;1;2;3;3;0;4;4;8;22;5;5;0;0;1;0
;;6;Peenstra, T.G.;133;0;2;0;0;0;1;0;1;0;0;0;0;1;0;0;0;2;0;1;2;0;1;0;0;0;0;1;0;0;1;0;3;2;2;0;5;1;1;4;5;2;2;1;1;8;2;0;2;2;0;1;0;0;0;4;1;0;1;0;2;1;0;0;4;1;0;0;4;1;1;10;1;0;8;20;1;3;1;2;3;0;0;1;1;3;2;0;0;0;0;0
;;7;Noorda, E.J.;107;1;2;0;1;1;0;0;0;1;2;2;1;0;0;1;1;1;1;1;0;0;0;2;0;1;0;3;0;0;1;0;2;0;1;1;0;2;21;2;1;2;4;0;2;1;1;0;7;0;2;2;0;0;3;1;1;1;0;1;1;4;0;0;1;2;0;0;0;0;1;1;3;0;2;1;1;0;0;0;0;0;1;0;1;0;7;0;0;0;0;0
;;8;van Beem, R.A.;56;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;2;0;1;0;0;0;0;0;0;0;1;0;10;1;2;2;1;2;0;1;0;0;0;0;1;0;0;0;1;2;1;3;0;0;0;1;0;3;0;0;2;2;3;0;0;0;1;2;0;0;1;0;0;0;0;0;0;3;1;1;0;0;0;0
;;9;Vergeer, S.;36;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;1;1;0;0;1;0;0;0;0;1;0;0;2;0;0;0;0;1;2;0;1;2;0;0;0;0;0;1;1;0;0;1;1;1;1;0;0;0;0;0;1;0;0;0;7;0;2;0;0;1;1;0;0;0;0;0;1;1;1;0;0;0;0;0
;;10;Rikkert, S.J.H.;340;1;3;0;0;1;0;3;2;1;0;2;3;0;0;0;2;8;3;2;1;1;4;1;0;4;3;0;2;2;2;6;6;0;1;2;2;12;33;27;6;4;4;3;3;10;5;8;5;7;4;9;0;3;1;8;1;5;3;7;3;10;1;1;14;3;1;1;7;4;2;1;3;0;6;11;5;5;3;2;3;0;0;0;4;4;7;3;0;0;0;0
;;11;Wierstra, A.;299;0;0;0;2;2;0;2;0;1;0;1;6;1;0;0;2;0;1;3;1;0;1;0;0;0;0;4;0;0;1;3;2;3;6;2;0;14;13;12;8;3;5;4;5;15;9;2;8;5;3;4;3;0;1;5;2;4;1;2;1;3;0;1;14;4;5;0;5;9;3;8;10;0;9;7;4;4;4;1;8;0;2;3;4;11;4;3;0;0;0;0
;;12;Ntumba, M.N.;508;1;4;0;5;1;0;3;2;0;1;0;1;0;0;3;5;9;1;7;3;4;8;0;1;1;2;4;1;1;2;11;12;6;10;13;5;23;28;12;9;4;6;8;1;26;15;6;17;12;5;23;0;4;2;17;5;8;4;2;2;5;1;2;21;10;3;0;4;6;6;6;3;0;18;6;8;4;5;3;4;1;2;3;3;7;10;1;0;0;0;0
;;13;Nieuwenkamp, N.L.;259;0;1;0;1;0;0;1;1;0;0;3;1;0;0;1;1;6;0;8;3;1;2;0;0;0;3;2;0;1;0;3;4;0;2;1;1;6;21;11;6;5;2;1;4;29;3;7;5;5;4;16;0;1;1;6;2;2;0;2;3;3;2;5;12;4;3;2;2;4;2;4;2;0;3;0;1;0;2;0;2;0;0;1;4;4;7;1;0;0;0;0
;;14;Feick, M.;202;0;5;0;0;1;0;3;0;0;3;1;2;0;0;2;0;9;0;2;1;0;5;0;1;4;1;3;0;1;1;4;2;2;3;0;3;10;12;6;6;6;1;3;2;5;1;2;5;4;0;6;2;2;0;5;1;2;0;0;1;4;3;0;12;2;0;0;5;0;1;4;4;0;6;2;1;1;3;0;2;0;0;1;1;2;2;5;0;0;0;0
;;15;Kambel, S.S.Y.;149;0;4;0;3;1;1;0;0;0;0;0;3;0;0;0;0;1;3;1;1;2;1;0;0;0;1;4;0;0;0;7;1;1;2;0;1;4;13;8;1;1;0;1;1;9;3;4;1;6;4;5;0;2;1;2;2;0;1;2;0;4;1;2;5;1;1;0;1;1;2;0;0;0;6;1;4;0;1;0;2;1;0;1;1;3;2;0;0;0;0;0
;;16;van Maurik, R.S.;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;17;van Elburg, R.;38;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0;1;0;1;0;0;0;3;1;0;0;1;1;2;1;3;0;0;1;3;1;2;0;0;0;2;1;0;3;0;0;0;1;0;0;1;0;0;1;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
;;18;van Dijk, J.;105;0;0;0;0;1;0;0;0;0;0;2;1;0;0;0;0;1;0;5;0;1;2;0;0;0;1;1;0;0;1;3;1;0;1;0;0;2;1;4;3;1;3;0;1;1;0;5;1;1;6;4;0;1;0;3;2;1;3;1;0;0;0;0;2;4;0;0;1;2;3;1;3;4;4;5;0;0;0;0;1;0;0;0;0;0;4;6;0;0;0;0
;;19;de Paus, R.S.;23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;1;2;0;0;0;0;1;1;1;1;0;0;1;0;0;2;1;1;0;0;2;1;0;0;0;0;0;0;2;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
;;20;Boshove, B.S.;88;0;0;0;0;0;1;2;0;0;0;0;1;0;0;0;0;1;3;2;0;0;1;0;0;1;0;4;0;0;3;1;0;1;1;0;1;1;6;2;0;2;0;1;2;6;0;1;0;6;2;3;0;0;3;1;0;0;0;0;1;0;2;0;5;2;2;0;4;0;0;1;2;0;0;2;0;0;2;0;0;0;0;2;1;2;0;1;0;0;0;0
;;21;Fritschy, S.M.;35;0;2;1;0;0;0;0;0;0;0;0;1;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;1;2;1;0;1;0;0;0;0;1;0;2;0;0;0;1;0;0;0;2;0;0;1;0;2;0;0;1;3;0;0;0;0;0;3;0;0;0;0;1;0;0;0;0;2;0
;;22;Farrokhi, S.;55;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;3;0;2;0;2;1;4;1;0;0;0;0;5;5;2;0;1;0;0;0;1;0;0;0;1;1;1;0;0;1;0;2;2;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;2;1;0;0;1;2;0;0;4;1;1;1;0;0;0;0;0;0
;;23;Tempelman-Lam, M.D.;24;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;2;0;1;1;0;2;0;1;0;0;2;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
;;24;ten Hagen, N.;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;1;0;3;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;25;Van de Waeter, H.J.;16;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
;;26;Brand, M.J.G.;19;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;3;0;0;0;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
;;27;Docter, L.;14;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;;28;Nusselder, J.;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;1;1;0;2;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;2;1;0;1;0;0;1;2;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0
;;29;Swart, R.;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;30;Wever, V.;20;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;1;0;1;0;0;0;2;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;2;0;0;1;0;0;0;0;0;0
;;31;Kuilder, A.M.;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
;;32;Flikweert, J.M.;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;1;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0
;;33;Bouman, A.J.;61;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;2;2;0;0;2;0;0;0;0;0;0;1;3;0;0;1;0;0;0;2;2;1;0;2;0;0;0;2;0;2;3;2;0;0;0;1;0;0;3;0;0;2;1;0;3;0;0;0;3;3;0;0;3;2;0;0;0;1;2;1;1;3;0;0;0;0
