Verkiezing;;Gemeenteraad Borne 2022;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Borne;;;;;;;;;;;;;;;;;;;;;
Nummer;;0147;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Gemeentehuis;Sportcentrum De Wensinkhof;Bornse Harmonie;Wijkgebouw De Letterbak;Sporthal 't Wooldrik;Brandweerkazerne;Het Kulturhus;Sportzaal De Hooiberg 1;MFA Sindron;Bornsche Maten 1;Het Spookhoes;Sportzaal De Hooiberg 2;Kerkgebouw De Fontein;Gezondheidscentrum Fleminghof;Bornsche Maten 2;Gemeentehuis (maandag 14 maart);Wijkgebouw De Letterbak (maandag 14 maart);Gemeentehuis (dinsdag 15 maart);Wijkgebouw De Letterbak (dinsdag 15 maart)
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;50;51;52;53
Postcode;;;;;7622 DG;7622 HB;7621 EM;7621 CV;7621 AH;7622 BM;7622 CP;7623 DX;7625 PJ;7623 AX;7626 LV;7623 DX;7621 TK;7622 MB;7623 AX;7622 DG;7621 CV;7622 DG;7621 CV
;opgeroepenen;;;18965;1516;1500;940;1506;1216;1369;1332;1454;1154;1223;447;1518;977;825;1988;0;0;0;0
;geldige stempas;;;9224;948;542;372;480;576;412;459;559;567;592;276;611;204;486;601;440;188;664;247
;geldig volmachtbewijs;;;1093;123;59;38;54;74;50;64;53;75;86;39;69;13;51;91;51;14;72;17
;geldige kiezerspas;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;toegelaten kiezers;;;10317;1071;601;410;534;650;462;523;612;642;678;315;680;217;537;692;491;202;736;264
;geldige stembiljetten;;;10249;1059;599;406;528;641;460;516;607;639;673;313;677;217;534;688;490;202;736;264
;blanco stembiljetten;;;47;8;1;3;4;7;2;6;3;1;5;2;1;0;1;3;0;0;0;0
;ongeldige stembiljetten;;;22;5;1;0;2;2;1;0;2;2;1;0;2;0;2;1;1;0;0;0
;aangetroffen stembiljetten;;;10318;1072;601;409;534;650;463;522;612;642;679;315;680;217;537;692;491;202;736;264
;meer stembiljetten dan toegelaten kiezers;;;3;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0
;minder stembiljetten dan toegelaten kiezers;;;2;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
;kiezers met stembiljet hebben niet gestemd;;;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te weinig stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te veel stembiljetten uitgereikt;;;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
;geen verklaring;;;3;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;andere verklaring;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;CDA;;;2000;198;102;64;80;183;75;108;99;190;109;98;106;41;115;112;87;44;136;53
;;1;ter Braak, (B.A.J.);1134;118;60;38;56;92;40;60;67;68;58;62;68;27;77;56;52;21;81;33
;;2;Slotman, (B.H.);143;9;9;7;2;11;5;20;7;6;3;0;4;5;9;5;15;10;11;5
;;3;Cordova-Bloemhof, (M.M.);67;5;2;3;3;6;5;2;6;3;6;2;4;0;5;7;3;1;3;1
;;4;Oude Lansink, (B.J.B.);189;22;3;3;3;23;7;9;0;63;1;7;4;3;11;7;5;5;9;4
;;5;Leushuis, (W.H.J.);98;8;5;1;1;5;1;3;4;2;18;5;6;0;3;21;1;1;12;1
;;6;Hegteler, (B.S.);62;6;8;2;7;26;1;1;1;3;1;0;0;1;3;1;0;0;1;0
;;7;Sluiter, (P.L.);21;0;0;5;3;2;2;0;0;1;3;1;0;0;0;2;0;0;2;0
;;8;Lucas, (H.H.M.);28;2;0;0;0;2;3;7;0;3;0;0;1;0;1;0;2;0;3;4
;;9;Legdeur, (G.W.J.);24;3;0;1;0;0;7;0;1;2;0;4;0;2;0;0;2;1;1;0
;;10;Asbroek- ten Berge, (M.M.Th.);60;8;6;2;1;3;1;2;8;2;4;0;8;0;2;4;2;2;2;3
;;11;Kuiphuis, (B.F.J.);28;1;2;0;4;5;0;0;0;0;6;0;3;0;2;3;0;2;0;0
;;12;Schothuis, (H.J.M.);9;0;2;0;0;1;0;0;2;1;0;0;2;0;0;0;0;0;1;0
;;13;van Loenen, (D.G.);23;5;4;1;0;2;0;1;1;0;1;0;0;1;0;1;3;0;3;0
;;14;Kiel, (K.H.G.);10;0;0;0;0;0;0;0;1;2;3;3;0;0;0;1;0;0;0;0
;;15;Maathuis, (J.A.);47;1;0;0;0;3;0;1;0;33;2;2;0;0;2;0;1;0;2;0
;;16;van Zelm, (M.J.);30;7;1;0;0;2;2;2;1;0;2;0;3;1;0;0;1;1;5;2
;;17;ten Berge, (A.A.M.);27;3;0;1;0;0;1;0;0;1;1;12;3;1;0;4;0;0;0;0
2;GB'90;;;2552;283;154;119;114;121;84;138;161;83;209;86;186;51;154;237;103;48;168;53
;;1;Scholten, K.M.;1388;151;75;47;50;74;45;78;88;58;119;41;133;26;83;121;66;17;100;16
;;2;Naaktgeboren, R.J.;132;12;10;6;3;15;6;4;9;4;15;2;2;5;8;16;4;0;7;4
;;3;Entrop, A.G.;93;6;5;2;2;0;5;3;4;6;17;9;1;0;8;16;1;0;8;0
;;4;Busschers, N.M.;69;9;6;1;1;3;1;6;0;0;7;1;2;0;6;16;4;0;6;0
;;5;Headley, R.E.;143;18;9;5;6;2;3;5;11;0;12;2;9;1;16;25;6;1;9;3
;;6;Olsman, H.S.;24;1;1;2;3;3;2;0;0;0;5;0;0;0;2;2;0;0;0;3
;;7;Susanna, W.;35;8;1;1;0;1;0;4;6;1;4;1;1;0;2;3;1;0;1;0
;;8;Bosman, S.;257;36;26;31;24;4;10;12;15;2;5;4;8;13;13;6;3;12;18;15
;;9;Schafraad-Morsink, Y.F.B.M.;34;5;0;3;2;5;0;0;2;4;5;0;0;0;0;5;2;1;0;0
;;10;de Boer, M.;74;7;3;0;4;2;2;5;11;2;9;0;7;2;1;9;2;1;4;3
;;11;Hendriks, J.J.;28;2;1;0;7;0;1;0;1;3;2;1;1;1;1;1;0;3;2;1
;;12;Wensink, L.M.;41;3;4;2;3;2;3;6;3;1;3;1;2;1;1;2;1;2;0;1
;;13;Kotteman, M.J.R.;46;7;4;2;1;3;2;3;1;0;0;2;5;1;5;2;6;0;2;0
;;14;Immerman, J.B.;38;2;4;2;3;1;1;5;2;0;1;0;4;1;2;2;1;3;4;0
;;15;Withag, J.A.;61;5;2;9;2;4;0;3;0;0;1;4;4;0;5;4;4;2;5;7
;;16;Schabbink, H.A.M.;32;2;0;2;0;0;0;0;3;1;0;17;1;0;0;2;1;2;1;0
;;17;Denekamp, R.L.;19;4;1;2;2;0;0;0;1;0;0;1;3;0;0;1;0;4;0;0
;;18;Wensink, R.G.M.;25;3;2;2;1;1;1;3;3;1;2;0;2;0;1;1;1;0;1;0
;;19;Veldhof, G.J.A.;13;2;0;0;0;1;2;1;1;0;2;0;1;0;0;3;0;0;0;0
3;VVD;;;1537;147;71;31;78;91;86;53;76;219;126;43;94;17;59;121;67;40;89;29
;;1;Graafhuis, L.C.A.W.;883;71;32;20;43;62;68;33;41;173;51;27;35;6;29;53;38;25;54;22
;;2;Prakken, J.I.;329;45;24;7;15;20;9;12;18;6;45;9;22;6;19;45;12;2;10;3
;;3;Voogsgeerd-Bekhuis, K.S.M.;84;4;5;0;3;2;3;1;0;34;8;3;6;0;4;1;5;2;3;0
;;4;Markslag-Zonder, W.A.M.G.;66;8;7;1;7;1;2;2;4;3;8;0;1;2;2;9;1;3;3;2
;;5;Smeets, K.N.;73;10;1;3;2;4;2;1;4;0;5;0;14;0;0;2;4;6;15;0
;;6;van Helvert, J.A.C.M.;70;2;2;0;4;2;2;4;7;3;5;2;14;0;4;7;6;2;2;2
;;7;Bathoorn, L.;32;7;0;0;4;0;0;0;2;0;4;2;2;3;1;4;1;0;2;0
4;Borne-Nu;;;1388;120;118;75;86;87;100;60;78;46;96;37;84;38;62;89;61;20;98;33
;;1;Drees, B.;611;46;51;36;42;28;29;30;29;25;51;9;37;17;30;53;30;8;45;15
;;2;van den Berg, H.B.;187;20;12;13;11;8;11;5;11;3;6;17;11;7;15;5;7;8;15;2
;;3;Lammers, A.P.;26;4;2;3;0;5;1;0;4;0;0;2;0;0;0;1;0;0;1;3
;;4;Pabon, M.M.N.;125;10;14;5;6;9;11;3;3;3;18;1;6;4;4;10;5;3;8;2
;;5;van den Berg, M.;111;11;18;3;2;4;2;5;11;0;10;3;9;1;2;12;7;1;6;4
;;6;Velten, M.J.;132;9;7;5;6;12;35;4;7;5;3;4;7;1;3;0;9;0;13;2
;;7;Faulhaber-Otten, E.J.;56;6;3;0;10;8;1;5;4;1;2;1;3;4;2;1;1;0;1;3
;;8;Lobbes, P.J.M.;16;1;2;3;0;7;0;1;0;1;0;0;0;1;0;0;0;0;0;0
;;9;Velten, M.G.;72;5;5;5;5;6;7;2;7;5;5;0;5;2;2;4;2;0;5;0
;;10;Oldenburger, W.J.;20;0;2;2;2;0;2;3;0;3;0;0;0;0;3;0;0;0;1;2
;;11;Ravenshorst, J.;32;8;2;0;2;0;1;2;2;0;1;0;6;1;1;3;0;0;3;0
5;GROENLINKS / Partij van de Arbeid (P.v.d.A.);;;1302;155;79;49;75;80;53;62;89;44;58;23;80;41;73;56;98;26;118;43
;;1;Zandjans, M.J.;938;103;50;35;56;55;46;41;68;34;42;13;64;31;58;34;70;22;84;32
;;2;de Vries, J.;54;9;0;2;3;1;1;4;1;5;1;9;5;1;0;4;2;0;6;0
;;3;Amptmeijer, R.S.;118;13;12;8;9;6;3;4;7;0;11;0;5;3;6;9;11;0;8;3
;;4;Tikken, M.;50;6;3;4;1;9;1;2;4;4;0;0;1;4;3;0;1;1;2;4
;;5;Boersma, C.J.B.;54;16;5;0;0;2;1;4;6;0;0;0;0;1;2;4;4;1;7;1
;;6;van den Oever, J.M.P.;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;7;Engelsman, J.H.H.;17;0;0;0;0;2;0;0;3;0;0;0;3;0;0;3;4;0;2;0
;;8;Menheere, W.M.M.;28;3;6;0;2;1;0;1;0;1;3;0;1;1;1;0;1;1;4;2
;;9;ten Bloemendal, H.C.;10;0;0;0;2;1;0;2;0;0;0;0;0;0;2;0;1;0;2;0
;;10;Martens, R.G.;10;0;1;0;1;3;0;1;0;0;0;0;0;0;0;1;1;0;2;0
;;11;Slettenhaar, H.K.;22;5;2;0;0;0;1;3;0;0;1;1;1;0;1;1;3;1;1;1
6;SP (Socialistische Partij);;;808;98;52;51;55;46;29;50;56;35;26;19;44;22;34;31;48;11;78;23
;;1;Visser, M.G.H.;607;79;43;39;43;37;17;35;44;26;23;10;36;16;22;21;38;7;54;17
;;2;Schoon, W.F.;33;2;1;0;2;0;1;5;2;4;0;6;1;0;0;3;2;2;0;2
;;3;Vrieze, R.W.;12;0;0;0;0;0;1;1;2;1;1;2;0;1;2;0;0;0;1;0
;;4;Peters, A.G.;34;2;4;3;4;0;5;1;2;0;0;0;0;0;4;1;1;0;5;2
;;5;Wiggers-Cornelis, E.;27;3;1;1;2;1;1;4;4;0;1;0;2;3;0;2;1;0;1;0
;;6;de Groot, A.;22;3;0;4;0;5;1;2;1;1;0;0;0;0;0;2;0;0;3;0
;;7;Conejos, H.T.;18;1;2;1;1;1;2;1;0;0;0;0;3;0;0;1;1;0;3;1
;;8;Greevink, M.J.;8;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;3;0;3;0
;;9;de Jong, S.D.;13;1;0;1;1;0;0;1;0;1;1;1;1;0;3;0;0;0;2;0
;;10;Geertsma, R.J.;12;3;0;2;2;1;1;0;0;1;0;0;0;0;0;0;1;0;1;0
;;11;Hemmelder, W.A.B.T.;5;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;1;0;1
;;12;Koelen, F.L.J.;17;4;1;0;0;1;0;0;0;1;0;0;0;1;2;0;1;1;5;0
7;D66;;;662;58;23;17;40;33;33;45;48;22;49;7;83;7;37;42;26;13;49;30
;;1;Janssen, E.W.J.;421;37;14;6;30;25;22;24;28;18;30;4;49;5;21;33;17;9;29;20
;;2;Woudstra, C.;87;6;3;5;6;2;7;5;4;0;4;0;17;0;4;3;4;2;9;6
;;3;Verreussel, T.H.G.M.;40;2;1;2;0;1;2;6;4;1;2;2;4;0;3;1;1;0;5;3
;;4;Wes, B.J.;65;6;1;3;3;4;1;3;6;1;10;1;5;1;8;3;4;1;4;0
;;5;Mijnheer, E.;31;3;2;0;0;1;1;5;5;1;1;0;6;1;1;1;0;0;2;1
;;6;van Hasselt, H.J.;9;2;1;1;0;0;0;1;1;1;1;0;0;0;0;1;0;0;0;0
;;7;Brand, R.S.;9;2;1;0;1;0;0;1;0;0;1;0;2;0;0;0;0;1;0;0
