Verkiezing;;Gemeenteraad Hellendoorn 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Hellendoorn;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0163;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Huis voor Cultuur & Bestuur;Gebouw OZO;Prinses Marijkeschool;Wijkgebouw de Brake;Wijkgebouw Blokkendoos;Wijkgebouw 't Diekhuus;Wijkcentrum Groot Lochter;Basisschool de Meander;Wijkgebouw Wilhelminawijk;Het Noaberhuus;Leerkamer Protestantse Gemeente;Dorpshuis Sion;Sporthal Kruidenwijk;Dorpshuis 'n Kadiek;Kulturhus 't Trefpunt;Sporthal De Veldkamp;Buurthuis de Leemkamp;Jan Barbierschool;Gebouw Bunga Tandjung;Kulturhus Kruidenwijk;Mobiel Stembureau;Huis voor Cultuur & Bestuur;Huis voor Cultuur & Bestuur;Leerkamer Protestantse Gemeente;Leerkamer Protestantse Gemeente
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;14;15;16;17;18;19;20;21;22;23;24;25;26;27
Postcode;;;;;7442 MA;7441 DW;7441 BH;7442 AX;7442 TH;7442 ZL;7442 JH;7442 BM;7443 XB;7447 CM;7447 HM;7443 RB;7443 HC;7688 PW;7687 AR;7448 RB;7447 SP;7447 RH;7442 LV;7443 HC;;7442 MA;7442 MA;7447 HM;7447 HM
;opgeroepenen;;;28873;1225;1656;1540;1411;1239;1309;1615;1146;1636;1996;1914;1666;2054;1112;955;1691;590;687;1468;1963;0;0;0;0;0
;geldige stempas;;;15797;749;746;840;575;562;534;801;532;693;851;1007;778;758;713;476;966;363;332;532;1233;102;419;665;214;356
;geldig volmachtbewijs;;;1672;67;83;85;38;42;51;64;58;78;110;102;89;82;103;56;117;42;48;55;154;9;34;55;15;35
;geldige kiezerspas;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;toegelaten kiezers;;;17469;816;829;925;613;604;585;865;590;771;961;1109;867;840;816;532;1083;405;380;587;1387;111;453;720;229;391
;geldige stembiljetten;;;17418;811;827;919;608;603;585;861;586;768;959;1106;868;838;813;531;1082;402;381;586;1386;110;451;718;229;390
;blanco stembiljetten;;;31;2;1;5;2;1;0;2;3;2;1;1;0;1;1;1;1;2;0;1;4;0;0;0;0;0
;ongeldige stembiljetten;;;27;2;2;1;2;0;0;2;1;1;1;2;1;1;2;0;0;1;0;1;2;1;1;2;0;1
;aangetroffen stembiljetten;;;17476;815;830;925;612;604;585;865;590;771;961;1109;869;840;816;532;1083;405;381;588;1392;111;452;720;229;391
;meer stembiljetten dan toegelaten kiezers;;;10;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;1;5;0;0;0;0;0
;minder stembiljetten dan toegelaten kiezers;;;3;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
;kiezers met stembiljet hebben niet gestemd;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te weinig stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te veel stembiljetten uitgereikt;;;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0
;geen verklaring;;;10;1;0;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;5;0;1;0;0;0
;andere verklaring;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;Lokaal Hellendoorn;;;8603;323;393;324;318;327;281;465;298;368;546;631;447;437;406;171;607;234;231;289;661;41;190;279;110;226
