Verkiezing;;Gemeenteraad Haaksbergen 2022;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Haaksbergen;;;;;;;;;;;;;;;;;;;;;
Nummer;;0158;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Gemeentehuis;Theater de Kappen;De Trefkoel,Buurse;'t Meuken,Isidorushoeve;Basisschool Holthuizen bureau 5;De Oude Molen;Het Schuttershoes;Montessorischool;Het Bakkershuis;Basisschool de Kameleon;Basisschool Dr. Ariens;Sporthal de Els;Basisschool Los Hoes;Gemeentehuis;Gemeentehuis;'t Meuken,Isidorushoeve;De Trefkoel,Buurse;Het Saalmerink;De Wiedenhof
Gebiednummer;;;;;1;2;3;4;5;6;7;9;10;11;12;13;14;15;16;17;18;19;20
Postcode;;;;;7481 EB;7481 EB;7481 RP;7482 ST;7482 ET;7481 BG;7481 VP;7481 BC;7481 GL;7482 TW;7482 ZK;7482 VX;7483 CT;7481 EB;7481 EB;7482 ST;7481 RP;7481 EN;7481 CB
;;7;Briggeman, W.;26;2;1;2;3;4;3;1;2;0;0;0;4;1;3;0;0;0;0;0
4;D66;;;1001;85;59;36;24;143;36;40;111;54;72;54;68;99;44;57;7;11;0;1
;;1;Vonkeman, G.J.;357;26;26;18;8;50;14;14;38;12;28;19;24;39;20;15;0;5;0;1
;;2;Janssen, A.E.M.;307;33;14;13;10;45;9;12;31;22;13;13;27;25;10;25;4;1;0;0
;;3;Belshof, H.B.M.;176;11;5;2;2;22;3;6;31;11;19;11;10;24;6;8;2;3;0;0
;;4;Remmelts-Wachters, M.F.;115;11;13;3;3;16;8;5;9;5;8;6;6;5;6;9;1;1;0;0
;;5;Westerholt, W.J.;8;0;0;0;0;0;1;1;1;2;0;0;1;0;2;0;0;0;0;0
;;6;Veger, J.H.;5;0;0;0;0;1;0;0;0;0;1;1;0;2;0;0;0;0;0;0
;;7;Rouwenhorst, C.;33;4;1;0;1;9;1;2;1;2;3;4;0;4;0;0;0;1;0;0
5;Partij van de Arbeid (P.v.d.A.);;;1391;166;77;46;32;166;51;29;104;79;104;122;112;101;73;96;8;19;6;0
;;1;Looman, T.J.H.;591;72;37;25;13;77;29;13;36;36;38;38;41;46;30;41;5;9;5;0
;;2;Yüksel, D.;209;30;8;2;0;10;4;2;18;5;19;42;23;23;9;12;0;2;0;0
;;3;Scholten, G.H.M.;75;10;7;1;6;5;2;1;1;5;5;8;10;2;6;4;2;0;0;0
;;4;Waanders, A.E.M.;201;25;9;14;7;20;6;6;16;10;16;13;15;11;15;14;1;3;0;0
;;5;Harbers-Wennemers, E.M.;134;13;6;3;1;27;5;3;13;11;9;7;7;5;7;14;0;3;0;0
;;6;van Dijk, J.H.;36;3;1;1;1;12;1;1;1;3;3;2;4;0;0;3;0;0;0;0
;;7;Landman-Hulshoff, G.C.;26;2;0;0;0;2;2;0;3;0;3;2;2;6;0;3;0;0;1;0
;;8;Damveld, J.H.M.;23;0;0;0;2;9;0;2;3;3;0;2;0;0;0;1;0;1;0;0
;;9;Ottenschot, H.M.T.;21;3;1;0;1;3;0;0;4;0;2;6;1;0;0;0;0;0;0;0
;;10;Voogsgeerd, H.;20;0;0;0;0;1;0;0;2;0;4;0;6;2;5;0;0;0;0;0
;;11;Noordink, J.G.;55;8;8;0;1;0;2;1;7;6;5;2;3;6;1;4;0;1;0;0
6;Nieuw Haaksbergen;;;2495;180;108;175;145;324;124;113;156;185;153;139;192;214;98;133;23;27;5;1
;;1;Uuldriks, W.R.A.;1083;74;56;50;62;162;51;60;73;84;59;66;75;96;29;64;10;9;2;1
