Verkiezing;;Gemeenteraad Oldenzaal 2022;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Oldenzaal;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0173;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Stadhuis;Koninklijke Harmonie St. Joseph;Dienstencentrum de Walgaarden;Voetbalvereniging Quick '20;Koninklijke Muziekvereniging Semper Crescendo;Schoolgebouw Bentheimerstraat - ingang Molenstraat;Stationsrestauratie Oldenzaal;School Breedwijs Zuid-Berghuizen;Tennisvereniging Zuid-Berghuizen;Wielervereniging OWC;Basisschool de Wendakker;Paviljoen Paal 12;Hockeyclub Bully;Sportcafé De Kolk;Voetbalvereniging De Esch;Wijkcentrum 't Blikpunt;Basisschool de Bongerd;Sporthal De Kolk;Stadhuis;Wijkcentrum 't Blikpunt;Stadhuis;Wijkcentrum 't Blikpunt;Mobiel stembureau de Groote Markt;Mobiel stembureau 2
;;8;Yildirim, M.;132;5;3;11;4;2;1;4;23;6;8;18;19;11;0;1;5;3;4;0;0;4;0;0;0
;;9;Kangus, E.;77;1;1;3;1;0;4;4;1;0;0;11;25;9;2;0;3;5;2;0;0;2;3;0;0
;;10;Liebrand, Y.B.;26;4;0;2;3;2;1;0;0;1;3;2;3;2;0;1;0;0;0;1;1;0;0;0;0
;;11;Zuidersma - Horsthuis, A.C.M.;42;6;2;0;2;2;6;4;2;0;0;2;4;2;1;1;1;2;1;3;0;1;0;0;0
;;12;Engbers, S.H.G.;57;1;1;4;5;0;0;0;0;4;5;7;4;12;1;2;2;7;1;0;0;0;1;0;0
;;13;Bekke, J.A.M.;19;1;0;1;0;0;0;1;0;2;1;1;1;0;2;2;2;1;0;0;4;0;0;0;0
;;14;de Gunst - de Boer, G.H.;36;2;0;6;0;1;0;0;0;0;0;1;2;2;1;4;4;1;2;2;2;2;4;0;0
;;15;Braakhuis - Keizers, M.C.J.W.;31;5;0;2;1;2;1;3;1;0;0;0;0;0;3;1;2;0;9;1;0;0;0;0;0
;;16;olde Kalter, G.H.;39;0;2;2;3;0;2;1;3;1;4;11;0;1;0;0;2;0;2;2;0;2;1;0;0
;;17;Harmelink, A.E.M.;4;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0
;;18;Oude Engberink, M.J.G.;14;2;1;2;0;0;0;2;2;2;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0
;;19;Vloothuis, T.G.M.;50;6;3;2;4;0;2;1;1;0;4;1;2;1;1;2;2;1;8;1;0;6;1;0;1
;;20;Lempsink, J.H.P.;152;12;6;9;3;4;6;6;12;23;1;14;10;4;7;1;1;3;7;10;1;9;1;1;1
2;CDA;;;2386;166;142;74;136;67;115;88;143;138;109;105;101;66;76;138;103;123;126;79;39;131;67;33;21
;;1;Rödel, M.E.A.;1507;94;102;43;89;44;78;54;57;69;61;68;63;43;45;100;76;92;87;45;26;89;49;18;15
;;2;Maartens, H.J.M.;212;10;5;4;4;7;2;1;59;56;5;7;4;2;3;3;3;3;4;13;4;9;3;1;0
;;3;Gelevert, L.J.;111;8;12;5;8;4;8;5;6;2;0;3;3;5;8;8;4;5;5;2;3;5;2;0;0
;;4;Wagelaar, A.A.M.;76;6;6;5;2;0;1;3;0;1;17;4;8;0;1;2;4;3;3;1;2;4;0;3;0
;;5;Seijger, M.J.;52;6;1;3;4;3;3;3;0;1;3;3;4;2;0;0;0;3;5;4;0;2;2;0;0
;;6;van der Woning, J.J.;71;8;2;2;3;0;1;5;12;3;1;8;2;1;2;5;1;1;4;1;0;7;1;0;1
;;7;Loke, R.A.;83;7;2;1;7;1;3;5;2;2;4;3;4;6;5;1;3;7;6;2;2;5;3;2;0
;;8;ten Vergert, H.A.J.;43;1;1;1;5;0;3;2;0;0;4;2;0;4;1;3;5;3;3;1;0;1;0;3;0
;;9;de Wolf, G.P.M.;45;1;1;1;4;1;5;2;1;0;2;2;6;0;5;3;3;0;3;3;0;2;0;0;0
;;10;Hazewinkel, L.M.E.;31;3;3;0;2;0;4;1;0;1;2;2;0;0;2;0;3;1;3;1;0;2;0;1;0
;;11;Horsthuis, H.G.J.;32;1;2;4;0;4;2;3;0;0;3;1;0;0;1;2;0;2;0;1;0;3;1;0;2
;;12;Bartelink, J.A.;7;0;0;0;1;0;0;0;0;0;0;2;0;2;0;0;0;0;1;0;0;0;1;0;0
;;13;Vogelzang, A.P.;40;11;1;2;4;3;1;3;2;1;0;0;3;1;0;3;0;0;0;1;0;0;3;0;1
;;14;van der Sanden, A.J.D.;13;4;0;0;0;0;2;0;0;0;2;0;1;0;0;0;0;2;1;0;0;0;0;0;1
;;15;Geelen, J.H.M.;9;0;3;0;0;0;0;0;0;0;4;0;0;0;0;2;0;0;0;0;0;0;0;0;0
;;16;Hesselink, H.P.M.;17;0;0;1;0;0;0;1;0;1;1;0;2;0;1;2;0;1;1;2;2;1;0;0;1
;;17;Vaneker, J.;37;6;1;2;3;0;2;0;4;1;0;0;1;0;2;4;1;0;0;2;0;1;2;5;0
3;VVD;;;2085;258;72;48;97;58;226;117;38;56;75;57;67;80;57;105;107;153;112;70;23;113;61;28;7
;;1;Visscher, X.E.N.;658;74;13;14;20;22;73;29;15;14;30;18;19;26;18;38;41;46;24;29;9;43;32;7;4
;;2;Zinkweg-Ankone, E.C.;511;59;25;0;26;12;63;40;6;10;13;14;19;25;8;27;24;40;31;21;1;26;14;4;3
;;3;Mekelenkamp, Y.B.S.;140;25;1;1;9;3;16;9;6;8;0;1;0;10;2;9;5;9;7;2;3;4;4;6;0
;;4;Nevels-ter Brake, N.;118;15;5;9;6;8;13;10;2;0;2;3;10;0;3;2;2;9;11;2;0;3;0;3;0
;;5;Nijland, G.F.M.;40;5;1;2;4;4;0;3;2;1;1;1;0;0;2;3;2;2;1;0;1;3;0;2;0
;;6;Kosterink, B.F.E.J.;32;4;1;0;1;0;4;3;0;0;3;1;3;1;1;0;3;3;0;0;0;3;1;0;0
;;7;Besseler, H.M.;44;6;5;2;1;0;1;1;0;0;3;1;2;1;1;2;0;5;4;2;3;2;2;0;0
;;8;Iepma, E.J.;45;8;7;0;1;1;2;3;1;1;1;3;2;2;0;2;3;2;1;1;0;4;0;0;0
;;9;Grobben, M.J.;35;2;2;0;5;0;0;1;0;0;0;1;1;3;3;3;2;0;10;0;2;0;0;0;0
;;10;Uitslag, M.R.A.;55;5;0;1;3;1;3;1;0;2;3;1;0;4;4;1;1;19;3;0;0;1;2;0;0
;;11;Davina, M.M.;44;8;0;2;4;4;6;1;2;2;0;3;2;2;2;1;3;0;1;0;1;0;0;0;0
;;12;Schukking, T.A.;25;6;1;2;0;0;0;1;0;5;1;0;2;0;2;1;1;2;0;0;0;1;0;0;0
;;13;Voshaar, B.S.E.;25;2;0;0;0;0;2;2;0;0;3;1;1;0;1;2;1;1;2;3;0;1;0;3;0
;;14;Velthuis-Roord, M.L.J.;36;1;1;1;2;0;2;0;1;3;0;4;0;0;1;4;6;2;3;0;2;0;3;0;0
;;15;Kerpişçi, A.;40;7;0;2;1;0;5;1;1;1;3;0;0;0;3;7;0;4;2;0;0;1;2;0;0
;;16;Velthuis, B.G.A.;25;1;2;5;2;0;1;3;1;1;0;0;0;2;1;0;1;0;0;3;0;2;0;0;0
;;17;Kamp, B.;36;1;0;1;2;0;10;1;0;3;3;2;2;1;2;1;2;0;1;0;0;3;0;1;0
;;18;Pieper, H.J.M.;14;3;0;2;0;0;1;0;1;0;0;0;1;1;0;0;1;0;0;0;0;4;0;0;0
;;19;Schukking, A.H.M.;7;4;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0
;;20;van der Zande, R.B.J.E.;44;1;1;1;8;3;2;0;0;2;6;2;1;2;1;1;3;3;3;0;0;4;0;0;0
;;21;Engbers-Vlaskamp, C.A.;37;3;1;2;1;0;11;1;0;2;0;0;1;0;0;1;4;3;4;0;1;2;0;0;0
;;22;van Zuijlen, T.A.J.;12;1;0;0;1;0;1;0;0;0;0;1;0;0;1;0;1;2;0;3;0;0;1;0;0
;;23;Fransman, J.;62;17;6;1;0;0;10;7;0;1;3;0;1;0;0;0;1;1;4;4;0;5;0;1;0
4;GROENLINKS;;;1016;78;44;54;48;42;45;53;39;50;44;55;39;19;41;31;58;37;79;29;27;74;18;8;4
;;1;Snijders, H.W.M.;347;30;9;23;14;7;14;10;13;20;23;13;16;5;13;9;21;13;30;14;13;31;3;2;1
;;2;Oorthuis, N.;343;24;21;12;19;20;18;20;16;12;7;24;12;7;16;12;20;15;25;9;8;15;6;5;0
;;3;Otter, K.H.;65;1;3;3;4;2;1;9;1;5;1;4;0;2;5;3;5;1;2;0;3;5;4;0;1
;;4;Wolbers, J.J.;34;1;4;1;1;5;2;0;1;2;1;2;1;4;1;1;2;0;1;0;0;3;1;0;0
;;5;Oosterbroek, M.J.H.;59;6;1;4;2;3;5;1;2;5;6;1;3;0;1;1;1;4;7;2;2;2;0;0;0
;;6;Briër, S. J. C.;52;7;2;2;4;0;2;4;1;4;5;1;0;0;0;1;2;2;2;0;0;11;0;1;1
;;7;Hendriks - van Kervel, J.G.G.M.;13;2;0;0;1;0;0;1;0;0;0;2;0;0;0;1;0;1;0;2;0;3;0;0;0
;;8;van Kervel, E.J.;6;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;1;1;0;0;1;0;0
;;9;Molema - Vlutters, M.;74;6;4;3;3;4;2;6;4;1;1;6;5;1;4;2;6;1;9;1;0;3;2;0;0
;;10;Koster, H.A.;23;1;0;6;0;1;0;1;1;1;0;1;2;0;1;1;1;0;2;0;1;1;1;0;1
5;Partij van de Arbeid (P.v.d.A.);;;1078;108;31;48;44;39;50;57;62;66;51;43;52;25;41;58;38;63;71;36;20;41;26;5;3
;;1;Lulofs, L.T.;496;62;21;25;20;20;20;27;21;17;30;17;24;12;11;32;17;28;20;19;9;23;16;3;2
;;2;Kramer, N.;118;6;1;2;4;2;6;4;23;32;4;3;6;0;4;3;3;4;3;3;0;1;2;2;0
;;3;Rietman, H.H.;94;6;2;3;6;5;10;12;3;8;2;5;1;2;6;3;3;5;3;4;0;3;1;0;1
;;4;Ankone, S.W.I.;44;4;2;2;0;4;3;1;1;0;1;1;1;2;2;4;2;3;8;1;1;1;0;0;0
;;5;Egberink, G.;102;6;3;3;1;1;4;3;3;3;4;6;1;4;14;9;5;7;21;2;0;1;1;0;0
;;6;Woldering, H.;16;0;0;0;1;0;0;0;0;1;3;0;1;1;1;2;0;0;4;0;0;0;2;0;0
;;7;van der Liet-Homeijer, M.C.;141;16;2;3;7;4;4;9;8;5;6;8;10;4;3;3;7;10;8;6;7;8;3;0;0
;;8;Nuchelmans, P.;29;7;0;2;1;1;2;1;0;0;0;0;4;0;0;0;0;3;2;1;3;1;1;0;0
;;9;Braker, M.;4;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
;;10;Middelburg, H.;9;0;0;0;1;2;1;0;2;0;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0
;;11;Hommels, A.G.C.;25;1;0;7;1;0;0;0;1;0;1;3;4;0;0;2;1;1;1;0;0;2;0;0;0
6;D66;;;725;64;29;26;32;24;36;29;26;25;30;55;28;32;15;37;35;53;51;33;14;26;18;5;2
;;1;Ailo-Zaia, M.;469;43;21;15;16;10;26;20;15;13;21;39;19;17;9;30;25;35;32;23;7;20;9;3;1
;;2;van der Waal, M.J.;53;3;1;3;0;1;2;3;6;1;4;3;1;2;0;1;4;7;6;3;0;0;2;0;0
;;3;van Alfen, S.;25;3;0;2;1;1;1;0;0;1;1;2;0;3;0;1;1;1;1;1;0;2;3;0;0
;;4;Rolefes-Wesselink, L.L.;112;12;3;6;9;4;6;4;2;4;4;7;4;8;3;3;2;8;7;5;6;1;2;1;1
;;5;Olde Engberink, G.W.M.;25;1;1;0;3;4;0;1;3;2;0;1;1;0;1;1;2;2;0;0;1;0;1;0;0
;;6;Nijhof, M.F.;10;1;1;0;1;0;0;0;0;0;0;0;1;0;1;1;0;0;2;0;0;1;0;1;0
;;7;Huiskes, J.H.J.;31;1;2;0;2;4;1;1;0;4;0;3;2;2;1;0;1;0;3;1;0;2;1;0;0
7;Solidair Oldenzaal (SO);;;1549;126;61;77;82;42;45;52;82;85;58;126;108;79;37;77;50;74;117;41;20;46;41;22;1
;;1;Bouwman, R.;593;41;23;21;33;17;21;17;30;31;20;52;45;35;13;36;15;27;42;22;8;16;20;8;0
;;2;Berger, R.;394;37;18;21;18;7;9;12;16;25;11;30;20;18;12;23;15;17;28;10;7;20;9;11;0
;;3;Gühnen, T.;132;17;6;10;7;7;1;3;10;3;3;15;11;1;4;3;2;4;15;6;1;1;1;1;0
;;4;Willemsen, W.;39;4;1;3;1;0;1;2;3;6;1;0;1;1;2;1;4;1;4;0;0;0;3;0;0
;;5;Kemna, J.;219;15;7;12;15;4;9;15;8;13;7;15;17;22;4;6;4;14;16;2;2;7;3;2;0
;;6;Smuling, H.V.;38;0;0;2;1;0;0;0;2;1;3;5;5;0;1;2;5;2;6;0;2;0;1;0;0
;;7;van Wensen, J.;24;4;0;4;0;0;0;0;4;0;1;2;1;0;0;2;2;2;1;1;0;0;0;0;0
;;8;Dijkhuis, R.J.A.;46;5;4;3;0;2;2;1;6;2;1;1;4;0;1;4;2;3;2;0;0;1;1;0;1
;;9;van den Engh, R.B.A.;64;3;2;1;7;5;2;2;3;4;11;6;4;2;0;0;1;4;3;0;0;1;3;0;0
