Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Stembureau DAS;Stembureau CNS;Stembureau De Reestkerk;Stembureau PG Kerk Oud Avereest-Balkbrug;Stembureau Geref.Ver.gebouw 't Kruispunt;Stembureau Ver. gebouw De Bo;Stembureau Dorpshuis De Heujmansbelt;Stembureau Kantine DKB;Stembureau Dorpshuis De Krim;Stembureau Dedemsvaart - Clubgebouw Korfbal;Stembureau Kerkelijk Centrum De Fontein;Stembureau MFC De Baron 16 maart;Stembureau MFC de Baron 2e zaal;Stembureau Chr. Geref. Kerk.;Stembureau Chr. Daltonschool De Groen;Stembureau Tent bij de Kiefer;Stembureau Kantine DVC Dedemsvaart;Stembureau MFC de Binder 16 maart;Stembureau MFC de Binder 2e zaal;Stembureau Café Bolte Gramsbergen;Stembureau Wijkcentrum Baalder;Stembureau Zaal Mulder;Stembureau Zaal Mulder 2e zaal;Stembureau Wijkcentrum De Wiekstee;Stembureau Sporthal de Beek;Stembureau De Schakel;Stembureau Sporthal de Meet;Stembureau 't Uilenest;Stembureau Gemeentehuis 16 maart;Stembureau De Smidse;Stembureau Ver. gebouw  de Esch;Stembureau Wijkcentrum Norden-Hazenbos;Stembureau Marslanden - Restaurant Het Heemse;Stembureau De Levensbron;Stembureau Tent bij de Schoutenhof;Stembureau Camping 't Rheezerwold;Stembureau Ver.gebouw Hoogenweg;Stembureau 't Haarschut Kloosterhaar 16 maart;Stembureau Hervormd Jeugdgebouw De Rank;Stembureau Ver. geb. a/d Lutteresweg;Stembureau MFC Lutten;Stembureau De Wingerd;"Stembureau Dorpshuis ""De Heugte""  Radewijk";Stembureau Ons Trefpunt Schuinesloot;Stembureau De Horst Sibculo;Stembureau R.K. kerk H. Alphonsus de Liguori;Stembureau Kantine SC Lutten;Stembureau Jeugdgebouw  Kronkelhonk;Stembureau MFC de Baron 14 maart;Stembureau MFC de Baron 15 maart;Stembureau MFC de Binder 14 maart;Stembureau MFC de Binder 15 maart;Stembureau Gemeentehuis 14 maart;Stembureau Gemeentehuis 15 maart;Stembureau 't Haarschut Kloosterhaar 14 maart;Stembureau 't Haarschut Kloosterhaar 15 maart
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;1214;1215;1814;1815;2914;2915;3814;3815
Postcode;;;;;7784 CG;7707 DZ;7707 PM;7707 AK;7691 BA;7691 CG;7695 TJ;7782 RA;7782 RN;7701 VT;7701 JE;7701 GM;7701 GM;7701 EA;7701 AT;7701 PZ;7701 VP;7783 HA;7783 HA;7783 BX;7772 DP;7772 PB;7772 PB;7772 LZ;7772 LX;7772 BL;7772 ZH;7771 AC;7772 HZ;7771 CV;7771 RD;7771 WX;7773 AH;7773 AA;7773 CC;7696 HT;7793 HP;7694 AA;7775 AT;7775 PP;7775 CA;7692 AE;7791 RK;7777 RN;7693 PH;7776 AG;7776 PA;7776 PL;7772 TV;7772 TV;7772 TV;7772 TV;7772 HZ;7772 HZ;7694 AA;7694 AA
;aangetroffen stembiljetten;;;26727;419;646;499;420;762;649;535;304;389;574;435;461;471;423;595;740;374;475;508;486;596;681;598;604;691;529;482;542;520;704;656;466;756;339;760;415;357;417;359;252;400;682;337;426;545;433;138;477;383;580;138;267;342;537;59;94
;meer stembiljetten dan toegelaten kiezers;;;7;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1
;minder stembiljetten dan toegelaten kiezers;;;14;0;0;0;0;0;1;1;0;0;2;0;0;0;0;1;0;0;0;0;0;0;1;0;0;2;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0
;kiezers met stembiljet hebben niet gestemd;;;5;0;0;0;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te weinig stembiljetten uitgereikt;;;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te veel stembiljetten uitgereikt;;;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;geen verklaring;;;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;2;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1
;andere verklaring;;;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
1;CDA;;;8148;202;206;104;99;184;191;225;146;171;186;103;93;109;105;156;161;75;188;197;191;153;213;163;177;193;171;153;175;135;165;186;118;249;92;215;218;109;102;127;95;127;204;161;116;334;96;40;113;95;133;54;97;86;155;10;26
;;1;Breukelman, M.;2784;34;36;28;28;111;101;119;14;24;46;40;38;27;31;39;38;14;35;39;45;54;91;81;98;81;85;73;84;64;57;82;64;86;39;72;19;56;31;36;24;49;82;101;31;17;45;26;53;35;32;12;16;37;70;0;14
;;2;van der Wel, P.C.;773;11;4;0;1;17;17;17;1;2;3;1;5;1;3;2;4;1;6;2;4;45;50;36;23;46;53;30;39;27;38;34;16;61;19;38;4;7;3;7;2;7;8;7;2;1;3;2;4;1;2;1;3;21;31;0;0
;;3;Soeten - Wessels, W.E.H.;553;0;2;0;1;19;17;5;1;0;2;1;3;5;1;7;2;1;2;5;2;4;4;5;5;5;7;4;6;4;4;2;7;5;4;7;1;3;56;2;0;3;7;1;1;288;2;1;1;1;2;0;1;7;7;9;11
;;4;Wolbink, T.;922;34;8;10;3;10;26;42;0;7;10;3;0;7;6;13;6;5;4;14;22;6;29;14;8;14;9;16;21;12;43;40;19;31;10;16;173;22;2;7;14;22;37;30;15;18;4;5;9;1;12;1;5;9;18;0;0
;;5;Mijnheer, H.A.;485;1;119;16;45;0;0;0;0;0;73;15;17;27;23;28;39;19;0;0;0;0;0;0;2;0;1;0;0;0;0;1;0;1;0;0;0;0;1;0;1;1;0;0;1;0;0;1;0;22;31;0;0;0;0;0;0
;;6;Bakhuis, M.;266;15;1;0;1;3;1;1;0;0;1;0;0;0;1;0;1;0;51;67;45;0;2;0;1;0;2;2;1;1;1;1;0;2;0;2;0;0;0;1;1;1;0;1;0;1;0;0;1;0;1;17;37;0;1;0;1
;;7;Vetker - Kerssies, A.;385;3;1;4;0;2;1;0;124;125;4;0;1;0;0;0;4;2;4;2;1;4;0;0;1;3;0;0;1;1;0;0;4;6;3;5;0;1;0;15;18;9;0;0;2;0;8;3;10;0;1;5;2;3;2;0;0
;;8;Spijkers, H.G.;146;11;1;0;0;2;1;1;0;0;0;0;0;0;0;0;1;0;38;21;16;0;0;0;1;0;2;3;1;0;1;2;2;1;1;2;0;0;0;0;0;4;1;0;1;2;1;1;1;1;0;7;14;2;3;0;0
;;9;Mensink - Vrieling, H.;387;2;8;21;8;0;0;1;0;0;34;29;19;30;31;38;46;27;0;0;0;1;1;1;0;1;1;0;1;1;0;2;0;0;0;0;7;0;0;4;0;3;0;0;1;0;4;0;0;27;35;0;0;2;1;0;0
;;10;Volkers, H.;180;0;1;0;1;1;4;4;0;0;0;0;0;0;2;1;1;0;3;1;0;16;11;9;14;14;0;4;7;6;9;3;4;10;6;18;0;3;1;4;3;2;5;0;1;0;1;0;0;1;0;0;0;1;8;0;0
;;11;Brink, K.H.;97;1;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;3;4;2;5;5;3;1;1;1;3;0;1;0;24;2;24;0;0;0;7;1;0;0;0;1;0;0;0;0;0;0;0;0;2;3;0;0
;;12;Woertel, G.J.;71;6;0;2;0;0;6;3;0;0;0;0;0;0;0;0;1;0;2;0;1;2;7;2;0;2;0;0;3;2;2;0;0;1;0;1;0;1;0;11;0;2;0;2;10;0;1;0;0;0;0;0;0;0;1;0;0
;;13;Pierik, N.;64;0;17;17;11;1;1;0;0;0;1;0;1;0;0;3;1;2;0;0;0;2;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0
;;14;van den Berg, G.;469;80;4;4;0;12;4;18;4;8;4;0;0;0;3;8;5;0;39;38;47;4;6;2;4;9;0;6;1;1;2;1;1;4;1;4;11;11;3;3;18;13;14;15;10;7;4;0;10;0;2;10;11;0;3;0;0
;;15;van den Bout, H.S.;43;1;0;0;0;1;1;4;1;0;0;0;0;0;0;1;1;0;2;3;1;1;0;0;0;0;0;0;2;2;1;2;0;4;0;0;2;0;0;1;0;1;0;0;1;0;1;0;1;0;0;1;7;0;0;0;0
;;16;Dogger, J.H.;128;0;1;0;0;3;4;3;0;0;0;3;0;0;0;0;3;0;0;1;3;0;7;2;2;3;3;4;2;5;1;9;1;3;4;12;0;0;1;22;7;6;2;0;2;0;1;0;0;0;0;0;1;1;5;1;0
;;17;Joldersma, F.;91;0;1;1;0;0;0;0;0;0;5;11;8;12;4;16;8;4;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0;1;0;0;0;0;4;11;0;0;0;0;0;0
;;18;Dorgelo, G.J.H.;37;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;1;1;0;3;0;0;2;0;0;0;1;0;2;1;0;1;0;0;0;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;19;Kleinheerenbrink, E.K.;102;1;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;3;0;0;0;0;4;0;0;0;0;2;0;0;0;3;3;0;0;1;36;0;20;1;22;0;0;0;0;1;1;0;0
;;20;Onnink - Kruisselbrink, H.G.;35;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;4;4;0;6;2;2;1;0;0;4;0;2;0;4;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;21;Meinen, R.;21;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;3;2;0;1;0;0;0;0;0;3;1;1;0;0;0;0;0;0;0;1;0;0;1;0;1;0;2;0;0;0;1;0;0
;;22;Noeverman, J.;43;0;1;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;33;2;0;0;0;0;0;0;0;0;0;0;0;0;0
