Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Stembureau DAS;Stembureau CNS;Stembureau De Reestkerk;Stembureau PG Kerk Oud Avereest-Balkbrug;Stembureau Geref.Ver.gebouw 't Kruispunt;Stembureau Ver. gebouw De Bo;Stembureau Dorpshuis De Heujmansbelt;Stembureau Kantine DKB;Stembureau Dorpshuis De Krim;Stembureau Dedemsvaart - Clubgebouw Korfbal;Stembureau Kerkelijk Centrum De Fontein;Stembureau MFC De Baron 16 maart;Stembureau MFC de Baron 2e zaal;Stembureau Chr. Geref. Kerk.;Stembureau Chr. Daltonschool De Groen;Stembureau Tent bij de Kiefer;Stembureau Kantine DVC Dedemsvaart;Stembureau MFC de Binder 16 maart;Stembureau MFC de Binder 2e zaal;Stembureau Café Bolte Gramsbergen;Stembureau Wijkcentrum Baalder;Stembureau Zaal Mulder;Stembureau Zaal Mulder 2e zaal;Stembureau Wijkcentrum De Wiekstee;Stembureau Sporthal de Beek;Stembureau De Schakel;Stembureau Sporthal de Meet;Stembureau 't Uilenest;Stembureau Gemeentehuis 16 maart;Stembureau De Smidse;Stembureau Ver. gebouw  de Esch;Stembureau Wijkcentrum Norden-Hazenbos;Stembureau Marslanden - Restaurant Het Heemse;Stembureau De Levensbron;Stembureau Tent bij de Schoutenhof;Stembureau Camping 't Rheezerwold;Stembureau Ver.gebouw Hoogenweg;Stembureau 't Haarschut Kloosterhaar 16 maart;Stembureau Hervormd Jeugdgebouw De Rank;Stembureau Ver. geb. a/d Lutteresweg;Stembureau MFC Lutten;Stembureau De Wingerd;"Stembureau Dorpshuis ""De Heugte""  Radewijk";Stembureau Ons Trefpunt Schuinesloot;Stembureau De Horst Sibculo;Stembureau R.K. kerk H. Alphonsus de Liguori;Stembureau Kantine SC Lutten;Stembureau Jeugdgebouw  Kronkelhonk;Stembureau MFC de Baron 14 maart;Stembureau MFC de Baron 15 maart;Stembureau MFC de Binder 14 maart;Stembureau MFC de Binder 15 maart;Stembureau Gemeentehuis 14 maart;Stembureau Gemeentehuis 15 maart;Stembureau 't Haarschut Kloosterhaar 14 maart;Stembureau 't Haarschut Kloosterhaar 15 maart
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;1214;1215;1814;1815;2914;2915;3814;3815
Postcode;;;;;7784 CG;7707 DZ;7707 PM;7707 AK;7691 BA;7691 CG;7695 TJ;7782 RA;7782 RN;7701 VT;7701 JE;7701 GM;7701 GM;7701 EA;7701 AT;7701 PZ;7701 VP;7783 HA;7783 HA;7783 BX;7772 DP;7772 PB;7772 PB;7772 LZ;7772 LX;7772 BL;7772 ZH;7771 AC;7772 HZ;7771 CV;7771 RD;7771 WX;7773 AH;7773 AA;7773 CC;7696 HT;7793 HP;7694 AA;7775 AT;7775 PP;7775 CA;7692 AE;7791 RK;7777 RN;7693 PH;7776 AG;7776 PA;7776 PL;7772 TV;7772 TV;7772 TV;7772 TV;7772 HZ;7772 HZ;7694 AA;7694 AA
;;10;Altena, R.;55;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;5;8;7;1;5;0;0;3;2;0;3;2;1;1;5;0;0;0;2;0;0;5;0;2;0;0;0;0;0;0;0;0;0;0;0;0
;;11;Zandman, H.C.;34;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3;1;0;1;0;0;0;1;2;0;2;0;0;1;0;0;0;2;0;15;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0
;;12;Visscher, L.;91;0;35;11;13;0;0;0;0;0;3;0;0;1;0;2;8;4;0;1;0;0;0;0;0;0;0;0;0;0;2;0;2;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;4;0;0;0;0;0;0
;;13;Santing - van den Dolder, S.;50;4;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;13;6;3;0;0;3;0;1;1;0;2;2;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;5;0;1;0;0
;;14;Kelder, J.H.R.;96;1;0;1;0;7;1;0;0;0;0;0;0;0;0;0;0;0;0;1;2;1;1;1;0;1;1;0;1;0;1;2;0;3;0;5;0;0;0;1;0;0;63;0;0;0;0;0;0;0;0;0;0;0;2;0;0
;;15;Bouwhuis - de Lange, A.;47;0;0;0;0;3;5;0;1;0;0;0;0;0;0;2;0;0;0;0;0;1;1;0;0;0;3;0;0;1;2;0;0;0;0;0;0;0;0;8;6;10;3;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;;16;Harsevoort, A.A.;85;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;6;1;0;5;2;1;4;1;0;21;11;6;5;2;7;0;3;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;3;0;0
;;17;Vrieling - Rook, A.J.;44;0;12;4;13;1;1;3;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;2;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;1
;;18;ten Brinke, B.;57;0;0;0;0;29;9;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0;1;1;1;0;0;0;1;2;0;2;0;0;0;0;0;1;0;0;2;1;0;0;0;0;0;0;0;0;0;4;0;0;0
;;19;Gerrits - Niemeijer, C.;79;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;3;3;2;7;1;1;0;4;2;5;12;2;6;13;2;1;0;1;0;0;1;2;0;0;0;0;0;0;2;1;0;0;1;3;0;0
;;20;Jongsma - Muis, M.H.;32;0;0;0;0;2;0;7;1;0;0;0;0;0;0;0;0;0;1;0;0;3;1;1;0;2;0;1;0;0;0;0;0;1;3;6;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0
;;21;van de Logt - Smits, L.F.;44;0;1;0;0;0;1;0;0;0;5;7;1;3;4;3;5;4;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;2;4;0;0;0;0;0;0
;;22;Eilander, J.K.;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;23;Trimp, C.;37;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;2;1;0;1;0;6;1;1;11;2;7;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
;;24;Limbeck, J.;40;0;3;0;0;0;0;0;0;0;9;1;4;3;4;2;5;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0
;;25;Welleweerd - Slump, G.J.;34;0;0;3;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;2;2;3;3;0;5;0;2;4;0;1;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;26;Veldink, J.G.;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;1;0;0;0;0;0;0;2;4;5;2;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;27;de Braak, R.S.;29;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;7;1;0;5;0;0;1;1;5;0;1;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;28;Pielman, J.W.;35;0;5;6;1;3;0;0;0;0;6;0;0;2;1;0;2;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0
;;29;Meulink, H.;22;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;2;1;1;3;0;0;0;0;0;1;2;0;1;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;5;0;0;0
;;30;Janssen, J.;42;0;1;0;1;3;0;0;2;0;1;0;0;0;0;0;2;0;0;0;1;1;4;0;2;1;0;0;1;1;2;2;3;1;0;1;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;1;2;0;0
3;OpKoers.nu;;;5625;75;126;99;110;105;126;110;63;93;136;99;136;106;108;139;188;127;102;116;112;133;117;126;112;106;72;89;85;93;84;62;94;104;35;135;58;109;165;93;56;78;85;81;163;100;174;51;173;107;140;35;64;53;74;19;24
;;1;Kelder - Ranter, A.;1912;23;28;28;25;51;67;61;26;43;28;13;30;16;20;22;23;32;52;66;61;28;52;49;43;38;31;34;52;39;28;20;34;42;15;60;22;68;52;27;26;42;44;68;35;32;17;12;13;19;24;23;41;24;30;6;7
;;2;Verschuur - Otter, L.L.;603;8;8;1;5;3;6;4;9;12;6;8;7;8;5;9;8;13;1;2;3;5;9;6;14;4;4;4;6;9;4;0;5;6;3;12;1;1;8;20;9;8;5;1;24;5;130;27;114;10;7;3;4;4;3;2;0
;;3;Kloekhorst, W.;484;2;1;1;1;11;10;14;2;7;1;1;1;1;0;4;1;1;19;10;14;62;28;33;23;10;12;18;5;14;11;10;18;14;10;22;1;9;6;16;1;3;7;5;1;3;3;2;3;1;2;2;6;7;10;0;4
;;4;Geesink, E.;258;0;1;2;0;6;4;6;2;0;0;0;5;0;1;1;0;0;1;0;5;5;8;14;13;17;6;11;6;11;10;20;22;13;2;21;10;6;3;2;0;0;4;0;0;0;0;0;0;1;1;2;2;5;9;0;0
;;5;Bakker, A.;146;0;2;0;0;0;0;0;2;1;3;0;3;2;0;0;0;2;1;1;4;22;6;10;2;6;2;7;3;7;5;0;5;8;1;2;1;6;1;3;1;2;2;0;1;0;2;0;2;0;7;1;0;2;8;0;0
;;6;Giethoorn - Boertien, M.A.M.;259;2;1;1;1;1;1;0;8;7;0;0;4;5;0;6;2;3;0;1;4;0;1;0;0;5;3;1;0;1;2;4;0;5;0;2;1;1;1;9;3;1;5;0;95;3;15;6;35;3;6;0;0;0;4;0;0
;;7;Odink, H.;193;22;1;0;3;1;3;1;2;13;3;3;2;2;2;5;3;0;14;20;5;2;3;1;5;8;2;3;1;0;4;1;0;3;0;5;0;1;1;6;10;6;0;0;2;3;3;0;0;0;2;4;7;2;3;0;0
;;8;Strijker, N.;451;0;5;5;1;0;0;2;0;0;37;35;40;34;39;52;88;35;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;5;0;0;1;0;3;0;0;1;0;0;1;0;29;37;0;0;0;0;0;0
;;9;Bruinsma, F.;457;0;6;2;0;0;1;0;2;0;49;39;38;31;39;38;56;36;0;1;1;0;1;0;2;2;0;0;0;1;0;0;2;0;0;1;5;1;1;0;0;3;0;0;1;1;1;0;1;43;50;0;0;2;0;0;0
;;10;ter Wijlen, H.;219;5;1;10;2;20;14;14;4;5;6;0;1;0;1;1;1;2;3;1;7;3;2;4;1;3;5;3;3;2;17;5;2;4;3;1;2;5;6;5;1;4;15;7;0;10;0;0;1;0;0;0;0;2;3;2;0
;;11;Brommer, J.W.;211;0;69;47;69;1;0;0;0;0;0;0;4;7;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;1;0;1;1;1;3;0;0;1;0;0;0
;;12;van der Kamp, A.;52;1;0;0;1;1;0;1;0;1;1;0;0;0;0;0;3;1;0;0;1;2;2;1;2;3;3;1;3;0;1;0;1;3;0;4;5;1;0;0;1;1;0;0;2;0;1;2;0;0;0;0;0;2;0;0;0
;;13;Kwant, P.M.;88;11;3;1;2;0;2;1;4;4;0;0;0;0;1;0;2;0;7;12;7;0;1;0;1;0;0;0;0;4;1;1;0;1;0;0;2;2;0;3;3;3;1;0;0;0;1;0;1;0;0;0;4;0;1;0;1
;;14;Moltman, L.G.;183;1;0;0;0;6;9;5;1;0;0;0;0;0;0;1;0;0;2;2;0;0;1;0;2;4;1;1;0;1;0;1;4;0;1;0;1;2;85;0;0;2;1;0;0;27;1;0;1;0;0;0;0;0;0;9;11
;;15;Veenaas, J.;31;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;1;1;0;0;0;1;0;0;0;5;1;0;0;0;0;0;0;15;0;0;0;0;0;0;0;0;0;0;1
;;16;van Son, N.;78;0;0;1;0;1;9;1;1;0;2;0;1;0;0;0;1;0;2;0;0;4;3;6;3;4;3;6;5;3;1;0;1;4;0;5;1;0;0;1;1;0;1;0;0;0;0;0;1;0;1;0;0;2;3;0;0
4;VVD;;;2405;34;63;78;40;17;42;33;7;24;63;40;42;67;52;79;128;26;37;60;41;37;55;54;50;62;41;39;38;49;28;54;17;102;32;94;31;46;41;24;25;27;20;26;40;20;59;15;71;43;73;14;22;24;37;10;12
;;1;Gelling, B.T.;831;9;28;37;16;9;20;18;5;13;21;10;11;17;12;16;28;7;4;10;15;17;19;28;22;21;14;26;16;18;13;18;10;36;15;32;10;21;6;11;13;12;10;12;9;6;14;3;17;11;23;6;9;7;15;2;3
;;2;Meijerink - Heuver, J.;353;3;10;11;5;3;4;5;1;2;4;4;1;4;0;5;11;2;4;10;2;7;6;10;8;15;14;3;7;10;8;21;7;28;7;20;6;11;1;3;1;1;6;2;1;4;3;0;8;2;9;2;3;10;16;1;1
;;3;Timmermans, J.M.;115;10;2;6;5;2;1;0;1;5;0;0;3;0;0;2;0;0;13;15;9;2;1;0;0;3;0;1;2;1;2;0;0;2;0;6;0;2;0;0;2;0;1;1;2;2;2;0;2;0;0;2;3;0;2;0;0
;;4;Botter, J.;123;3;2;1;1;1;14;6;0;0;0;0;0;0;0;4;0;0;0;0;1;1;2;1;1;0;3;2;2;1;0;3;0;3;1;2;0;6;30;0;1;1;3;5;1;5;0;0;3;0;0;0;0;0;0;6;7
;;5;Hekert, K.;177;0;5;1;2;0;0;0;0;0;13;9;7;12;28;16;41;4;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;4;7;0;0;0;1;0;0;0;0;1;0;0;3;14;8;0;0;0;0;0;0
;;6;Schoemaker, T.J.;44;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0;1;1;0;2;4;0;1;7;0;4;1;3;2;1;0;5;0;2;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3;0;0
;;7;Al Khayat, Z.N.M.T.;72;3;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;2;2;3;3;11;8;7;4;2;1;4;0;1;0;1;2;2;2;1;0;2;0;3;0;2;2;0;0;0;0;0;0;1;0;0;0;0;0
;;8;Back, E.S.;45;0;0;6;0;0;0;1;0;1;0;1;0;0;0;0;1;0;0;0;1;2;0;0;0;1;0;0;1;1;1;0;0;1;0;0;0;0;2;3;6;5;0;1;7;0;0;0;2;0;0;0;0;0;0;0;1
;;9;Borger, L.;97;0;4;3;4;0;0;1;0;0;10;9;3;8;1;14;10;3;0;0;1;0;4;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;1;1;0;5;8;1;2;0;0;1;0
;;10;van Dijk, K.;193;0;6;11;3;0;1;0;0;2;12;6;12;23;10;8;31;9;2;0;0;0;1;0;1;4;2;0;0;1;0;2;0;7;0;3;4;0;0;0;0;0;0;0;1;1;0;0;0;7;23;0;0;0;0;0;0
;;11;Baan, M.A.;42;0;1;1;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;6;0;0;1;2;0;5;5;0;2;0;4;1;10;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;;12;Keyzer, G.M.;7;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
;;13;van Zuilen, V.;10;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0
;;14;Overweg, G.A.;54;0;0;0;3;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;5;0;2;0;0;1;3;1;2;3;0;11;5;8;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;0;0
;;15;Rieks, J.L.;26;0;0;0;0;0;0;0;0;0;1;1;0;2;0;10;0;1;0;0;0;0;0;0;0;0;1;0;0;2;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;0;0;0;0
;;16;Wolbers, M.;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;;17;Bakker, M.;126;0;3;0;0;0;0;0;0;0;0;0;0;1;1;4;3;0;0;0;0;1;1;0;0;2;0;0;0;0;0;0;0;0;0;2;1;0;0;0;1;5;0;1;15;0;39;11;34;0;0;0;1;0;0;0;0
;;18;Oosting, J.N.;82;6;1;1;0;1;1;0;0;1;0;0;1;0;0;0;0;0;13;21;10;0;2;3;5;1;0;0;0;0;0;2;0;2;1;1;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;2;4;0;0;0;0
5;Partij van de Arbeid (PvdA);;;1996;15;38;30;26;14;11;29;21;25;40;66;70;74;44;48;74;40;37;32;31;46;49;47;33;83;49;44;60;54;23;42;29;55;13;48;9;21;44;24;12;20;12;19;17;30;37;9;45;36;83;8;26;29;61;5;9
;;1;Luisman, G.H.;732;6;11;12;6;10;7;13;14;20;8;7;7;8;6;5;11;4;20;17;14;14;19;23;21;32;22;21;32;20;13;16;19;25;4;19;1;11;27;11;6;3;8;5;6;17;8;5;21;11;17;7;11;11;33;2;5
;;2;Jonkhans, R.P.;147;2;1;1;1;0;0;3;1;1;0;1;0;0;2;0;1;0;5;1;4;5;6;3;0;8;6;5;9;7;4;7;2;3;0;6;0;0;3;2;1;3;1;9;0;2;0;0;0;0;2;0;8;11;8;1;1
;;3;Wiet, A.S.;394;3;16;7;8;0;0;0;2;1;24;33;45;42;21;35;44;26;0;1;1;0;1;0;0;1;2;2;0;4;0;1;1;1;0;1;1;1;0;0;0;2;2;1;0;3;0;0;4;9;45;0;0;0;3;0;0
;;4;Hofsink, G.;81;0;0;0;2;1;0;4;0;1;0;0;0;0;1;1;0;0;0;0;2;14;7;4;2;10;3;1;2;3;0;3;3;5;1;4;0;1;0;2;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;1
;;5;de Vries, I.;188;1;0;0;0;1;0;3;1;1;1;4;4;3;1;0;5;3;2;3;2;3;7;5;4;19;6;7;11;12;0;10;1;13;3;6;2;2;5;5;1;1;0;3;2;3;4;1;3;0;3;0;3;1;7;0;0
;;6;Kloekhorst-Augustijn, E.H.;194;3;3;4;7;2;4;5;1;1;3;5;1;1;0;1;4;2;3;5;4;5;8;8;5;8;4;5;4;7;4;5;1;7;3;10;2;5;8;1;0;3;0;1;0;1;2;0;2;5;2;1;3;5;7;2;1
;;7;Luiten, B.M.;124;0;2;3;1;0;0;1;2;0;1;4;2;1;1;3;0;0;3;4;1;4;1;2;1;4;4;2;1;1;0;0;2;1;2;2;2;1;0;2;2;5;1;0;9;3;14;2;13;4;5;0;0;1;3;0;1
;;8;te Velthuis, E.H.J.;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;1;1;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
;;9;Uri, C.L.;50;0;1;1;0;0;0;0;0;0;2;3;3;5;5;2;5;4;0;0;2;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;4;0;0;5;3;0;1;0;0;0;0
;;10;Liese, J.;37;0;3;0;0;0;0;0;0;0;1;5;4;10;5;0;3;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;0;0;0;0;0;0
;;11;Pijlman, A.J.;38;0;1;2;1;0;0;0;0;0;0;4;4;4;2;1;1;1;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;1;0;1;0;2;3;0;0;0;0;1;0;0;1;5;0;0;0;0;0;0
6;50PLUS;;;1022;20;29;20;12;21;23;19;17;22;25;29;29;36;21;20;31;14;18;11;17;9;15;14;21;14;28;22;16;37;11;16;26;14;7;27;9;9;23;10;10;13;7;2;16;11;25;5;26;29;32;10;10;14;38;9;3
;;1;Schuurman, G.;508;3;15;12;6;15;14;14;12;12;4;7;9;12;10;5;12;1;7;7;6;8;10;4;16;7;18;19;6;23;5;10;18;4;2;12;3;2;11;7;4;7;5;0;7;9;18;3;18;9;9;5;1;10;28;5;2
;;2;Sekeris, W.J.;193;2;8;5;5;0;0;0;0;0;17;18;17;18;7;12;15;10;1;0;1;0;0;0;0;1;0;1;0;0;1;1;0;1;1;2;0;0;1;1;1;1;1;0;2;0;3;0;0;19;20;0;0;0;0;0;0
;;3;Schuurman, J.;175;1;5;3;0;6;6;2;3;2;3;3;0;4;4;2;4;1;1;0;1;1;2;3;3;5;7;0;5;11;3;1;7;4;2;10;5;5;7;2;1;4;1;1;2;0;0;1;7;1;3;3;3;4;8;1;1
;;4;Slingenbergh, G.J.H.;93;14;1;0;0;0;1;0;2;8;0;0;0;0;0;0;0;0;9;3;9;0;1;3;1;0;2;1;4;0;2;2;0;0;1;1;1;1;4;0;3;0;0;1;4;1;2;1;0;0;0;2;6;0;0;2;0
;;5;van Driel, R.;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;1;2;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;6;van Hensbergen, G.J.;10;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;1;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;;7;Koops, R.;34;0;0;0;1;0;1;2;0;0;1;1;3;1;0;1;0;2;0;1;0;0;1;0;1;0;0;1;0;1;0;2;0;3;1;1;0;0;0;0;1;1;0;0;1;1;2;0;0;0;0;0;0;0;2;1;0
7;GROENLINKS;;;1120;21;26;41;24;5;10;18;6;14;21;21;28;20;18;46;27;15;11;15;20;41;38;32;22;33;23;27;23;28;29;29;12;27;5;39;13;15;10;19;5;18;12;12;10;15;11;8;15;26;32;3;7;36;32;2;4
;;1;Boshove, R.;451;7;8;16;10;1;5;5;3;2;4;3;5;1;6;19;6;4;2;4;6;21;16;15;8;15;12;12;9;10;12;17;5;12;5;25;7;9;8;5;3;7;3;8;7;6;6;3;5;12;10;2;5;17;15;0;2
;;2;Jager, J.C.;68;1;2;1;0;0;0;3;2;1;1;2;2;0;0;0;2;1;4;2;3;2;1;1;1;4;1;2;1;5;1;0;1;0;0;0;2;0;0;2;0;4;0;0;1;2;2;0;0;0;2;1;0;1;3;0;1
;;3;van de Beek, L.J.;276;9;7;9;6;4;4;7;0;5;2;0;3;3;2;7;4;3;3;3;7;12;11;9;5;10;5;11;9;5;10;8;3;11;0;6;2;4;1;5;1;3;4;2;1;7;1;4;2;5;9;0;1;10;10;0;1
;;4;Overvliet, M.V.C.;203;4;7;9;5;0;0;0;0;2;13;16;18;15;9;20;15;7;0;0;0;2;2;3;2;2;0;1;2;2;0;1;1;1;0;6;2;0;0;4;1;2;1;0;0;0;1;0;4;8;10;0;0;4;1;0;0
;;5;Bosma, C.A.;39;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;5;4;2;3;1;0;0;4;0;0;2;0;2;0;0;0;0;0;0;1;1;0;1;3;1;0;0;0;1;1;0;1;0;0;1;0;1;0
;;6;van Wijngaarden, E.;28;0;0;3;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;1;0;1;0;1;1;2;1;0;1;0;2;0;1;0;1;1;0;0;0;0;0;2;1;0;0;0;1;1;1;0
;;7;Perfors, A.I.S.;12;0;0;1;1;0;1;0;1;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
;;8;van Mierlo, D.J.C.;9;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;9;Slingerland, C.F.;34;0;0;0;0;0;0;2;0;3;0;0;0;1;0;0;0;0;0;0;0;2;3;2;5;2;0;1;0;1;0;0;0;2;0;1;0;0;0;1;0;0;0;1;0;0;1;0;1;0;0;0;1;2;2;0;0
8;D66;;;1292;21;36;42;40;13;13;26;9;10;43;36;24;31;24;55;58;29;24;39;39;20;28;28;33;37;14;19;21;21;23;33;16;43;12;27;21;8;16;13;6;15;16;13;32;13;23;7;17;16;37;6;9;9;22;3;3
;;1;Rodermond, H.J.J.;401;6;10;11;9;4;7;11;5;1;5;8;4;6;3;13;6;3;5;4;6;8;13;10;10;10;6;8;8;6;9;14;7;16;7;10;4;4;7;4;2;10;6;6;25;5;16;4;10;9;3;2;2;5;5;1;2
;;2;de Greef - Moes, M.J.;382;6;2;10;6;4;3;9;1;6;26;18;13;13;15;37;32;11;2;1;3;1;6;7;10;7;6;4;5;4;5;6;2;10;0;6;8;0;6;2;3;1;4;2;5;1;6;3;6;5;24;0;1;3;4;0;1
;;3;Reinders, R.;148;5;24;1;0;1;1;3;0;1;1;1;0;0;0;0;0;1;12;30;23;0;3;0;2;6;1;0;0;1;2;3;1;2;0;2;1;4;0;2;0;0;2;1;0;0;0;0;0;0;0;4;6;0;1;0;0
;;4;Westerhoff, E.L.;89;1;0;0;1;3;1;1;1;0;0;0;1;2;0;0;0;2;0;0;1;6;2;9;7;8;1;5;3;4;3;6;4;3;1;2;0;0;1;1;0;0;0;0;0;3;1;0;1;0;0;0;0;0;4;0;0
;;5;Hartholt, G.J.;30;0;0;0;0;1;0;1;0;0;4;4;1;1;1;0;5;7;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;6;Toonen, M.;142;0;0;19;22;0;1;1;2;0;5;4;4;9;4;4;14;3;1;2;3;0;0;1;0;3;0;1;2;2;1;0;2;9;2;2;1;0;2;1;1;1;1;0;0;2;0;0;0;2;7;0;0;0;1;0;0
;;7;Tiemens, C.E.F.J.;29;0;0;0;0;0;0;0;0;1;1;0;0;0;1;1;1;2;0;1;0;1;0;0;0;0;0;1;1;2;0;1;0;1;0;2;4;0;0;1;0;2;0;1;0;1;0;0;0;0;1;0;0;0;2;0;0
;;8;Ester - de Jong, W.J.M.;51;3;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;4;1;2;4;4;1;2;2;0;0;2;2;2;1;0;1;0;3;3;0;0;0;0;1;2;3;1;0;0;0;0;0;1;0;0;0;1;2;0
