Verkiezing;;Gemeenteraad Achtkarspelen 2022;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Achtkarspelen;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0059;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Buitenpost, Raadzaal Gemeentehuis 16 maart;Buitenpost, pand voormalige Rabobank 16 maart;Buitenpost, Fonteinkerk 16 maart;Surhuisterveen, CGKV De Regenboog 16 maart;Surhuisterveen, It Mennohûs 16 maart;Surhuisterveen, Zalencentrum De Lantearne 16 maart;Harkema, Sporthal De Fûgelkamp 16 maart;Harkema, Clubhuis 16 maart;Kootstertille, MFA Tillehûs 16 maart;Twijzelerheide, Dorpshuis De Jister 16 maart;Drogeham, De Doarpskeamer 16 maart;Surhuizum, MFC De Delfeart 16 maart;Augustinusga, Seniorencomplex Nij Stiensgea 16 maart;Boelenslaan, Dorpshuis De Smoutte 16 maart;Gerkesklooster, Dorpshuis Rehoboth 16 maart;Twijzel, Dorpshuis De Bining 16 maart;Buitenpost, Raadzaal Gemeentehuis 14 maart;Surhuisterveen, Zalencentrum De Lantearne 14 maart;Buitenpost, Raadzaal Gemeentehuis 15 maart;Surhuisterveen, Zalencentrum De Lantearne 15 maart;Mobiel Stembureau Stemtruck
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21
Postcode;;;;;9285 NH;9285 SN;9285 VG;9231 EC;9231 AS;9231 CA;9281 MA;9281 RD;9288 AM;9287 LC;9289 JL;9283 TR;9284 TL;9233 KL;9873 RE;9286 EP;9285 NH;9231 CA;9285 NH;9231 CA;9231 CG
;opgeroepenen;;;22477;826;1883;2113;1473;1772;1646;1594;1781;1908;1406;1343;1011;962;1053;846;860;0;0;0;0;0
;geldige stempas;;;10433;453;651;936;471;463;794;601;606;724;539;715;498;423;426;393;450;241;222;356;425;46
;geldig volmachtbewijs;;;1439;62;72;116;61;57;110;112;112;86;97;98;62;60;56;58;81;26;31;36;42;4
;geldige kiezerspas;;;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0
;toegelaten kiezers;;;11874;515;723;1052;532;520;904;713;718;810;636;813;560;485;482;451;531;267;253;392;467;50
;geldige stembiljetten;;;11836;512;721;1052;532;520;902;704;717;806;635;812;557;485;480;450;529;266;252;391;463;50
;blanco stembiljetten;;;22;2;2;0;0;0;2;5;0;3;1;0;0;0;0;1;0;1;1;1;3;0
;ongeldige stembiljetten;;;16;1;0;1;0;0;0;4;1;1;0;1;3;0;2;0;1;0;0;0;1;0
;aangetroffen stembiljetten;;;11874;515;723;1053;532;520;904;713;718;810;636;813;560;485;482;451;530;267;253;392;467;50
;meer stembiljetten dan toegelaten kiezers;;;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;minder stembiljetten dan toegelaten kiezers;;;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
;kiezers met stembiljet hebben niet gestemd;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te weinig stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te veel stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;geen verklaring;;;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
;andere verklaring;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;CDA;;;2689;125;176;266;109;138;212;111;109;105;98;356;160;75;46;140;91;62;71;79;146;14
;;1;Spoelstra, J.;1417;60;87;134;61;55;108;52;61;65;33;226;80;37;27;65;58;34;35;40;90;9
;;2;Kuipers-Jorna, T.C.;111;5;8;7;2;2;4;4;1;8;40;4;1;4;1;10;3;2;1;1;3;0
;;3;Schootstra, R.P.;198;35;42;49;4;0;3;2;2;2;1;3;0;1;3;6;4;18;0;17;3;3
;;4;Vriesema, D.;143;2;4;7;2;3;6;4;7;3;2;23;45;6;5;9;3;1;5;2;4;0
;;5;Van der Ploeg, S.;155;0;1;7;16;38;34;5;2;5;0;5;1;0;3;2;0;2;12;0;22;0
;;6;Terpstra, G.;52;0;0;0;1;1;3;21;16;1;1;4;0;0;2;0;0;0;1;0;1;0
;;7;Zwaagstra, J.J.;34;3;6;16;0;0;0;0;0;1;0;0;0;3;0;1;2;0;0;2;0;0
;;8;Spinder-Van Dijk, H.;97;0;3;2;2;0;1;4;3;2;1;66;1;5;0;3;2;0;0;0;2;0
;;9;Van der Veen, H.;66;2;1;0;1;2;3;1;3;0;4;10;23;4;0;4;4;0;1;1;2;0
;;10;Atsma, L.T.;86;0;0;0;7;21;29;3;1;0;0;1;3;1;0;2;0;1;10;1;5;1
;;11;Bruining, A.;53;1;0;3;8;12;13;0;0;1;0;1;0;2;1;0;0;0;2;1;8;0
;;12;Bosma-van der Vliet, S.G.A.;21;2;2;14;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0;0
;;13;Kuipers, P.;46;1;1;4;0;0;1;0;0;3;0;0;0;1;2;30;0;0;0;3;0;0
;;14;Zandbergen-Beishuizen, A.G.;26;2;3;9;0;0;0;0;0;0;2;0;0;2;0;0;0;2;0;4;2;0
;;15;Talma, M.Y.;22;0;2;0;0;0;0;0;0;0;12;6;0;0;0;0;1;0;0;0;1;0
;;16;Van der Wal, R.;18;6;4;4;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;1
;;17;Hamstra-Henstra, B.;9;1;0;1;0;0;1;0;0;0;1;0;0;0;0;0;5;0;0;0;0;0
;;18;Krol-Buma, T.J.;6;0;0;0;0;0;0;0;1;0;0;3;0;0;0;0;2;0;0;0;0;0
;;19;Van der Wal, B.;27;1;5;0;0;0;0;2;1;14;1;0;0;0;0;0;3;0;0;0;0;0
;;20;Van Houten, A.F.;3;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;21;Feenstra, W.;30;1;1;2;0;1;3;10;10;0;0;0;0;1;0;0;0;0;0;0;1;0
;;22;Talstra, E.T.;16;0;1;2;0;1;2;1;0;0;0;0;2;0;1;1;3;0;1;1;0;0
;;23;Bos, N.H.;4;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0
;;24;Bijma, H.;12;0;0;0;1;0;0;0;1;0;0;0;3;0;0;7;0;0;0;0;0;0
;;25;Wijma, J.;5;0;0;1;1;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0
