Verkiezing;;Gemeenteraad Leeuwarden 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Leeuwarden;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0080;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Obe;Zalen Schaaf;Stadsschouwburg De Harmonie;Wijkgebouw De Toekomst;Pelikaankerk;M.f.c. Westenkwartier;NHL Stenden Hogeschool;Stembureau Tylkedam;Wijkcentrum Bilgaard;Adventkerk;M.f.c. Westeinde;Piter Jelles !mpulse;Cultureel Centrum Mahatma Gandhi;De Fontein;Autobedrijf Haaima Hylkema;Autobedrijf Haaima Hylkema;MG Rehoboth;Wijkgebouw Cambuursterhoek;Emmastate;Wijkgebouw Insulinde;Wijkcentrum Schieringen;M.f.c. Camminghastins;Gymlokaal IKC Trianova;De Schakel;Gymlokaal Algraschool;Gymlokaal De Wielen;Gymlokaal Menno van Coehoorn;Buurthuis It Skiphûs;Wijkcentrum 't Knooppunt;Gymlokaal Drachtsterweg;Husmaherne;Hollanderhuuske;Wijkgebouw Gerard Dou;Cultuurcentrum Leeuwarden;Wijkcentrum Nijlân;Piter Jelles YnSicht;Leeuwarder Lyceum;Leeuwarder Lyceum;Wijkcentrum Froskenburch;Wijkcentrum Froskenburch;Lekkum Dorpshuis De Weeme;Hempens Dorpshuis de Bining;Goutum Dorpshuis Ien en Mien;Wirdum Dorpshuis de Golle;Wytgaard Parochiezaal RK Kerk;M.f.c. Màrkant;Oranje Hotel;Provinciehuis;MG Rehoboth;M.f.c. Camminghastins;Het Buiten-land Pitch & Putt;Goutum Dorpshuis Ien en Mien;Parkkerk;Gymlokaal Wollegaastdam;NHL Stenden Hogeschool;Gymlokaal Telemannstraat;Hotel Van der Valk;Bethelkerk;Grou Sporthal de Twine;Grou Sint Piterkerk;Grou Het Theehuis;Warten Gereformeerde kerk;Wergea Us Doarpshûs;Reduzum Gymlokaal Trije Doarpen Skoalle;Jirnsum M.f.c. It Kattehûs;Stiens It Span;Stiens M.f.c. de Skalm;Koarnjum De Bining;Hijum Dorpshuis de Kampioen;Britsum Gereformeerde kerk;Stiens De Hege Stins;Stiens Sportcentrum It Gryn;Stiens Sportcentrum It Gryn;Alde Leie Us Gebou;Mantgum M.f.c. De Wjukken;Baard De Greidefûgel;Weidum Dorpshuis;Stadsschouwburg De Harmonie;NHL Stenden Hogeschool;M.f.c. Westeinde;Emmastate;M.f.c. Camminghastins;Hollanderhuuske;Wijkcentrum Froskenburch;Hempens Dorpshuis de Bining;Goutum Dorpshuis Ien en Mien;Provinciehuis;Grou Het Theehuis;Wergea Us Doarpshûs;Stiens It Span;Mantgum M.f.c. De Wjukken;Stadsschouwburg De Harmonie;NHL Stenden Hogeschool;M.f.c. Westeinde;Emmastate;M.f.c. Camminghastins;Hollanderhuuske;Wijkcentrum Froskenburch;Hempens Dorpshuis de Bining;Goutum Dorpshuis Ien en Mien;Provinciehuis;Grou Het Theehuis;Wergea Us Doarpshûs;Stiens It Span;Mantgum M.f.c. De Wjukken
;;12;de Boer, M.;194;4;4;8;14;6;0;7;2;2;3;3;0;3;2;1;4;1;0;3;0;0;1;2;2;2;9;0;0;4;1;7;0;7;3;4;3;6;2;1;1;3;1;6;0;0;2;0;2;1;0;1;2;11;0;0;2;1;2;3;0;0;0;0;1;0;0;3;0;0;2;1;1;1;0;0;0;1;3;3;1;0;0;1;0;0;0;0;1;0;1;1;2;3;3;0;1;1;1;1;1;1;0;0;0;0
;;13;Kaya, C.;69;0;0;1;2;1;0;2;0;3;2;2;0;1;5;4;6;2;1;0;1;1;2;0;0;3;0;0;2;3;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;3;2;1;0;1;0;2;0;0;0;0;1;0;0;0;0;1;0;0;0;3;0;0;0;0;0;0;0;0;3;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0
;;14;Schaafstal, W.T.;17;0;0;3;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0
;;15;van Barneveld, A.;171;0;0;0;1;0;2;0;0;0;1;1;0;0;1;0;0;1;0;0;0;0;2;0;0;0;0;2;0;0;0;0;1;2;2;2;1;0;0;0;0;0;1;0;0;0;0;0;2;1;0;2;0;1;0;0;0;0;0;40;30;27;0;0;2;9;0;1;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21;0;0;0;2;0;0;0;0;0;0;0;0;1;8;0;0;0
;;16;van Doremalen, J.M.;16;0;0;1;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;3;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0
;;17;Leach, R.A.;67;4;2;2;2;1;1;1;2;2;0;0;0;1;5;0;0;0;0;4;0;0;1;0;0;2;2;2;0;0;0;1;3;0;4;1;0;0;0;5;2;1;0;0;0;0;0;2;7;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;1;0;0;0
;;18;Schagen, K.L.;44;1;0;2;1;0;0;3;0;0;0;0;1;0;2;0;3;2;0;0;1;0;1;2;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;2;0;0;0;0;1;0;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3;0;0;0;1;0;1;0;0;0;0;0;0;2;2;0;0;0;2;0;0;2;0;0;0;0;0
;;19;Heijs, T.N.;45;1;1;0;2;1;0;0;0;0;0;0;0;0;0;1;1;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;4;1;2;2;0;1;1;0;0;1;0;0;0;0;1;0;1;0;2;1;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;1;0;0;1;1;0;1;0;0;0;0;0;1;0;3;1;1;0;0;0;0;0;0;0;0
;;20;Landstra, V.;67;0;2;2;3;2;0;2;1;0;0;1;0;0;0;0;3;1;1;0;2;2;0;1;0;0;0;0;0;1;1;1;3;3;2;0;0;0;2;0;0;0;3;2;0;0;0;1;3;2;2;2;0;2;0;1;1;1;0;0;0;0;0;0;1;0;0;3;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
;;21;Bakker, A.M.;52;0;0;0;0;0;0;0;0;1;0;0;0;2;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;9;3;7;0;0;4;1;0;0;0;0;0;0;0;5;0;0;1;1;1;0;0;0;0;0;0;0;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0
;;22;Bijsterbosch, C.G.;59;0;0;0;0;0;1;2;0;0;2;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;3;6;0;12;2;1;7;0;1;0;3;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;1;0;0;0;0;0;0;0;0;2;0
;;23;Coenen, D.;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
;;24;Cornelisse, P.B.;28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
;;25;Fopma, S.;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;26;Gaastra, J.J.;44;2;5;1;2;1;0;1;1;1;1;1;0;0;1;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;1;1;0;0;0;0;0;0;2;1;0;0;0;0;0;2;0;1;0;0;1;0;0;1;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0;1;0;0;1;0;0
;;27;Kiemel, J.;27;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;6;5;10;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
;;28;de Kroon, H.;32;0;0;0;1;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;6;1;1;0;3;5;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;3;0
;;29;Martens, W.M.;29;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0
;;30;Seerden-Wagenaar, E.;39;0;0;2;1;1;0;3;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;1;1;1;1;0;0;2;0;0;1;0;4;1;0;0;2;1;0;0;0;0;0;0;0;0;0;1;1;1;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0
;;31;Visser, W.W.;53;0;0;5;4;1;0;0;1;0;1;0;2;0;1;0;0;0;1;0;0;0;0;2;2;0;0;1;0;1;0;1;0;4;0;0;0;1;0;0;1;0;3;1;1;1;0;0;0;1;0;0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;3;0;0;1;1;0;0;0;0;0;0;1;0;1;0;0;0;1;0;2;0;0;0;0;0;0;0;0
;;32;Zwart, K.J.;17;0;0;0;0;1;1;1;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;1;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
;;33;de Voogd, U.C.;65;1;0;0;1;0;0;0;2;0;0;0;0;0;2;0;2;1;1;2;0;0;0;0;1;0;1;1;0;1;0;0;0;0;0;0;0;0;2;0;0;2;1;1;1;0;0;0;2;2;0;0;0;1;1;1;1;0;0;0;0;0;0;0;3;0;1;2;0;0;16;1;1;2;0;1;0;0;0;0;0;1;0;2;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;0
2;CDA;;;4946;51;29;64;124;150;45;72;22;46;50;120;30;19;51;24;61;17;26;23;15;19;36;46;55;69;94;33;12;35;20;44;22;52;36;59;63;80;54;47;38;28;76;61;81;64;82;29;48;28;31;58;45;37;13;33;36;81;39;147;92;90;65;105;56;72;52;115;36;33;75;130;76;76;11;52;38;63;32;33;40;12;26;14;17;21;22;17;30;15;36;3;45;40;51;18;47;17;22;17;20;29;44;12;46;13
;;1;Reitsma, A.P.W.;2096;19;16;22;54;69;24;39;10;26;32;40;14;10;17;18;33;8;15;10;8;9;23;31;34;38;58;13;6;16;7;24;9;24;24;37;38;45;34;35;20;23;37;29;39;22;45;12;28;15;16;32;23;21;8;17;17;34;25;15;9;7;12;20;5;20;9;40;16;9;30;31;18;26;5;17;17;31;17;11;12;9;15;11;9;13;9;10;6;3;7;3;19;19;12;9;31;11;15;8;6;14;7;3;11;7
;;2;van der Meulen-Diever, F.M.;865;6;1;10;16;15;3;6;3;4;4;7;2;1;9;2;2;4;2;3;2;3;6;9;9;6;10;1;0;7;1;5;7;7;2;6;5;5;5;6;6;0;15;10;13;7;13;3;5;2;7;6;9;3;0;3;4;12;4;114;73;60;19;42;30;26;2;7;2;0;4;3;2;3;0;7;5;11;7;6;1;1;3;1;2;4;5;0;19;7;2;0;12;8;3;2;0;2;0;3;3;4;30;3;2;1
;;3;Atsma, J.B.;477;5;0;6;3;8;1;1;0;0;1;10;2;0;4;0;0;0;1;0;1;2;2;0;0;2;6;0;0;2;1;2;1;1;2;1;4;1;2;0;1;0;4;2;1;3;3;1;5;3;0;1;3;1;0;1;1;8;1;2;2;1;4;4;0;1;32;44;0;19;25;80;40;32;3;1;1;0;1;2;2;0;0;0;2;1;3;0;0;0;21;0;4;2;2;1;2;1;1;0;2;0;0;0;28;0
;;4;Wiersma, W.;220;2;2;6;13;15;0;11;2;1;1;5;1;3;1;1;6;2;2;1;0;0;0;2;2;5;4;0;0;1;0;4;1;10;3;4;3;3;1;0;1;1;6;5;0;0;4;2;4;3;1;5;1;2;0;2;1;7;3;0;0;1;0;4;0;0;1;2;4;0;1;0;1;1;0;0;0;0;4;2;0;0;2;0;0;1;2;5;0;0;1;0;2;4;5;0;2;3;1;0;1;4;0;0;0;0
;;5;van den Berg, A.J.;49;0;0;0;0;0;1;0;0;2;1;1;1;0;2;0;1;0;0;0;0;0;0;0;0;0;2;0;1;1;2;0;0;0;1;0;1;1;1;1;1;0;1;1;1;0;2;2;1;0;0;2;0;3;0;0;0;0;2;0;0;1;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;3;1;0;0;0;0;2
;;6;Tjalsma, A.F.;153;6;5;7;4;7;1;2;0;0;1;15;1;1;2;0;2;0;0;3;0;0;1;0;2;3;1;1;0;5;0;0;0;3;1;3;0;2;4;0;3;1;2;1;0;0;1;2;2;0;1;2;4;0;0;5;1;1;0;0;0;1;0;0;1;0;0;5;1;0;2;1;0;3;0;2;2;0;2;2;2;0;0;0;1;0;3;0;0;0;0;0;0;3;7;1;1;0;1;1;1;0;0;0;1;0
;;7;Hoedemaker, T.J.;346;6;5;4;15;21;12;8;3;9;7;14;5;0;5;0;4;1;3;5;3;4;2;2;2;8;5;15;2;1;3;6;2;0;2;0;5;7;0;3;4;1;3;5;3;2;4;2;2;1;3;6;0;1;1;2;9;4;1;3;0;0;1;0;3;3;0;1;2;0;0;1;8;3;0;3;0;0;1;5;10;1;4;1;0;1;0;0;0;0;0;0;4;3;14;2;9;0;0;2;3;5;0;0;0;0
;;8;Schinkel, D.A.;51;0;0;1;1;5;0;0;2;0;0;1;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;2;1;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;2;1;0;0;0;3;4;10;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;3;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0
;;9;Wijnsma, S.;55;0;0;1;5;1;0;1;0;1;0;0;1;0;5;0;2;0;1;0;0;0;0;0;0;0;4;1;1;0;0;1;0;0;0;1;1;2;0;0;0;0;0;3;0;0;2;1;0;0;2;2;0;2;0;0;1;2;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;2;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0
;;10;Tamminga, S.;183;0;0;0;6;4;3;1;1;3;1;18;3;1;1;0;1;1;0;0;0;1;0;0;1;2;1;2;1;2;0;0;0;2;0;5;0;1;4;0;1;0;0;2;3;6;0;0;0;3;0;0;0;1;0;0;0;3;1;3;1;0;16;1;5;5;1;7;6;4;1;4;0;0;0;2;9;5;0;2;8;0;0;1;0;0;0;1;0;1;2;0;0;1;7;0;0;0;2;0;2;0;0;0;0;0
;;11;Meinderts, A.;85;0;0;0;0;3;0;0;0;0;1;1;0;1;2;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;2;0;1;2;2;0;0;0;2;0;0;3;7;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;7;22;2;1;1;0;0;0;0;1;0;0;1;0;1;0;0;2;2;0;0;0;0;0;0;1;0;4;0;0;0;0;0;2;0;0;0;0;0;0;0;4;0;0
;;12;Jansen, T.K.;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;12;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;3
;;13;Valk, Y.;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;14;van Gunst, J.;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;15;Kamphuis, B.;20;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;6;2;0;0;3;0;0;0;0;0;3;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;16;van de Lageweg, W.;40;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;1;0;3;5;2;0;0;0;0;0;2;0;0;0;0;1;0;0;0;2;0;3;1;2;0;0;0;0;0;0;0;0;1;3;0;6;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
;;17;Brouwer, S.;39;0;0;2;2;0;0;1;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;5;0;1;5;7;2;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0
;;18;Meinderts, M.M.;26;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;2;0;1;0;0;0;1;0;0;0;0;0;2;0;0;4;1;4;0;3;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
;;19;Roorda, B.A.;32;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;7;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;2;1;2;3;0;0;1;0;3;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0
;;20;Zuidema-Haans, W.M.A.A.;20;1;0;1;1;0;0;0;0;0;0;3;0;0;0;0;5;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;21;Osinga, T.J.;18;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;1;0;0;0;3;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
;;22;Miedema, IJ.J.;13;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;9;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;23;Boelens, T.A.;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;24;van Huizen, A.M.;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0
;;25;Stienstra, J.;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;26;Schuurmans, F.W.L.;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;6;3;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;27;Elzinga, P.A.F.;11;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0
;;28;Hofman, T.;13;1;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;29;Bruinsma, F.;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
