Verkiezing;;Gemeenteraad Opsterland 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Opsterland;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0086;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Beetsterzwaag, Gemeentehuis;Beetsterzwaag, Dorpshuis;Bakkeveen, Dúndelle;Frieschepalen, De Dobber;Gorredijk, Sportcentrum Kortezwaag;Gorredijk, De Skâns;Gorredijk, R.K.-kerk;Hemrik, Dorpshuis;Langezwaag, Dorpshuis;Lippenhuizen, MFA It Kobunderhús;Nij Beets, Dorpshuis;Siegerswoude, Dorpshuis;Terwispel, Dorpshuis;Tijnje, Dorpshuis;Ureterp, Geref. kerk Mounestrjitte;Ureterp, De Wier;Wijnjewoude, MFC de Swingel;Gorredijk, Ontmoetingskerk;Mobiel stembureau;Beetsterzwaag, Dorpshuis;Gorredijk, De Skâns;Ureterp, De Wier;Beetsterzwaag, Dorpshuis;Gorredijk, De Skâns;Ureterp, De Wier
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;1402;1406;1416;1502;1506;1516
Postcode;;;;;9244 CR;9244 CH;9243 SK;9249 MC;8401 AA;8401 DV;8401 RV;8409 JW;8404 BV;8408 JA;9245 HP;9248 KS;8407 ES;8406 ES;9247 AM;9247 BH;9241 GL;8401 RX;;9244 CH;8401 DV;9247 BH;9244 CH;8401 DV;9247 BH
;;2;Wiersma, A.;422;43;59;11;4;11;26;10;9;13;30;13;3;6;14;12;15;12;27;3;29;6;9;26;18;13
;;3;Brouwer-Wiarda, S.J.;119;6;3;34;3;1;5;0;8;5;7;0;5;4;1;3;5;4;4;0;7;0;2;1;4;7
;;4;Postma, R.;19;1;0;3;2;0;1;1;0;0;1;2;0;0;3;3;1;1;0;0;0;0;0;0;0;0
;;5;Dijkstra, I.A.;61;4;1;15;0;2;2;3;1;3;2;1;0;3;4;1;5;7;0;0;0;2;0;0;3;2
;;6;Achenbach, P.;53;1;0;1;0;3;3;1;0;29;2;1;0;0;1;0;0;1;1;1;0;1;0;0;7;0
;;7;Ogugua, D.O.;26;1;0;1;0;1;3;1;0;8;0;0;0;0;7;0;1;0;1;0;0;0;0;0;1;1
;;8;Triemstra, H.R.;17;0;1;0;0;0;0;1;0;0;0;0;0;14;1;0;0;0;0;0;0;0;0;0;0;0
;;9;Metzlar, J.R.;61;0;1;0;0;2;14;11;0;1;2;1;0;1;0;0;0;0;11;0;0;5;0;0;12;0
;;10;van Hees, K.;17;0;0;10;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;1;0;1;0;0;0;2
;;11;Oosterhof, H.;5;0;0;3;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;12;Hoen, H.;47;8;13;0;0;1;1;1;2;2;5;1;0;0;1;0;1;1;1;0;2;0;0;6;1;0
;;13;de Kroon, P.;36;0;0;0;0;1;0;0;2;0;1;0;0;1;0;1;0;24;1;1;1;0;1;0;0;2
