Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Gemeentehuis;Speelgoedbank Heerenveen;OBS van Maasdijkschool;Gymzaal OBS De Optimist;Gymzaal OBS De Optimist;Heerenhage;Wijkcentrum de As;De Rinkelbom;Gymzaal OBS Het Vogelnest;Hotel Heidehof;Gymzaal MFC De Akkers;Sionskerk;Gymzaal MFC De Akkers;Wijkcentrum De Kempenaer;Trinitas;Bornego College;Museum Heerenveen;Kantine VV Heerenveen;Gymzaal de Spil;it Trefpunt;Dorpshuis de Kiekenhof;Dorpshuis de Kiekenhof;Pannenkoekboerderij De Koppenjan;Dorpshuis it Pipegaeltsje;De Kompenije;De Kompenije;De Barte;MFA Aengwirden;Lantearne;Obs Akkrum;It Andringahûs;It Deelshûs;Lantearne;Gymzaal De Spil;Gymzaal De Spil;Gemeentehuis;Wijkcentrum de As;VV Heerenveen;Dorpshuis de Kiekenhof;De Kompenije;OBS Akkrum;Gemeentehuis;Wijkcentrum de As;VV Heerenveen;Dorpshuis de Kiekenhof;De Kompenije;OBS Akkrum;Zorgcentrum Mariënbosch;Woonzorgcentrum Coornhert State;Woonzorgcentrum Herema State;Woonzorgcentrum Marijke Hiem;Leppehiem Mienskipssintrum
Gebiednummer;;;;;1;2;3;4;5;6;7;8;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;101;107;119;122;126;131;201;207;219;222;226;231;502;510;513;516;531
Postcode;;;;;8441 ES;8441 BX;8441 CP;8447 BS;8447 BS;8446 DC;8446 SC;8446 KS;8446 HX;8445 SR;8443 AJ;8451 CD;8443 AJ;8442 EM;8442 EZ;8446 KZ;8442 CE;8448 MT;8448 RP;8454 KG;8414 LJ;8414 LJ;8411 ZD;8411 ZE;8411 VK;8411 VK;8456 HR;8458 CA;8491 CR;8491 HA;8495 KD;8468 BJ;8491 CR;8448 RP;8448 RP;8441 ES;8446 SC;8448 MT;8414 LJ;8411 VK;8491 HA;8441 ES;8446 SC;8448 MT;8414 LJ;8411 VK;8491 HA;8441 BN;8446 KE;8444 AN;8442 HK;8491 GJ
;;7;Fokkema, F.;31;2;1;0;2;3;2;0;1;0;0;2;0;0;1;0;0;0;5;1;0;0;0;0;0;1;0;0;2;0;2;0;1;1;0;1;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0
;;8;Knol, J.;22;0;1;1;0;0;0;0;1;0;1;1;0;0;0;2;0;2;2;3;0;1;1;0;0;0;0;0;0;1;1;0;0;0;1;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0
;;9;Schouwerwou, J.P.;6;0;0;0;0;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;10;Boxum, S.C.;25;1;0;0;0;0;0;0;0;0;1;1;0;2;0;1;0;0;2;4;0;0;0;0;0;0;0;5;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0
;;11;Mulder, B.H.;52;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;2;0;0;1;2;0;0;18;13;8;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
;;12;ten Vergert, H.M.;10;2;0;0;3;1;0;0;0;0;1;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;13;Wiersma, J.;2;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;14;Muitjens, C.J.M.;37;1;1;0;1;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;6;7;3;1;8;0;1;0;0;0;0;0;3;0;0;1;0;0;0;0;0;0;0;0
;;15;Pranger, S.;4;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;16;van Heijkop, M.M.;15;0;0;1;0;0;0;0;0;1;0;1;1;0;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0
;;17;van der Wal, W.;9;1;0;0;0;2;0;0;0;0;0;0;1;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
;;18;Baas, L.;11;1;0;1;2;0;0;0;0;0;0;0;3;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0
;;19;Witzenburg-Enting, J.;6;0;0;0;3;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;20;van der Veen, A.J.;23;1;0;0;0;1;1;1;0;0;0;0;0;0;3;4;0;2;2;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0
;;21;Breeuwsma, K.;93;2;0;1;0;3;0;0;1;1;0;0;0;1;0;0;0;0;0;1;3;1;0;5;0;0;0;3;15;4;5;36;2;5;1;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0
4;FNP;;;2341;81;29;41;49;53;34;58;37;33;33;49;67;58;75;30;11;38;68;52;66;67;45;85;54;93;84;122;133;57;88;94;63;45;21;42;28;8;18;17;10;18;47;32;26;10;24;32;6;0;0;2;8
;;1;Eijer, A.;956;30;12;18;19;17;10;28;15;11;16;16;10;22;18;14;2;13;28;17;18;21;19;50;34;54;35;61;62;26;24;31;29;17;10;20;13;5;9;6;5;10;17;12;10;7;14;14;1;0;0;1;5
;;2;Kleefstra, A.;414;16;3;5;10;9;9;6;4;3;5;9;9;6;15;2;3;8;18;9;19;24;12;5;4;4;7;22;29;4;16;38;20;13;0;8;5;1;0;3;1;2;9;5;3;3;0;6;1;0;0;0;1
;;3;Jansen, G.;260;13;4;7;8;12;6;10;7;9;1;16;25;18;7;9;0;6;3;8;2;1;1;2;0;1;6;15;10;9;7;6;1;0;5;6;3;0;0;0;0;0;0;7;6;0;0;1;1;0;0;1;0
;;4;Plantinga, A.;136;9;5;1;2;3;1;7;3;3;2;0;8;5;20;1;3;2;4;5;1;1;2;0;1;0;5;4;6;1;3;1;7;2;1;2;2;0;0;0;0;0;3;4;2;0;0;2;2;0;0;0;0
;;5;de Haan, Y.S.;86;6;3;1;3;4;4;2;1;4;1;4;3;2;4;1;0;2;3;2;1;1;0;2;0;0;1;4;6;1;2;2;1;1;0;3;1;0;2;0;0;2;4;1;0;0;0;1;0;0;0;0;0
;;6;Boonman, D.;44;2;0;0;1;4;3;0;3;1;0;1;1;1;2;1;1;1;1;0;0;1;1;0;2;1;0;1;6;0;1;3;0;0;1;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0
;;7;van Doorn, G.W.B.;143;0;0;0;1;1;1;0;1;0;1;0;0;0;0;0;0;2;1;0;1;13;3;23;11;31;29;1;1;0;4;1;0;0;0;1;0;0;0;3;3;0;1;0;0;0;9;0;0;0;0;0;0
;;8;Hooijsma, P.;92;0;1;2;4;0;0;3;2;0;0;2;3;1;2;1;1;3;5;2;22;4;3;1;0;1;0;5;6;1;0;0;0;2;1;0;1;0;3;0;0;0;8;1;0;0;0;0;1;0;0;0;0
;;9;Postma, G.;13;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;1;2;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0
;;10;Lukkes, J.;12;1;0;2;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0
;;11;de Roo, W.;19;2;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;4;4;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
;;12;Seldenrust, A.;11;0;0;1;0;0;0;1;0;0;0;0;6;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
;;13;Hofma, F.F.;16;0;0;2;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;1;0;0;1;0;2;0;2;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
;;14;Faber, J.J.;8;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;;15;Schuurmans, H.;12;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;1;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0
;;16;Hooghiemster, R.;77;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;2;0;13;28;10;0;9;0;0;0;0;0;0;0;4;0;0;0;0;0;8;0;0;0;0;0
;;17;van den Berg, J.;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;18;Hosper, G.A.;16;0;0;1;0;0;0;0;0;1;0;0;1;0;7;1;0;0;0;0;1;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
;;19;Sijtsma, P.B.;4;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;20;Kramer, P.;6;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0
;;21;ten Hoeve, H.;13;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;1;3;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0
5;GROENLINKS;;;2068;136;19;57;46;47;30;72;73;35;62;55;39;35;48;47;21;39;73;59;56;39;24;25;24;21;13;78;85;91;89;51;25;73;22;36;28;29;19;12;4;32;67;31;19;15;14;39;2;2;1;4;5
;;1;Rozema, G.;1105;65;7;25;12;21;18;36;27;17;35;29;17;16;26;17;7;15;31;27;27;21;14;16;18;19;10;38;57;68;63;22;15;50;8;21;16;16;7;8;3;24;36;21;5;7;12;26;1;1;0;2;5
;;2;van Dijk, G.;417;24;5;11;17;16;5;15;16;11;14;17;15;7;12;17;6;13;14;9;13;11;8;6;5;1;0;23;12;1;5;3;3;4;9;10;5;4;8;1;0;1;13;6;10;6;2;2;1;0;0;0;0
;;3;Dekker, J.F.J.;85;6;0;5;2;3;3;5;5;0;2;2;2;1;2;2;0;0;6;6;3;2;0;0;0;0;1;0;6;2;3;4;0;1;3;0;1;2;1;0;0;1;0;0;1;0;0;2;0;0;0;0;0
;;4;van Woersem, Y.;37;4;0;0;4;1;1;4;3;0;3;0;0;0;1;0;0;1;0;2;0;2;0;1;1;0;0;2;3;0;1;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;5;Naber, J.;43;6;1;3;2;1;1;1;1;0;3;0;1;0;0;0;2;2;1;0;2;2;1;0;0;0;0;1;1;0;0;0;0;0;0;1;1;1;0;1;0;1;2;2;1;1;0;0;0;0;0;0;0
;;6;Modderman, G.C.;120;14;5;3;5;1;1;3;9;4;3;1;0;2;2;2;3;5;10;9;7;1;1;2;0;1;1;4;2;1;1;2;0;0;0;0;1;1;1;1;0;0;8;1;1;0;0;1;0;0;0;0;0
;;7;van Zuijlen, N.M.;82;5;1;1;1;2;0;1;3;0;1;3;1;3;1;4;0;1;6;2;1;0;0;0;0;0;0;0;3;10;10;2;1;8;1;1;1;2;1;0;0;3;0;0;0;0;0;2;0;0;0;0;0
;;8;Oosterhagen, M.J.;12;1;0;1;0;0;0;0;1;0;0;0;1;1;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0
;;9;Smits, N.;24;0;0;1;2;2;1;4;0;1;0;0;0;0;4;1;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;1;0;2;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0
;;10;Kolhoff, A.J.;26;2;0;5;0;0;0;0;3;0;1;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;3;2;0;0;1;0;0;0;0;0;2;1;0;1;0;0;0;0;0;0;0
;;11;Stellingwerf, E.;33;0;0;1;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;4;0;0;0;18;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;3;0;0;0;0;0
;;12;Huizenga, H.H.G.;11;1;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0
;;13;Pasma, J.;4;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;14;Edens-Talsma, A.;6;3;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
;;15;Dijkstra, A.;22;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;5;4;0;0;4;0;0;0;0;0;0;0;2;0;0;0;0;0;3;0;0;0;1;0
;;16;Kornelis, E.;14;3;0;0;0;0;0;2;2;1;0;0;0;1;0;2;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;17;Stams, G.J.J.M.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
;;18;Vledder, J.;11;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;4;0;0;1;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;19;Eijzenga, L.;15;0;0;0;0;0;0;0;0;1;0;1;0;2;0;0;1;0;1;2;2;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0
6;GemeenteBelangen;;;1519;63;17;34;29;33;21;40;37;22;26;25;29;31;46;33;7;28;57;39;62;162;58;58;33;16;11;52;42;21;40;33;13;30;14;27;33;17;5;22;5;5;35;20;11;48;8;14;1;3;0;0;3
;;1;van der Ven, M.A.;860;24;11;19;11;10;13;16;17;12;11;9;10;9;17;10;1;13;30;6;52;139;54;48;27;12;8;29;24;10;18;22;6;13;3;10;11;4;1;21;3;2;15;12;2;46;6;8;1;2;0;0;2
;;2;van der Woude, R.;105;8;1;5;3;5;1;3;4;3;5;2;1;4;6;3;1;6;2;1;0;2;1;0;0;0;0;2;4;2;5;2;1;11;0;2;1;2;0;0;0;0;3;1;0;0;0;1;0;1;0;0;0
;;3;Speel-Bakker, A.A.;230;15;3;4;13;7;4;8;7;6;6;7;3;8;8;7;2;5;4;13;5;8;2;7;2;3;3;7;4;6;6;3;1;1;3;2;9;9;0;1;2;0;6;5;0;2;2;1;0;0;0;0;0
;;4;Jakovljević, A.;135;9;0;2;0;4;2;5;6;0;2;4;3;7;8;8;2;2;2;5;0;5;0;0;0;0;0;7;3;0;4;2;1;3;5;9;5;1;2;0;0;1;9;0;4;0;0;2;0;0;0;0;1
;;5;de Jong, M.J.;48;1;1;0;0;0;0;1;0;0;0;2;0;1;0;0;0;0;11;5;2;1;1;0;1;0;0;1;5;1;1;2;2;0;1;2;1;1;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0
;;6;Bijlsma, E.;51;4;1;3;1;4;1;4;3;0;0;0;1;1;2;0;0;1;2;3;0;1;0;2;2;0;0;3;1;0;1;1;0;2;0;1;3;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0
;;7;Ponsen, D.J.;33;0;0;0;0;0;0;2;0;0;1;1;11;1;4;1;1;1;3;2;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0
;;8;Diephuis, A.P.;17;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;6;0;1;1;0;0;1;1;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;9;Tax, H.W.;14;0;0;0;1;1;0;1;0;0;1;0;0;0;0;1;0;0;3;1;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
;;10;Speel, J.C.H.;26;2;0;1;0;1;0;0;0;1;0;0;0;0;1;3;0;0;0;3;0;0;0;0;0;1;0;1;0;0;3;1;0;0;1;1;3;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0
7;D66;;;1764;85;23;43;40;49;29;42;42;32;106;31;29;48;39;32;11;34;92;97;66;19;18;10;14;4;7;52;49;41;75;31;22;29;50;77;41;35;27;8;2;6;50;29;37;13;4;35;4;0;0;3;2
;;1;de Vries - Chang, Y. J.;1192;55;18;31;27;34;23;29;33;27;92;26;24;33;26;20;8;21;64;69;40;14;17;9;9;2;5;31;40;17;19;20;13;9;37;57;30;27;21;3;1;2;29;19;28;8;4;14;2;0;0;3;2
;;2;Abma, A.;130;4;0;2;1;2;1;4;1;1;2;1;1;2;4;0;0;0;3;3;3;2;0;1;2;2;0;4;2;14;24;4;0;17;2;1;2;0;0;1;0;2;2;1;0;1;0;9;2;0;0;0;0
;;3;de Raad, J.;142;13;2;4;4;6;3;5;5;1;7;1;2;5;7;2;1;3;6;11;6;2;1;0;0;0;2;4;2;1;7;2;3;0;1;5;5;2;0;0;1;0;4;3;1;0;0;2;0;0;0;0;0
;;4;Hijlkema, N.;66;1;0;3;0;0;0;1;2;0;1;0;0;3;0;3;1;0;13;5;4;0;0;0;0;0;0;4;1;1;2;0;0;1;1;5;2;0;4;0;0;0;0;0;2;3;0;3;0;0;0;0;0
;;5;Browne, A. A.;55;5;2;1;3;0;0;0;1;1;1;1;1;2;1;2;1;3;3;8;3;0;0;0;1;0;0;3;0;0;0;0;1;0;1;6;1;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0
;;6;Hogeveen, S. L.;29;1;0;1;3;3;0;0;0;0;0;0;0;2;0;1;0;2;1;0;0;0;0;0;0;0;0;2;2;0;0;0;1;0;1;0;0;2;0;0;0;0;4;2;0;0;0;1;0;0;0;0;0
;;7;Toering, W. R.;12;1;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;3;2;0;0;0;0;0;0;0;0;0
;;8;Breitsma, J.;7;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;9;Bloemhof, D.;6;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0
;;10;Dreteler - Rademaker, N. M.;11;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
;;11;Kuijpers, J. M.;38;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3;15;5;0;0;0;0;0;0;2;0;0;2;1;0;0;0;0;4;0;0;0;0;0
;;12;van der Meulen, S. K.;10;1;0;0;0;1;0;0;0;0;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0
;;13;Molenmaker, M. C.;13;0;0;0;1;1;0;2;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0
;;14;Sotthewes, R.;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0
;;15;Stuiver, T. W.;8;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0
;;16;Zaadnoordijk, H. L. W.;15;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
;;17;Frensel, M.;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0
;;18;van der Mark, P. T. W.;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;6;0;1;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
8;SP (Socialistische Partij);;;1527;71;20;46;31;51;18;65;40;45;32;40;38;50;51;49;28;42;23;22;31;34;14;28;18;60;36;45;45;42;22;50;18;36;11;14;40;17;9;3;20;5;62;40;10;9;24;13;2;1;4;2;0
;;1;van der Veen, J.;746;26;7;16;14;24;8;25;20;18;12;18;23;24;28;27;12;17;10;9;13;21;10;20;16;50;30;18;22;19;8;16;8;19;4;5;18;5;4;2;17;1;28;16;3;4;19;6;2;1;1;2;0
;;2;van Ruth, D.;408;22;6;19;9;19;8;22;14;10;7;12;3;13;21;13;8;11;9;6;8;7;2;5;2;5;1;20;9;9;5;6;7;8;3;5;11;7;3;1;2;2;15;20;5;2;2;4;0;0;0;0;0
;;3;de Ruiter, F.;79;1;0;2;1;0;0;6;2;8;4;4;5;3;1;5;1;4;3;2;3;1;0;0;0;2;0;2;3;0;1;2;0;1;1;2;2;0;0;0;0;0;2;3;1;0;0;0;0;0;1;0;0
;;4;Schaapherder, A.B.;30;5;1;0;1;2;0;2;1;4;1;1;0;1;0;0;0;5;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0
;;5;Tigchelaar, E.;13;2;0;0;0;0;1;1;0;0;0;0;0;2;0;1;0;1;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;6;Oudman, B.I.;69;5;2;2;1;1;0;4;1;2;5;2;1;4;0;0;2;2;1;0;5;2;1;2;0;0;1;2;3;0;1;0;2;1;1;0;4;0;2;0;0;0;6;0;0;0;0;0;0;0;1;0;0
;;7;Kuipers, O.I.;55;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;3;7;6;25;0;3;0;0;0;1;0;0;0;2;0;0;0;0;0;3;0;0;0;0;0
;;8;Bergsma, H.;42;6;0;4;0;0;1;2;1;0;0;0;2;2;1;1;2;2;0;1;0;0;0;0;0;0;2;0;1;2;0;0;1;1;0;1;2;2;0;0;0;0;2;0;0;1;1;0;0;0;1;0;0
;;9;van der Veen, S.M.;22;1;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;1;1;3;0;1;0;1;0;0;0;2;0;1;0;0;0;1;1;0;0;0;1;0;0;1;0;2;2;0;0;0;0;0;0
;;10;van Raak, G.C.;4;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;11;Welles, J.B.;15;0;0;0;1;1;0;1;0;2;0;1;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0
;;12;Steenbergen, P.M.;16;0;2;0;0;2;0;1;1;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0
;;13;Goede, J.F.;28;2;1;2;3;2;0;1;0;0;0;0;2;1;0;1;1;0;0;1;1;0;1;0;0;0;1;1;1;2;1;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0
9;ChristenUnie;;;924;30;10;21;26;37;19;41;65;29;29;29;8;42;24;17;18;12;40;19;29;23;11;8;7;6;1;35;40;7;12;23;15;7;12;30;22;13;6;4;2;3;26;37;3;5;1;7;9;1;0;1;2
;;1;de Heij-Nap, C.;529;17;4;15;16;19;9;27;33;20;19;18;5;22;13;11;9;7;21;6;21;16;5;4;6;5;1;16;21;7;6;19;5;6;6;6;15;13;2;0;0;3;14;20;1;4;1;5;7;0;0;1;2
;;2;Bontekoe-Heerema, K.;81;3;0;4;0;5;7;3;5;3;0;2;0;4;2;0;1;0;4;2;3;0;3;1;0;0;0;0;3;0;3;3;1;0;0;5;2;0;0;1;0;0;3;7;0;1;0;0;0;0;0;0;0
;;3;Veling, J.;81;1;2;0;1;4;0;1;13;3;5;2;0;4;5;3;4;0;6;1;2;0;3;2;0;0;0;1;0;0;0;1;0;0;2;4;2;0;1;0;0;0;3;3;0;0;0;0;1;1;0;0;0
;;4;Offringa-van Abbema, K.H.;26;0;0;0;0;1;1;0;0;0;0;1;0;3;2;0;1;0;1;3;0;0;0;0;0;0;0;1;2;0;0;0;0;1;1;6;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
;;5;de Calonne, D.M.;7;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
