Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Gemeentehuis;Speelgoedbank Heerenveen;OBS van Maasdijkschool;Gymzaal OBS De Optimist;Gymzaal OBS De Optimist;Heerenhage;Wijkcentrum de As;De Rinkelbom;Gymzaal OBS Het Vogelnest;Hotel Heidehof;Gymzaal MFC De Akkers;Sionskerk;Gymzaal MFC De Akkers;Wijkcentrum De Kempenaer;Trinitas;Bornego College;Museum Heerenveen;Kantine VV Heerenveen;Gymzaal de Spil;it Trefpunt;Dorpshuis de Kiekenhof;Dorpshuis de Kiekenhof;Pannenkoekboerderij De Koppenjan;Dorpshuis it Pipegaeltsje;De Kompenije;De Kompenije;De Barte;MFA Aengwirden;Lantearne;Obs Akkrum;It Andringahûs;It Deelshûs;Lantearne;Gymzaal De Spil;Gymzaal De Spil;Gemeentehuis;Wijkcentrum de As;VV Heerenveen;Dorpshuis de Kiekenhof;De Kompenije;OBS Akkrum;Gemeentehuis;Wijkcentrum de As;VV Heerenveen;Dorpshuis de Kiekenhof;De Kompenije;OBS Akkrum;Zorgcentrum Mariënbosch;Woonzorgcentrum Coornhert State;Woonzorgcentrum Herema State;Woonzorgcentrum Marijke Hiem;Leppehiem Mienskipssintrum
Gebiednummer;;;;;1;2;3;4;5;6;7;8;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;101;107;119;122;126;131;201;207;219;222;226;231;502;510;513;516;531
Postcode;;;;;8441 ES;8441 BX;8441 CP;8447 BS;8447 BS;8446 DC;8446 SC;8446 KS;8446 HX;8445 SR;8443 AJ;8451 CD;8443 AJ;8442 EM;8442 EZ;8446 KZ;8442 CE;8448 MT;8448 RP;8454 KG;8414 LJ;8414 LJ;8411 ZD;8411 ZE;8411 VK;8411 VK;8456 HR;8458 CA;8491 CR;8491 HA;8495 KD;8468 BJ;8491 CR;8448 RP;8448 RP;8441 ES;8446 SC;8448 MT;8414 LJ;8411 VK;8491 HA;8441 ES;8446 SC;8448 MT;8414 LJ;8411 VK;8491 HA;8441 BN;8446 KE;8444 AN;8442 HK;8491 GJ
1;Partij van de Arbeid (P.v.d.A.);;;4278;170;66;128;105;116;79;168;179;140;106;137;90;140;128;153;71;97;103;107;94;119;87;59;36;60;58;142;94;91;80;66;45;100;62;84;88;64;38;15;9;38;126;89;45;38;38;60;26;8;3;10;23
;;1;Zoetendal, J.R.;2299;96;30;68;56;70;37;76;86;74;65;71;55;87;70;80;43;53;50;47;58;49;37;33;16;34;34;93;50;45;40;44;26;52;32;46;42;34;22;4;7;25;66;52;17;25;26;33;19;6;1;4;13
;;2;Ottens, W.L.;563;23;10;19;16;16;8;21;20;9;18;24;10;14;14;16;9;8;17;17;13;40;25;10;6;1;2;13;10;8;8;7;5;8;9;7;16;9;6;5;1;6;17;13;9;9;2;6;2;1;0;0;0
;;3;Sijtsma, S.;156;3;5;2;8;4;4;5;7;1;2;4;5;6;3;2;1;6;6;4;5;4;11;0;0;1;0;7;2;5;1;2;0;3;2;4;3;4;2;1;0;0;9;1;1;2;0;6;0;0;0;0;2
;;4;Westerhof, O.;53;1;2;5;0;0;0;1;0;3;1;0;1;3;1;1;0;1;11;3;1;2;1;1;0;0;1;0;1;1;0;0;0;0;0;2;1;0;4;0;0;0;0;0;2;0;0;1;1;0;0;0;0
;;5;Hanedan-Ersoy, M.;282;16;4;5;3;2;15;36;12;32;3;11;1;7;19;34;6;8;3;9;1;1;0;1;0;0;0;1;1;1;0;1;1;0;7;8;1;3;0;0;0;0;10;12;2;0;0;0;0;0;0;4;1
;;6;Elsinga, J.;110;0;0;0;1;1;1;5;5;0;0;0;1;0;0;2;0;2;0;0;1;4;1;12;9;21;19;0;6;0;0;2;0;2;0;3;0;0;0;0;1;0;2;0;2;0;7;0;0;0;0;0;0
;;7;Buwalda, J.J.;200;8;8;18;8;7;4;9;14;4;3;7;8;6;6;5;3;3;3;7;2;1;3;0;2;1;0;7;3;0;0;0;3;2;4;3;7;3;3;2;0;0;14;2;4;1;0;1;1;0;0;0;0
;;8;Pool, F.;61;1;2;1;1;1;0;2;2;1;4;0;0;4;3;0;1;2;4;6;1;4;3;0;0;0;0;0;4;2;0;0;0;1;1;1;0;2;0;1;0;0;2;1;2;0;0;0;0;0;0;1;0
;;9;van der Wal, G.J.;80;2;0;1;2;0;0;2;4;5;0;7;0;3;1;1;0;0;1;1;0;1;1;0;0;0;1;1;0;11;7;2;0;9;0;1;2;0;0;0;0;3;0;2;1;0;0;5;1;0;0;0;2
;;10;Metz, I.G.W.;32;4;0;2;0;1;0;1;1;0;2;0;0;0;0;5;0;0;0;2;0;1;2;0;0;1;0;1;0;0;1;1;0;2;0;0;3;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0
;;11;Kooistra, K.P.;24;3;0;0;0;0;0;0;0;0;0;0;3;0;0;1;0;1;0;0;4;5;1;0;0;1;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0
;;12;Kok, J.H.;10;0;0;0;2;2;0;1;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;13;van Hout, F.J.M.;9;0;0;0;0;1;0;0;2;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;14;Offringa, R.T.;7;0;1;0;1;2;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;15;Zandbergen, J.;32;0;0;0;0;1;2;0;5;2;0;1;2;1;2;0;0;1;0;0;0;1;0;0;0;0;1;1;1;0;0;0;4;0;0;2;1;1;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0
;;16;van der Laan, J.;53;2;0;2;0;0;1;1;5;1;0;5;0;3;2;2;1;2;3;2;0;1;1;0;0;0;0;3;1;0;0;0;1;1;0;1;2;1;0;0;0;0;1;2;3;0;0;0;1;0;1;0;1
;;17;Surajbali, S.;16;0;0;0;0;0;1;0;3;1;0;0;1;1;1;0;1;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0
;;18;Ertugrul, E.;20;0;0;0;0;2;0;3;1;3;0;1;0;0;1;0;1;1;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0
;;19;van den Berg, J.H.;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;;20;de Haan, F.G.;145;5;4;3;3;5;4;3;4;3;7;2;2;4;3;1;4;2;3;4;4;2;0;1;1;0;0;1;2;7;14;2;4;12;2;4;6;1;0;1;0;2;1;3;0;0;0;3;1;1;0;0;4
;;21;Dijkstra, P.H.;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;9;5;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0
;;22;Bouwers, F.;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;23;de Haan, P.;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;11;0;1;4;1;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
