Verkiezing;;Gemeenteraad Súdwest-Fryslân 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Súdwest-Fryslân;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;1900;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Waltaplein;Doarpshûs It Nije Formidden;ROC Friese Poort (achteringang);Ut Wykje;Wijkgebouw De Eekmolen;VBG De Bron Bureau I;"PKN Oosterkerk (ingang ""De Schutse"")";Gymzaal vm Sperkhemschool;VBG De Bron Bureau II;Gymzaal It Rak;Brede School Duinterpen I  (sporthal);Wijkgebouw De Schuttersheuvel Bureau I;Wijkgebouw De Spil;"Wijkgebouw ""De Watertoren""";'t Convenant;Wijkgebouw De Schuttersheuvel Bureau II;Brede School Duinterpen II (sporthal);"Café Restaurant ""De Kajuit""";Vergaderzaal achter het Witte Kerkje;Wijkgebouw de Zwetser (ingang via parkeerterrein);Wijkgebouw It Roefke;Museum en Werkplaats Houtstad-IJlst;De Eehof;MFC De Driuwpôlle;MFC It Heechhûs;MFC De Mande;MFC It Joo;Dorpshuis Scharnegoutum Bureau I;MFC It Harspit;Dorpshuis Oan it Far;De Freonskip;Dorpshuis It Himsterhûs;Dorpshuis Us Doarpshûs;Camping Mounewetter;Dorpshuis De Nije Bân;Herberg de Gekroonde Leeuw;MFC Piers' Stee;"Kerkelijk Centrum ""Het Anker""";Van Doniakerk;Dorpshuis It Doniahûs;Dorpshuis De Fûke;Dorpshuis It Waltahûs;Dorpshuis 't Honk;Johannes de Doperkerk;Dorpshuis De Nije Haven;"Dorpshuis ""De Utwyk""";Dorpshuis It String;Oer de Toer Bureau I;Kultuerhús Klameare;Dorpshuis It Swaeigat;Gemeenschapscentrum De Foeke;Doarpskultuerhûs De Spylder;Dorpshuis De Klink Bureau I;'t Swannenêst (De Doarpskeamer);MFC De Kaap;"Dorpshuis ""de Begine""";Dorpshuis De Klink Bureau II;Martinikerk Bureau I;Sporthal De Middelzee Bureau I;Sporthal De Middelzee Bureau II;Martinikerk Bureau II;Sporthal De Middelzee Bureau III;Centrum Gasthuiskerk;Doarpshûs De Trijesprong;Sporthal It Mingeltsje;Brede School Duinterpen III (sporthal);Oer de Toer Bureau II;café restaurant It Reade Hynder;"Partycentrum “It Dielshûs""";MFC De Tysker;Verenigingsgebouw “De Skoalleseize”;Dorpshuis Scharnegoutum Bureau II;Dorpshuis De Wier;Rondvaartboot Toerist VI;Waltaplein;Wijkgebouw De Schuttersheuvel Bureau I;MFC It Heechhûs;Camping Mounewetter;Kultuerhús Klameare;Dorpshuis De Klink Bureau I;Centrum Gasthuiskerk;"Partycentrum “It Dielshûs""";Waltaplein;Wijkgebouw De Schuttersheuvel Bureau I;MFC It Heechhûs;Camping Mounewetter;Kultuerhús Klameare;Dorpshuis De Klink Bureau I;Centrum Gasthuiskerk;"Partycentrum “It Dielshûs"""
;;12;Hegie, C.S.C.;20;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;3;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
;;13;Captein - Ludema, G.;110;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;10;1;5;0;4;5;1;0;3;54;1;2;2;1;1;2;1;0;0;0;0;0;0;0;1;2;1;1;2;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;1;0
;;14;van der Valk, P.Y.;74;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;1;0;1;1;0;1;3;0;2;0;0;3;0;7;6;1;13;0;0;0;2;8;1;1;2;0;0;0;0;1;0;0;0;0;1;0;1;0;0;4;0;0;0;2;0;1;0;0;0;0;0;5;0;0;0;0;0;0;2;0;1;0;0
;;15;Huitema, J.W.;91;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;1;0;0;0;0;18;2;15;2;1;1;1;0;0;3;0;9;7;0;2;0;3;0;0;1;1;0;0;0;0;0;0;1;1;0;2;1;0;0;2;0;0;1;0;0;0;0;0;0;4;0;0;0;0;0;0;0;4;0;0;2;0
;;16;Steringa, J.;36;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;9;0;6;6;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;0
;;17;Bakker, K.;72;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;3;0;0;0;15;17;2;0;3;0;0;4;0;1;0;0;1;0;0;0;0;0;0;5;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;0;0
;;18;de Graaf, M.E.M.;7;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
;;19;Heins, E.H.;25;0;11;1;0;0;0;0;0;0;2;0;0;0;0;0;1;0;1;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;2;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;20;Beute, M.;3;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;21;Algra, E.A.;17;0;0;0;0;1;0;1;2;1;0;1;0;0;0;0;0;1;0;0;1;1;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;22;Hoekstra, M.;16;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;6;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;0;0;0
;;23;Hylkema, S.M.;30;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;12;1;0;0;4;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;24;Wiersma, U.G.;49;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;21;11;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3
;;25;Breeuwsma, G.;79;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;25;2;21;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;4
;;26;Galema, S.H.;32;0;0;0;0;0;0;0;3;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;2;0;0;0;0;0;0;1;1;2;0;2;1;0;0;3;0;0;2;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;2;4;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
;;27;Hegge, H.F.J.;12;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0
;;28;Algra, N.W.;8;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;29;Wiersma, F.J.H.;29;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;1;0;4;0;0;0;0;0;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;30;Hegie, A.A.;3;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;31;Poepjes, S.A.E.;66;0;1;2;0;1;0;1;1;2;0;0;0;0;0;0;0;0;0;0;3;0;0;2;1;0;0;0;0;0;0;0;0;1;0;0;0;0;12;7;0;1;0;1;1;1;4;0;0;0;0;0;0;2;1;0;0;0;0;1;1;0;1;1;0;0;1;1;0;1;3;3;0;0;0;0;2;0;0;1;0;0;0;1;1;1;0;1;0;0;1
;;32;Kramer, M.S.;28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;3;0;0;0;0;0;0;0;1;2;10;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
;;33;Dijkstra, P.;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3;2;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;;34;Janssen, P.J.H.M.;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;1;4;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0
;;35;Reitsma, S.S.;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;0;0;0
;;36;Tamminga-van de Lageweg, E.;18;0;3;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;3;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;;37;Sterkenburgh, P.L.;10;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;38;Teernstra, F.B.;13;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;3;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;2;0;0;0
;;39;Boersma, R.;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
;;40;Kooistra - de Vries, T.;6;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;41;Metz, T.;14;1;0;1;0;0;0;0;0;1;0;0;0;1;1;0;1;2;3;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;42;Hettinga, H.T.J.;29;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;2;0;0;1;0;0;0;0;1;1;0;0;0;2;0;0;0;0;6;1;0;1;1;0;2;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0
;;43;Witteveen, W.J.;46;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;4;1;3;18;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;5
;;44;Attema, D.;25;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;2;6;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;5;0;0;0;0;0;0;0;1;0;0;0;0;0
2;Partij van de Arbeid (P.v.d.A.);;;8077;159;68;136;75;148;200;180;80;153;92;171;125;223;179;106;101;118;193;87;265;137;155;164;93;86;85;52;111;97;58;55;48;17;89;42;72;70;191;98;35;26;31;36;23;16;39;21;79;189;12;66;55;44;36;57;29;58;128;144;114;103;151;141;100;93;152;56;100;128;70;112;57;41;27;71;78;22;34;55;25;71;20;109;129;20;31;83;24;95;62
;;1;Roskam, M.;4572;57;37;60;37;59;94;85;33;67;45;84;51;101;65;33;43;66;88;37;124;75;100;95;70;57;56;39;58;36;31;47;32;10;60;34;63;64;130;67;30;21;25;27;18;9;29;10;32;80;5;49;41;28;16;34;20;35;109;123;97;73;132;114;52;35;58;27;47;65;47;79;23;24;10;34;47;20;29;24;16;54;12;56;57;15;24;36;16;73;45
;;2;Feenstra, J.;638;21;3;12;5;23;44;28;16;40;14;18;16;34;20;15;12;8;27;11;34;20;9;10;5;5;6;2;16;5;2;0;1;1;1;1;0;0;5;2;0;0;0;0;0;1;3;0;2;1;1;5;4;3;0;3;1;3;1;0;1;2;0;0;4;4;26;3;3;4;7;2;7;2;3;6;5;0;0;1;3;4;0;12;15;0;1;1;0;0;2
;;3;Poelman, M.;618;27;6;29;10;23;25;12;8;16;13;15;24;22;16;12;8;14;32;14;30;10;11;13;4;4;5;3;10;6;3;0;1;1;8;2;1;0;6;1;2;1;1;2;0;1;3;9;1;6;0;1;1;1;1;0;1;0;2;5;1;6;0;12;5;3;21;0;2;6;6;5;9;4;3;10;9;0;0;0;1;1;0;10;10;3;0;0;1;6;1
;;4;Visser, P.;149;1;1;1;1;2;1;3;0;1;0;2;2;6;3;1;3;0;3;1;1;3;5;0;0;1;3;0;2;45;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;1;40;2;0;0;1;0;1;0;1;2;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
;;5;Scholtanus, P.J.;83;1;0;0;0;0;4;0;0;1;0;0;0;0;0;1;1;0;4;0;3;1;3;1;1;2;0;0;1;0;0;0;1;0;1;0;1;0;1;1;0;0;0;0;0;0;0;0;0;1;0;3;0;1;1;0;0;2;0;0;0;0;0;0;31;0;0;0;1;1;5;0;3;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;2;0;0
;;6;van der Veer, P.J.;303;12;5;8;1;6;8;18;4;7;5;10;4;9;14;5;6;8;14;6;21;5;6;6;5;4;9;0;2;0;11;2;2;1;1;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;1;3;0;0;1;1;0;0;1;1;1;3;3;3;3;7;0;3;2;0;3;2;1;3;5;3;0;0;2;0;1;0;6;9;1;0;1;1;3;1
;;7;Konst, M.T.;72;2;0;2;0;1;2;0;2;4;0;3;0;2;1;5;0;2;1;0;5;0;0;5;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;1;0;1;0;0;0;1;0;1;2;0;0;1;0;2;0;0;6;0;0;2;0;0;0;1;3;0;0;0;0;0;0;1;0;3;1;0;0;0;0;0;2
;;8;Bouwhuis-Harkema, A.;304;3;0;0;0;4;2;1;1;1;2;2;0;2;5;2;0;1;0;0;2;3;1;1;0;2;1;2;2;0;1;2;3;2;5;0;0;0;2;2;0;1;2;0;3;1;1;2;24;66;3;1;1;8;0;4;0;8;3;7;7;0;4;2;0;1;1;17;0;4;1;2;0;0;0;1;1;1;0;21;2;1;2;1;1;1;1;33;1;4;2
;;9;van der Veer, P.;137;11;0;4;3;1;2;2;3;6;3;1;7;13;21;2;4;2;3;2;10;4;2;0;2;0;1;0;1;0;0;0;0;0;0;0;0;0;5;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;2;0;0;0;2;3;0;1;0;0;1;0;0;1;3;0;0;0;0;0;1;0;0;2;0;0;0;0;1;0
;;10;Wagenaar, I.R.;106;7;0;2;1;1;5;5;2;2;0;1;8;2;4;18;9;0;0;0;2;1;0;0;2;0;0;2;3;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;2;1;0;0;2;2;0;1;0;0;0;0;0;3;2;0;0;0;0;0;0;4;8;0;0;0;0;0;0
;;11;de Jong, B.;24;2;0;0;2;1;1;0;0;0;0;0;0;0;4;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;1;0;3;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
;;12;de Jong, D.;124;3;4;0;1;13;4;2;8;4;1;3;3;2;5;2;5;6;3;1;8;3;3;5;0;1;1;0;1;0;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;2;0;0;0;1;0;1;0;0;0;1;3;1;1;4;0;0;1;0;1;0;4;4;0;0;0;0;0;0
;;13;Ennik - Bouwhuis, H.C.;52;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;11;19;1;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;3;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;5;1;0;0
;;14;Flikkema, J.;16;0;0;0;0;0;1;0;0;0;1;0;1;1;3;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;3;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;15;de Haan, W.;31;0;0;0;0;0;1;0;0;1;1;2;0;1;3;1;0;0;4;1;5;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;4;0;0;0;0;0;0
;;16;Zijlstra, P.;71;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;2;0;0;2;2;1;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25;20;1;4;0;0;0;0;0;0;0;0;1;0;3;0;0;0;0;0;1;0;3
;;17;Swart, J.A.;8;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;2;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;;18;Bakker, J.W.;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
;;19;Kooke, H.R.;49;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;1;0;0;21;13;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;1;0
;;20;Rietman, M.;43;1;0;1;0;2;0;0;0;0;0;11;0;2;3;0;1;7;0;0;4;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;21;Wijnia, H.;18;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3;0;3;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0
;;22;Overheul, M.;16;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;23;Niemantsverdriet, F.S.;27;0;0;1;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3;5;0;1;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;5;0;0;0
;;24;IJssels, P.;34;0;2;0;2;0;0;1;0;0;0;0;0;2;2;2;1;0;0;0;0;0;0;1;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;4;0;0;0;0;0;0;0;0;2;0;1;2;0;0;0;0;0;0
;;25;Zeldenrust, E.J.;34;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;3;14;1;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
;;26;Duiker, S.;23;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;11;4;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0
;;27;Slootjes, L.;36;0;0;0;0;0;0;5;0;0;1;1;0;1;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;1;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;2;2;0;1;1;1;0;0;3;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;1;1;0;0;0;0;1;0
