Verkiezing;;Gemeenteraad Dantumadiel 2022;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Dantumadiel;;;;;;;;;;;;;;;;;;;;
Nummer;;1891;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Gemeentehuis;Doopsgezinde Kerk Damwâld;Dorpshuis De Nije Warf;Nij Tjaerda;MFC  De Beijer;Herberge De Trochreed;Dorpshuis  De Pipegael;Kerkelijk Centrum De Mienskip;Kantine SC Veenwouden;Lokaal Gemeenschap van Christus Fogelsang;Lokaal Chr.Geref. kerk;Lokaal De Ferbiningstsjerke;Gemeentehuis 14 maart;Gemeentehuis 15 maart;Kerkelijk Centrum De Mienskip 14 maart;Kerkelijk Centrum De Mienskip 15 maart;Lokaal De Ferbiningstsjerke 14 maart;Lokaal De Ferbiningstsjerke 15 maart
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18
Postcode;;;;;9104 BR;9104 GM;9113 PA;9104 KA;9105 KG;9067 DM;9108 NE;9269 SW;9269 NB;9271 GB;9271 CH;9271 BP;9104 BR;9104 BR;9269 SW;9269 SW;9271 BP;9271 BP
;;3;Houtstra, K.M.;187;12;14;5;7;116;0;7;10;1;0;2;2;6;5;0;0;0;0
;;4;Hilverda, S.;190;40;45;19;33;4;0;12;1;3;0;1;1;11;20;0;0;0;0
;;5;Strikwerda, P.;87;2;2;1;0;0;0;2;35;7;0;0;3;8;0;12;14;0;1
;;6;Dijkstra, Y.H.;104;11;12;46;4;4;0;8;2;1;0;1;2;1;8;0;1;0;3
;;7;Tangerman, D.;30;0;0;0;0;0;0;0;15;3;0;1;0;0;1;4;4;0;2
;;8;Raap, K.;19;4;4;0;0;2;1;1;0;0;0;0;1;1;5;0;0;0;0
;;9;Dijkstra, R.;156;0;0;4;0;0;0;0;77;18;0;1;0;0;3;14;39;0;0
;;10;Raap-Dijkstra, W.;52;6;4;7;3;0;3;2;8;3;1;2;5;1;1;0;4;1;1
;;11;Boskma, H.;19;0;0;0;0;2;1;0;3;0;1;4;6;0;0;1;0;1;0
;;12;Hiemstra, B.;26;6;7;2;1;4;0;0;0;2;0;0;4;0;0;0;0;0;0
;;13;Slomp-Ludolphie, A.G.;30;0;0;0;0;1;2;0;18;3;0;0;1;0;0;1;3;0;1
;;14;Visser, A.G.;87;4;4;2;8;3;0;64;1;0;0;0;0;0;0;1;0;0;0
;;15;Wijnsma, L.K.;5;1;1;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0
;;16;Gros-Visser, R.;41;5;1;20;5;0;2;4;0;0;0;0;1;1;0;1;0;1;0
;;17;Meekma, A.L.;16;2;2;4;1;3;0;0;2;0;0;0;0;0;0;0;0;0;2
;;18;Rozema, S.;12;0;0;1;1;0;0;7;0;0;0;0;1;0;0;0;0;2;0
