Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;LindeStede, Wolvega;Lycklama Stins, Wolvega;Lenna, Wolvega;Sickenga-Oord, Wolvega;Clubgebouw Het Wolvennest, Wolvega;gymlokaal De Heidepolle, Wolvega;'t Polderhuus, Munnekeburen;Dorpshuis 't Griffioentje, Oldelamer;Dorpshuis De Bult, Ter Idzard;Kerkelijk centrum Ter Holten, Oldeholtpade;MFC de Ni'je Stienze, Nijeholtpade;Dorpshuis De Tille, Boijl;Openbare Bibliotheek, Noordwolde;Clubgebouw voetbalvereniging Zandhuizen;Sporthal De Duker, Noordwolde;Dorpscentrum Sonnega-Oldetrijne, Sonnega;Krommestede, Noordwolde;Dorpshuis ’t Hokkien, De Hoeve;Gebouw Het Anker, Steggerda;Dorpshuis 't Centrum, De Blesse;Dorpshuis, Oosterstreek;Gemeentehuis, Wolvega;Sportcentrum De Steense I, Wolvega;Sportcentrum De Steense II, Wolvega;Zalencentrum de Rank, Wolvega;’t Buurthuus, Noordwolde;'t Buurthuus, Noordwolde (14 maart);'t Buurthuus, Noordwolde (15 maart);Gemeentehuis, Wolvega (14 maart);Gemeentehuis, Wolvega (15 maart)
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30
Postcode;;;;;8471 KZ;8472 AB;8471 LC;8471 BS;8471 HH;8471 VM;8485 JE;8486 GD;8476 EN;8474 CL;8475 EB;8392 MA;8391 BG;8389 TH;8391 MH;8479 HH;8391 LH;8394 VP;8395 PJ;8397 GC;8388 NE;8471 KR;8472 AA;8472 AA;8471 CE;8391 AW;8391 AW;8391 AW;8471 KR;8471 KR
;;19;de Vries, H.R.;2;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;20;Bos, M.F.F.;6;0;0;2;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;;21;Kamperveen, B.;9;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;0;1;0;0;0;0;1
;;22;de Jong, B.P.;8;0;0;0;0;0;0;0;0;0;0;0;0;0;4;1;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0
;;23;Stuurman, B.;20;0;0;1;0;0;1;1;0;0;0;0;5;4;0;0;0;0;0;2;2;1;0;0;0;0;1;1;0;0;1
6;Blijf Stellingwarfs;;;1552;2;0;158;4;80;87;95;32;19;63;21;49;65;9;49;25;1;19;122;118;28;110;69;49;92;31;7;23;57;68
;;1;Mulder, A.H.;698;2;0;66;2;34;39;32;13;13;17;16;23;31;5;17;12;0;13;38;61;23;47;33;26;40;16;6;9;31;33
;;2;Knol, H.R.;96;0;0;24;0;11;11;11;4;0;1;0;1;4;0;2;0;0;0;2;2;1;7;2;1;6;1;0;0;3;2
;;3;Kehe, I.;40;0;0;2;0;3;1;19;1;0;0;0;0;0;0;0;1;0;0;1;1;0;2;0;0;0;0;0;0;2;7
;;4;Mulder, A.H.;106;0;0;12;1;1;4;3;0;0;1;0;6;10;1;2;1;0;1;28;15;1;7;1;0;1;3;1;3;2;1
;;5;Siegersma, A.M.;114;0;0;13;0;6;9;3;1;0;2;1;5;1;0;4;1;0;0;6;2;0;10;8;11;18;1;0;0;5;7
;;6;Mulder, S.N.;108;0;0;4;0;2;2;5;3;1;7;3;2;2;0;4;0;0;0;9;13;0;15;13;3;6;2;0;3;3;6
;;7;Fijma, H.J.;4;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;8;Bakker, C.M.;47;0;0;1;0;0;2;0;0;0;0;0;4;9;3;10;0;0;1;0;1;2;0;0;1;0;8;0;4;0;1
;;9;Verschuuren, C.A.C.;24;0;0;4;0;0;1;0;3;0;0;0;0;0;0;3;6;0;0;0;2;0;0;1;1;2;0;0;0;0;1
;;10;van Vleeren, H.A.;25;0;0;4;0;1;2;0;0;0;1;0;0;0;0;2;0;0;0;0;2;0;4;1;1;2;0;0;0;2;3
;;11;Mondria-de Jong, J.;22;0;0;2;0;3;0;14;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0
;;12;Westenbroek, J.J.;50;0;0;3;0;4;2;0;0;0;0;0;1;0;0;0;1;0;0;28;7;0;0;1;2;1;0;0;0;0;0
;;13;Landman-Nijholt, M.;5;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0
;;14;Smit, A.H.;4;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0
;;15;Dedden-Kroon, H.G.;15;0;0;0;0;1;0;0;0;0;8;0;0;0;0;1;0;0;1;0;0;1;2;1;0;0;0;0;0;0;0
;;16;Peeters, G.F.L.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;;17;Kasmarek, R.J.;9;0;0;0;0;0;1;1;0;0;2;0;0;0;0;0;0;0;0;0;1;0;2;0;0;2;0;0;0;0;0
;;18;Hofman, M.;16;0;0;3;0;3;0;0;2;1;3;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
;;19;Kasmarek, M.S.;32;0;0;5;0;0;2;1;0;1;16;1;0;0;0;0;0;0;0;1;1;0;0;1;0;2;0;0;0;1;0
;;20;de Koe, M.H.;29;0;0;3;0;2;3;2;3;1;0;0;1;1;0;0;3;0;1;0;1;0;2;1;1;3;0;0;0;1;0
;;21;van Vleeren, E.;11;0;0;4;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;1
;;22;Duursma, N.;10;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;3;1;0;0;0;0;1;1
;;23;Heida, H.;7;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;2;1
;;24;Mulder, R.B.J.;15;0;0;1;0;1;3;0;0;0;0;0;0;3;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;1
;;25;Veenstra, G.;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
;;26;Elgersma, W.;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;27;van der Meulen, S.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;28;Smid, P.;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;29;de Vries, J.J.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;30;de Jong, L.;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;31;Meijer, L.;6;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0
;;32;Pen, A.A.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
;;33;Pijper, M.A.;12;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;4;0;0;5;0;0;0;0;0
;;34;de Vries, G.;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;35;Nijholt, M.;8;0;0;1;0;0;0;0;0;1;3;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0
;;36;Groenewoud, K.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
;;37;Veldhuizen, S.J.;5;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0
;;38;Winsemius, J.P.;24;0;0;1;0;2;0;0;0;0;2;0;3;1;0;4;0;0;0;5;1;0;1;0;0;0;0;0;4;0;0
7;D66;;;858;0;0;74;4;52;55;54;10;11;47;28;27;39;14;22;17;2;18;24;32;22;64;49;50;38;25;14;11;17;38
;;1;Westenberg, R.C.A.;411;0;0;45;4;23;26;37;6;5;19;5;11;11;3;8;10;1;8;15;10;7;34;23;39;14;5;7;3;11;21
;;2;Veen, W.;72;0;0;9;0;6;4;2;0;0;2;1;2;0;0;1;1;0;1;2;12;3;6;3;5;2;1;3;1;3;2
;;3;Algera, S.A.L.;114;0;0;8;0;9;10;7;1;3;3;3;4;3;4;1;1;0;0;4;5;1;10;7;2;14;2;0;1;2;9
;;4;de Haan, M.N.;25;0;0;0;0;0;0;0;0;0;0;0;0;7;0;8;0;1;0;0;0;0;0;1;0;0;6;0;2;0;0
;;5;Slot, D.;51;0;0;0;0;1;1;4;1;1;1;1;4;16;0;3;2;0;0;0;1;2;1;0;1;0;6;2;2;0;1
;;6;Mustedanagić, A.;25;0;0;3;0;1;4;1;0;0;5;0;0;0;0;1;0;0;0;0;0;0;5;1;0;2;0;1;0;1;0
;;7;Groen, W.;30;0;0;0;0;2;1;1;1;0;0;0;3;0;0;0;0;0;0;0;1;8;0;3;0;1;4;1;2;0;2
;;8;Machiela, J.;15;0;0;1;0;3;1;0;0;2;0;0;1;0;0;0;0;0;0;0;1;1;1;1;0;2;0;0;0;0;1
;;9;Rijpma, R.T.;5;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;10;Stubij, A.H.;5;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;0;0;0;0;0;0
;;11;Jellesma, H.G.;23;0;0;1;0;1;0;1;0;0;3;2;0;1;0;0;0;0;9;1;1;0;0;0;0;1;0;0;0;0;2
;;12;Bruinewoud, J.;22;0;0;1;0;3;0;0;0;0;1;14;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
;;13;Fischer-de Winter, G.E.M.;26;0;0;4;0;0;4;0;1;0;8;1;0;0;0;0;1;0;0;0;0;0;2;2;1;2;0;0;0;0;0
;;14;Hendriks, S.;7;0;0;0;0;0;1;0;0;0;0;0;1;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;15;Mulder, M.H.R.;5;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0
;;16;Smink, L.;14;0;0;1;0;2;0;0;0;0;0;0;1;0;1;0;2;0;0;0;0;0;4;3;0;0;0;0;0;0;0
;;17;Bakker, J.R.;5;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
;;18;Haringsma, R.J.A.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;19;Jellema, F.;3;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
8;Krachtig Sociaal Groen;;;296;0;1;25;2;30;21;22;0;4;6;2;7;13;2;2;8;1;12;10;24;2;22;1;6;23;5;3;4;15;23
;;1;Postma-Huurman, M.J.;167;0;0;18;1;13;7;13;0;4;5;1;5;11;2;0;3;1;5;6;10;1;11;1;3;10;5;3;4;9;15
;;2;Vonk, A.;12;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;2;0;0;0;2;2
;;3;Bergsma-Baas, N.;24;0;0;0;0;9;4;0;0;0;0;1;1;2;0;0;0;0;2;0;0;0;1;0;0;2;0;0;0;1;1
;;4;Mast, S.;10;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;1;1;0;0;0;1;0
;;5;Elstak-Kneepkens, M.J.E.;9;0;0;0;0;0;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;1;0
;;6;de Kreek, P.M.;4;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;;7;Bisselink, H.M.;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;2
;;8;van der Voort-Procee, M.J.;19;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;14;0;0;0;0;0;0;0;0;1;1
;;9;Los, R.;10;0;0;0;0;3;4;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
;;10;Stierman, T.A.;3;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
;;11;Platenkamp, J.M.J.;5;0;0;1;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;12;de Haan, A.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;13;Oosterdijk, A.;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0
;;14;Bergsma, S.E.;3;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;15;Oosterdijk-Posthumus, J.T.;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;16;Postma, A.;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0
;;17;Oosterdijk, S.A.;6;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;3;0;0;0;0;0
;;18;Delfsma-Klaver, K.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;;19;Wouters, M.J.;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
;;20;Wemmers, C.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;;21;Delfsma, B.;8;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;4;0;0;1;0;0;0;0;0;0;0;0;0;0;0
